Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:35 AM - 6/18/21, 11:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(Buy);Buy to Open;100.0;$9.21;5/7/21, 9:35 AM;;$20.40;100.0;
2;BashirStrategy(CloseBuy);Sell to Close;-100.0;$10.49;5/12/21, 1:50 PM;$128.50;$128.50;0.0;
3;BashirStrategy(Buy);Buy to Open;100.0;$10.50;5/12/21, 1:55 PM;;$121.00;100.0;
4;BashirStrategy(CloseBuy);Sell to Close;-100.0;$11.79;5/13/21, 10:05 AM;$129.41;$257.91;0.0;
5;BashirStrategy(Buy);Buy to Open;100.0;$11.63;5/13/21, 10:10 AM;;$269.00;100.0;
6;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.00;5/13/21, 1:40 PM;$137.00;$394.91;0.0;
7;BashirStrategy(Buy);Buy to Open;100.0;$12.96;5/13/21, 1:45 PM;;$384.80;100.0;
8;BashirStrategy(CloseBuy);Sell to Close;-100.0;$14.26;5/17/21, 10:10 AM;$130.01;$524.92;0.0;
9;BashirStrategy(Buy);Buy to Open;100.0;$14.18;5/17/21, 10:15 AM;;$502.52;100.0;
10;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.64;5/17/21, 10:25 AM;($53.29);$471.63;0.0;
11;BashirStrategy(Buy);Buy to Open;100.0;$13.87;5/17/21, 2:10 PM;;$475.25;100.0;
12;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.71;5/19/21, 9:35 AM;($115.50);$356.13;0.0;
13;BashirStrategy(Buy);Buy to Open;100.0;$12.61;5/19/21, 3:55 PM;;$357.63;100.0;
14;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.09;5/20/21, 9:45 AM;($52.00);$304.13;0.0;
15;BashirStrategy(Buy);Buy to Open;100.0;$12.71;5/20/21, 10:45 AM;;$303.30;100.0;
16;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.19;5/21/21, 1:00 PM;($51.61);$252.52;0.0;
17;BashirStrategy(Buy);Buy to Open;100.0;$12.26;5/21/21, 2:20 PM;;$255.52;100.0;
18;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.68;5/24/21, 11:10 AM;$141.98;$394.50;0.0;
19;BashirStrategy(Buy);Buy to Open;100.0;$13.72;5/24/21, 11:15 AM;;$411.00;100.0;
20;BashirStrategy(CloseBuy);Sell to Close;-100.0;$15.04;5/25/21, 2:30 PM;$132.00;$526.50;0.0;
21;BashirStrategy(Buy);Buy to Open;100.0;$15.40;5/25/21, 2:35 PM;;$518.60;100.0;
22;BashirStrategy(CloseBuy);Sell to Close;-100.0;$18.33;5/26/21, 9:35 AM;$293.00;$819.50;0.0;
23;BashirStrategy(Buy);Buy to Open;100.0;$17.70;5/26/21, 9:40 AM;;$845.00;100.0;
24;BashirStrategy(CloseBuy);Sell to Close;-100.0;$19.25;5/26/21, 11:25 AM;$155.37;$974.87;0.0;
25;BashirStrategy(Buy);Buy to Open;100.0;$19.53;5/26/21, 2:05 PM;;$965.10;100.0;
26;BashirStrategy(CloseBuy);Sell to Close;-100.0;$18.45;5/27/21, 9:35 AM;($108.10);$866.77;0.0;
27;BashirStrategy(Buy);Buy to Open;100.0;$20.56;5/27/21, 10:00 AM;;$894.67;100.0;
28;BashirStrategy(CloseBuy);Sell to Close;-100.0;$21.85;5/27/21, 10:25 AM;$128.99;$995.76;0.0;
29;BashirStrategy(Buy);Buy to Open;100.0;$22.99;5/27/21, 10:30 AM;;$943.76;100.0;
30;BashirStrategy(CloseBuy);Sell to Close;-100.0;$22.48;5/27/21, 10:35 AM;($51.27);$944.49;0.0;
31;BashirStrategy(Buy);Buy to Open;100.0;$22.50;5/27/21, 10:40 AM;;$936.50;100.0;
32;BashirStrategy(CloseBuy);Sell to Close;-100.0;$21.96;5/27/21, 10:55 AM;($53.80);$890.69;0.0;
33;BashirStrategy(Buy);Buy to Open;100.0;$22.66;5/27/21, 11:00 AM;;$907.26;100.0;
34;BashirStrategy(CloseBuy);Sell to Close;-100.0;$21.85;5/27/21, 11:35 AM;($81.41);$809.28;0.0;
35;BashirStrategy(Buy);Buy to Open;100.0;$23.28;5/27/21, 12:55 PM;;$823.28;100.0;
36;BashirStrategy(CloseBuy);Sell to Close;-100.0;$24.56;5/27/21, 1:25 PM;$128.00;$937.28;0.0;
37;BashirStrategy(Buy);Buy to Open;100.0;$25.43;5/27/21, 1:30 PM;;$914.78;100.0;
38;BashirStrategy(CloseBuy);Sell to Close;-100.0;$27.22;5/27/21, 1:50 PM;$179.57;$1,116.85;0.0;
39;BashirStrategy(Buy);Buy to Open;100.0;$27.23;5/27/21, 1:55 PM;;$1,333.27;100.0;
40;BashirStrategy(CloseBuy);Sell to Close;-100.0;$29.42;5/27/21, 2:00 PM;$218.99;$1,335.84;0.0;
41;BashirStrategy(Buy);Buy to Open;100.0;$27.39;5/27/21, 2:05 PM;;$1,363.84;100.0;
42;BashirStrategy(CloseBuy);Sell to Close;-100.0;$25.56;5/27/21, 2:15 PM;($183.03);$1,152.81;0.0;
43;BashirStrategy(Buy);Buy to Open;100.0;$26.83;5/27/21, 2:20 PM;;$1,110.91;100.0;
44;BashirStrategy(CloseBuy);Sell to Close;-100.0;$28.60;5/27/21, 3:00 PM;$176.50;$1,329.31;0.0;
45;BashirStrategy(Buy);Buy to Open;100.0;$34.95;5/28/21, 9:35 AM;;$1,362.82;100.0;
46;BashirStrategy(CloseBuy);Sell to Close;-100.0;$32.66;5/28/21, 9:45 AM;($229.33);$1,099.98;0.0;
47;BashirStrategy(Buy);Buy to Open;100.0;$32.78;5/28/21, 9:50 AM;;$1,177.91;100.0;
48;BashirStrategy(CloseBuy);Sell to Close;-100.0;$34.27;5/28/21, 10:05 AM;$148.54;$1,248.52;0.0;
49;BashirStrategy(Buy);Buy to Open;100.0;$33.10;5/28/21, 10:10 AM;;$1,100.56;100.0;
50;BashirStrategy(CloseBuy);Sell to Close;-100.0;$31.62;5/28/21, 10:15 AM;($147.93);$1,100.59;0.0;
51;BashirStrategy(Buy);Buy to Open;100.0;$27.99;5/28/21, 1:50 PM;;$1,099.59;100.0;
52;BashirStrategy(CloseBuy);Sell to Close;-100.0;$27.23;5/28/21, 2:00 PM;($76.00);$1,024.59;0.0;
53;BashirStrategy(Buy);Buy to Open;100.0;$27.66;5/28/21, 2:05 PM;;$1,011.73;100.0;
54;BashirStrategy(CloseBuy);Sell to Close;-100.0;$26.88;5/28/21, 2:15 PM;($78.01);$946.58;0.0;
55;BashirStrategy(Buy);Buy to Open;100.0;$30.27;6/1/21, 9:35 AM;;$878.39;100.0;
56;BashirStrategy(CloseBuy);Sell to Close;-100.0;$29.57;6/1/21, 9:40 AM;($69.99);$876.59;0.0;
57;BashirStrategy(Buy);Buy to Open;100.0;$30.32;6/1/21, 9:45 AM;;$854.60;100.0;
58;BashirStrategy(CloseBuy);Sell to Close;-100.0;$29.50;6/1/21, 10:20 AM;($82.09);$794.50;0.0;
59;BashirStrategy(Buy);Buy to Open;100.0;$29.18;6/1/21, 10:25 AM;;$790.00;100.0;
60;BashirStrategy(CloseBuy);Sell to Close;-100.0;$30.46;6/1/21, 11:25 AM;$128.34;$922.84;0.0;
61;BashirStrategy(Buy);Buy to Open;100.0;$30.26;6/1/21, 11:30 AM;;$950.34;100.0;
62;BashirStrategy(CloseBuy);Sell to Close;-100.0;$31.50;6/1/21, 12:15 PM;$124.50;$1,047.34;0.0;
63;BashirStrategy(Buy);Buy to Open;100.0;$31.39;6/1/21, 12:20 PM;;$1,059.82;100.0;
64;BashirStrategy(CloseBuy);Sell to Close;-100.0;$30.80;6/1/21, 1:00 PM;($58.50);$988.84;0.0;
65;BashirStrategy(Buy);Buy to Open;100.0;$32.09;6/1/21, 2:35 PM;;$1,014.24;100.0;
66;BashirStrategy(CloseBuy);Sell to Close;-100.0;$31.44;6/1/21, 3:10 PM;($65.06);$923.78;0.0;
67;BashirStrategy(Buy);Buy to Open;100.0;$37.52;6/2/21, 9:30 AM;;$911.78;100.0;
68;BashirStrategy(CloseBuy);Sell to Close;-100.0;$39.13;6/2/21, 9:45 AM;$161.00;$1,084.78;0.0;
69;BashirStrategy(Buy);Buy to Open;100.0;$40.00;6/2/21, 9:50 AM;;$1,172.78;100.0;
70;BashirStrategy(CloseBuy);Sell to Close;-100.0;$39.40;6/2/21, 10:40 AM;($59.99);$1,024.79;0.0;
71;BashirStrategy(Buy);Buy to Open;100.0;$43.35;6/2/21, 11:30 AM;;$1,001.94;100.0;
72;BashirStrategy(CloseBuy);Sell to Close;-100.0;$44.85;6/2/21, 11:55 AM;$150.22;$1,175.01;0.0;
73;BashirStrategy(Buy);Buy to Open;100.0;$47.12;6/2/21, 12:00 PM;;$1,153.02;100.0;
74;BashirStrategy(CloseBuy);Sell to Close;-100.0;$48.89;6/2/21, 12:10 PM;$177.35;$1,352.36;0.0;
75;BashirStrategy(Buy);Buy to Open;100.0;$49.50;6/2/21, 12:15 PM;;$1,819.45;100.0;
76;BashirStrategy(CloseBuy);Sell to Close;-100.0;$54.14;6/2/21, 12:20 PM;$464.10;$1,816.46;0.0;
77;BashirStrategy(Buy);Buy to Open;100.0;$57.94;6/2/21, 12:25 PM;;$2,193.96;100.0;
78;BashirStrategy(CloseBuy);Sell to Close;-100.0;$59.31;6/2/21, 12:30 PM;$137.00;$1,953.46;0.0;
79;BashirStrategy(Buy);Buy to Open;100.0;$57.84;6/2/21, 1:00 PM;;$1,918.65;100.0;
80;BashirStrategy(CloseBuy);Sell to Close;-100.0;$64.85;6/2/21, 1:10 PM;$700.96;$2,654.42;0.0;
81;BashirStrategy(Buy);Buy to Open;100.0;$69.29;6/2/21, 1:15 PM;;$2,344.17;100.0;
82;BashirStrategy(CloseBuy);Sell to Close;-100.0;$66.16;6/2/21, 1:20 PM;($313.00);$2,341.42;0.0;
83;BashirStrategy(Buy);Buy to Open;100.0;$52.82;6/3/21, 1:00 PM;;$2,777.41;100.0;
84;BashirStrategy(CloseBuy);Sell to Close;-100.0;$57.16;6/3/21, 1:05 PM;$433.58;$2,775.00;0.0;
85;BashirStrategy(Buy);Buy to Open;100.0;$55.79;6/3/21, 1:10 PM;;$2,555.80;100.0;
86;BashirStrategy(CloseBuy);Sell to Close;-100.0;$53.66;6/3/21, 1:15 PM;($213.01);$2,561.99;0.0;
87;BashirStrategy(Buy);Buy to Open;100.0;$54.36;6/3/21, 1:20 PM;;$2,666.98;100.0;
88;BashirStrategy(CloseBuy);Sell to Close;-100.0;$57.60;6/3/21, 1:30 PM;$324.01;$2,886.00;0.0;
89;BashirStrategy(Buy);Buy to Open;100.0;$61.83;6/3/21, 1:35 PM;;$2,756.60;100.0;
90;BashirStrategy(CloseBuy);Sell to Close;-100.0;$60.47;6/3/21, 1:40 PM;($136.40);$2,749.60;0.0;
91;BashirStrategy(Buy);Buy to Open;100.0;$60.36;6/3/21, 1:45 PM;;$2,916.60;100.0;
92;BashirStrategy(CloseBuy);Sell to Close;-100.0;$62.00;6/3/21, 1:50 PM;$164.00;$2,913.60;0.0;
93;BashirStrategy(Buy);Buy to Open;100.0;$66.78;6/3/21, 1:55 PM;;$2,962.59;100.0;
