Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/18/21, 3:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(EnterLong);Buy to Open;100.0;$9.52;5/7/21, 9:45 AM;;($1.09);100.0;
2;BashirStrategy(ExitLong);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$184.41;$184.41;0.0;
3;BashirStrategy(EnterLong);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$196.50;100.0;
4;BashirStrategy(ExitLong);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$318.29;0.0;
5;BashirStrategy(EnterLong);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$329.10;100.0;
6;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.14;5/13/21, 3:45 PM;($31.29);$287.00;0.0;
7;BashirStrategy(EnterLong);Buy to Open;100.0;$14.01;5/14/21, 11:00 AM;;$290.20;100.0;
8;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.62;5/14/21, 11:45 AM;($38.91);$248.09;0.0;
9;BashirStrategy(EnterShort);Sell to Open;-100.0;$13.39;5/14/21, 12:15 PM;;$263.82;-100.0;
10;BashirStrategy(ExitShort);Buy to Close;100.0;$13.92;5/17/21, 9:45 AM;($53.48);$194.61;0.0;
11;BashirStrategy(EnterLong);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$212.61;100.0;
12;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.58;5/17/21, 10:30 AM;($41.92);$152.69;0.0;
13;BashirStrategy(EnterLong);Buy to Open;100.0;$13.86;5/17/21, 10:45 AM;;$141.55;100.0;
14;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.26;5/19/21, 9:45 AM;($59.80);$92.89;0.0;
15;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.84;5/19/21, 10:00 AM;;$85.58;-100.0;
16;BashirStrategy(ExitShort);Buy to Close;100.0;$13.26;5/24/21, 10:45 AM;($42.19);$50.70;0.0;
17;BashirStrategy(EnterLong);Buy to Open;100.0;$13.47;5/24/21, 11:00 AM;;$75.91;100.0;
18;BashirStrategy(ExitLong);Sell to Close;-100.0;$14.85;5/25/21, 10:45 AM;$137.70;$188.40;0.0;
19;BashirStrategy(EnterLong);Buy to Open;100.0;$14.61;5/25/21, 11:00 AM;;$196.29;100.0;
20;BashirStrategy(ExitLong);Sell to Close;-100.0;$14.27;5/25/21, 1:15 PM;($34.61);$153.79;0.0;
21;BashirStrategy(EnterLong);Buy to Open;100.0;$15.68;5/25/21, 2:45 PM;;$114.00;100.0;
22;BashirStrategy(ExitLong);Sell to Close;-100.0;$15.28;5/25/21, 3:00 PM;($39.79);$114.00;0.0;
23;BashirStrategy(EnterLong);Buy to Open;100.0;$15.58;5/25/21, 3:15 PM;;$94.51;100.0;
24;BashirStrategy(ExitLong);Sell to Close;-100.0;$17.95;5/26/21, 9:45 AM;$237.50;$351.50;0.0;
25;BashirStrategy(EnterLong);Buy to Open;100.0;$18.59;5/26/21, 10:00 AM;;$342.43;100.0;
26;BashirStrategy(ExitLong);Sell to Close;-100.0;$20.57;5/27/21, 10:00 AM;$197.93;$549.43;0.0;
27;BashirStrategy(EnterLong);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$684.44;100.0;
28;BashirStrategy(ExitLong);Sell to Close;-100.0;$22.97;5/27/21, 10:30 AM;$135.01;$684.44;0.0;
29;BashirStrategy(EnterLong);Buy to Open;100.0;$22.42;5/27/21, 10:45 AM;;$708.85;100.0;
30;BashirStrategy(ExitLong);Sell to Close;-100.0;$22.11;5/27/21, 11:45 AM;($30.71);$653.73;0.0;
31;BashirStrategy(EnterLong);Buy to Open;100.0;$24.16;5/27/21, 1:15 PM;;$780.52;100.0;
32;BashirStrategy(ExitLong);Sell to Close;-100.0;$25.43;5/27/21, 1:30 PM;$126.79;$780.52;0.0;
33;BashirStrategy(EnterLong);Buy to Open;100.0;$26.49;5/27/21, 1:45 PM;;$1,071.05;100.0;
34;BashirStrategy(ExitLong);Sell to Close;-100.0;$29.39;5/27/21, 2:00 PM;$290.53;$1,071.05;0.0;
35;BashirStrategy(EnterLong);Buy to Open;100.0;$25.55;5/27/21, 2:15 PM;;$1,261.79;100.0;
36;BashirStrategy(ExitLong);Sell to Close;-100.0;$27.46;5/27/21, 2:30 PM;$190.74;$1,261.79;0.0;
37;BashirStrategy(EnterLong);Buy to Open;100.0;$27.85;5/27/21, 2:45 PM;;$1,337.26;100.0;
38;BashirStrategy(ExitLong);Sell to Close;-100.0;$27.17;5/27/21, 3:45 PM;($68.03);$1,193.76;0.0;
39;BashirStrategy(EnterLong);Buy to Open;100.0;$32.59;5/28/21, 9:45 AM;;$1,320.75;100.0;
40;BashirStrategy(ExitLong);Sell to Close;-100.0;$33.86;5/28/21, 10:00 AM;$126.99;$1,320.75;0.0;
41;BashirStrategy(EnterLong);Buy to Open;100.0;$31.62;5/28/21, 10:15 AM;;$1,020.31;100.0;
42;BashirStrategy(ExitLong);Sell to Close;-100.0;$28.62;5/28/21, 10:30 AM;($300.44);$1,020.31;0.0;
43;BashirStrategy(EnterShort);Sell to Open;-100.0;$27.04;5/28/21, 11:45 AM;;$1,095.81;-100.0;
44;BashirStrategy(ExitShort);Buy to Close;100.0;$27.55;5/28/21, 12:45 PM;($51.50);$968.81;0.0;
45;BashirStrategy(EnterShort);Sell to Open;-100.0;$25.70;5/28/21, 1:00 PM;;$900.81;-100.0;
46;BashirStrategy(ExitShort);Buy to Close;100.0;$26.38;5/28/21, 1:15 PM;($68.00);$900.81;0.0;
47;BashirStrategy(EnterShort);Sell to Open;-100.0;$25.53;5/28/21, 1:30 PM;;$735.82;-100.0;
48;BashirStrategy(ExitShort);Buy to Close;100.0;$27.18;5/28/21, 1:45 PM;($164.99);$735.82;0.0;
49;BashirStrategy(EnterShort);Sell to Open;-100.0;$26.33;5/28/21, 3:15 PM;;$772.59;-100.0;
50;BashirStrategy(ExitShort);Buy to Close;100.0;$30.31;6/1/21, 9:45 AM;($398.00);$337.82;0.0;
51;BashirStrategy(EnterLong);Buy to Open;100.0;$30.79;6/1/21, 10:00 AM;;$262.82;100.0;
52;BashirStrategy(ExitLong);Sell to Close;-100.0;$30.04;6/1/21, 10:15 AM;($75.00);$262.82;0.0;
53;BashirStrategy(EnterLong);Buy to Open;100.0;$29.13;6/1/21, 10:30 AM;;$315.83;100.0;
54;BashirStrategy(ExitLong);Sell to Close;-100.0;$30.53;6/1/21, 12:00 PM;$140.00;$402.82;0.0;
55;BashirStrategy(EnterLong);Buy to Open;100.0;$31.51;6/1/21, 12:15 PM;;$387.92;100.0;
56;BashirStrategy(ExitLong);Sell to Close;-100.0;$31.02;6/1/21, 12:45 PM;($49.60);$353.22;0.0;
57;BashirStrategy(EnterLong);Buy to Open;100.0;$30.80;6/1/21, 1:00 PM;;$426.72;100.0;
58;BashirStrategy(ExitLong);Sell to Close;-100.0;$39.15;6/2/21, 9:45 AM;$835.02;$1,188.24;0.0;
59;BashirStrategy(EnterLong);Buy to Open;100.0;$41.15;6/2/21, 10:00 AM;;$1,090.24;100.0;
60;BashirStrategy(ExitLong);Sell to Close;-100.0;$40.17;6/2/21, 10:15 AM;($98.00);$1,090.24;0.0;
61;BashirStrategy(EnterLong);Buy to Open;100.0;$40.41;6/2/21, 10:30 AM;;$1,025.23;100.0;
62;BashirStrategy(ExitLong);Sell to Close;-100.0;$39.76;6/2/21, 10:45 AM;($65.01);$1,025.23;0.0;
63;BashirStrategy(EnterLong);Buy to Open;100.0;$40.45;6/2/21, 11:00 AM;;$1,053.24;100.0;
