Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/18/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(Buy);Buy to Open;100.0;$9.52;5/7/21, 9:45 AM;;($1.00);100.0;
2;BashirStrategy(CloseBuy);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$184.41;$184.41;0.0;
3;BashirStrategy(Buy);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$196.39;100.0;
4;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$318.29;0.0;
5;BashirStrategy(Buy);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$329.17;100.0;
6;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.31;5/14/21, 9:30 AM;($14.12);$304.17;0.0;
7;BashirStrategy(Buy);Buy to Open;100.0;$14.00;5/14/21, 11:00 AM;;$308.28;100.0;
8;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($61.50);$242.67;0.0;
9;BashirStrategy(Buy);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$260.67;100.0;
10;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.27;5/19/21, 9:45 AM;($72.51);$170.16;0.0;
11;BashirStrategy(Buy);Buy to Open;100.0;$12.82;5/20/21, 11:15 AM;;$157.35;100.0;
12;BashirStrategy(CloseBuy);Sell to Close;-100.0;$12.28;5/20/21, 1:45 PM;($53.71);$116.45;0.0;
13;BashirStrategy(Buy);Buy to Open;100.0;$12.55;5/20/21, 3:45 PM;;$115.63;100.0;
14;BashirStrategy(CloseBuy);Sell to Close;-100.0;$13.81;5/24/21, 2:30 PM;$126.28;$242.73;0.0;
15;BashirStrategy(Buy);Buy to Open;100.0;$14.38;5/25/21, 9:45 AM;;$217.23;100.0;
16;BashirStrategy(CloseBuy);Sell to Close;-100.0;$15.67;5/25/21, 2:45 PM;$129.88;$372.61;0.0;
17;BashirStrategy(Buy);Buy to Open;100.0;$15.29;5/25/21, 3:00 PM;;$401.61;100.0;
18;BashirStrategy(CloseBuy);Sell to Close;-100.0;$17.97;5/26/21, 9:45 AM;$268.00;$640.61;0.0;
19;BashirStrategy(Buy);Buy to Open;100.0;$18.60;5/26/21, 10:00 AM;;$630.71;100.0;
20;BashirStrategy(CloseBuy);Sell to Close;-100.0;$20.56;5/27/21, 10:00 AM;$196.10;$836.71;0.0;
21;BashirStrategy(Buy);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$972.21;100.0;
22;BashirStrategy(CloseBuy);Sell to Close;-100.0;$22.99;5/27/21, 10:30 AM;$137.50;$974.21;0.0;
23;BashirStrategy(Buy);Buy to Open;100.0;$22.40;5/27/21, 10:45 AM;;$1,000.62;100.0;
