Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/18/21, 3:30 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(EnterLong);Buy to Open;100.0;$9.52;5/7/21, 9:45 AM;;($1.09);100.0;
2;BashirStrategy(ExitLong);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$184.41;$184.41;0.0;
3;BashirStrategy(EnterLong);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$196.50;100.0;
4;BashirStrategy(ExitLong);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$318.29;0.0;
5;BashirStrategy(EnterLong);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$329.10;100.0;
6;BashirStrategy(ExitLong);Sell to Close;-100.0;$12.77;5/14/21, 9:30 AM;($68.30);$249.99;0.0;
7;BashirStrategy(EnterLong);Buy to Open;100.0;$14.01;5/14/21, 11:00 AM;;$253.19;100.0;
8;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($62.41);$187.58;0.0;
9;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.99;5/14/21, 2:30 PM;;$214.62;-100.0;
10;BashirStrategy(ExitShort);Buy to Close;100.0;$12.72;5/14/21, 2:45 PM;$27.04;$214.62;0.0;
11;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.87;5/14/21, 3:00 PM;;$236.93;-100.0;
12;BashirStrategy(ExitShort);Buy to Close;100.0;$12.65;5/14/21, 3:15 PM;$22.31;$236.93;0.0;
13;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.90;5/14/21, 3:30 PM;;$238.93;-100.0;
14;BashirStrategy(ExitShort);Buy to Close;100.0;$12.88;5/14/21, 3:45 PM;$2.00;$238.93;0.0;
15;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.97;5/17/21, 9:30 AM;;$143.45;-100.0;
16;BashirStrategy(ExitShort);Buy to Close;100.0;$13.26;5/19/21, 9:45 AM;($29.70);$209.23;0.0;
17;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.84;5/19/21, 10:00 AM;;$201.92;-100.0;
18;BashirStrategy(ExitShort);Buy to Close;100.0;$12.91;5/19/21, 10:15 AM;($7.31);$201.92;0.0;
19;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.77;5/19/21, 10:30 AM;;$236.19;-100.0;
20;BashirStrategy(ExitShort);Buy to Close;100.0;$12.43;5/19/21, 10:45 AM;$34.27;$236.19;0.0;
21;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.45;5/19/21, 11:00 AM;;$222.19;-100.0;
22;BashirStrategy(ExitShort);Buy to Close;100.0;$12.59;5/19/21, 11:15 AM;($14.00);$222.19;0.0;
23;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.63;5/19/21, 11:30 AM;;$237.42;-100.0;
24;BashirStrategy(ExitShort);Buy to Close;100.0;$12.48;5/19/21, 11:45 AM;$15.23;$237.42;0.0;
25;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.62;5/19/21, 12:00 PM;;$236.47;-100.0;
26;BashirStrategy(ExitShort);Buy to Close;100.0;$12.63;5/19/21, 12:15 PM;($0.95);$236.47;0.0;
27;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.60;5/19/21, 12:30 PM;;$238.22;-100.0;
28;BashirStrategy(ExitShort);Buy to Close;100.0;$12.58;5/19/21, 12:45 PM;$1.75;$238.22;0.0;
29;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.60;5/19/21, 1:00 PM;;$246.72;-100.0;
30;BashirStrategy(ExitShort);Buy to Close;100.0;$12.52;5/19/21, 1:15 PM;$8.50;$246.72;0.0;
31;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.44;5/19/21, 1:30 PM;;$252.62;-100.0;
32;BashirStrategy(ExitShort);Buy to Close;100.0;$12.38;5/19/21, 1:45 PM;$5.90;$252.62;0.0;
33;BashirStrategy(EnterLong);Buy to Open;100.0;$12.82;5/20/21, 11:15 AM;;$239.71;100.0;
34;BashirStrategy(ExitLong);Sell to Close;-100.0;$12.29;5/20/21, 1:45 PM;($53.36);$199.26;0.0;
35;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.21;5/20/21, 2:00 PM;;$189.26;-100.0;
36;BashirStrategy(ExitShort);Buy to Close;100.0;$12.31;5/20/21, 2:15 PM;($10.00);$189.26;0.0;
37;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.32;5/20/21, 2:30 PM;;$194.27;-100.0;
38;BashirStrategy(ExitShort);Buy to Close;100.0;$12.27;5/20/21, 2:45 PM;$5.01;$194.27;0.0;
39;BashirStrategy(EnterLong);Buy to Open;100.0;$12.55;5/20/21, 3:45 PM;;$193.78;100.0;
40;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.82;5/24/21, 2:30 PM;$127.50;$321.77;0.0;
41;BashirStrategy(EnterLong);Buy to Open;100.0;$14.37;5/25/21, 9:45 AM;;$297.27;100.0;
42;BashirStrategy(ExitLong);Sell to Close;-100.0;$15.68;5/25/21, 2:45 PM;$131.39;$453.16;0.0;
43;BashirStrategy(EnterLong);Buy to Open;100.0;$15.28;5/25/21, 3:00 PM;;$482.56;100.0;
44;BashirStrategy(ExitLong);Sell to Close;-100.0;$17.95;5/26/21, 9:45 AM;$266.90;$720.06;0.0;
45;BashirStrategy(EnterLong);Buy to Open;100.0;$18.59;5/26/21, 10:00 AM;;$710.99;100.0;
46;BashirStrategy(ExitLong);Sell to Close;-100.0;$20.57;5/27/21, 10:00 AM;$197.93;$917.99;0.0;
47;BashirStrategy(EnterLong);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$1,053.00;100.0;
48;BashirStrategy(ExitLong);Sell to Close;-100.0;$22.97;5/27/21, 10:30 AM;$135.01;$1,053.00;0.0;
49;BashirStrategy(EnterLong);Buy to Open;100.0;$22.42;5/27/21, 10:45 AM;;$1,077.41;100.0;
50;BashirStrategy(ExitLong);Sell to Close;-100.0;$24.16;5/27/21, 1:15 PM;$174.00;$1,227.00;0.0;
51;BashirStrategy(EnterLong);Buy to Open;100.0;$25.43;5/27/21, 1:30 PM;;$1,333.11;100.0;
52;BashirStrategy(ExitLong);Sell to Close;-100.0;$29.39;5/27/21, 2:00 PM;$396.64;$1,623.64;0.0;
53;BashirStrategy(EnterLong);Buy to Open;100.0;$25.55;5/27/21, 2:15 PM;;$1,814.38;100.0;
54;BashirStrategy(ExitLong);Sell to Close;-100.0;$27.46;5/27/21, 2:30 PM;$190.74;$1,814.38;0.0;
55;BashirStrategy(EnterLong);Buy to Open;100.0;$27.85;5/27/21, 2:45 PM;;$1,889.85;100.0;
56;BashirStrategy(ExitLong);Sell to Close;-100.0;$27.17;5/27/21, 3:45 PM;($68.03);$1,746.35;0.0;
57;BashirStrategy(EnterLong);Buy to Open;100.0;$32.59;5/28/21, 9:45 AM;;$1,873.34;100.0;
58;BashirStrategy(ExitLong);Sell to Close;-100.0;$33.86;5/28/21, 10:00 AM;$126.99;$1,873.34;0.0;
59;BashirStrategy(EnterLong);Buy to Open;100.0;$31.62;5/28/21, 10:15 AM;;$1,572.90;100.0;
60;BashirStrategy(ExitLong);Sell to Close;-100.0;$28.62;5/28/21, 10:30 AM;($300.44);$1,572.90;0.0;
61;BashirStrategy(EnterShort);Sell to Open;-100.0;$25.70;5/28/21, 1:00 PM;;$1,504.90;-100.0;
62;BashirStrategy(ExitShort);Buy to Close;100.0;$25.53;5/28/21, 1:30 PM;$17.00;$1,589.90;0.0;
63;BashirStrategy(EnterShort);Sell to Open;-100.0;$26.33;5/28/21, 3:15 PM;;$1,626.67;-100.0;
