Strategy report
Symbol: AMC
Work Time: 10/23/20, 10:05 AM - 6/29/21, 3:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$3.03;10/23/20, 10:05 AM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$2.98;10/23/20, 11:05 AM;($0.04);($0.04);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$3.00;10/23/20, 3:05 PM;;($0.04);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$2.99;10/23/20, 3:20 PM;($0.01);($0.05);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$2.45;11/3/20, 9:35 AM;;($0.08);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$2.38;11/3/20, 10:10 AM;($0.06);($0.12);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$2.38;11/3/20, 10:15 AM;;($0.12);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$2.32;11/3/20, 10:25 AM;($0.06);($0.18);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$2.45;11/3/20, 11:00 AM;;($0.19);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$2.42;11/3/20, 11:10 AM;($0.03);($0.21);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$2.41;11/3/20, 12:00 PM;;($0.21);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$2.37;11/3/20, 1:00 PM;($0.03);($0.24);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$2.42;11/3/20, 1:15 PM;;($0.25);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$2.40;11/3/20, 1:25 PM;($0.03);($0.27);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$2.39;11/3/20, 1:45 PM;;($0.27);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$2.37;11/3/20, 2:10 PM;($0.02);($0.30);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$2.37;11/3/20, 2:30 PM;;($0.30);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$2.34;11/3/20, 2:40 PM;($0.03);($0.32);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$2.35;11/3/20, 3:00 PM;;($0.33);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$2.32;11/3/20, 3:20 PM;($0.03);($0.35);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$2.32;11/3/20, 3:35 PM;;($0.35);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$2.34;11/3/20, 3:55 PM;$0.02;($0.33);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$2.39;11/4/20, 10:00 AM;;($0.33);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$2.37;11/4/20, 10:20 AM;($0.01);($0.35);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$2.35;11/4/20, 10:25 AM;;($0.34);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$2.36;11/4/20, 10:35 AM;$0.00;($0.34);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$2.35;11/4/20, 11:55 AM;;($0.32);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$2.36;11/4/20, 1:00 PM;$0.01;($0.33);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$2.35;11/4/20, 1:05 PM;;($0.33);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$2.35;11/4/20, 1:15 PM;($0.01);($0.33);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$2.29;11/4/20, 2:15 PM;;($0.34);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$2.27;11/4/20, 2:40 PM;($0.02);($0.35);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$2.28;11/4/20, 2:50 PM;;($0.33);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$2.31;11/4/20, 3:55 PM;$0.03;($0.33);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$2.33;11/5/20, 9:30 AM;;($0.34);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$2.42;11/5/20, 10:15 AM;$0.08;($0.24);0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$2.43;11/5/20, 10:20 AM;;($0.23);1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$2.43;11/5/20, 10:30 AM;($0.01);($0.25);0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$2.44;11/5/20, 10:35 AM;;($0.24);1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$2.51;11/5/20, 10:55 AM;$0.06;($0.18);0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$2.49;11/5/20, 11:00 AM;;($0.20);1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$2.49;11/5/20, 11:15 AM;$0.00;($0.19);0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$2.51;11/5/20, 11:50 AM;;($0.19);1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$2.47;11/5/20, 12:30 PM;($0.04);($0.23);0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$2.47;11/5/20, 1:00 PM;;($0.23);1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$2.47;11/5/20, 1:15 PM;$0.00;($0.23);0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$2.48;11/5/20, 1:30 PM;;($0.22);1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$2.47;11/5/20, 1:50 PM;$0.00;($0.24);0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$2.49;11/5/20, 2:10 PM;;($0.24);1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$2.49;11/5/20, 2:35 PM;$0.00;($0.24);0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$2.49;11/5/20, 2:40 PM;;($0.24);1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$2.48;11/5/20, 2:55 PM;($0.01);($0.25);0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$2.47;11/5/20, 3:40 PM;;($0.25);1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$2.46;11/5/20, 3:55 PM;($0.01);($0.26);0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$2.56;11/6/20, 2:05 PM;;($0.28);1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$2.53;11/6/20, 2:10 PM;($0.03);($0.29);0.0;
