Strategy report
Symbol: AMD
Work Time: 10/26/20, 9:35 AM - 7/6/21, 3:20 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$84.10;10/26/20, 9:35 AM;;($0.07);1.0;
2;MacdPerfect;Sell to Close;-1.0;$84.14;10/26/20, 10:10 AM;$0.04;$0.04;0.0;
3;MacdPerfect;Buy to Open;1.0;$83.98;10/26/20, 10:15 AM;;$0.09;1.0;
4;MacdPerfect;Sell to Close;-1.0;$83.56;10/26/20, 10:25 AM;($0.42);($0.38);0.0;
5;MacdPerfect;Buy to Open;1.0;$82.33;10/26/20, 11:50 AM;;($0.24);1.0;
6;MacdPerfect;Sell to Close;-1.0;$82.06;10/26/20, 12:05 PM;($0.27);($0.65);0.0;
7;MacdPerfect;Buy to Open;1.0;$81.34;10/26/20, 1:00 PM;;($0.71);1.0;
8;MacdPerfect;Sell to Close;-1.0;$80.99;10/26/20, 1:30 PM;($0.34);($1.00);0.0;
9;MacdPerfect;Buy to Open;1.0;$82.12;10/26/20, 2:30 PM;;($0.99);1.0;
10;MacdPerfect;Sell to Close;-1.0;$81.90;10/26/20, 2:50 PM;($0.22);($1.22);0.0;
11;MacdPerfect;Buy to Open;1.0;$81.97;10/26/20, 2:55 PM;;($1.18);1.0;
12;MacdPerfect;Sell to Close;-1.0;$81.82;10/26/20, 3:05 PM;($0.15);($1.37);0.0;
13;MacdPerfect;Buy to Open;1.0;$82.06;10/26/20, 3:40 PM;;($1.33);1.0;
14;MacdPerfect;Sell to Close;-1.0;$81.81;10/26/20, 3:50 PM;($0.25);($1.61);0.0;
15;MacdPerfect;Buy to Open;1.0;$81.10;10/27/20, 9:30 AM;;($2.50);1.0;
16;MacdPerfect;Sell to Close;-1.0;$80.42;10/27/20, 9:35 AM;($0.68);($2.30);0.0;
17;MacdPerfect;Buy to Open;1.0;$79.94;11/4/20, 9:35 AM;;($2.76);1.0;
18;MacdPerfect;Sell to Close;-1.0;$79.52;11/4/20, 9:45 AM;($0.42);($2.72);0.0;
19;MacdPerfect;Buy to Open;1.0;$79.19;11/4/20, 9:50 AM;;($2.74);1.0;
20;MacdPerfect;Sell to Close;-1.0;$80.93;11/4/20, 10:30 AM;$1.73;($0.99);0.0;
21;MacdPerfect;Buy to Open;1.0;$82.55;11/5/20, 9:35 AM;;($0.89);1.0;
22;MacdPerfect;Sell to Close;-1.0;$82.78;11/5/20, 10:15 AM;$0.23;($0.76);0.0;
23;MacdPerfect;Buy to Open;1.0;$82.53;11/5/20, 10:20 AM;;($1.03);1.0;
24;MacdPerfect;Sell to Close;-1.0;$82.21;11/5/20, 10:25 AM;($0.32);($1.08);0.0;
25;MacdPerfect;Buy to Open;1.0;$82.38;11/5/20, 11:30 AM;;($1.09);1.0;
26;MacdPerfect;Sell to Close;-1.0;$82.21;11/5/20, 11:35 AM;($0.17);($1.25);0.0;
27;MacdPerfect;Buy to Open;1.0;$82.35;11/5/20, 12:05 PM;;($1.20);1.0;
28;MacdPerfect;Sell to Close;-1.0;$82.42;11/5/20, 1:00 PM;$0.06;($1.19);0.0;
29;MacdPerfect;Buy to Open;1.0;$82.49;11/5/20, 1:05 PM;;($1.19);1.0;
30;MacdPerfect;Sell to Close;-1.0;$82.36;11/5/20, 1:15 PM;($0.13);($1.33);0.0;
31;MacdPerfect;Buy to Open;1.0;$82.19;11/5/20, 1:55 PM;;($1.33);1.0;
32;MacdPerfect;Sell to Close;-1.0;$82.86;11/5/20, 3:10 PM;$0.68;($0.65);0.0;
33;MacdPerfect;Buy to Open;1.0;$84.04;11/6/20, 9:35 AM;;($1.14);1.0;
34;MacdPerfect;Sell to Close;-1.0;$83.28;11/6/20, 9:40 AM;($0.76);($1.41);0.0;
35;MacdPerfect;Buy to Open;1.0;$83.15;11/6/20, 9:45 AM;;($1.26);1.0;
36;MacdPerfect;Sell to Close;-1.0;$82.92;11/6/20, 10:00 AM;($0.23);($1.64);0.0;
37;MacdPerfect;Buy to Open;1.0;$83.91;11/6/20, 10:10 AM;;($1.44);1.0;
38;MacdPerfect;Sell to Close;-1.0;$84.12;11/6/20, 10:35 AM;$0.21;($1.43);0.0;
39;MacdPerfect;Buy to Open;1.0;$84.88;11/9/20, 3:00 PM;;($1.33);1.0;
40;MacdPerfect;Sell to Close;-1.0;$84.59;11/9/20, 3:25 PM;($0.28);($1.71);0.0;
41;MacdPerfect;Buy to Open;1.0;$81.72;11/12/20, 3:15 PM;;($1.73);1.0;
42;MacdPerfect;Sell to Close;-1.0;$81.78;11/12/20, 3:55 PM;$0.05;($1.66);0.0;
43;MacdPerfect;Buy to Open;1.0;$82.37;11/13/20, 9:40 AM;;($1.52);1.0;
44;MacdPerfect;Sell to Close;-1.0;$82.45;11/13/20, 9:50 AM;$0.08;($1.58);0.0;
45;MacdPerfect;Buy to Open;1.0;$82.77;11/13/20, 9:55 AM;;($1.53);1.0;
46;MacdPerfect;Sell to Close;-1.0;$82.39;11/13/20, 10:10 AM;($0.38);($1.96);0.0;
47;MacdPerfect;Buy to Open;1.0;$82.28;11/13/20, 10:15 AM;;($1.93);1.0;
48;MacdPerfect;Sell to Close;-1.0;$82.30;11/13/20, 10:25 AM;$0.02;($1.94);0.0;
49;MacdPerfect;Buy to Open;1.0;$81.45;11/13/20, 11:20 AM;;($1.88);1.0;
50;MacdPerfect;Sell to Close;-1.0;$81.19;11/13/20, 11:30 AM;($0.25);($2.20);0.0;
51;MacdPerfect;Buy to Open;1.0;$80.92;11/13/20, 2:05 PM;;($2.21);1.0;
52;MacdPerfect;Sell to Close;-1.0;$81.19;11/13/20, 3:25 PM;$0.27;($1.93);0.0;
53;MacdPerfect;Buy to Open;1.0;$81.17;11/13/20, 3:30 PM;;($1.94);1.0;
54;MacdPerfect;Sell to Close;-1.0;$81.31;11/13/20, 3:50 PM;$0.14;($1.78);0.0;
55;MacdPerfect;Buy to Open;1.0;$81.43;11/13/20, 3:55 PM;;($1.78);1.0;
56;MacdPerfect;Sell to Close;-1.0;$81.44;11/16/20, 9:30 AM;$0.01;($1.77);0.0;
57;MacdPerfect;Buy to Open;1.0;$82.15;11/16/20, 9:45 AM;;($1.76);1.0;
58;MacdPerfect;Sell to Close;-1.0;$81.91;11/16/20, 9:55 AM;($0.24);($2.01);0.0;
59;MacdPerfect;Buy to Open;1.0;$82.08;11/16/20, 10:00 AM;;($1.82);1.0;
