Strategy report
Symbol: AMD
Work Time: 10/20/20, 12:00 PM - 7/6/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$82.39;10/20/20, 12:00 PM;;$0.03;1.0;
2;MacdPerfect;Sell to Close;-1.0;$82.16;10/20/20, 12:10 PM;($0.23);($0.23);0.0;
3;MacdPerfect;Buy to Open;1.0;$82.10;10/20/20, 12:15 PM;;($0.30);1.0;
4;MacdPerfect;Sell to Close;-1.0;$81.95;10/20/20, 12:35 PM;($0.15);($0.38);0.0;
5;MacdPerfect;Buy to Open;1.0;$82.49;10/20/20, 1:15 PM;;($0.29);1.0;
6;MacdPerfect;Sell to Close;-1.0;$82.30;10/20/20, 1:55 PM;($0.19);($0.57);0.0;
7;MacdPerfect;Buy to Open;1.0;$81.68;10/20/20, 3:40 PM;;($0.42);1.0;
8;MacdPerfect;Sell to Close;-1.0;$81.70;10/20/20, 3:55 PM;$0.02;($0.55);0.0;
9;MacdPerfect;Buy to Open;1.0;$80.27;10/21/20, 11:35 AM;;($0.44);1.0;
10;MacdPerfect;Sell to Close;-1.0;$79.95;10/21/20, 12:00 PM;($0.31);($0.87);0.0;
11;MacdPerfect;Buy to Open;1.0;$80.27;10/21/20, 2:45 PM;;($0.88);1.0;
12;MacdPerfect;Sell to Close;-1.0;$80.05;10/21/20, 3:05 PM;($0.22);($1.09);0.0;
13;MacdPerfect;Buy to Open;1.0;$78.94;10/22/20, 10:55 AM;;($1.11);1.0;
14;MacdPerfect;Sell to Close;-1.0;$79.38;10/22/20, 12:15 PM;$0.44;($0.64);0.0;
15;MacdPerfect;Buy to Open;1.0;$79.24;10/22/20, 12:20 PM;;($0.82);1.0;
16;MacdPerfect;Sell to Close;-1.0;$79.06;10/22/20, 12:25 PM;($0.18);($0.82);0.0;
17;MacdPerfect;Buy to Open;1.0;$79.77;10/22/20, 1:10 PM;;($0.73);1.0;
18;MacdPerfect;Sell to Close;-1.0;$79.85;10/22/20, 1:50 PM;$0.08;($0.74);0.0;
19;MacdPerfect;Buy to Open;1.0;$79.90;10/23/20, 9:40 AM;;($0.82);1.0;
20;MacdPerfect;Sell to Close;-1.0;$80.91;10/23/20, 10:25 AM;$1.02;$0.28;0.0;
21;MacdPerfect;Buy to Open;1.0;$84.10;10/26/20, 9:35 AM;;$0.21;1.0;
22;MacdPerfect;Sell to Close;-1.0;$84.14;10/26/20, 10:10 AM;$0.04;$0.32;0.0;
23;MacdPerfect;Buy to Open;1.0;$83.98;10/26/20, 10:15 AM;;$0.37;1.0;
24;MacdPerfect;Sell to Close;-1.0;$83.56;10/26/20, 10:25 AM;($0.42);($0.10);0.0;
25;MacdPerfect;Buy to Open;1.0;$82.33;10/26/20, 11:50 AM;;$0.05;1.0;
26;MacdPerfect;Sell to Close;-1.0;$82.06;10/26/20, 12:05 PM;($0.27);($0.37);0.0;
27;MacdPerfect;Buy to Open;1.0;$81.34;10/26/20, 1:00 PM;;($0.42);1.0;
28;MacdPerfect;Sell to Close;-1.0;$80.99;10/26/20, 1:30 PM;($0.34);($0.71);0.0;
29;MacdPerfect;Buy to Open;1.0;$82.12;10/26/20, 2:30 PM;;($0.71);1.0;
30;MacdPerfect;Sell to Close;-1.0;$81.90;10/26/20, 2:50 PM;($0.22);($0.93);0.0;
31;MacdPerfect;Buy to Open;1.0;$81.97;10/26/20, 2:55 PM;;($0.90);1.0;
32;MacdPerfect;Sell to Close;-1.0;$81.82;10/26/20, 3:05 PM;($0.15);($1.08);0.0;
33;MacdPerfect;Buy to Open;1.0;$82.06;10/26/20, 3:40 PM;;($1.05);1.0;
34;MacdPerfect;Sell to Close;-1.0;$81.81;10/26/20, 3:50 PM;($0.25);($1.33);0.0;
35;MacdPerfect;Buy to Open;1.0;$81.10;10/27/20, 9:30 AM;;($2.22);1.0;
36;MacdPerfect;Sell to Close;-1.0;$80.42;10/27/20, 9:35 AM;($0.68);($2.01);0.0;
37;MacdPerfect;Buy to Open;1.0;$78.42;10/27/20, 12:55 PM;;($2.07);1.0;
38;MacdPerfect;Sell to Close;-1.0;$77.97;10/27/20, 1:15 PM;($0.45);($2.47);0.0;
39;MacdPerfect;Buy to Open;1.0;$77.96;10/27/20, 1:25 PM;;($2.53);1.0;
40;MacdPerfect;Sell to Close;-1.0;$77.91;10/27/20, 2:20 PM;($0.05);($2.52);0.0;
41;MacdPerfect;Buy to Open;1.0;$78.81;10/27/20, 3:35 PM;;($2.44);1.0;
42;MacdPerfect;Sell to Close;-1.0;$78.91;10/27/20, 3:55 PM;$0.11;($2.41);0.0;
43;MacdPerfect;Buy to Open;1.0;$78.23;10/28/20, 9:30 AM;;($2.91);1.0;
44;MacdPerfect;Sell to Close;-1.0;$77.96;10/28/20, 9:35 AM;($0.27);($2.68);0.0;
