Strategy report
Symbol: AMZN
Work Time: 10/26/20, 9:35 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;40.0;$3,213.27;10/26/20, 9:35 AM;;$816.65;40.0;
2;MacdPerfect;Sell to Close;-40.0;$3,263.29;10/26/20, 10:15 AM;$2,000.80;$2,000.80;0.0;
3;MacdPerfect;Buy to Open;40.0;$3,222.40;10/27/20, 9:35 AM;;$2,846.32;40.0;
4;MacdPerfect;Sell to Close;-40.0;$3,232.12;10/27/20, 9:50 AM;$388.80;$2,389.60;0.0;
5;MacdPerfect;Buy to Open;40.0;$3,192.00;10/29/20, 9:35 AM;;$1,587.60;40.0;
6;MacdPerfect;Sell to Close;-40.0;$3,172.85;10/29/20, 9:40 AM;($766.20);$1,623.40;0.0;
7;MacdPerfect;Buy to Open;40.0;$3,071.73;11/2/20, 9:35 AM;;$1,279.59;40.0;
8;MacdPerfect;Sell to Close;-40.0;$3,062.84;11/2/20, 9:40 AM;($355.61);$1,267.79;0.0;
9;MacdPerfect;Buy to Open;40.0;$2,984.92;11/3/20, 9:35 AM;;$1,292.39;40.0;
10;MacdPerfect;Sell to Close;-40.0;$3,063.48;11/3/20, 10:30 AM;$3,142.60;$4,410.39;0.0;
11;MacdPerfect;Buy to Open;40.0;$3,184.00;11/4/20, 9:35 AM;;$4,152.39;40.0;
12;MacdPerfect;Sell to Close;-40.0;$3,168.82;11/4/20, 9:45 AM;($607.18);$3,803.21;0.0;
13;MacdPerfect;Buy to Open;40.0;$3,296.35;11/5/20, 9:35 AM;;$4,860.01;40.0;
14;MacdPerfect;Sell to Close;-40.0;$3,353.91;11/5/20, 10:15 AM;$2,302.40;$6,105.61;0.0;
15;MacdPerfect;Buy to Open;40.0;$3,063.50;11/11/20, 9:35 AM;;$6,950.01;40.0;
16;MacdPerfect;Sell to Close;-40.0;$3,126.61;11/11/20, 10:35 AM;$2,524.40;$8,630.01;0.0;
17;MacdPerfect;Buy to Open;40.0;$3,152.38;11/12/20, 9:35 AM;;$9,371.81;40.0;
18;MacdPerfect;Sell to Close;-40.0;$3,157.54;11/12/20, 9:45 AM;$206.56;$8,836.57;0.0;
19;MacdPerfect;Buy to Open;40.0;$3,118.80;11/13/20, 9:35 AM;;$9,376.19;40.0;
20;MacdPerfect;Sell to Close;-40.0;$3,127.42;11/13/20, 10:00 AM;$344.80;$9,181.37;0.0;
21;MacdPerfect;Buy to Open;40.0;$3,176.76;11/17/20, 9:35 AM;;$8,833.69;40.0;
22;MacdPerfect;Sell to Close;-40.0;$3,167.09;11/17/20, 9:40 AM;($386.88);$8,794.49;0.0;
23;MacdPerfect;Buy to Open;40.0;$3,115.00;11/20/20, 9:35 AM;;$8,493.00;40.0;
24;MacdPerfect;Sell to Close;-40.0;$3,106.00;11/20/20, 9:40 AM;($360.00);$8,434.49;0.0;
25;MacdPerfect;Buy to Open;40.0;$3,123.01;11/23/20, 9:35 AM;;$8,932.83;40.0;
26;MacdPerfect;Sell to Close;-40.0;$3,125.00;11/23/20, 10:00 AM;$79.60;$8,514.10;0.0;
27;MacdPerfect;Buy to Open;40.0;$3,153.15;11/25/20, 9:35 AM;;$8,465.70;40.0;
28;MacdPerfect;Sell to Close;-40.0;$3,183.00;11/25/20, 10:25 AM;$1,194.00;$9,708.10;0.0;
29;MacdPerfect;Buy to Open;40.0;$3,213.23;11/27/20, 9:35 AM;;$9,328.90;40.0;
30;MacdPerfect;Sell to Close;-40.0;$3,202.74;11/27/20, 9:40 AM;($419.71);$9,288.38;0.0;
31;MacdPerfect;Buy to Open;40.0;$3,211.02;11/30/20, 9:35 AM;;$9,359.18;40.0;
32;MacdPerfect;Sell to Close;-40.0;$3,185.09;11/30/20, 9:45 AM;($1,037.20);$8,251.18;0.0;
33;MacdPerfect;Buy to Open;40.0;$3,225.00;12/3/20, 9:35 AM;;$7,885.52;40.0;
34;MacdPerfect;Sell to Close;-40.0;$3,216.58;12/3/20, 9:40 AM;($336.74);$7,914.44;0.0;
35;MacdPerfect;Buy to Open;40.0;$3,175.32;12/7/20, 9:40 AM;;$7,902.01;40.0;
36;MacdPerfect;Sell to Close;-40.0;$3,170.73;12/7/20, 9:50 AM;($183.83);$7,730.61;0.0;
37;MacdPerfect;Buy to Open;40.0;$3,142.00;12/14/20, 9:35 AM;;$8,434.61;40.0;
38;MacdPerfect;Sell to Close;-40.0;$3,173.68;12/14/20, 10:05 AM;$1,267.20;$8,997.81;0.0;
39;MacdPerfect;Buy to Open;40.0;$3,177.14;12/15/20, 9:35 AM;;$8,881.81;40.0;
40;MacdPerfect;Sell to Close;-40.0;$3,168.00;12/15/20, 9:45 AM;($365.60);$8,632.21;0.0;
41;MacdPerfect;Buy to Open;40.0;$3,171.86;12/16/20, 9:35 AM;;$8,506.21;40.0;
42;MacdPerfect;Sell to Close;-40.0;$3,194.60;12/16/20, 10:20 AM;$909.48;$9,541.69;0.0;
43;MacdPerfect;Buy to Open;40.0;$3,262.51;12/17/20, 9:35 AM;;$9,360.89;40.0;
44;MacdPerfect;Sell to Close;-40.0;$3,258.46;12/17/20, 9:40 AM;($162.00);$9,379.69;0.0;
45;MacdPerfect;Buy to Open;40.0;$3,205.40;12/21/20, 9:35 AM;;$9,935.22;40.0;
46;MacdPerfect;Sell to Close;-40.0;$3,204.48;12/21/20, 9:50 AM;($36.80);$9,342.89;0.0;
47;MacdPerfect;Buy to Open;40.0;$3,191.01;12/24/20, 9:35 AM;;$9,631.69;40.0;
48;MacdPerfect;Sell to Close;-40.0;$3,187.73;12/24/20, 10:00 AM;($131.20);$9,211.69;0.0;
49;MacdPerfect;Buy to Open;40.0;$3,189.70;12/28/20, 9:35 AM;;$9,387.50;40.0;
50;MacdPerfect;Sell to Close;-40.0;$3,186.29;12/28/20, 9:45 AM;($136.51);$9,075.18;0.0;
51;MacdPerfect;Buy to Open;40.0;$3,311.99;12/29/20, 9:35 AM;;$9,363.78;40.0;
52;MacdPerfect;Sell to Close;-40.0;$3,303.25;12/29/20, 10:00 AM;($349.60);$8,725.58;0.0;
53;MacdPerfect;Buy to Open;40.0;$3,328.75;12/30/20, 9:35 AM;;$8,666.98;40.0;
54;MacdPerfect;Sell to Close;-40.0;$3,322.95;12/30/20, 10:05 AM;($231.84);$8,493.74;0.0;
55;MacdPerfect;Buy to Open;40.0;$3,281.97;12/31/20, 9:40 AM;;$8,294.92;40.0;
56;MacdPerfect;Sell to Close;-40.0;$3,276.39;12/31/20, 9:45 AM;($223.23);$8,270.52;0.0;
57;MacdPerfect;Buy to Open;40.0;$3,255.01;1/4/21, 9:35 AM;;$8,049.32;40.0;
58;MacdPerfect;Sell to Close;-40.0;$3,247.01;1/4/21, 9:40 AM;($320.00);$7,950.52;0.0;
59;MacdPerfect;Buy to Open;40.0;$3,184.32;1/5/21, 9:35 AM;;$7,851.56;40.0;
60;MacdPerfect;Sell to Close;-40.0;$3,209.64;1/5/21, 10:15 AM;$1,012.80;$8,963.32;0.0;
61;MacdPerfect;Buy to Open;40.0;$3,172.62;1/8/21, 9:35 AM;;$8,434.79;40.0;
62;MacdPerfect;Sell to Close;-40.0;$3,159.91;1/8/21, 9:40 AM;($508.40);$8,454.92;0.0;
63;MacdPerfect;Buy to Open;40.0;$3,136.05;1/13/21, 9:40 AM;;$8,550.92;40.0;
64;MacdPerfect;Sell to Close;-40.0;$3,156.37;1/13/21, 10:25 AM;$812.80;$9,267.72;0.0;
65;MacdPerfect;Buy to Open;40.0;$3,126.00;1/19/21, 9:35 AM;;$8,972.92;40.0;
66;MacdPerfect;Sell to Close;-40.0;$3,121.99;1/19/21, 9:40 AM;($160.40);$9,107.32;0.0;
67;MacdPerfect;Buy to Open;40.0;$3,198.38;1/20/21, 9:35 AM;;$9,679.32;40.0;
68;MacdPerfect;Sell to Close;-40.0;$3,215.68;1/20/21, 10:20 AM;$692.00;$9,799.32;0.0;
69;MacdPerfect;Buy to Open;40.0;$3,302.44;1/21/21, 9:35 AM;;$10,790.12;40.0;
70;MacdPerfect;Sell to Close;-40.0;$3,303.68;1/21/21, 9:45 AM;$49.60;$9,848.92;0.0;
71;MacdPerfect;Buy to Open;40.0;$3,349.00;1/25/21, 9:35 AM;;$10,245.32;40.0;
72;MacdPerfect;Sell to Close;-40.0;$3,346.19;1/25/21, 10:00 AM;($112.40);$9,736.52;0.0;
73;MacdPerfect;Buy to Open;40.0;$3,309.00;1/26/21, 9:35 AM;;$9,465.32;40.0;
74;MacdPerfect;Sell to Close;-40.0;$3,303.00;1/26/21, 9:40 AM;($240.00);$9,496.52;0.0;
75;MacdPerfect;Buy to Open;40.0;$3,255.39;2/1/21, 9:35 AM;;$9,964.52;40.0;
76;MacdPerfect;Sell to Close;-40.0;$3,276.23;2/1/21, 10:20 AM;$833.61;$10,330.12;0.0;
77;MacdPerfect;Buy to Open;40.0;$3,412.00;2/2/21, 9:35 AM;;$10,419.30;40.0;
78;MacdPerfect;Sell to Close;-40.0;$3,394.92;2/2/21, 9:45 AM;($683.20);$9,646.92;0.0;
79;MacdPerfect;Buy to Open;40.0;$3,398.22;2/3/21, 9:35 AM;;$8,272.72;40.0;
80;MacdPerfect;Sell to Close;-40.0;$3,364.64;2/3/21, 9:40 AM;($1,343.08);$8,303.84;0.0;
81;MacdPerfect;Buy to Open;40.0;$3,329.59;2/4/21, 9:35 AM;;$8,200.24;40.0;
82;MacdPerfect;Sell to Close;-40.0;$3,305.83;2/4/21, 9:45 AM;($950.40);$7,353.44;0.0;
83;MacdPerfect;Buy to Open;40.0;$3,325.04;2/9/21, 9:35 AM;;$7,029.04;40.0;
84;MacdPerfect;Sell to Close;-40.0;$3,319.32;2/9/21, 9:40 AM;($228.80);$7,124.64;0.0;
85;MacdPerfect;Buy to Open;40.0;$3,274.74;2/16/21, 9:35 AM;;$6,895.04;40.0;
86;MacdPerfect;Sell to Close;-40.0;$3,269.62;2/16/21, 9:40 AM;($204.80);$6,919.84;0.0;
87;MacdPerfect;Buy to Open;40.0;$3,288.45;2/17/21, 9:40 AM;;$6,883.84;40.0;
88;MacdPerfect;Sell to Close;-40.0;$3,285.84;2/17/21, 10:05 AM;($104.40);$6,815.44;0.0;
89;MacdPerfect;Buy to Open;40.0;$3,162.73;2/25/21, 9:35 AM;;$7,260.64;40.0;
90;MacdPerfect;Sell to Close;-40.0;$3,156.31;2/25/21, 9:50 AM;($256.80);$6,558.64;0.0;
91;MacdPerfect;Buy to Open;40.0;$3,130.59;3/1/21, 9:35 AM;;$5,921.84;40.0;
92;MacdPerfect;Sell to Close;-40.0;$3,115.99;3/1/21, 9:40 AM;($584.00);$5,974.64;0.0;
93;MacdPerfect;Buy to Open;40.0;$3,151.04;3/2/21, 9:35 AM;;$5,773.04;40.0;
94;MacdPerfect;Sell to Close;-40.0;$3,148.42;3/2/21, 9:40 AM;($104.80);$5,869.84;0.0;
95;MacdPerfect;Buy to Open;40.0;$3,038.88;3/4/21, 9:35 AM;;$6,016.34;40.0;
96;MacdPerfect;Sell to Close;-40.0;$3,028.92;3/4/21, 9:45 AM;($398.26);$5,471.58;0.0;
97;MacdPerfect;Buy to Open;40.0;$3,012.30;3/8/21, 9:35 AM;;$6,128.88;40.0;
98;MacdPerfect;Sell to Close;-40.0;$3,032.39;3/8/21, 9:50 AM;$803.60;$6,275.18;0.0;
99;MacdPerfect;Buy to Open;40.0;$3,028.81;3/9/21, 9:35 AM;;$6,496.78;40.0;
100;MacdPerfect;Sell to Close;-40.0;$3,047.66;3/9/21, 10:35 AM;$754.00;$7,029.18;0.0;
101;MacdPerfect;Buy to Open;40.0;$3,079.75;3/10/21, 9:35 AM;;$6,646.24;40.0;
102;MacdPerfect;Sell to Close;-40.0;$3,070.00;3/10/21, 9:40 AM;($390.00);$6,639.18;0.0;
103;MacdPerfect;Buy to Open;40.0;$3,107.67;3/11/21, 9:35 AM;;$6,513.38;40.0;
104;MacdPerfect;Sell to Close;-40.0;$3,086.88;3/11/21, 9:45 AM;($831.40);$5,807.78;0.0;
105;MacdPerfect;Buy to Open;40.0;$3,099.71;3/16/21, 9:35 AM;;$5,758.98;40.0;
106;MacdPerfect;Sell to Close;-40.0;$3,114.30;3/16/21, 10:15 AM;$583.60;$6,391.38;0.0;
107;MacdPerfect;Buy to Open;40.0;$3,082.96;3/22/21, 9:35 AM;;$6,700.58;40.0;
108;MacdPerfect;Sell to Close;-40.0;$3,093.44;3/22/21, 10:05 AM;$419.20;$6,810.58;0.0;
