Strategy report
Symbol: AMZN
Work Time: 10/29/20, 9:35 AM - 7/7/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$3,201.27;10/29/20, 9:35 AM;;($29.32);1.0;
2;MacdPerfect;Sell to Close;-1.0;$3,202.00;10/29/20, 10:30 AM;$0.73;$0.73;0.0;
3;MacdPerfect;Buy to Open;1.0;$3,060.77;11/2/20, 9:35 AM;;$3.09;1.0;
4;MacdPerfect;Sell to Close;-1.0;$3,049.66;11/2/20, 9:55 AM;($11.11);($10.38);0.0;
5;MacdPerfect;Buy to Open;1.0;$3,017.67;11/3/20, 9:35 AM;;($42.52);1.0;
6;MacdPerfect;Sell to Close;-1.0;$3,063.23;11/3/20, 10:25 AM;$45.56;$35.18;0.0;
7;MacdPerfect;Buy to Open;1.0;$3,157.87;11/4/20, 9:35 AM;;$54.86;1.0;
8;MacdPerfect;Sell to Close;-1.0;$3,165.00;11/4/20, 10:05 AM;$7.13;$42.30;0.0;
9;MacdPerfect;Buy to Open;1.0;$3,318.34;11/5/20, 9:35 AM;;$46.73;1.0;
10;MacdPerfect;Sell to Close;-1.0;$3,348.85;11/5/20, 10:10 AM;$30.51;$72.81;0.0;
11;MacdPerfect;Buy to Open;1.0;$3,061.78;11/11/20, 9:35 AM;;$95.64;1.0;
12;MacdPerfect;Sell to Close;-1.0;$3,100.00;11/11/20, 10:10 AM;$38.22;$111.03;0.0;
13;MacdPerfect;Buy to Open;1.0;$3,157.74;11/12/20, 9:35 AM;;$124.22;1.0;
14;MacdPerfect;Sell to Close;-1.0;$3,157.54;11/12/20, 9:50 AM;($0.20);$110.84;0.0;
15;MacdPerfect;Buy to Open;1.0;$3,122.00;11/13/20, 9:35 AM;;$121.13;1.0;
16;MacdPerfect;Sell to Close;-1.0;$3,139.95;11/13/20, 10:00 AM;$17.95;$128.79;0.0;
17;MacdPerfect;Buy to Open;1.0;$3,183.54;11/17/20, 9:35 AM;;$113.31;1.0;
18;MacdPerfect;Sell to Close;-1.0;$3,168.64;11/17/20, 10:00 AM;($14.90);$113.89;0.0;
19;MacdPerfect;Buy to Open;1.0;$3,113.75;11/20/20, 9:35 AM;;$107.60;1.0;
20;MacdPerfect;Sell to Close;-1.0;$3,129.03;11/20/20, 11:15 AM;$15.28;$129.17;0.0;
21;MacdPerfect;Buy to Open;1.0;$3,116.28;11/23/20, 9:35 AM;;$148.36;1.0;
22;MacdPerfect;Sell to Close;-1.0;$3,125.00;11/23/20, 10:05 AM;$8.72;$137.89;0.0;
23;MacdPerfect;Buy to Open;1.0;$3,141.50;11/25/20, 9:35 AM;;$148.33;1.0;
24;MacdPerfect;Sell to Close;-1.0;$3,180.98;11/25/20, 10:10 AM;$39.48;$177.37;0.0;
25;MacdPerfect;Buy to Open;1.0;$3,211.26;11/27/20, 9:35 AM;;$169.86;1.0;
