Strategy report
Symbol: AMZN
Work Time: 10/27/20, 9:35 AM - 7/7/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$3,222.40;10/27/20, 9:35 AM;;$21.14;1.0;
2;AAA;Sell to Close;-1.0;$3,254.93;10/27/20, 9:45 AM;$32.53;$32.53;0.0;
3;AAA;Buy to Open;1.0;$3,192.00;10/29/20, 9:35 AM;;$12.48;1.0;
4;AAA;Sell to Close;-1.0;$3,173.82;10/29/20, 9:50 AM;($18.18);$14.35;0.0;
5;AAA;Buy to Open;1.0;$3,071.73;11/2/20, 9:35 AM;;$5.75;1.0;
6;AAA;Sell to Close;-1.0;$3,061.81;11/2/20, 9:45 AM;($9.92);$4.43;0.0;
7;AAA;Buy to Open;1.0;$2,984.92;11/3/20, 9:35 AM;;$5.05;1.0;
8;AAA;Sell to Close;-1.0;$3,038.98;11/3/20, 10:05 AM;$54.07;$58.50;0.0;
9;AAA;Buy to Open;1.0;$3,184.00;11/4/20, 9:35 AM;;$52.05;1.0;
10;AAA;Sell to Close;-1.0;$3,168.82;11/4/20, 9:45 AM;($15.18);$43.32;0.0;
11;AAA;Buy to Open;1.0;$3,323.99;11/5/20, 9:40 AM;;$47.33;1.0;
12;AAA;Sell to Close;-1.0;$3,334.99;11/5/20, 9:50 AM;$11.00;$54.32;0.0;
13;AAA;Buy to Open;1.0;$3,084.13;11/11/20, 9:40 AM;;$69.04;1.0;
14;AAA;Sell to Close;-1.0;$3,105.62;11/11/20, 9:50 AM;$21.49;$75.81;0.0;
15;AAA;Buy to Open;1.0;$3,152.38;11/12/20, 9:35 AM;;$94.35;1.0;
16;AAA;Sell to Close;-1.0;$3,157.54;11/12/20, 9:45 AM;$5.16;$80.97;0.0;
17;AAA;Buy to Open;1.0;$3,118.80;11/13/20, 9:35 AM;;$94.46;1.0;
18;AAA;Sell to Close;-1.0;$3,131.02;11/13/20, 9:50 AM;$12.22;$93.19;0.0;
19;AAA;Buy to Open;1.0;$3,176.76;11/17/20, 9:35 AM;;$84.50;1.0;
20;AAA;Sell to Close;-1.0;$3,158.50;11/17/20, 9:45 AM;($18.26);$74.93;0.0;
21;AAA;Sell to Close;-1.0;$3,115.00;11/20/20, 9:35 AM;$0.00;$82.47;-1.0;
22;AAA;Buy to Open;1.0;$3,115.00;11/20/20, 9:35 AM;;$74.93;0.0;
23;AAA;Buy to Open;1.0;$3,123.01;11/23/20, 9:35 AM;;$87.39;1.0;
24;AAA;Sell to Close;-1.0;$3,135.17;11/23/20, 9:50 AM;$12.16;$87.09;0.0;
25;AAA;Buy to Open;1.0;$3,153.15;11/25/20, 9:35 AM;;$85.88;1.0;
26;AAA;Sell to Close;-1.0;$3,195.52;11/25/20, 10:00 AM;$42.36;$129.45;0.0;
27;AAA;Buy to Open;1.0;$3,213.23;11/27/20, 9:35 AM;;$119.97;1.0;
28;AAA;Sell to Close;-1.0;$3,200.84;11/27/20, 9:45 AM;($12.39);$117.06;0.0;
29;AAA;Buy to Open;1.0;$3,211.02;11/30/20, 9:35 AM;;$118.83;1.0;
30;AAA;Sell to Close;-1.0;$3,211.89;11/30/20, 9:40 AM;$0.87;$117.93;0.0;
31;AAA;Buy to Open;1.0;$3,225.00;12/3/20, 9:35 AM;;$108.79;1.0;
32;AAA;Sell to Close;-1.0;$3,212.43;12/3/20, 9:45 AM;($12.57);$105.36;0.0;
33;AAA;Buy to Open;1.0;$3,175.32;12/7/20, 9:40 AM;;$105.05;1.0;
34;AAA;Sell to Close;-1.0;$3,169.95;12/7/20, 9:55 AM;($5.37);$99.99;0.0;
35;AAA;Buy to Open;1.0;$3,142.00;12/14/20, 9:35 AM;;$117.59;1.0;
36;AAA;Sell to Close;-1.0;$3,172.22;12/14/20, 9:50 AM;$30.22;$130.21;0.0;
37;AAA;Buy to Open;1.0;$3,177.14;12/15/20, 9:35 AM;;$127.31;1.0;
38;AAA;Sell to Close;-1.0;$3,172.03;12/15/20, 9:50 AM;($5.11);$125.10;0.0;
39;AAA;Buy to Open;1.0;$3,168.90;12/16/20, 9:40 AM;;$130.50;1.0;
40;AAA;Sell to Close;-1.0;$3,202.85;12/16/20, 10:05 AM;$33.95;$159.05;0.0;
41;AAA;Buy to Open;1.0;$3,262.51;12/17/20, 9:35 AM;;$154.53;1.0;
42;AAA;Sell to Close;-1.0;$3,252.24;12/17/20, 9:45 AM;($10.27);$148.78;0.0;
43;AAA;Buy to Open;1.0;$3,205.40;12/21/20, 9:35 AM;;$162.67;1.0;
44;AAA;Sell to Close;-1.0;$3,219.00;12/21/20, 9:45 AM;$13.60;$162.38;0.0;
45;AAA;Buy to Open;1.0;$3,191.01;12/24/20, 9:35 AM;;$169.60;1.0;
46;AAA;Sell to Close;-1.0;$3,195.95;12/24/20, 9:50 AM;$4.94;$167.32;0.0;
47;AAA;Buy to Open;1.0;$3,189.70;12/28/20, 9:35 AM;;$171.72;1.0;
48;AAA;Sell to Close;-1.0;$3,186.29;12/28/20, 9:45 AM;($3.41);$163.91;0.0;
49;AAA;Buy to Open;1.0;$3,311.99;12/29/20, 9:35 AM;;$171.12;1.0;
50;AAA;Sell to Close;-1.0;$3,317.95;12/29/20, 9:50 AM;$5.96;$169.87;0.0;
51;AAA;Buy to Open;1.0;$3,328.75;12/30/20, 9:35 AM;;$168.40;1.0;
52;AAA;Sell to Close;-1.0;$3,328.29;12/30/20, 9:50 AM;($0.45);$169.41;0.0;
53;AAA;Buy to Open;1.0;$3,281.97;12/31/20, 9:40 AM;;$164.44;1.0;
54;AAA;Sell to Close;-1.0;$3,276.39;12/31/20, 9:45 AM;($5.58);$163.83;0.0;
55;AAA;Sell to Close;-1.0;$3,255.01;1/4/21, 9:35 AM;$0.00;$169.36;-1.0;
56;AAA;Buy to Open;1.0;$3,255.01;1/4/21, 9:35 AM;;$163.83;0.0;
57;AAA;Buy to Open;1.0;$3,247.01;1/4/21, 9:40 AM;;$160.23;1.0;
58;AAA;Sell to Close;-1.0;$3,230.00;1/4/21, 10:40 AM;($17.01);$146.82;0.0;
59;AAA;Buy to Open;1.0;$3,184.32;1/5/21, 9:35 AM;;$144.35;1.0;
60;AAA;Sell to Close;-1.0;$3,213.99;1/5/21, 10:00 AM;$29.67;$176.49;0.0;
61;AAA;Sell to Close;-1.0;$3,172.62;1/8/21, 9:35 AM;$0.00;$189.71;-1.0;
62;AAA;Buy to Open;1.0;$3,172.62;1/8/21, 9:35 AM;;$176.49;0.0;
63;AAA;Buy to Open;1.0;$3,126.00;1/19/21, 9:35 AM;;$169.12;1.0;
64;AAA;Sell to Close;-1.0;$3,126.72;1/19/21, 9:45 AM;$0.72;$177.22;0.0;
65;AAA;Buy to Open;1.0;$3,198.38;1/20/21, 9:35 AM;;$191.52;1.0;
66;AAA;Sell to Close;-1.0;$3,203.53;1/20/21, 9:50 AM;$5.15;$182.36;0.0;
67;AAA;Buy to Open;1.0;$3,327.28;1/21/21, 9:40 AM;;$159.21;1.0;
68;AAA;Sell to Close;-1.0;$3,309.98;1/21/21, 9:50 AM;($17.30);$165.07;0.0;
69;AAA;Buy to Open;1.0;$3,349.00;1/25/21, 9:35 AM;;$174.98;1.0;
70;AAA;Sell to Close;-1.0;$3,350.00;1/25/21, 9:50 AM;$1.00;$166.07;0.0;
71;AAA;Buy to Open;1.0;$3,309.00;1/26/21, 9:35 AM;;$159.29;1.0;
72;AAA;Sell to Close;-1.0;$3,303.00;1/26/21, 9:40 AM;($6.00);$160.07;0.0;
73;AAA;Buy to Open;1.0;$3,255.39;2/1/21, 9:35 AM;;$171.77;1.0;
74;AAA;Sell to Close;-1.0;$3,265.95;2/1/21, 9:45 AM;$10.56;$170.63;0.0;
75;AAA;Buy to Open;1.0;$3,412.00;2/2/21, 9:35 AM;;$172.86;1.0;
76;AAA;Sell to Close;-1.0;$3,394.92;2/2/21, 9:45 AM;($17.08);$153.55;0.0;
77;AAA;Sell to Close;-1.0;$3,398.22;2/3/21, 9:35 AM;$0.00;$187.90;-1.0;
78;AAA;Buy to Open;1.0;$3,398.22;2/3/21, 9:35 AM;;$153.55;0.0;
79;AAA;Buy to Open;1.0;$3,329.59;2/4/21, 9:35 AM;;$150.96;1.0;
80;AAA;Sell to Close;-1.0;$3,305.83;2/4/21, 9:45 AM;($23.76);$129.79;0.0;
81;AAA;Buy to Open;1.0;$3,325.04;2/9/21, 9:35 AM;;$121.68;1.0;
82;AAA;Sell to Close;-1.0;$3,331.71;2/9/21, 9:45 AM;$6.67;$136.46;0.0;
83;AAA;Buy to Open;1.0;$3,274.74;2/16/21, 9:35 AM;;$130.72;1.0;
84;AAA;Sell to Close;-1.0;$3,304.81;2/16/21, 10:00 AM;$30.07;$166.53;0.0;
