Strategy report
Symbol: AMZN
Work Time: 1/16/20, 9:35 AM - 10/1/20, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$1,884.67;1/16/20, 9:35 AM;;($5.66);1.0;
2;MacdPerfect;Sell to Close;-1.0;$1,878.23;1/16/20, 10:00 AM;($6.44);($6.44);0.0;
3;MacdPerfect;Sell to Close;-1.0;$1,878.98;1/17/20, 9:35 AM;$0.00;($0.58);-1.0;
4;MacdPerfect;Buy to Open;1.0;$1,878.98;1/17/20, 9:35 AM;;($6.44);0.0;
5;MacdPerfect;Buy to Open;1.0;$1,872.86;1/17/20, 9:40 AM;;($5.26);1.0;
6;MacdPerfect;Sell to Close;-1.0;$1,873.16;1/17/20, 10:25 AM;$0.30;($6.14);0.0;
7;MacdPerfect;Buy to Open;1.0;$1,867.43;1/21/20, 9:35 AM;;($11.00);1.0;
8;MacdPerfect;Sell to Close;-1.0;$1,869.22;1/21/20, 10:10 AM;$1.79;($4.35);0.0;
9;MacdPerfect;Buy to Open;1.0;$1,887.03;1/22/20, 9:35 AM;;($0.65);1.0;
10;MacdPerfect;Sell to Close;-1.0;$1,897.48;1/22/20, 10:05 AM;$10.45;$6.10;0.0;
11;MacdPerfect;Buy to Open;1.0;$1,891.75;1/24/20, 9:35 AM;;$5.27;1.0;
12;MacdPerfect;Sell to Close;-1.0;$1,891.58;1/24/20, 10:05 AM;($0.17);$5.93;0.0;
13;MacdPerfect;Buy to Open;1.0;$1,872.18;1/29/20, 9:35 AM;;$3.85;1.0;
14;MacdPerfect;Sell to Close;-1.0;$1,862.50;1/29/20, 10:00 AM;($9.68);($3.75);0.0;
15;MacdPerfect;Buy to Open;1.0;$1,866.21;1/30/20, 9:35 AM;;($1.22);1.0;
16;MacdPerfect;Sell to Close;-1.0;$1,861.72;1/30/20, 9:55 AM;($4.49);($8.24);0.0;
17;MacdPerfect;Buy to Open;1.0;$2,039.73;1/31/20, 9:35 AM;;($19.17);1.0;
18;MacdPerfect;Sell to Close;-1.0;$2,041.98;1/31/20, 10:05 AM;$2.25;($5.99);0.0;
19;MacdPerfect;Buy to Open;1.0;$2,018.65;2/4/20, 9:35 AM;;($9.10);1.0;
20;MacdPerfect;Sell to Close;-1.0;$2,032.60;2/4/20, 10:10 AM;$13.95;$7.96;0.0;
21;MacdPerfect;Buy to Open;1.0;$2,063.58;2/5/20, 9:35 AM;;$7.72;1.0;
22;MacdPerfect;Sell to Close;-1.0;$2,063.25;2/5/20, 9:40 AM;($0.33);$7.62;0.0;
23;MacdPerfect;Buy to Open;1.0;$2,106.81;2/10/20, 9:35 AM;;$14.13;1.0;
24;MacdPerfect;Sell to Close;-1.0;$2,124.00;2/10/20, 10:05 AM;$17.19;$24.81;0.0;
25;MacdPerfect;Buy to Open;1.0;$2,148.21;2/11/20, 9:35 AM;;$14.50;1.0;
26;MacdPerfect;Sell to Close;-1.0;$2,170.45;2/11/20, 10:35 AM;$22.24;$47.05;0.0;
27;MacdPerfect;Buy to Open;1.0;$2,175.55;2/12/20, 9:40 AM;;$45.43;1.0;
28;MacdPerfect;Sell to Close;-1.0;$2,172.32;2/12/20, 10:00 AM;($3.23);$43.82;0.0;
29;MacdPerfect;Buy to Open;1.0;$2,156.98;2/14/20, 9:35 AM;;$41.90;1.0;
30;MacdPerfect;Sell to Close;-1.0;$2,151.26;2/14/20, 10:00 AM;($5.72);$38.10;0.0;
31;MacdPerfect;Buy to Open;1.0;$2,143.40;2/18/20, 9:35 AM;;$36.77;1.0;
32;MacdPerfect;Sell to Close;-1.0;$2,144.66;2/18/20, 10:05 AM;$1.26;$39.36;0.0;
33;MacdPerfect;Buy to Open;1.0;$2,171.44;2/19/20, 9:35 AM;;$39.60;1.0;
34;MacdPerfect;Sell to Close;-1.0;$2,174.94;2/19/20, 10:10 AM;$3.50;$42.86;0.0;
35;MacdPerfect;Buy to Open;1.0;$2,171.65;2/20/20, 9:35 AM;;$37.21;1.0;
36;MacdPerfect;Sell to Close;-1.0;$2,171.57;2/20/20, 10:20 AM;($0.08);$42.78;0.0;
37;MacdPerfect;Buy to Open;1.0;$2,028.45;2/25/20, 9:40 AM;;$32.93;1.0;
38;MacdPerfect;Sell to Close;-1.0;$2,018.01;2/25/20, 10:05 AM;($10.44);$32.34;0.0;
39;MacdPerfect;Buy to Open;1.0;$1,997.13;2/26/20, 9:40 AM;;$38.42;1.0;
40;MacdPerfect;Sell to Close;-1.0;$1,989.14;2/26/20, 10:05 AM;($7.99);$24.35;0.0;
41;MacdPerfect;Buy to Open;1.0;$1,893.05;3/2/20, 9:35 AM;;$18.22;1.0;
42;MacdPerfect;Sell to Close;-1.0;$1,900.97;3/2/20, 9:55 AM;$7.92;$32.27;0.0;
43;MacdPerfect;Buy to Open;1.0;$1,959.93;3/3/20, 9:35 AM;;$27.24;1.0;
44;MacdPerfect;Sell to Close;-1.0;$1,957.33;3/3/20, 9:50 AM;($2.60);$29.67;0.0;
45;MacdPerfect;Buy to Open;1.0;$1,853.32;3/10/20, 9:40 AM;;$28.15;1.0;
46;MacdPerfect;Sell to Close;-1.0;$1,877.65;3/10/20, 10:10 AM;$24.33;$54.00;0.0;
47;MacdPerfect;Buy to Open;1.0;$1,749.00;3/13/20, 9:35 AM;;$30.36;1.0;
48;MacdPerfect;Sell to Close;-1.0;$1,739.05;3/13/20, 10:05 AM;($9.95);$44.05;0.0;
49;MacdPerfect;Buy to Open;1.0;$1,769.93;3/17/20, 9:35 AM;;$11.05;1.0;
50;MacdPerfect;Sell to Close;-1.0;$1,720.09;3/17/20, 9:55 AM;($49.84);($5.79);0.0;
51;MacdPerfect;Buy to Open;1.0;$1,845.97;3/19/20, 9:35 AM;;$0.13;1.0;
52;MacdPerfect;Sell to Close;-1.0;$1,871.36;3/19/20, 10:00 AM;$25.39;$19.60;0.0;
53;MacdPerfect;Buy to Open;1.0;$1,941.59;3/20/20, 9:35 AM;;$13.01;1.0;
54;MacdPerfect;Sell to Close;-1.0;$1,921.20;3/20/20, 10:10 AM;($20.39);($0.79);0.0;
55;MacdPerfect;Buy to Open;1.0;$1,951.29;3/24/20, 9:35 AM;;($18.52);1.0;
56;MacdPerfect;Sell to Close;-1.0;$1,934.32;3/24/20, 10:00 AM;($16.97);($17.76);0.0;
57;MacdPerfect;Buy to Open;1.0;$1,935.38;3/25/20, 9:35 AM;;($4.80);1.0;
58;MacdPerfect;Sell to Close;-1.0;$1,927.48;3/25/20, 9:45 AM;($7.90);($25.66);0.0;
59;MacdPerfect;Buy to Open;1.0;$1,899.62;3/26/20, 9:35 AM;;($22.09);1.0;
60;MacdPerfect;Sell to Close;-1.0;$1,909.06;3/26/20, 10:30 AM;$9.43;($16.23);0.0;
61;MacdPerfect;Sell to Close;-1.0;$1,925.02;3/27/20, 9:35 AM;$0.00;($14.10);-1.0;
62;MacdPerfect;Buy to Open;1.0;$1,925.02;3/27/20, 9:35 AM;;($16.23);0.0;
63;MacdPerfect;Buy to Open;1.0;$1,929.62;3/30/20, 9:35 AM;;($31.77);1.0;
64;MacdPerfect;Sell to Close;-1.0;$1,957.51;3/30/20, 10:35 AM;$27.89;$11.66;0.0;
65;MacdPerfect;Buy to Open;1.0;$1,955.85;3/31/20, 9:35 AM;;$14.11;1.0;
66;MacdPerfect;Sell to Close;-1.0;$1,966.32;3/31/20, 9:45 AM;$10.47;$22.13;0.0;
67;MacdPerfect;Buy to Open;1.0;$1,919.98;4/3/20, 9:35 AM;;$22.25;1.0;
68;MacdPerfect;Sell to Close;-1.0;$1,921.00;4/3/20, 9:55 AM;$1.02;$23.15;0.0;
69;MacdPerfect;Buy to Open;1.0;$1,937.40;4/6/20, 9:35 AM;;$18.45;1.0;
70;MacdPerfect;Sell to Close;-1.0;$1,942.13;4/6/20, 10:05 AM;$4.73;$27.88;0.0;
71;MacdPerfect;Buy to Open;1.0;$2,019.00;4/7/20, 9:35 AM;;$24.80;1.0;
72;MacdPerfect;Sell to Close;-1.0;$2,033.99;4/7/20, 10:00 AM;$14.99;$42.87;0.0;
73;MacdPerfect;Buy to Open;1.0;$2,028.99;4/8/20, 9:35 AM;;$37.22;1.0;
74;MacdPerfect;Sell to Close;-1.0;$2,023.65;4/8/20, 9:45 AM;($5.34);$37.53;0.0;
75;MacdPerfect;Buy to Open;1.0;$2,042.02;4/9/20, 9:35 AM;;$38.35;1.0;
76;MacdPerfect;Sell to Close;-1.0;$2,046.99;4/9/20, 10:00 AM;$4.97;$42.50;0.0;
77;MacdPerfect;Buy to Open;1.0;$2,052.75;4/13/20, 9:35 AM;;$62.78;1.0;
78;MacdPerfect;Sell to Close;-1.0;$2,099.50;4/13/20, 10:25 AM;$46.75;$89.25;0.0;
79;MacdPerfect;Buy to Open;1.0;$2,216.45;4/14/20, 9:35 AM;;$86.10;1.0;
80;MacdPerfect;Sell to Close;-1.0;$2,237.29;4/14/20, 10:10 AM;$20.84;$110.09;0.0;
81;MacdPerfect;Buy to Open;1.0;$2,353.07;4/16/20, 9:35 AM;;$106.84;1.0;
82;MacdPerfect;Sell to Close;-1.0;$2,363.04;4/16/20, 10:05 AM;$9.97;$120.06;0.0;
