Strategy report
Symbol: AMZN
Work Time: 10/29/20, 9:35 AM - 7/7/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$3,192.00;10/29/20, 9:35 AM;;($20.05);1.0;
2;MacdPerfect;Sell to Close;-1.0;$3,199.62;10/29/20, 10:30 AM;$7.62;$7.62;0.0;
3;MacdPerfect;Buy to Open;1.0;$3,071.73;11/2/20, 9:35 AM;;($0.98);1.0;
4;MacdPerfect;Sell to Close;-1.0;$3,052.64;11/2/20, 9:55 AM;($19.09);($11.47);0.0;
5;MacdPerfect;Buy to Open;1.0;$2,984.92;11/3/20, 9:35 AM;;($10.85);1.0;
6;MacdPerfect;Sell to Close;-1.0;$3,073.40;11/3/20, 10:25 AM;$88.49;$77.02;0.0;
7;MacdPerfect;Buy to Open;1.0;$3,184.00;11/4/20, 9:35 AM;;$70.57;1.0;
8;MacdPerfect;Sell to Close;-1.0;$3,182.59;11/4/20, 10:05 AM;($1.41);$75.61;0.0;
9;MacdPerfect;Buy to Open;1.0;$3,296.35;11/5/20, 9:35 AM;;$102.03;1.0;
10;MacdPerfect;Sell to Close;-1.0;$3,364.53;11/5/20, 10:10 AM;$68.18;$143.79;0.0;
11;MacdPerfect;Buy to Open;1.0;$3,063.50;11/11/20, 9:35 AM;;$164.90;1.0;
12;MacdPerfect;Sell to Close;-1.0;$3,112.36;11/11/20, 10:10 AM;$48.86;$192.65;0.0;
13;MacdPerfect;Buy to Open;1.0;$3,152.38;11/12/20, 9:35 AM;;$211.19;1.0;
14;MacdPerfect;Sell to Close;-1.0;$3,139.10;11/12/20, 9:50 AM;($13.28);$179.37;0.0;
15;MacdPerfect;Buy to Open;1.0;$3,118.80;11/13/20, 9:35 AM;;$192.86;1.0;
16;MacdPerfect;Sell to Close;-1.0;$3,127.42;11/13/20, 10:00 AM;$8.62;$187.99;0.0;
17;MacdPerfect;Buy to Open;1.0;$3,176.76;11/17/20, 9:35 AM;;$179.29;1.0;
18;MacdPerfect;Sell to Close;-1.0;$3,160.18;11/17/20, 10:00 AM;($16.58);$171.40;0.0;
19;MacdPerfect;Buy to Open;1.0;$3,115.00;11/20/20, 9:35 AM;;$163.87;1.0;
20;MacdPerfect;Sell to Close;-1.0;$3,127.09;11/20/20, 11:15 AM;$12.09;$183.50;0.0;
21;MacdPerfect;Buy to Open;1.0;$3,123.01;11/23/20, 9:35 AM;;$195.96;1.0;
22;MacdPerfect;Sell to Close;-1.0;$3,116.00;11/23/20, 10:05 AM;($7.01);$176.49;0.0;
23;MacdPerfect;Buy to Open;1.0;$3,153.15;11/25/20, 9:35 AM;;$175.28;1.0;
24;MacdPerfect;Sell to Close;-1.0;$3,184.30;11/25/20, 10:10 AM;$31.15;$207.64;0.0;
25;MacdPerfect;Buy to Open;1.0;$3,213.23;11/27/20, 9:35 AM;;$198.16;1.0;
26;MacdPerfect;Sell to Close;-1.0;$3,201.79;11/27/20, 10:05 AM;($11.44);$196.20;0.0;
27;MacdPerfect;Buy to Open;1.0;$3,211.02;11/30/20, 9:35 AM;;$197.97;1.0;
28;MacdPerfect;Sell to Close;-1.0;$3,211.89;11/30/20, 9:40 AM;$0.87;$197.07;0.0;
29;MacdPerfect;Buy to Open;1.0;$3,174.94;12/1/20, 9:45 AM;;$198.89;1.0;
30;MacdPerfect;Sell to Close;-1.0;$3,176.01;12/1/20, 10:05 AM;$1.07;$198.14;0.0;
31;MacdPerfect;Buy to Open;1.0;$3,225.00;12/3/20, 9:35 AM;;$189.00;1.0;
32;MacdPerfect;Sell to Close;-1.0;$3,211.15;12/3/20, 10:00 AM;($13.86);$184.28;0.0;
33;MacdPerfect;Buy to Open;1.0;$3,175.32;12/7/20, 9:40 AM;;$183.97;1.0;
34;MacdPerfect;Sell to Close;-1.0;$3,165.82;12/7/20, 10:05 AM;($9.50);$174.78;0.0;
35;MacdPerfect;Buy to Open;1.0;$3,142.00;12/14/20, 9:35 AM;;$192.38;1.0;
36;MacdPerfect;Sell to Close;-1.0;$3,173.68;12/14/20, 10:05 AM;$31.68;$206.46;0.0;
37;MacdPerfect;Buy to Open;1.0;$3,177.14;12/15/20, 9:35 AM;;$203.56;1.0;
38;MacdPerfect;Sell to Close;-1.0;$3,166.06;12/15/20, 10:10 AM;($11.08);$195.38;0.0;
39;MacdPerfect;Buy to Open;1.0;$3,171.86;12/16/20, 9:35 AM;;$192.23;1.0;
40;MacdPerfect;Sell to Close;-1.0;$3,200.03;12/16/20, 10:15 AM;$28.17;$223.55;0.0;
41;MacdPerfect;Buy to Open;1.0;$3,262.51;12/17/20, 9:35 AM;;$219.03;1.0;
42;MacdPerfect;Sell to Close;-1.0;$3,252.18;12/17/20, 10:00 AM;($10.34);$213.21;0.0;
43;MacdPerfect;Buy to Open;1.0;$3,205.40;12/21/20, 9:35 AM;;$227.10;1.0;
44;MacdPerfect;Sell to Close;-1.0;$3,204.48;12/21/20, 9:50 AM;($0.92);$212.29;0.0;
45;MacdPerfect;Buy to Open;1.0;$3,191.01;12/24/20, 9:35 AM;;$219.51;1.0;
46;MacdPerfect;Sell to Close;-1.0;$3,187.73;12/24/20, 10:00 AM;($3.28);$209.01;0.0;
47;MacdPerfect;Buy to Open;1.0;$3,189.70;12/28/20, 9:35 AM;;$213.41;1.0;
48;MacdPerfect;Sell to Close;-1.0;$3,189.42;12/28/20, 10:00 AM;($0.28);$208.73;0.0;
49;MacdPerfect;Buy to Open;1.0;$3,311.99;12/29/20, 9:35 AM;;$215.95;1.0;
50;MacdPerfect;Sell to Close;-1.0;$3,303.25;12/29/20, 10:00 AM;($8.74);$199.99;0.0;
51;MacdPerfect;Buy to Open;1.0;$3,328.75;12/30/20, 9:35 AM;;$198.53;1.0;
52;MacdPerfect;Sell to Close;-1.0;$3,322.95;12/30/20, 10:05 AM;($5.80);$194.20;0.0;
53;MacdPerfect;Buy to Open;1.0;$3,281.97;12/31/20, 9:40 AM;;$189.22;1.0;
54;MacdPerfect;Sell to Close;-1.0;$3,266.04;12/31/20, 10:35 AM;($15.93);$178.27;0.0;
55;MacdPerfect;Buy to Open;1.0;$3,255.01;1/4/21, 9:35 AM;;$172.74;1.0;
56;MacdPerfect;Sell to Close;-1.0;$3,251.10;1/4/21, 9:50 AM;($3.91);$174.36;0.0;
57;MacdPerfect;Sell to Close;-1.0;$3,184.32;1/5/21, 9:35 AM;$0.00;$176.83;-1.0;
58;MacdPerfect;Buy to Open;1.0;$3,184.32;1/5/21, 9:35 AM;;$174.36;0.0;
59;MacdPerfect;Buy to Open;1.0;$3,184.18;1/5/21, 9:40 AM;;$189.84;1.0;
60;MacdPerfect;Sell to Close;-1.0;$3,209.64;1/5/21, 10:15 AM;$25.46;$199.81;0.0;
61;MacdPerfect;Buy to Open;1.0;$3,187.85;1/7/21, 9:45 AM;;$189.64;1.0;
62;MacdPerfect;Sell to Close;-1.0;$3,204.15;1/7/21, 10:10 AM;$16.30;$216.11;0.0;
63;MacdPerfect;Buy to Open;1.0;$3,172.62;1/8/21, 9:35 AM;;$202.90;1.0;
64;MacdPerfect;Sell to Close;-1.0;$3,153.94;1/8/21, 10:25 AM;($18.68);$197.43;0.0;
65;MacdPerfect;Buy to Open;1.0;$3,136.05;1/13/21, 9:40 AM;;$199.83;1.0;
66;MacdPerfect;Sell to Close;-1.0;$3,165.68;1/13/21, 10:20 AM;$29.63;$227.06;0.0;
67;MacdPerfect;Buy to Open;1.0;$3,126.00;1/19/21, 9:35 AM;;$219.69;1.0;
68;MacdPerfect;Sell to Close;-1.0;$3,106.65;1/19/21, 9:55 AM;($19.35);$207.71;0.0;
69;MacdPerfect;Buy to Open;1.0;$3,198.38;1/20/21, 9:35 AM;;$222.01;1.0;
70;MacdPerfect;Sell to Close;-1.0;$3,213.33;1/20/21, 10:05 AM;$14.95;$222.66;0.0;
71;MacdPerfect;Buy to Open;1.0;$3,302.44;1/21/21, 9:35 AM;;$247.43;1.0;
72;MacdPerfect;Sell to Close;-1.0;$3,315.28;1/21/21, 10:05 AM;$12.84;$235.50;0.0;
73;MacdPerfect;Buy to Open;1.0;$3,349.00;1/25/21, 9:35 AM;;$245.41;1.0;
74;MacdPerfect;Sell to Close;-1.0;$3,346.19;1/25/21, 10:00 AM;($2.81);$232.69;0.0;
75;MacdPerfect;Buy to Open;1.0;$3,309.00;1/26/21, 9:35 AM;;$225.91;1.0;
76;MacdPerfect;Sell to Close;-1.0;$3,303.00;1/26/21, 9:40 AM;($6.00);$226.69;0.0;
77;MacdPerfect;Buy to Open;1.0;$3,255.39;2/1/21, 9:35 AM;;$238.39;1.0;
78;MacdPerfect;Sell to Close;-1.0;$3,279.26;2/1/21, 10:10 AM;$23.87;$250.56;0.0;
79;MacdPerfect;Buy to Open;1.0;$3,412.00;2/2/21, 9:35 AM;;$252.79;1.0;
80;MacdPerfect;Sell to Close;-1.0;$3,386.65;2/2/21, 9:55 AM;($25.35);$225.21;0.0;
81;MacdPerfect;Sell to Close;-1.0;$3,398.22;2/3/21, 9:35 AM;$0.00;$259.57;-1.0;
82;MacdPerfect;Buy to Open;1.0;$3,398.22;2/3/21, 9:35 AM;;$225.21;0.0;
83;MacdPerfect;Sell to Close;-1.0;$3,378.61;2/3/21, 9:45 AM;$0.00;$246.21;-1.0;
84;MacdPerfect;Buy to Open;1.0;$3,378.61;2/3/21, 9:45 AM;;$225.21;0.0;
85;MacdPerfect;Buy to Open;1.0;$3,329.59;2/4/21, 9:35 AM;;$222.62;1.0;
86;MacdPerfect;Sell to Close;-1.0;$3,310.13;2/4/21, 9:50 AM;($19.46);$205.75;0.0;
87;MacdPerfect;Buy to Open;1.0;$3,325.04;2/9/21, 9:35 AM;;$197.64;1.0;
88;MacdPerfect;Sell to Close;-1.0;$3,331.71;2/9/21, 9:45 AM;$6.67;$212.42;0.0;
