Strategy report
Symbol: AMZN
Work Time: 10/26/20, 9:35 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$3,213.27;10/26/20, 9:35 AM;;$20.42;1.0;
2;MacdPerfect;Sell to Close;-1.0;$3,263.29;10/26/20, 10:15 AM;$50.02;$50.02;0.0;
3;MacdPerfect;Buy to Open;1.0;$3,222.40;10/27/20, 9:35 AM;;$71.16;1.0;
4;MacdPerfect;Sell to Close;-1.0;$3,232.12;10/27/20, 9:50 AM;$9.72;$59.74;0.0;
5;MacdPerfect;Buy to Open;1.0;$3,192.00;10/29/20, 9:35 AM;;$39.69;1.0;
6;MacdPerfect;Sell to Close;-1.0;$3,172.85;10/29/20, 9:40 AM;($19.16);$40.58;0.0;
7;MacdPerfect;Buy to Open;1.0;$3,071.73;11/2/20, 9:35 AM;;$31.99;1.0;
8;MacdPerfect;Sell to Close;-1.0;$3,062.84;11/2/20, 9:40 AM;($8.89);$31.69;0.0;
9;MacdPerfect;Buy to Open;1.0;$2,984.92;11/3/20, 9:35 AM;;$32.31;1.0;
10;MacdPerfect;Sell to Close;-1.0;$3,063.48;11/3/20, 10:30 AM;$78.57;$110.26;0.0;
11;MacdPerfect;Buy to Open;1.0;$3,184.00;11/4/20, 9:35 AM;;$103.81;1.0;
12;MacdPerfect;Sell to Close;-1.0;$3,168.82;11/4/20, 9:45 AM;($15.18);$95.08;0.0;
13;MacdPerfect;Buy to Open;1.0;$3,296.35;11/5/20, 9:35 AM;;$121.50;1.0;
14;MacdPerfect;Sell to Close;-1.0;$3,353.91;11/5/20, 10:15 AM;$57.56;$152.64;0.0;
15;MacdPerfect;Buy to Open;1.0;$3,063.50;11/11/20, 9:35 AM;;$173.75;1.0;
16;MacdPerfect;Sell to Close;-1.0;$3,126.61;11/11/20, 10:35 AM;$63.11;$215.75;0.0;
17;MacdPerfect;Buy to Open;1.0;$3,152.38;11/12/20, 9:35 AM;;$234.30;1.0;
18;MacdPerfect;Sell to Close;-1.0;$3,157.54;11/12/20, 9:45 AM;$5.16;$220.91;0.0;
19;MacdPerfect;Buy to Open;1.0;$3,118.80;11/13/20, 9:35 AM;;$234.40;1.0;
20;MacdPerfect;Sell to Close;-1.0;$3,127.42;11/13/20, 10:00 AM;$8.62;$229.53;0.0;
21;MacdPerfect;Buy to Open;1.0;$3,176.76;11/17/20, 9:35 AM;;$220.84;1.0;
22;MacdPerfect;Sell to Close;-1.0;$3,167.09;11/17/20, 9:40 AM;($9.67);$219.86;0.0;
23;MacdPerfect;Buy to Open;1.0;$3,115.00;11/20/20, 9:35 AM;;$212.32;1.0;
24;MacdPerfect;Sell to Close;-1.0;$3,106.00;11/20/20, 9:40 AM;($9.00);$210.86;0.0;
25;MacdPerfect;Buy to Open;1.0;$3,123.01;11/23/20, 9:35 AM;;$223.32;1.0;
26;MacdPerfect;Sell to Close;-1.0;$3,125.00;11/23/20, 10:00 AM;$1.99;$212.85;0.0;
27;MacdPerfect;Buy to Open;1.0;$3,153.15;11/25/20, 9:35 AM;;$211.64;1.0;
28;MacdPerfect;Sell to Close;-1.0;$3,183.00;11/25/20, 10:25 AM;$29.85;$242.70;0.0;
29;MacdPerfect;Buy to Open;1.0;$3,213.23;11/27/20, 9:35 AM;;$233.22;1.0;
30;MacdPerfect;Sell to Close;-1.0;$3,202.74;11/27/20, 9:40 AM;($10.49);$232.21;0.0;
31;MacdPerfect;Buy to Open;1.0;$3,211.02;11/30/20, 9:35 AM;;$233.98;1.0;
32;MacdPerfect;Sell to Close;-1.0;$3,185.09;11/30/20, 9:45 AM;($25.93);$206.28;0.0;
33;MacdPerfect;Buy to Open;1.0;$3,225.00;12/3/20, 9:35 AM;;$197.14;1.0;
34;MacdPerfect;Sell to Close;-1.0;$3,216.58;12/3/20, 9:40 AM;($8.42);$197.86;0.0;
35;MacdPerfect;Buy to Open;1.0;$3,175.32;12/7/20, 9:40 AM;;$197.55;1.0;
36;MacdPerfect;Sell to Close;-1.0;$3,170.73;12/7/20, 9:50 AM;($4.60);$193.27;0.0;
37;MacdPerfect;Buy to Open;1.0;$3,142.00;12/14/20, 9:35 AM;;$210.87;1.0;
38;MacdPerfect;Sell to Close;-1.0;$3,173.68;12/14/20, 10:05 AM;$31.68;$224.95;0.0;
39;MacdPerfect;Buy to Open;1.0;$3,177.14;12/15/20, 9:35 AM;;$222.05;1.0;
40;MacdPerfect;Sell to Close;-1.0;$3,168.00;12/15/20, 9:45 AM;($9.14);$215.81;0.0;
41;MacdPerfect;Buy to Open;1.0;$3,171.86;12/16/20, 9:35 AM;;$212.66;1.0;
42;MacdPerfect;Sell to Close;-1.0;$3,194.60;12/16/20, 10:20 AM;$22.74;$238.54;0.0;
43;MacdPerfect;Buy to Open;1.0;$3,262.51;12/17/20, 9:35 AM;;$234.02;1.0;
44;MacdPerfect;Sell to Close;-1.0;$3,258.46;12/17/20, 9:40 AM;($4.05);$234.49;0.0;
45;MacdPerfect;Buy to Open;1.0;$3,205.40;12/21/20, 9:35 AM;;$248.38;1.0;
46;MacdPerfect;Sell to Close;-1.0;$3,204.48;12/21/20, 9:50 AM;($0.92);$233.57;0.0;
47;MacdPerfect;Buy to Open;1.0;$3,191.01;12/24/20, 9:35 AM;;$240.79;1.0;
48;MacdPerfect;Sell to Close;-1.0;$3,187.73;12/24/20, 10:00 AM;($3.28);$230.29;0.0;
49;MacdPerfect;Buy to Open;1.0;$3,189.70;12/28/20, 9:35 AM;;$234.69;1.0;
50;MacdPerfect;Sell to Close;-1.0;$3,186.29;12/28/20, 9:45 AM;($3.41);$226.88;0.0;
51;MacdPerfect;Buy to Open;1.0;$3,311.99;12/29/20, 9:35 AM;;$234.09;1.0;
52;MacdPerfect;Sell to Close;-1.0;$3,303.25;12/29/20, 10:00 AM;($8.74);$218.14;0.0;
53;MacdPerfect;Buy to Open;1.0;$3,328.75;12/30/20, 9:35 AM;;$216.67;1.0;
54;MacdPerfect;Sell to Close;-1.0;$3,322.95;12/30/20, 10:05 AM;($5.80);$212.34;0.0;
55;MacdPerfect;Buy to Open;1.0;$3,281.97;12/31/20, 9:40 AM;;$207.37;1.0;
56;MacdPerfect;Sell to Close;-1.0;$3,276.39;12/31/20, 9:45 AM;($5.58);$206.76;0.0;
57;MacdPerfect;Buy to Open;1.0;$3,255.01;1/4/21, 9:35 AM;;$201.23;1.0;
58;MacdPerfect;Sell to Close;-1.0;$3,247.01;1/4/21, 9:40 AM;($8.00);$198.76;0.0;
59;MacdPerfect;Buy to Open;1.0;$3,184.32;1/5/21, 9:35 AM;;$196.29;1.0;
60;MacdPerfect;Sell to Close;-1.0;$3,209.64;1/5/21, 10:15 AM;$25.32;$224.08;0.0;
61;MacdPerfect;Buy to Open;1.0;$3,172.62;1/8/21, 9:35 AM;;$210.87;1.0;
62;MacdPerfect;Sell to Close;-1.0;$3,159.91;1/8/21, 9:40 AM;($12.71);$211.37;0.0;
63;MacdPerfect;Buy to Open;1.0;$3,136.05;1/13/21, 9:40 AM;;$213.77;1.0;
64;MacdPerfect;Sell to Close;-1.0;$3,156.37;1/13/21, 10:25 AM;$20.32;$231.69;0.0;
65;MacdPerfect;Buy to Open;1.0;$3,126.00;1/19/21, 9:35 AM;;$224.32;1.0;
66;MacdPerfect;Sell to Close;-1.0;$3,121.99;1/19/21, 9:40 AM;($4.01);$227.68;0.0;
67;MacdPerfect;Buy to Open;1.0;$3,198.38;1/20/21, 9:35 AM;;$241.98;1.0;
68;MacdPerfect;Sell to Close;-1.0;$3,215.68;1/20/21, 10:20 AM;$17.30;$244.98;0.0;
69;MacdPerfect;Buy to Open;1.0;$3,302.44;1/21/21, 9:35 AM;;$269.75;1.0;
70;MacdPerfect;Sell to Close;-1.0;$3,303.68;1/21/21, 9:45 AM;$1.24;$246.22;0.0;
71;MacdPerfect;Buy to Open;1.0;$3,349.00;1/25/21, 9:35 AM;;$256.13;1.0;
72;MacdPerfect;Sell to Close;-1.0;$3,346.19;1/25/21, 10:00 AM;($2.81);$243.41;0.0;
73;MacdPerfect;Buy to Open;1.0;$3,309.00;1/26/21, 9:35 AM;;$236.63;1.0;
74;MacdPerfect;Sell to Close;-1.0;$3,303.00;1/26/21, 9:40 AM;($6.00);$237.41;0.0;
75;MacdPerfect;Buy to Open;1.0;$3,255.39;2/1/21, 9:35 AM;;$249.11;1.0;
76;MacdPerfect;Sell to Close;-1.0;$3,276.23;2/1/21, 10:20 AM;$20.84;$258.25;0.0;
77;MacdPerfect;Buy to Open;1.0;$3,412.00;2/2/21, 9:35 AM;;$260.48;1.0;
78;MacdPerfect;Sell to Close;-1.0;$3,394.92;2/2/21, 9:45 AM;($17.08);$241.17;0.0;
79;MacdPerfect;Buy to Open;1.0;$3,398.22;2/3/21, 9:35 AM;;$206.82;1.0;
80;MacdPerfect;Sell to Close;-1.0;$3,364.64;2/3/21, 9:40 AM;($33.58);$207.60;0.0;
81;MacdPerfect;Buy to Open;1.0;$3,329.59;2/4/21, 9:35 AM;;$205.01;1.0;
82;MacdPerfect;Sell to Close;-1.0;$3,305.83;2/4/21, 9:45 AM;($23.76);$183.84;0.0;
83;MacdPerfect;Buy to Open;1.0;$3,325.04;2/9/21, 9:35 AM;;$175.73;1.0;
84;MacdPerfect;Sell to Close;-1.0;$3,319.32;2/9/21, 9:40 AM;($5.72);$178.12;0.0;
85;MacdPerfect;Buy to Open;1.0;$3,274.74;2/16/21, 9:35 AM;;$172.38;1.0;
86;MacdPerfect;Sell to Close;-1.0;$3,269.62;2/16/21, 9:40 AM;($5.12);$173.00;0.0;
87;MacdPerfect;Buy to Open;1.0;$3,288.45;2/17/21, 9:40 AM;;$172.10;1.0;
88;MacdPerfect;Sell to Close;-1.0;$3,285.84;2/17/21, 10:05 AM;($2.61);$170.39;0.0;
89;MacdPerfect;Buy to Open;1.0;$3,162.73;2/25/21, 9:35 AM;;$181.52;1.0;
90;MacdPerfect;Sell to Close;-1.0;$3,156.31;2/25/21, 9:50 AM;($6.42);$163.97;0.0;
91;MacdPerfect;Buy to Open;1.0;$3,130.59;3/1/21, 9:35 AM;;$148.05;1.0;
92;MacdPerfect;Sell to Close;-1.0;$3,115.99;3/1/21, 9:40 AM;($14.60);$149.37;0.0;
93;MacdPerfect;Buy to Open;1.0;$3,151.04;3/2/21, 9:35 AM;;$144.33;1.0;
94;MacdPerfect;Sell to Close;-1.0;$3,148.42;3/2/21, 9:40 AM;($2.62);$146.75;0.0;
95;MacdPerfect;Buy to Open;1.0;$3,038.88;3/4/21, 9:35 AM;;$150.41;1.0;
96;MacdPerfect;Sell to Close;-1.0;$3,028.92;3/4/21, 9:45 AM;($9.96);$136.79;0.0;
97;MacdPerfect;Buy to Open;1.0;$3,012.30;3/8/21, 9:35 AM;;$153.22;1.0;
98;MacdPerfect;Sell to Close;-1.0;$3,032.39;3/8/21, 9:50 AM;$20.09;$156.88;0.0;
99;MacdPerfect;Buy to Open;1.0;$3,028.81;3/9/21, 9:35 AM;;$162.42;1.0;
100;MacdPerfect;Sell to Close;-1.0;$3,047.66;3/9/21, 10:35 AM;$18.85;$175.73;0.0;
101;MacdPerfect;Buy to Open;1.0;$3,079.75;3/10/21, 9:35 AM;;$166.16;1.0;
102;MacdPerfect;Sell to Close;-1.0;$3,070.00;3/10/21, 9:40 AM;($9.75);$165.98;0.0;
