Strategy report
Symbol: AMZN
Work Time: 10/26/20, 9:30 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$3,205.75;10/26/20, 9:30 AM;;$7.01;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$3,266.25;10/26/20, 10:15 AM;$60.50;$60.50;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$3,265.39;10/26/20, 10:20 AM;;$57.81;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$3,247.92;10/26/20, 10:30 AM;($17.46);$43.04;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$3,209.95;10/26/20, 11:40 AM;;$41.89;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$3,202.56;10/26/20, 12:35 PM;($7.39);$35.65;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$3,162.32;10/26/20, 1:40 PM;;$35.33;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$3,190.81;10/26/20, 2:50 PM;$28.49;$64.14;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$3,194.62;10/26/20, 2:55 PM;;$63.82;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$3,184.62;10/26/20, 3:10 PM;($10.00);$54.14;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$3,186.38;10/26/20, 3:15 PM;;$56.02;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$3,190.68;10/26/20, 3:50 PM;$4.29;$58.43;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$3,200.28;10/26/20, 3:55 PM;;$65.47;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$3,224.31;10/27/20, 9:30 AM;$24.03;$82.46;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$3,232.97;10/27/20, 9:35 AM;;$93.03;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$3,233.62;10/27/20, 9:50 AM;$0.65;$83.11;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$3,238.42;10/27/20, 9:55 AM;;$86.29;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$3,234.05;10/27/20, 10:05 AM;($4.38);$78.73;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$3,229.13;10/27/20, 10:10 AM;;$73.85;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$3,215.83;10/27/20, 10:20 AM;($13.30);$65.44;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$3,249.02;10/27/20, 10:50 AM;;$67.45;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$3,245.35;10/27/20, 11:30 AM;($3.68);$61.76;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$3,260.76;10/27/20, 11:55 AM;;$63.99;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$3,260.70;10/27/20, 12:15 PM;($0.06);$61.70;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$3,257.87;10/27/20, 12:40 PM;;$59.83;1.0;
