Strategy report
Symbol: AMZN
Work Time: 10/26/20, 9:35 AM - 7/6/21, 10:20 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$3,223.48;10/26/20, 9:35 AM;;$10.21;1.0;
2;MacdPerfect;Sell to Close;-1.0;$3,266.25;10/26/20, 10:15 AM;$42.77;$42.77;0.0;
3;MacdPerfect;Buy to Open;1.0;$3,209.95;10/26/20, 11:40 AM;;$41.62;1.0;
4;MacdPerfect;Sell to Close;-1.0;$3,202.56;10/26/20, 12:35 PM;($7.39);$35.38;0.0;
5;MacdPerfect;Buy to Open;1.0;$3,162.32;10/26/20, 1:40 PM;;$35.06;1.0;
6;MacdPerfect;Sell to Close;-1.0;$3,190.81;10/26/20, 2:50 PM;$28.49;$63.87;0.0;
7;MacdPerfect;Buy to Open;1.0;$3,194.62;10/26/20, 2:55 PM;;$63.54;1.0;
8;MacdPerfect;Sell to Close;-1.0;$3,189.86;10/26/20, 3:05 PM;($4.76);$59.10;0.0;
9;MacdPerfect;Buy to Open;1.0;$3,184.62;10/26/20, 3:10 PM;;$58.55;1.0;
10;MacdPerfect;Sell to Close;-1.0;$3,190.68;10/26/20, 3:50 PM;$6.06;$65.16;0.0;
11;MacdPerfect;Buy to Open;1.0;$3,200.28;10/26/20, 3:55 PM;;$72.20;1.0;
12;MacdPerfect;Sell to Close;-1.0;$3,224.31;10/27/20, 9:30 AM;$24.03;$89.19;0.0;
13;MacdPerfect;Buy to Open;1.0;$3,232.97;10/27/20, 9:35 AM;;$99.76;1.0;
14;MacdPerfect;Sell to Close;-1.0;$3,233.62;10/27/20, 9:50 AM;$0.65;$89.84;0.0;
15;MacdPerfect;Buy to Open;1.0;$3,238.42;10/27/20, 9:55 AM;;$93.02;1.0;
16;MacdPerfect;Sell to Close;-1.0;$3,234.05;10/27/20, 10:05 AM;($4.38);$85.47;0.0;
17;MacdPerfect;Buy to Open;1.0;$3,229.13;10/27/20, 10:10 AM;;$80.58;1.0;
18;MacdPerfect;Sell to Close;-1.0;$3,217.27;10/27/20, 10:15 AM;($11.86);$73.61;0.0;
19;MacdPerfect;Buy to Open;1.0;$3,249.02;10/27/20, 10:50 AM;;$75.62;1.0;
20;MacdPerfect;Sell to Close;-1.0;$3,245.35;10/27/20, 11:30 AM;($3.68);$69.93;0.0;
21;MacdPerfect;Buy to Open;1.0;$3,180.78;11/4/20, 9:35 AM;;$66.71;1.0;
22;MacdPerfect;Sell to Close;-1.0;$3,162.12;11/4/20, 9:45 AM;($18.66);$51.27;0.0;
23;MacdPerfect;Buy to Open;1.0;$3,150.43;11/4/20, 9:50 AM;;$46.24;1.0;
24;MacdPerfect;Sell to Close;-1.0;$3,215.66;11/4/20, 10:30 AM;$65.22;$116.50;0.0;
25;MacdPerfect;Buy to Open;1.0;$3,309.56;11/5/20, 9:35 AM;;$129.71;1.0;
26;MacdPerfect;Sell to Close;-1.0;$3,356.36;11/5/20, 10:15 AM;$46.80;$163.29;0.0;
27;MacdPerfect;Buy to Open;1.0;$3,330.43;11/5/20, 12:55 PM;;$165.19;1.0;
28;MacdPerfect;Sell to Close;-1.0;$3,333.85;11/5/20, 1:35 PM;$3.42;$166.71;0.0;
