Strategy report
Symbol: AMZN
Work Time: 5/11/21, 9:53 AM - 6/23/21, 10:02 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$3,186.94;5/11/21, 9:53 AM;;($451.00);100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$3,174.45;5/11/21, 9:56 AM;($1,249.00);($1,249.00);0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$3,184.98;5/11/21, 9:58 AM;;($1,047.00);100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$3,182.23;5/11/21, 10:01 AM;($275.00);($1,524.00);0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$3,172.26;5/11/21, 10:46 AM;;($2,446.50);100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$3,166.53;5/11/21, 10:47 AM;($573.00);($2,097.00);0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$3,173.83;5/11/21, 10:49 AM;;($1,736.00);100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$3,181.49;5/11/21, 10:54 AM;$766.00;($1,331.00);0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$3,189.86;5/11/21, 10:57 AM;;($1,140.14);100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$3,186.16;5/11/21, 10:59 AM;($369.69);($1,700.69);0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$3,184.96;5/11/21, 11:12 AM;;($1,503.69);100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$3,213.34;5/11/21, 11:25 AM;$2,838.00;$1,137.31;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$3,223.19;5/11/21, 11:27 AM;;$774.31;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$3,219.32;5/11/21, 11:28 AM;($387.00);$750.31;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$3,216.62;5/11/21, 11:54 AM;;$1,047.17;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$3,223.96;5/11/21, 12:05 PM;$734.00;$1,484.31;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$3,230.81;5/11/21, 12:07 PM;;$1,274.57;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$3,226.56;5/11/21, 12:10 PM;($425.00);$1,059.31;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$3,219.78;5/11/21, 12:38 PM;;$1,028.31;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$3,213.35;5/11/21, 12:42 PM;($643.00);$416.31;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$3,217.52;5/11/21, 1:05 PM;;$274.71;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$3,214.22;5/11/21, 1:09 PM;($329.60);$86.71;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$3,214.81;5/11/21, 1:11 PM;;$370.79;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$3,215.70;5/11/21, 1:13 PM;$89.08;$175.79;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$3,221.51;5/11/21, 1:18 PM;;$478.43;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$3,225.43;5/11/21, 1:25 PM;$391.86;$567.65;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$3,231.80;5/11/21, 1:27 PM;;$465.65;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$3,233.24;5/11/21, 1:31 PM;$143.70;$711.35;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$3,218.02;5/11/21, 2:27 PM;;$1,163.09;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$3,217.00;5/11/21, 2:31 PM;($102.01);$609.34;0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$3,218.39;5/11/21, 2:55 PM;;$803.34;100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$3,217.78;5/11/21, 2:58 PM;($61.00);$548.34;0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$3,223.00;5/11/21, 3:04 PM;;$124.34;100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$3,221.02;5/11/21, 3:05 PM;($198.50);$349.84;0.0;
35;MACDStrategy(BUY);Buy to Open;100.0;$3,220.95;5/11/21, 3:07 PM;;$397.59;100.0;
36;MACDStrategy(SELL);Sell to Close;-100.0;$3,217.89;5/11/21, 3:09 PM;($306.00);$43.84;0.0;
37;MACDStrategy(BUY);Buy to Open;100.0;$3,227.00;5/11/21, 3:24 PM;;$254.84;100.0;
38;MACDStrategy(SELL);Sell to Close;-100.0;$3,228.00;5/11/21, 3:30 PM;$100.00;$143.84;0.0;
39;MACDStrategy(SELL);Sell to Close;-100.0;$3,224.20;5/11/21, 3:52 PM;$0.00;$139.84;-100.0;
40;MACDStrategy(BUY);Buy to Open;100.0;$3,224.20;5/11/21, 3:52 PM;;$143.84;0.0;
41;MACDStrategy(SELL);Sell to Close;-100.0;$3,224.22;5/11/21, 3:53 PM;$0.00;($50.16);-100.0;
42;MACDStrategy(BUY);Buy to Open;100.0;$3,224.22;5/11/21, 3:53 PM;;$143.84;0.0;
