Strategy report
Symbol: .AMZN210625C3490
Work Time: 6/9/21, 9:32 AM - 6/23/21, 9:39 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100;10000.0;$9.25;6/9/21, 9:32 AM;;$0.00;10000.0;
2;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$13.50;6/10/21, 10:30 AM;$42,500.00;$42,500.00;0.0;
3;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$14.99;6/10/21, 3:55 PM;$0.00;$42,500.00;-10000.0;
4;MACDStrategy(BUY);Buy to Open;100;10000.0;$14.99;6/10/21, 3:55 PM;;$42,500.00;0.0;
5;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$16.10;6/11/21, 9:34 AM;$0.00;$42,500.00;-10000.0;
6;MACDStrategy(BUY);Buy to Open;100;10000.0;$16.10;6/11/21, 9:34 AM;;$42,500.00;0.0;
7;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$13.15;6/15/21, 9:31 AM;$0.00;$42,500.00;-10000.0;
8;MACDStrategy(BUY);Buy to Open;100;10000.0;$13.15;6/15/21, 9:31 AM;;$42,500.00;0.0;
9;MACDStrategy(BUY);Buy to Open;100;10000.0;$15.51;6/15/21, 9:42 AM;;$42,500.00;10000.0;
10;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$15.20;6/15/21, 9:57 AM;($3,100.00);$39,400.00;0.0;
11;MACDStrategy(BUY);Buy to Open;100;10000.0;$15.00;6/15/21, 3:43 PM;;$39,400.00;10000.0;
12;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$17.50;6/16/21, 9:31 AM;$25,000.00;$64,400.00;0.0;
13;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$17.70;6/16/21, 9:54 AM;$0.00;$61,400.00;-10000.0;
14;MACDStrategy(BUY);Buy to Open;100;10000.0;$17.70;6/16/21, 9:54 AM;;$64,400.00;0.0;
15;MACDStrategy(BUY);Buy to Open;100;10000.0;$17.50;6/16/21, 9:55 AM;;$57,900.00;10000.0;
16;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$18.10;6/16/21, 9:56 AM;$6,000.00;$70,400.00;0.0;
17;MACDStrategy(BUY);Buy to Open;100;10000.0;$17.80;6/16/21, 9:57 AM;;$70,400.00;10000.0;
18;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$16.81;6/16/21, 10:02 AM;($9,900.00);$60,500.00;0.0;
19;MACDStrategy(BUY);Buy to Open;100;10000.0;$19.91;6/16/21, 10:25 AM;;$60,500.00;10000.0;
20;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$17.75;6/16/21, 10:47 AM;($21,600.00);$38,900.00;0.0;
21;MACDStrategy(BUY);Buy to Open;100;10000.0;$17.78;6/16/21, 11:09 AM;;$38,900.00;10000.0;
22;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$15.80;6/16/21, 11:50 AM;($19,800.00);$19,100.00;0.0;
23;MACDStrategy(BUY);Buy to Open;100;10000.0;$17.70;6/16/21, 1:42 PM;;$18,900.00;10000.0;
24;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$14.59;6/16/21, 2:00 PM;($31,100.00);($12,000.00);0.0;
25;MACDStrategy(BUY);Buy to Open;100;10000.0;$19.40;6/16/21, 3:20 PM;;($12,000.00);10000.0;
26;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$19.50;6/16/21, 3:30 PM;$1,000.00;($11,000.00);0.0;
27;MACDStrategy(BUY);Buy to Open;100;10000.0;$19.39;6/16/21, 3:33 PM;;($11,000.00);10000.0;
28;MACDStrategy(SELL);Sell to Close;-100;-10000.0;$21.50;6/16/21, 3:40 PM;$21,100.00;$10,100.00;0.0;
