Strategy report
Symbol: .AAPL210625C130
Work Time: 5/10/21, 10:45 AM - 6/22/21, 3:55 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;10;1000.0;$3.80;5/10/21, 10:45 AM;;($170.00);1000.0;
2;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$3.69;5/10/21, 1:50 PM;($110.00);($110.00);0.0;
3;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.49;5/11/21, 10:00 AM;;($50.00);1000.0;
4;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.30;5/11/21, 10:30 AM;($190.00);($300.00);0.0;
5;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.90;5/11/21, 12:35 PM;;($390.00);1000.0;
6;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.82;5/11/21, 12:45 PM;($80.00);($380.00);0.0;
7;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.75;5/11/21, 12:55 PM;;($470.00);1000.0;
8;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.96;5/11/21, 2:15 PM;$210.00;($170.00);0.0;
9;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.90;5/11/21, 2:20 PM;;($100.00);1000.0;
10;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.91;5/11/21, 3:15 PM;$10.00;($160.00);0.0;
11;MACDStrategy(BUY);Buy to Open;10;1000.0;$3.04;5/11/21, 3:35 PM;;($380.00);1000.0;
12;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.84;5/11/21, 3:40 PM;($200.00);($360.00);0.0;
13;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.41;5/12/21, 10:25 AM;;($360.00);1000.0;
14;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.30;5/12/21, 2:05 PM;($110.00);($470.00);0.0;
15;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.35;5/12/21, 3:45 PM;;($400.00);1000.0;
16;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.37;5/12/21, 3:55 PM;$20.00;($450.00);0.0;
17;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.33;5/13/21, 9:30 AM;$0.00;($800.00);-1000.0;
18;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.33;5/13/21, 9:30 AM;;($450.00);0.0;
19;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.68;5/13/21, 9:35 AM;;($250.00);1000.0;
20;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.72;5/13/21, 9:50 AM;$40.00;($410.00);0.0;
21;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.78;5/13/21, 9:55 AM;;($280.00);1000.0;
22;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.85;5/13/21, 10:25 AM;$70.00;($340.00);0.0;
23;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.85;5/13/21, 10:35 AM;;($290.00);1000.0;
24;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$3.00;5/13/21, 11:05 AM;$150.00;($190.00);0.0;
25;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.95;5/13/21, 12:20 PM;;($220.00);1000.0;
26;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.65;5/13/21, 1:40 PM;($300.00);($490.00);0.0;
27;MACDStrategy(BUY);Buy to Open;10;1000.0;$2.72;5/13/21, 1:55 PM;;($520.00);1000.0;
28;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$2.89;5/13/21, 3:55 PM;$170.00;($320.00);0.0;
29;MACDStrategy(BUY);Buy to Open;10;1000.0;$3.04;5/14/21, 9:35 AM;;($110.00);1000.0;
