Strategy report
Symbol: AAPL
Work Time: 6/2/21, 9:34 AM - 6/23/21, 9:59 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$124.53;6/2/21, 9:34 AM;;($0.22);1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$124.32;6/2/21, 9:35 AM;($0.22);($0.22);0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$124.52;6/2/21, 9:37 AM;;($0.35);1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$124.39;6/2/21, 9:38 AM;($0.13);($0.35);0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$124.55;6/2/21, 9:44 AM;;($0.24);1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$124.87;6/2/21, 9:51 AM;$0.32;($0.03);0.0;
7;MACDStrategy(BUY);Buy to Open;1.0;$124.87;6/2/21, 9:52 AM;;($0.12);1.0;
8;MACDStrategy(SELL);Sell to Close;-1.0;$124.95;6/2/21, 10:01 AM;$0.07;$0.04;0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$124.98;6/2/21, 10:18 AM;;($0.04);1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$125.07;6/2/21, 10:31 AM;$0.09;$0.13;0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$125.11;6/2/21, 10:32 AM;;$0.09;1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$125.06;6/2/21, 10:33 AM;($0.05);$0.08;0.0;
13;MACDStrategy(BUY);Buy to Open;1.0;$125.19;6/2/21, 10:41 AM;;$0.05;1.0;
14;MACDStrategy(SELL);Sell to Close;-1.0;$125.12;6/2/21, 10:45 AM;($0.07);$0.01;0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$125.15;6/2/21, 10:47 AM;;($0.03);1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$125.12;6/2/21, 10:48 AM;($0.04);($0.03);0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$124.97;6/2/21, 11:30 AM;;($0.02);1.0;
18;MACDStrategy(SELL);Sell to Close;-1.0;$125.05;6/2/21, 11:38 AM;$0.08;$0.05;0.0;
19;MACDStrategy(BUY);Buy to Open;1.0;$125.09;6/2/21, 11:39 AM;;$0.07;1.0;
20;MACDStrategy(SELL);Sell to Close;-1.0;$125.11;6/2/21, 11:41 AM;$0.02;$0.07;0.0;
21;MACDStrategy(BUY);Buy to Open;1.0;$125.14;6/2/21, 11:42 AM;;$0.07;1.0;
22;MACDStrategy(SELL);Sell to Close;-1.0;$125.15;6/2/21, 11:44 AM;$0.02;$0.09;0.0;
23;MACDStrategy(BUY);Buy to Open;1.0;$125.16;6/2/21, 11:45 AM;;$0.04;1.0;
24;MACDStrategy(SELL);Sell to Close;-1.0;$125.11;6/2/21, 11:46 AM;($0.05);$0.04;0.0;
25;MACDStrategy(BUY);Buy to Open;1.0;$124.30;6/2/21, 1:59 PM;;$0.05;1.0;
26;MACDStrategy(SELL);Sell to Close;-1.0;$124.31;6/2/21, 2:03 PM;$0.01;$0.05;0.0;
27;MACDStrategy(BUY);Buy to Open;1.0;$124.32;6/2/21, 2:04 PM;;$0.03;1.0;
28;MACDStrategy(SELL);Sell to Close;-1.0;$124.30;6/2/21, 2:05 PM;($0.02);$0.03;0.0;
29;MACDStrategy(BUY);Buy to Open;1.0;$124.17;6/2/21, 2:16 PM;;$0.09;1.0;
30;MACDStrategy(SELL);Sell to Close;-1.0;$124.49;6/2/21, 2:32 PM;$0.32;$0.35;0.0;
31;MACDStrategy(BUY);Buy to Open;1.0;$124.49;6/2/21, 2:33 PM;;$0.37;1.0;
32;MACDStrategy(SELL);Sell to Close;-1.0;$124.51;6/2/21, 2:35 PM;$0.02;$0.37;0.0;
33;MACDStrategy(BUY);Buy to Open;1.0;$124.54;6/2/21, 2:36 PM;;$0.39;1.0;
34;MACDStrategy(SELL);Sell to Close;-1.0;$124.53;6/2/21, 2:38 PM;($0.01);$0.36;0.0;
35;MACDStrategy(BUY);Buy to Open;1.0;$124.57;6/2/21, 2:39 PM;;$0.33;1.0;
36;MACDStrategy(SELL);Sell to Close;-1.0;$124.54;6/2/21, 2:40 PM;($0.03);$0.33;0.0;
37;MACDStrategy(BUY);Buy to Open;1.0;$124.57;6/2/21, 2:48 PM;;$0.34;1.0;
38;MACDStrategy(SELL);Sell to Close;-1.0;$124.61;6/2/21, 2:56 PM;$0.05;$0.37;0.0;
39;MACDStrategy(BUY);Buy to Open;1.0;$124.67;6/2/21, 2:57 PM;;$0.34;1.0;
