Strategy report
Symbol: AAPL
Work Time: 5/11/21, 9:36 AM - 6/23/21, 10:24 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$124.19;5/11/21, 9:36 AM;;($19.49);100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$124.43;5/11/21, 10:02 AM;$24.50;$24.50;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$124.21;5/11/21, 10:53 AM;;$16.50;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$124.24;5/11/21, 11:00 AM;$3.00;$27.50;0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$124.24;5/11/21, 11:01 AM;;$12.50;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$124.09;5/11/21, 11:02 AM;($15.00);$12.50;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$124.22;5/11/21, 11:12 AM;;$15.50;100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$125.12;5/11/21, 11:28 AM;$90.18;$102.68;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$125.00;5/11/21, 11:29 AM;;$109.68;100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$125.08;5/11/21, 11:32 AM;$7.50;$110.18;0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$125.33;5/11/21, 11:36 AM;;$116.37;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$125.24;5/11/21, 11:38 AM;($9.86);$100.32;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$124.92;5/11/21, 11:53 AM;;$118.89;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$125.41;5/11/21, 12:10 PM;$49.90;$150.22;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$125.54;5/11/21, 12:11 PM;;$138.82;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$125.43;5/11/21, 12:12 PM;($10.67);$139.55;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$125.60;5/11/21, 12:13 PM;;$127.05;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$125.46;5/11/21, 12:14 PM;($13.50);$126.05;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$125.60;5/11/21, 12:15 PM;;$127.05;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$125.47;5/11/21, 12:17 PM;($13.00);$113.05;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$125.56;5/11/21, 12:18 PM;;$114.05;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$125.56;5/11/21, 12:19 PM;$0.25;$113.30;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$125.62;5/11/21, 12:25 PM;;$107.30;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$125.28;5/11/21, 12:32 PM;($33.82);$79.48;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$125.39;5/11/21, 12:33 PM;;$72.48;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$125.12;5/11/21, 1:11 PM;($27.00);$52.48;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$125.21;5/11/21, 1:12 PM;;$53.48;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$125.18;5/11/21, 1:14 PM;($3.00);$49.48;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$125.21;5/11/21, 1:15 PM;;$38.52;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$125.10;5/11/21, 1:16 PM;($11.10);$38.38;0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$125.14;5/11/21, 1:17 PM;;$43.88;100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$125.75;5/11/21, 1:33 PM;$61.33;$99.71;0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$125.87;5/11/21, 1:34 PM;;$100.21;100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$125.84;5/11/21, 1:38 PM;($3.00);$96.71;0.0;
35;MACDStrategy(BUY);Buy to Open;100.0;$126.14;5/11/21, 1:42 PM;;$94.71;100.0;
36;MACDStrategy(SELL);Sell to Close;-100.0;$126.08;5/11/21, 1:45 PM;($6.00);$90.71;0.0;
