Strategy report
Symbol: AAPL
Work Time: 6/2/21, 9:45 AM - 6/23/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$124.66;6/2/21, 9:45 AM;;$0.31;1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$125.03;6/2/21, 10:35 AM;$0.37;$0.37;0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$125.10;6/2/21, 10:40 AM;;$0.39;1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$124.90;6/2/21, 10:55 AM;($0.20);$0.17;0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$125.12;6/2/21, 11:40 AM;;$0.21;1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$124.99;6/2/21, 12:00 PM;($0.13);$0.04;0.0;
7;MACDStrategy(BUY);Buy to Open;1.0;$124.48;6/2/21, 1:20 PM;;($0.30);1.0;
8;MACDStrategy(SELL);Sell to Close;-1.0;$124.09;6/2/21, 2:15 PM;($0.38);($0.34);0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$124.66;6/2/21, 2:50 PM;;($0.31);1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$124.54;6/2/21, 3:05 PM;($0.12);($0.46);0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$124.61;6/2/21, 3:10 PM;;($0.34);1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$125.07;6/2/21, 3:55 PM;$0.45;($0.01);0.0;
13;MACDStrategy(SELL);Sell to Close;-1.0;$124.66;6/3/21, 9:30 AM;$0.00;$0.53;-1.0;
14;MACDStrategy(BUY);Buy to Open;1.0;$124.66;6/3/21, 9:30 AM;;($0.01);0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$123.70;6/3/21, 10:10 AM;;$0.04;1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$123.63;6/3/21, 11:35 AM;($0.07);($0.08);0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$123.91;6/3/21, 1:35 PM;;$0.03;1.0;
