Strategy report
Symbol: AMC
Work Time: 5/10/21, 9:40 AM - 6/22/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$10.04;5/10/21, 9:40 AM;;($40.99);100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$9.80;5/10/21, 9:45 AM;($24.49);($24.49);0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$9.63;5/10/21, 9:50 AM;;($25.89);100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$9.76;5/10/21, 9:55 AM;$13.40;($11.09);0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$9.62;5/10/21, 10:00 AM;;$2.27;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$9.89;5/10/21, 10:25 AM;$27.65;$16.56;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$9.77;5/10/21, 10:30 AM;;$24.56;100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$9.85;5/10/21, 10:50 AM;$8.29;$24.85;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$9.71;5/10/21, 11:45 AM;;$29.96;100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$9.81;5/10/21, 12:55 PM;$9.61;$34.46;0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$9.76;5/10/21, 1:35 PM;;$39.91;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$9.81;5/10/21, 1:45 PM;$5.00;$39.46;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$9.79;5/10/21, 1:50 PM;;$38.46;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$9.80;5/10/21, 1:55 PM;$0.69;$40.15;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$9.74;5/10/21, 2:05 PM;;$41.32;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$9.76;5/10/21, 2:20 PM;$2.20;$42.35;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$9.67;5/10/21, 2:55 PM;;$47.35;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$9.79;5/10/21, 3:55 PM;$12.00;$54.35;0.0;
19;MACDStrategy(SELL);Sell to Close;-100.0;$9.75;5/11/21, 9:30 AM;$0.00;$35.85;-100.0;
20;MACDStrategy(BUY);Buy to Open;100.0;$9.75;5/11/21, 9:30 AM;;$54.35;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$9.93;5/11/21, 9:35 AM;;$94.35;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$10.34;5/11/21, 9:45 AM;$40.99;$95.34;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$9.95;5/11/21, 9:50 AM;;$116.30;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$10.18;5/11/21, 10:05 AM;$23.06;$118.40;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$10.10;5/11/21, 10:10 AM;;$107.39;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$9.99;5/11/21, 10:20 AM;($11.00);$107.40;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$9.98;5/11/21, 11:30 AM;;$115.32;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$10.05;5/11/21, 12:10 PM;$6.42;$113.82;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$10.00;5/11/21, 12:40 PM;;$116.83;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$9.98;5/11/21, 1:15 PM;($1.89);$111.93;0.0;
