Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:45 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$115.26;10/27/20, 9:45 AM;;($0.10);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.15;$0.15;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.33;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);$0.09;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$115.92;10/27/20, 10:30 AM;;$0.17;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$115.89;10/27/20, 10:40 AM;($0.03);$0.07;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$116.64;10/27/20, 11:15 AM;;$0.00;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$116.37;10/27/20, 11:30 AM;($0.26);($0.20);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$117.10;10/27/20, 12:00 PM;;($0.21);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$116.97;10/27/20, 12:15 PM;($0.13);($0.33);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$117.01;10/27/20, 12:55 PM;;($0.31);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$116.65;10/27/20, 1:15 PM;($0.35);($0.69);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$116.27;10/27/20, 2:25 PM;;($0.67);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$116.17;10/27/20, 3:10 PM;($0.10);($0.79);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$116.67;10/27/20, 3:35 PM;;($0.71);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$116.70;10/27/20, 3:55 PM;$0.04;($0.75);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$114.56;10/28/20, 9:30 AM;;($1.23);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$114.23;10/28/20, 9:35 AM;($0.34);($1.09);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$116.76;10/29/20, 2:20 PM;;($1.11);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$116.43;10/29/20, 2:40 PM;($0.33);($1.42);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$110.18;11/3/20, 2:15 PM;;($1.43);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;$0.72;($0.70);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$111.02;11/3/20, 3:50 PM;;($0.66);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$110.72;11/3/20, 3:55 PM;($0.30);($1.00);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$113.93;11/4/20, 9:30 AM;;($1.08);1.0;
