Strategy report
Symbol: BA
Work Time: 10/22/20, 9:55 AM - 7/1/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$165.24;10/22/20, 9:55 AM;;$0.56;1.0;
2;MacdPerfect;Sell to Close;-1.0;$165.16;10/22/20, 10:10 AM;($0.08);($0.08);0.0;
3;MacdPerfect;Buy to Open;1.0;$165.45;10/22/20, 10:15 AM;;($0.32);1.0;
4;MacdPerfect;Sell to Close;-1.0;$165.19;10/22/20, 10:20 AM;($0.26);($0.34);0.0;
5;MacdPerfect;Buy to Open;1.0;$165.51;10/22/20, 11:10 AM;;$0.38;1.0;
6;MacdPerfect;Sell to Close;-1.0;$166.23;10/22/20, 11:30 AM;$0.72;$0.38;0.0;
7;MacdPerfect;Buy to Open;1.0;$169.94;10/23/20, 9:35 AM;;($0.74);1.0;
8;MacdPerfect;Sell to Close;-1.0;$168.87;10/23/20, 9:40 AM;($1.07);($0.69);0.0;
9;MacdPerfect;Buy to Open;1.0;$167.43;10/23/20, 1:50 PM;;($0.89);1.0;
10;MacdPerfect;Sell to Close;-1.0;$167.21;10/23/20, 1:55 PM;($0.22);($0.91);0.0;
11;MacdPerfect;Buy to Open;1.0;$167.31;10/23/20, 2:00 PM;;($0.87);1.0;
12;MacdPerfect;Sell to Close;-1.0;$167.24;10/23/20, 2:15 PM;($0.07);($0.98);0.0;
13;MacdPerfect;Buy to Open;1.0;$167.36;10/23/20, 2:20 PM;;($0.94);1.0;
14;MacdPerfect;Sell to Close;-1.0;$167.34;10/23/20, 2:45 PM;($0.02);($1.00);0.0;
15;MacdPerfect;Buy to Open;1.0;$167.35;10/23/20, 2:50 PM;;($1.10);1.0;
16;MacdPerfect;Sell to Close;-1.0;$167.24;10/23/20, 2:55 PM;($0.12);($1.12);0.0;
17;MacdPerfect;Buy to Open;1.0;$167.73;10/23/20, 3:05 PM;;($0.91);1.0;
18;MacdPerfect;Sell to Close;-1.0;$167.72;10/23/20, 3:25 PM;($0.01);($1.12);0.0;
19;MacdPerfect;Buy to Open;1.0;$160.54;10/26/20, 3:40 PM;;($1.22);1.0;
20;MacdPerfect;Sell to Close;-1.0;$160.05;10/26/20, 3:50 PM;($0.49);($1.61);0.0;
21;MacdPerfect;Buy to Open;1.0;$160.36;10/26/20, 3:55 PM;;($1.17);1.0;
22;MacdPerfect;Sell to Close;-1.0;$159.32;10/27/20, 9:30 AM;($1.04);($2.65);0.0;
23;MacdPerfect;Buy to Open;1.0;$148.05;10/29/20, 1:55 PM;;($2.25);1.0;
24;MacdPerfect;Sell to Close;-1.0;$148.73;10/29/20, 2:40 PM;$0.68;($1.97);0.0;
25;MacdPerfect;Buy to Open;1.0;$143.69;10/30/20, 2:20 PM;;($2.36);1.0;
26;MacdPerfect;Sell to Close;-1.0;$143.07;10/30/20, 2:30 PM;($0.62);($2.59);0.0;
27;MacdPerfect;Buy to Open;1.0;$142.82;10/30/20, 2:35 PM;;($2.45);1.0;
28;MacdPerfect;Sell to Close;-1.0;$142.41;10/30/20, 2:45 PM;($0.41);($3.00);0.0;
29;MacdPerfect;Buy to Open;1.0;$143.26;10/30/20, 2:55 PM;;($2.92);1.0;
30;MacdPerfect;Sell to Close;-1.0;$143.01;10/30/20, 3:10 PM;($0.25);($3.25);0.0;
31;MacdPerfect;Buy to Open;1.0;$143.10;10/30/20, 3:15 PM;;($3.19);1.0;
32;MacdPerfect;Sell to Close;-1.0;$143.12;10/30/20, 3:30 PM;$0.02;($3.23);0.0;
33;MacdPerfect;Buy to Open;1.0;$143.53;10/30/20, 3:55 PM;;($2.37);1.0;
34;MacdPerfect;Sell to Close;-1.0;$145.76;11/2/20, 9:30 AM;$2.23;($1.00);0.0;
35;MacdPerfect;Buy to Open;1.0;$144.32;11/2/20, 9:35 AM;;($0.48);1.0;
36;MacdPerfect;Sell to Close;-1.0;$143.81;11/2/20, 9:45 AM;($0.51);($1.51);0.0;
37;MacdPerfect;Buy to Open;1.0;$144.23;11/2/20, 9:50 AM;;($1.54);1.0;
38;MacdPerfect;Sell to Close;-1.0;$146.49;11/2/20, 10:35 AM;$2.26;$0.75;0.0;
39;MacdPerfect;Buy to Open;1.0;$152.35;11/3/20, 9:35 AM;;$0.32;1.0;
40;MacdPerfect;Sell to Close;-1.0;$151.94;11/3/20, 9:40 AM;($0.41);$0.33;0.0;
41;MacdPerfect;Buy to Open;1.0;$152.58;11/3/20, 9:45 AM;;$0.07;1.0;
42;MacdPerfect;Sell to Close;-1.0;$152.74;11/3/20, 10:10 AM;$0.16;$0.49;0.0;
43;MacdPerfect;Buy to Open;1.0;$152.97;11/3/20, 10:15 AM;;$0.57;1.0;
44;MacdPerfect;Sell to Close;-1.0;$152.43;11/3/20, 10:35 AM;($0.54);($0.05);0.0;
45;MacdPerfect;Buy to Open;1.0;$153.54;11/5/20, 9:40 AM;;$1.09;1.0;
46;MacdPerfect;Sell to Close;-1.0;$155.65;11/5/20, 10:30 AM;$2.11;$2.06;0.0;
47;MacdPerfect;Buy to Open;1.0;$180.28;11/9/20, 9:35 AM;;($0.02);1.0;
48;MacdPerfect;Sell to Close;-1.0;$178.01;11/9/20, 9:40 AM;($2.27);($0.21);0.0;
49;MacdPerfect;Buy to Open;1.0;$176.00;11/9/20, 9:45 AM;;($1.59);1.0;
50;MacdPerfect;Sell to Close;-1.0;$174.59;11/9/20, 9:50 AM;($1.41);($1.62);0.0;
51;MacdPerfect;Buy to Open;1.0;$177.29;11/9/20, 9:55 AM;;($1.61);1.0;
52;MacdPerfect;Sell to Close;-1.0;$177.26;11/9/20, 10:10 AM;($0.03);($1.65);0.0;
53;MacdPerfect;Buy to Open;1.0;$176.45;11/9/20, 10:15 AM;;($1.11);1.0;
54;MacdPerfect;Sell to Close;-1.0;$176.51;11/9/20, 10:35 AM;$0.06;($1.59);0.0;
55;MacdPerfect;Buy to Open;1.0;$185.59;11/10/20, 9:45 AM;;$0.97;1.0;
56;MacdPerfect;Sell to Close;-1.0;$190.94;11/10/20, 10:30 AM;$5.34;$3.75;0.0;
57;MacdPerfect;Buy to Open;1.0;$189.90;11/11/20, 9:30 AM;;($0.95);1.0;
58;MacdPerfect;Sell to Close;-1.0;$185.24;11/11/20, 9:35 AM;($4.66);($0.91);0.0;
59;MacdPerfect;Buy to Open;1.0;$180.65;11/13/20, 9:45 AM;;($0.64);1.0;
60;MacdPerfect;Sell to Close;-1.0;$180.45;11/13/20, 10:15 AM;($0.20);($1.10);0.0;
61;MacdPerfect;Buy to Open;1.0;$179.90;11/13/20, 10:20 AM;;($1.26);1.0;
62;MacdPerfect;Sell to Close;-1.0;$180.21;11/13/20, 10:40 AM;$0.31;($0.80);0.0;
63;MacdPerfect;Buy to Open;1.0;$192.44;11/16/20, 9:35 AM;;($0.12);1.0;
64;MacdPerfect;Sell to Close;-1.0;$196.33;11/16/20, 10:15 AM;$3.89;$3.09;0.0;
65;MacdPerfect;Buy to Open;1.0;$196.23;11/16/20, 10:20 AM;;$4.61;1.0;
66;MacdPerfect;Sell to Close;-1.0;$200.36;11/16/20, 10:50 AM;$4.13;$7.22;0.0;
67;MacdPerfect;Buy to Open;1.0;$218.14;11/18/20, 9:35 AM;;$5.71;1.0;
68;MacdPerfect;Sell to Close;-1.0;$216.68;11/18/20, 9:40 AM;($1.46);$5.76;0.0;
69;MacdPerfect;Buy to Open;1.0;$217.42;11/18/20, 9:45 AM;;$4.36;1.0;
70;MacdPerfect;Sell to Close;-1.0;$216.05;11/18/20, 9:50 AM;($1.37);$4.39;0.0;
71;MacdPerfect;Buy to Open;1.0;$216.23;11/18/20, 9:55 AM;;$6.33;1.0;
72;MacdPerfect;Sell to Close;-1.0;$216.55;11/18/20, 10:15 AM;$0.32;$4.71;0.0;
73;MacdPerfect;Buy to Open;1.0;$215.87;11/18/20, 11:35 AM;;$4.26;1.0;
74;MacdPerfect;Sell to Close;-1.0;$213.34;11/18/20, 11:50 AM;($2.53);$2.18;0.0;
75;MacdPerfect;Buy to Open;1.0;$204.39;11/19/20, 1:30 PM;;$1.57;1.0;
76;MacdPerfect;Sell to Close;-1.0;$203.71;11/19/20, 1:35 PM;($0.68);$1.50;0.0;
77;MacdPerfect;Buy to Open;1.0;$203.64;11/19/20, 1:40 PM;;$0.79;1.0;
78;MacdPerfect;Sell to Close;-1.0;$202.96;11/19/20, 1:45 PM;($0.68);$0.82;0.0;
79;MacdPerfect;Buy to Open;1.0;$204.26;11/19/20, 2:45 PM;;$1.91;1.0;
80;MacdPerfect;Sell to Close;-1.0;$203.68;11/19/20, 3:10 PM;($0.57);$0.24;0.0;
81;MacdPerfect;Buy to Open;1.0;$204.01;11/19/20, 3:15 PM;;$0.08;1.0;
82;MacdPerfect;Sell to Close;-1.0;$203.87;11/19/20, 3:20 PM;($0.14);$0.10;0.0;
83;MacdPerfect;Buy to Open;1.0;$204.82;11/19/20, 3:40 PM;;$0.14;1.0;
84;MacdPerfect;Sell to Close;-1.0;$205.27;11/19/20, 3:55 PM;$0.45;$0.55;0.0;
85;MacdPerfect;Buy to Open;1.0;$204.30;11/20/20, 9:35 AM;;$0.52;1.0;
86;MacdPerfect;Sell to Close;-1.0;$204.27;11/20/20, 9:40 AM;($0.03);$0.52;0.0;
87;MacdPerfect;Buy to Open;1.0;$203.71;11/23/20, 9:40 AM;;$0.54;1.0;
88;MacdPerfect;Sell to Close;-1.0;$202.06;11/23/20, 9:50 AM;($1.65);($1.12);0.0;
89;MacdPerfect;Buy to Open;1.0;$203.09;11/23/20, 9:55 AM;;($0.26);1.0;
90;MacdPerfect;Sell to Close;-1.0;$205.20;11/23/20, 10:30 AM;$2.11;$0.99;0.0;
91;MacdPerfect;Buy to Open;1.0;$216.13;11/24/20, 9:35 AM;;$2.67;1.0;
92;MacdPerfect;Sell to Close;-1.0;$222.19;11/24/20, 10:30 AM;$6.06;$7.04;0.0;
93;MacdPerfect;Buy to Open;1.0;$220.44;11/24/20, 12:10 PM;;$7.27;1.0;
94;MacdPerfect;Sell to Close;-1.0;$220.35;11/24/20, 12:40 PM;($0.09);$6.95;0.0;
95;MacdPerfect;Buy to Open;1.0;$219.32;11/24/20, 3:30 PM;;$6.74;1.0;
96;MacdPerfect;Sell to Close;-1.0;$218.71;11/24/20, 3:40 PM;($0.61);$6.34;0.0;
97;MacdPerfect;Buy to Open;1.0;$218.89;11/27/20, 9:40 AM;;$5.12;1.0;
98;MacdPerfect;Sell to Close;-1.0;$217.73;11/27/20, 9:45 AM;($1.16);$5.18;0.0;
99;MacdPerfect;Buy to Open;1.0;$216.65;11/27/20, 3:45 PM;;$5.18;1.0;
100;MacdPerfect;Sell to Close;-1.0;$216.63;11/27/20, 3:55 PM;($0.02);$5.17;0.0;
101;MacdPerfect;Buy to Open;1.0;$213.32;11/30/20, 12:30 PM;;$5.44;1.0;
102;MacdPerfect;Sell to Close;-1.0;$213.15;11/30/20, 12:55 PM;($0.17);$5.00;0.0;
103;MacdPerfect;Buy to Open;1.0;$215.24;12/1/20, 9:40 AM;;$4.34;1.0;
104;MacdPerfect;Sell to Close;-1.0;$214.58;12/1/20, 9:45 AM;($0.66);$4.34;0.0;
105;MacdPerfect;Buy to Open;1.0;$214.30;12/1/20, 9:50 AM;;$3.93;1.0;
106;MacdPerfect;Sell to Close;-1.0;$213.51;12/1/20, 10:10 AM;($0.79);$3.55;0.0;
107;MacdPerfect;Buy to Open;1.0;$214.46;12/1/20, 10:15 AM;;$3.34;1.0;
108;MacdPerfect;Sell to Close;-1.0;$214.24;12/1/20, 10:20 AM;($0.22);$3.33;0.0;
109;MacdPerfect;Buy to Open;1.0;$214.11;12/1/20, 10:25 AM;;$3.58;1.0;
110;MacdPerfect;Sell to Close;-1.0;$216.90;12/1/20, 11:05 AM;$2.79;$6.12;0.0;
