Strategy report
Symbol: BA
Work Time: 10/30/20, 9:40 AM - 7/9/21, 9:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Sell to Close;-1.0;$148.85;10/30/20, 9:40 AM;$0.00;$1.25;-1.0;
2;MacdPerfect;Buy to Open;1.0;$148.85;10/30/20, 9:40 AM;;$0.00;0.0;
3;MacdPerfect;Buy to Open;1.0;$144.32;11/2/20, 9:35 AM;;$0.52;1.0;
4;MacdPerfect;Sell to Close;-1.0;$144.17;11/2/20, 9:55 AM;($0.15);($0.15);0.0;
5;MacdPerfect;Buy to Open;1.0;$152.35;11/3/20, 9:35 AM;;($0.58);1.0;
6;MacdPerfect;Sell to Close;-1.0;$153.32;11/3/20, 10:05 AM;$0.97;$0.82;0.0;
7;MacdPerfect;Buy to Open;1.0;$153.54;11/5/20, 9:40 AM;;$1.96;1.0;
8;MacdPerfect;Sell to Close;-1.0;$154.66;11/5/20, 10:05 AM;$1.12;$1.93;0.0;
9;MacdPerfect;Buy to Open;1.0;$180.28;11/9/20, 9:35 AM;;($0.15);1.0;
10;MacdPerfect;Sell to Close;-1.0;$178.63;11/9/20, 10:05 AM;($1.65);$0.28;0.0;
11;MacdPerfect;Buy to Open;1.0;$182.91;11/10/20, 9:35 AM;;$0.11;1.0;
12;MacdPerfect;Sell to Close;-1.0;$191.26;11/10/20, 10:20 AM;$8.35;$8.63;0.0;
13;MacdPerfect;Buy to Open;1.0;$192.44;11/16/20, 9:35 AM;;$9.31;1.0;
14;MacdPerfect;Sell to Close;-1.0;$196.28;11/16/20, 10:05 AM;$3.84;$12.47;0.0;
15;MacdPerfect;Buy to Open;1.0;$218.14;11/18/20, 9:35 AM;;$10.96;1.0;
16;MacdPerfect;Sell to Close;-1.0;$217.77;11/18/20, 10:05 AM;($0.37);$12.10;0.0;
17;MacdPerfect;Buy to Open;1.0;$204.87;11/19/20, 9:35 AM;;$13.72;1.0;
18;MacdPerfect;Sell to Close;-1.0;$205.25;11/19/20, 10:10 AM;$0.38;$12.48;0.0;
19;MacdPerfect;Sell to Close;-1.0;$204.30;11/20/20, 9:35 AM;$0.00;$12.51;-1.0;
20;MacdPerfect;Buy to Open;1.0;$204.30;11/20/20, 9:35 AM;;$12.48;0.0;
21;MacdPerfect;Buy to Open;1.0;$203.71;11/23/20, 9:40 AM;;$12.50;1.0;
22;MacdPerfect;Sell to Close;-1.0;$205.75;11/23/20, 10:10 AM;$2.04;$14.52;0.0;
23;MacdPerfect;Buy to Open;1.0;$216.13;11/24/20, 9:35 AM;;$16.20;1.0;
24;MacdPerfect;Sell to Close;-1.0;$221.80;11/24/20, 10:10 AM;$5.67;$20.19;0.0;
25;MacdPerfect;Buy to Open;1.0;$218.89;11/27/20, 9:40 AM;;$18.97;1.0;
26;MacdPerfect;Sell to Close;-1.0;$216.99;11/27/20, 9:50 AM;($1.90);$18.29;0.0;
27;MacdPerfect;Buy to Open;1.0;$215.24;12/1/20, 9:40 AM;;$17.63;1.0;
28;MacdPerfect;Sell to Close;-1.0;$214.29;12/1/20, 10:05 AM;($0.95);$17.34;0.0;
29;MacdPerfect;Buy to Open;1.0;$212.07;12/2/20, 9:40 AM;;$21.31;1.0;
30;MacdPerfect;Sell to Close;-1.0;$218.87;12/2/20, 10:20 AM;$6.80;$24.14;0.0;
31;MacdPerfect;Buy to Open;1.0;$230.13;12/3/20, 9:35 AM;;$26.36;1.0;
32;MacdPerfect;Sell to Close;-1.0;$235.30;12/3/20, 10:10 AM;$5.17;$29.31;0.0;
33;MacdPerfect;Buy to Open;1.0;$240.58;12/7/20, 9:35 AM;;$31.07;1.0;
34;MacdPerfect;Sell to Close;-1.0;$240.74;12/7/20, 10:05 AM;$0.16;$29.47;0.0;
35;MacdPerfect;Buy to Open;1.0;$238.75;12/9/20, 9:35 AM;;$28.13;1.0;
36;MacdPerfect;Sell to Close;-1.0;$238.50;12/9/20, 10:10 AM;($0.25);$29.22;0.0;
37;MacdPerfect;Buy to Open;1.0;$233.29;12/10/20, 9:40 AM;;$28.66;1.0;
38;MacdPerfect;Sell to Close;-1.0;$234.22;12/10/20, 10:15 AM;$0.93;$30.15;0.0;
39;MacdPerfect;Buy to Open;1.0;$234.79;12/14/20, 9:35 AM;;$31.60;1.0;
40;MacdPerfect;Sell to Close;-1.0;$234.75;12/14/20, 10:00 AM;($0.04);$30.10;0.0;
