Strategy report
Symbol: BA
Work Time: 10/30/20, 9:40 AM - 7/9/21, 9:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Sell to Close;-1.0;$148.85;10/30/20, 9:40 AM;$0.00;$1.25;-1.0;
2;AAA;Buy to Open;1.0;$148.85;10/30/20, 9:40 AM;;$0.00;0.0;
3;AAA;Buy to Open;1.0;$144.32;11/2/20, 9:35 AM;;$0.52;1.0;
4;AAA;Sell to Close;-1.0;$144.90;11/2/20, 9:40 AM;$0.58;$0.58;0.0;
5;AAA;Buy to Open;1.0;$152.35;11/3/20, 9:35 AM;;$0.15;1.0;
6;AAA;Sell to Close;-1.0;$152.58;11/3/20, 9:45 AM;$0.23;$0.81;0.0;
7;AAA;Buy to Open;1.0;$153.54;11/5/20, 9:40 AM;;$1.95;1.0;
8;AAA;Sell to Close;-1.0;$154.83;11/5/20, 9:50 AM;$1.29;$2.10;0.0;
9;AAA;Buy to Open;1.0;$180.28;11/9/20, 9:35 AM;;$0.02;1.0;
10;AAA;Sell to Close;-1.0;$176.00;11/9/20, 9:45 AM;($4.28);($2.18);0.0;
11;AAA;Buy to Open;1.0;$182.91;11/10/20, 9:35 AM;;($2.35);1.0;
12;AAA;Sell to Close;-1.0;$192.03;11/10/20, 10:10 AM;$9.12;$6.94;0.0;
13;AAA;Buy to Open;1.0;$192.44;11/16/20, 9:35 AM;;$7.61;1.0;
14;AAA;Sell to Close;-1.0;$195.89;11/16/20, 9:50 AM;$3.45;$10.39;0.0;
15;AAA;Buy to Open;1.0;$218.14;11/18/20, 9:35 AM;;$8.88;1.0;
16;AAA;Sell to Close;-1.0;$217.42;11/18/20, 9:45 AM;($0.72);$9.67;0.0;
17;AAA;Buy to Open;1.0;$204.87;11/19/20, 9:35 AM;;$11.28;1.0;
18;AAA;Sell to Close;-1.0;$209.36;11/19/20, 9:55 AM;$4.50;$14.16;0.0;
19;AAA;Buy to Open;1.0;$204.30;11/20/20, 9:35 AM;;$14.13;1.0;
