Strategy report
Symbol: BAC
Work Time: 10/20/20, 1:10 PM - 7/2/21, 11:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$24.34;10/20/20, 1:10 PM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$24.44;10/20/20, 1:50 PM;$0.10;$0.10;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$24.43;10/20/20, 1:55 PM;;$0.10;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$24.43;10/20/20, 2:00 PM;$0.00;$0.10;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$24.23;10/20/20, 3:30 PM;;$0.08;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$24.18;10/20/20, 3:55 PM;($0.05);$0.05;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$24.12;10/21/20, 3:25 PM;;$0.06;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$24.09;10/21/20, 3:35 PM;($0.03);$0.02;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$24.06;10/21/20, 3:55 PM;;$0.00;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$24.07;10/22/20, 9:30 AM;$0.01;$0.03;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$24.32;10/22/20, 10:00 AM;;$0.06;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$24.31;10/22/20, 10:25 AM;($0.01);$0.02;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$24.30;10/22/20, 10:30 AM;;$0.01;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$24.66;10/22/20, 11:20 AM;$0.35;$0.38;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$24.67;10/22/20, 11:25 AM;;$0.37;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$24.67;10/22/20, 11:30 AM;($0.01);$0.37;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$24.63;10/22/20, 11:35 AM;;$0.33;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$24.62;10/22/20, 11:45 AM;($0.01);$0.36;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$24.73;10/22/20, 12:45 PM;;$0.37;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$24.83;10/22/20, 3:00 PM;$0.11;$0.47;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$24.89;10/22/20, 3:35 PM;;$0.46;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$24.87;10/22/20, 3:40 PM;($0.02);$0.45;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$24.89;10/22/20, 3:55 PM;;$0.44;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$25.18;10/23/20, 9:30 AM;$0.29;$0.74;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$25.17;10/23/20, 9:35 AM;;$0.76;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$25.17;10/23/20, 10:10 AM;$0.01;$0.74;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$25.10;10/23/20, 10:15 AM;;$0.69;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$25.04;10/23/20, 10:20 AM;($0.06);$0.68;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$24.97;10/23/20, 11:30 AM;;$0.68;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$24.93;10/23/20, 12:05 PM;($0.03);$0.65;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$24.81;10/23/20, 12:35 PM;;$0.62;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$24.96;10/23/20, 2:30 PM;$0.15;$0.80;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$24.94;10/23/20, 2:35 PM;;$0.77;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$24.92;10/23/20, 2:40 PM;($0.02);$0.78;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$24.99;10/23/20, 3:05 PM;;$0.78;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$24.94;10/23/20, 3:25 PM;($0.05);$0.73;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$24.95;10/23/20, 3:40 PM;;$0.72;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$24.91;10/23/20, 3:55 PM;($0.04);$0.69;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$23.63;10/30/20, 9:40 AM;;$0.69;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$23.56;10/30/20, 10:25 AM;($0.07);$0.62;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$23.37;10/30/20, 11:05 AM;;$0.57;1.0;
