Strategy report
Symbol: AAPL
Work Time: 5/13/21, 9:52 AM - 6/24/21, 11:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BullFlag(BUY);Buy to Open;10.0;$124.54;5/13/21, 9:52 AM;;$0.56;10.0;
2;BullFlag(SELL);Sell to Close;-10.0;$125.38;5/13/21, 11:40 AM;$8.40;$8.40;0.0;
3;BullFlag(BUY);Buy to Open;10.0;$125.26;5/13/21, 2:28 PM;;$8.90;10.0;
4;BullFlag(SELL);Sell to Close;-10.0;$125.90;5/17/21, 11:02 AM;$6.40;$14.80;0.0;
5;BullFlag(BUY);Buy to Open;10.0;$125.61;5/17/21, 3:08 PM;;$15.85;10.0;
6;BullFlag(SELL);Sell to Close;-10.0;$126.73;5/18/21, 11:19 AM;$11.20;$26.00;0.0;
7;BullFlag(BUY);Buy to Open;10.0;$126.46;5/18/21, 11:38 AM;;$26.25;10.0;
8;BullFlag(SELL);Sell to Close;-10.0;$126.37;5/18/21, 12:16 PM;($0.85);$25.15;0.0;
9;BullFlag(BUY);Buy to Open;10.0;$123.62;5/19/21, 11:55 AM;;$25.55;10.0;
10;BullFlag(SELL);Sell to Close;-10.0;$123.85;5/19/21, 3:01 PM;$2.35;$27.50;0.0;
11;BullFlag(BUY);Buy to Open;10.0;$123.96;5/19/21, 3:49 PM;;$28.01;10.0;
12;BullFlag(SELL);Sell to Close;-10.0;$126.77;5/21/21, 10:25 AM;$28.10;$55.60;0.0;
13;BullFlag(BUY);Buy to Open;10.0;$125.76;5/21/21, 1:43 PM;;$55.54;10.0;
14;BullFlag(SELL);Sell to Close;-10.0;$125.43;5/21/21, 3:55 PM;($3.31);$52.29;0.0;
15;BullFlag(BUY);Buy to Open;10.0;$126.82;5/24/21, 10:01 AM;;$51.80;10.0;
16;BullFlag(SELL);Sell to Close;-10.0;$127.42;5/24/21, 12:41 PM;$6.05;$58.34;0.0;
17;BullFlag(BUY);Buy to Open;10.0;$127.77;5/24/21, 2:31 PM;;$58.54;10.0;
18;BullFlag(SELL);Sell to Close;-10.0;$127.60;5/24/21, 3:43 PM;($1.70);$56.64;0.0;
19;BullFlag(BUY);Buy to Open;10.0;$126.90;5/25/21, 1:37 PM;;$57.24;10.0;
20;BullFlag(SELL);Sell to Close;-10.0;$126.93;5/25/21, 1:52 PM;$0.25;$56.89;0.0;
21;BullFlag(BUY);Buy to Open;10.0;$127.00;5/26/21, 10:52 AM;;$58.24;10.0;
22;BullFlag(SELL);Sell to Close;-10.0;$126.99;5/26/21, 12:14 PM;($0.05);$56.84;0.0;
23;BullFlag(BUY);Buy to Open;10.0;$127.04;5/26/21, 12:21 PM;;$56.54;10.0;
24;BullFlag(SELL);Sell to Close;-10.0;$126.88;5/26/21, 1:07 PM;($1.65);$55.19;0.0;
25;BullFlag(BUY);Buy to Open;10.0;$126.82;5/26/21, 2:46 PM;;$55.09;10.0;
26;BullFlag(SELL);Sell to Close;-10.0;$126.85;5/27/21, 11:38 AM;$0.30;$55.49;0.0;
27;BullFlag(BUY);Buy to Open;10.0;$125.17;5/28/21, 12:34 PM;;$56.34;10.0;
28;BullFlag(SELL);Sell to Close;-10.0;$124.79;5/28/21, 1:46 PM;($3.80);$51.69;0.0;
29;BullFlag(BUY);Buy to Open;10.0;$125.06;5/28/21, 3:28 PM;;$51.69;10.0;
30;BullFlag(SELL);Sell to Close;-10.0;$124.85;6/1/21, 9:34 AM;($2.10);$49.59;0.0;
31;BullFlag(BUY);Buy to Open;10.0;$124.56;6/1/21, 11:34 AM;;$50.24;10.0;
32;BullFlag(SELL);Sell to Close;-10.0;$124.50;6/1/21, 3:49 PM;($0.60);$48.99;0.0;
33;BullFlag(BUY);Buy to Open;10.0;$124.95;6/2/21, 10:22 AM;;$49.39;10.0;
34;BullFlag(SELL);Sell to Close;-10.0;$124.63;6/2/21, 12:31 PM;($3.20);$45.79;0.0;
35;BullFlag(BUY);Buy to Open;10.0;$124.50;6/2/21, 2:46 PM;;$45.69;10.0;
36;BullFlag(SELL);Sell to Close;-10.0;$123.45;6/3/21, 9:49 AM;($10.50);$35.29;0.0;
37;BullFlag(BUY);Buy to Open;10.0;$123.66;6/3/21, 12:07 PM;;$35.29;10.0;
38;BullFlag(SELL);Sell to Close;-10.0;$125.08;6/7/21, 10:01 AM;$14.20;$49.49;0.0;
39;BullFlag(BUY);Buy to Open;10.0;$125.17;6/7/21, 12:22 PM;;$49.57;10.0;
40;BullFlag(SELL);Sell to Close;-10.0;$125.07;6/7/21, 1:48 PM;($1.02);$48.47;0.0;
41;BullFlag(BUY);Buy to Open;10.0;$125.44;6/7/21, 3:13 PM;;$48.90;10.0;
42;BullFlag(SELL);Sell to Close;-10.0;$127.39;6/8/21, 11:13 AM;$19.50;$67.97;0.0;
43;BullFlag(BUY);Buy to Open;10.0;$126.86;6/8/21, 2:22 PM;;$68.52;10.0;
44;BullFlag(SELL);Sell to Close;-10.0;$126.77;6/8/21, 3:55 PM;($0.85);$67.12;0.0;
45;BullFlag(BUY);Buy to Open;10.0;$126.97;6/9/21, 10:52 AM;;$67.62;10.0;
46;BullFlag(SELL);Sell to Close;-10.0;$126.96;6/9/21, 3:40 PM;($0.05);$67.07;0.0;
47;BullFlag(BUY);Buy to Open;10.0;$126.44;6/10/21, 12:37 PM;;$67.17;10.0;
48;BullFlag(SELL);Sell to Close;-10.0;$126.58;6/10/21, 1:19 PM;$1.40;$68.47;0.0;
49;BullFlag(BUY);Buy to Open;10.0;$127.00;6/11/21, 10:07 AM;;$69.17;10.0;
50;BullFlag(SELL);Sell to Close;-10.0;$127.13;6/11/21, 3:22 PM;$1.25;$69.72;0.0;
51;BullFlag(BUY);Buy to Open;10.0;$127.24;6/14/21, 9:37 AM;;$71.82;10.0;
52;BullFlag(SELL);Sell to Close;-10.0;$129.35;6/14/21, 12:31 PM;$21.15;$90.87;0.0;
53;BullFlag(BUY);Buy to Open;10.0;$130.13;6/15/21, 12:10 PM;;$91.45;10.0;
54;BullFlag(SELL);Sell to Close;-10.0;$129.82;6/15/21, 12:57 PM;($3.07);$87.80;0.0;
55;BullFlag(BUY);Buy to Open;10.0;$130.34;6/16/21, 1:31 PM;;$87.94;10.0;
56;BullFlag(SELL);Sell to Close;-10.0;$129.42;6/16/21, 2:34 PM;($9.15);$78.65;0.0;
57;BullFlag(BUY);Buy to Open;10.0;$130.07;6/17/21, 9:34 AM;;$79.15;10.0;
58;BullFlag(SELL);Sell to Close;-10.0;$130.80;6/18/21, 11:10 AM;$7.29;$85.94;0.0;
