Strategy report
Symbol: CSCO
Work Time: 10/22/20, 12:50 PM - 7/6/21, 2:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$38.69;10/22/20, 12:50 PM;;($0.03);1.0;
2;MacdPerfect;Sell to Close;-1.0;$38.76;10/22/20, 1:30 PM;$0.07;$0.07;0.0;
3;MacdPerfect;Buy to Open;1.0;$38.92;10/23/20, 9:35 AM;;$0.02;1.0;
4;MacdPerfect;Sell to Close;-1.0;$38.87;10/23/20, 9:40 AM;($0.05);$0.02;0.0;
5;MacdPerfect;Buy to Open;1.0;$38.78;10/23/20, 9:45 AM;;($0.06);1.0;
6;MacdPerfect;Sell to Close;-1.0;$38.71;10/23/20, 9:50 AM;($0.08);($0.05);0.0;
7;MacdPerfect;Buy to Open;1.0;$38.88;10/23/20, 10:15 AM;;($0.12);1.0;
8;MacdPerfect;Sell to Close;-1.0;$38.82;10/23/20, 10:20 AM;($0.07);($0.12);0.0;
9;MacdPerfect;Buy to Open;1.0;$38.83;10/23/20, 10:30 AM;;($0.13);1.0;
10;MacdPerfect;Sell to Close;-1.0;$38.83;10/23/20, 11:25 AM;$0.00;($0.11);0.0;
11;MacdPerfect;Buy to Open;1.0;$38.86;10/23/20, 1:45 PM;;($0.11);1.0;
12;MacdPerfect;Sell to Close;-1.0;$38.84;10/23/20, 2:25 PM;($0.02);($0.13);0.0;
13;MacdPerfect;Buy to Open;1.0;$37.46;10/26/20, 3:25 PM;;($0.10);1.0;
14;MacdPerfect;Sell to Close;-1.0;$37.45;10/26/20, 3:50 PM;($0.01);($0.14);0.0;
15;MacdPerfect;Buy to Open;1.0;$37.55;10/26/20, 3:55 PM;;($0.02);1.0;
16;MacdPerfect;Sell to Close;-1.0;$37.38;10/27/20, 9:30 AM;($0.17);($0.31);0.0;
17;MacdPerfect;Buy to Open;1.0;$36.86;10/27/20, 3:35 PM;;($0.32);1.0;
18;MacdPerfect;Sell to Close;-1.0;$36.85;10/27/20, 3:50 PM;($0.01);($0.32);0.0;
19;MacdPerfect;Buy to Open;1.0;$36.95;10/27/20, 3:55 PM;;($0.40);1.0;
20;MacdPerfect;Sell to Close;-1.0;$36.31;10/28/20, 9:30 AM;($0.64);($0.96);0.0;
21;MacdPerfect;Buy to Open;1.0;$35.96;10/28/20, 2:45 PM;;($0.96);1.0;
22;MacdPerfect;Sell to Close;-1.0;$35.91;10/28/20, 2:55 PM;($0.05);($1.01);0.0;
23;MacdPerfect;Buy to Open;1.0;$36.01;10/28/20, 3:00 PM;;($1.09);1.0;
24;MacdPerfect;Sell to Close;-1.0;$35.93;10/28/20, 3:05 PM;($0.08);($1.08);0.0;
25;MacdPerfect;Buy to Open;1.0;$35.93;10/28/20, 3:10 PM;;($1.09);1.0;
