Strategy report
Symbol: CSCO
Work Time: 10/30/20, 9:35 AM - 7/9/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$35.78;10/30/20, 9:35 AM;;$0.05;1.0;
2;MacdPerfect;Sell to Close;-1.0;$35.83;10/30/20, 10:10 AM;$0.05;$0.05;0.0;
3;MacdPerfect;Buy to Open;1.0;$35.97;11/2/20, 9:35 AM;;($0.09);1.0;
4;MacdPerfect;Sell to Close;-1.0;$35.82;11/2/20, 9:50 AM;($0.15);($0.10);0.0;
5;MacdPerfect;Buy to Open;1.0;$36.38;11/3/20, 9:35 AM;;$0.22;1.0;
6;MacdPerfect;Sell to Close;-1.0;$36.92;11/3/20, 10:05 AM;$0.54;$0.44;0.0;
7;MacdPerfect;Buy to Open;1.0;$36.83;11/4/20, 9:35 AM;;$0.25;1.0;
8;MacdPerfect;Sell to Close;-1.0;$37.16;11/4/20, 10:20 AM;$0.33;$0.78;0.0;
9;MacdPerfect;Buy to Open;1.0;$37.35;11/6/20, 9:35 AM;;$0.68;1.0;
10;MacdPerfect;Sell to Close;-1.0;$37.17;11/6/20, 9:50 AM;($0.18);$0.60;0.0;
11;MacdPerfect;Buy to Open;1.0;$40.03;11/9/20, 9:35 AM;;$0.35;1.0;
12;MacdPerfect;Sell to Close;-1.0;$38.99;11/9/20, 10:00 AM;($1.04);($0.45);0.0;
13;MacdPerfect;Buy to Open;1.0;$38.62;11/10/20, 9:35 AM;;($0.53);1.0;
14;MacdPerfect;Sell to Close;-1.0;$38.53;11/10/20, 10:30 AM;($0.09);($0.54);0.0;
15;MacdPerfect;Buy to Open;1.0;$38.88;11/11/20, 9:35 AM;;($0.50);1.0;
16;MacdPerfect;Sell to Close;-1.0;$38.70;11/11/20, 10:00 AM;($0.18);($0.72);0.0;
17;MacdPerfect;Buy to Open;1.0;$41.25;11/13/20, 9:35 AM;;($0.73);1.0;
18;MacdPerfect;Sell to Close;-1.0;$40.97;11/13/20, 10:00 AM;($0.28);($0.99);0.0;
19;MacdPerfect;Buy to Open;1.0;$41.69;11/16/20, 9:35 AM;;($1.02);1.0;
20;MacdPerfect;Sell to Close;-1.0;$41.44;11/16/20, 9:50 AM;($0.25);($1.24);0.0;
21;MacdPerfect;Buy to Open;1.0;$41.26;11/19/20, 9:40 AM;;($1.30);1.0;
22;MacdPerfect;Sell to Close;-1.0;$41.06;11/19/20, 10:15 AM;($0.19);($1.43);0.0;
23;MacdPerfect;Buy to Open;1.0;$41.30;11/20/20, 9:40 AM;;($1.49);1.0;
24;MacdPerfect;Sell to Close;-1.0;$41.25;11/20/20, 9:45 AM;($0.06);($1.49);0.0;
25;MacdPerfect;Buy to Open;1.0;$41.35;11/23/20, 9:40 AM;;($1.46);1.0;
26;MacdPerfect;Sell to Close;-1.0;$41.44;11/23/20, 10:10 AM;$0.09;($1.40);0.0;
27;MacdPerfect;Buy to Open;1.0;$42.03;11/24/20, 9:35 AM;;($1.40);1.0;
28;MacdPerfect;Sell to Close;-1.0;$42.21;11/24/20, 10:10 AM;$0.18;($1.22);0.0;
29;MacdPerfect;Buy to Open;1.0;$42.81;11/27/20, 9:35 AM;;($1.08);1.0;
30;MacdPerfect;Sell to Close;-1.0;$42.78;11/27/20, 10:00 AM;($0.03);($1.25);0.0;
31;MacdPerfect;Buy to Open;1.0;$43.22;12/1/20, 9:35 AM;;($1.12);1.0;
