Strategy report
Symbol: CSCO
Work Time: 1/16/20, 9:35 AM - 9/30/20, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$48.45;1/16/20, 9:35 AM;;($0.07);1.0;
2;MacdPerfect;Sell to Close;-1.0;$48.34;1/16/20, 9:55 AM;($0.11);($0.11);0.0;
3;MacdPerfect;Buy to Open;1.0;$49.47;1/17/20, 9:35 AM;;($0.26);1.0;
4;MacdPerfect;Sell to Close;-1.0;$49.25;1/17/20, 9:55 AM;($0.23);($0.33);0.0;
5;MacdPerfect;Sell to Close;-1.0;$48.97;1/21/20, 9:35 AM;$0.00;($0.45);-1.0;
6;MacdPerfect;Buy to Open;1.0;$48.97;1/21/20, 9:35 AM;;($0.33);0.0;
7;MacdPerfect;Buy to Open;1.0;$49.09;1/21/20, 9:40 AM;;($0.34);1.0;
8;MacdPerfect;Sell to Close;-1.0;$49.08;1/21/20, 10:00 AM;($0.01);($0.34);0.0;
9;MacdPerfect;Buy to Open;1.0;$49.22;1/22/20, 9:35 AM;;($0.29);1.0;
10;MacdPerfect;Sell to Close;-1.0;$49.42;1/22/20, 10:05 AM;$0.20;($0.14);0.0;
11;MacdPerfect;Buy to Open;1.0;$49.27;1/24/20, 9:40 AM;;($0.10);1.0;
12;MacdPerfect;Sell to Close;-1.0;$49.26;1/24/20, 10:05 AM;($0.02);($0.16);0.0;
13;MacdPerfect;Buy to Open;1.0;$47.80;1/28/20, 9:35 AM;;($0.32);1.0;
14;MacdPerfect;Sell to Close;-1.0;$47.54;1/28/20, 10:00 AM;($0.26);($0.41);0.0;
15;MacdPerfect;Buy to Open;1.0;$47.82;1/29/20, 9:35 AM;;($0.56);1.0;
16;MacdPerfect;Sell to Close;-1.0;$47.41;1/29/20, 11:10 AM;($0.41);($0.82);0.0;
17;MacdPerfect;Buy to Open;1.0;$46.50;2/3/20, 9:40 AM;;($0.89);1.0;
18;MacdPerfect;Sell to Close;-1.0;$46.66;2/3/20, 10:10 AM;$0.16;($0.66);0.0;
19;MacdPerfect;Buy to Open;1.0;$47.21;2/4/20, 9:35 AM;;($0.59);1.0;
20;MacdPerfect;Sell to Close;-1.0;$47.31;2/4/20, 10:05 AM;$0.10;($0.56);0.0;
21;MacdPerfect;Buy to Open;1.0;$48.38;2/5/20, 9:35 AM;;($0.57);1.0;
22;MacdPerfect;Sell to Close;-1.0;$48.48;2/5/20, 10:05 AM;$0.10;($0.46);0.0;
23;MacdPerfect;Buy to Open;1.0;$48.52;2/6/20, 9:35 AM;;($0.47);1.0;
24;MacdPerfect;Sell to Close;-1.0;$48.42;2/6/20, 9:45 AM;($0.10);($0.56);0.0;
25;MacdPerfect;Buy to Open;1.0;$49.23;2/11/20, 9:35 AM;;($0.50);1.0;
26;MacdPerfect;Sell to Close;-1.0;$49.46;2/11/20, 10:05 AM;$0.23;($0.33);0.0;
27;MacdPerfect;Buy to Open;1.0;$49.74;2/12/20, 9:35 AM;;($0.20);1.0;
28;MacdPerfect;Sell to Close;-1.0;$50.02;2/12/20, 10:05 AM;$0.28;($0.05);0.0;
29;MacdPerfect;Buy to Open;1.0;$46.75;2/19/20, 9:35 AM;;($0.19);1.0;
30;MacdPerfect;Sell to Close;-1.0;$46.53;2/19/20, 9:50 AM;($0.22);($0.27);0.0;
31;MacdPerfect;Buy to Open;1.0;$46.19;2/20/20, 9:35 AM;;($0.23);1.0;
32;MacdPerfect;Sell to Close;-1.0;$46.24;2/20/20, 9:40 AM;$0.05;($0.22);0.0;
33;MacdPerfect;Buy to Open;1.0;$42.93;2/26/20, 9:35 AM;;($0.13);1.0;
34;MacdPerfect;Sell to Close;-1.0;$43.25;2/26/20, 10:05 AM;$0.32;$0.10;0.0;
35;MacdPerfect;Buy to Open;1.0;$41.75;2/27/20, 9:40 AM;;($0.37);1.0;
36;MacdPerfect;Sell to Close;-1.0;$41.57;2/27/20, 11:25 AM;($0.18);($0.08);0.0;
37;MacdPerfect;Buy to Open;1.0;$39.54;3/2/20, 9:35 AM;;($0.25);1.0;
38;MacdPerfect;Sell to Close;-1.0;$39.60;3/2/20, 9:55 AM;$0.06;($0.02);0.0;
39;MacdPerfect;Buy to Open;1.0;$41.04;3/3/20, 9:35 AM;;($0.13);1.0;
40;MacdPerfect;Sell to Close;-1.0;$40.79;3/3/20, 9:45 AM;($0.25);($0.27);0.0;
41;MacdPerfect;Buy to Open;1.0;$39.30;3/10/20, 9:35 AM;;($0.49);1.0;
42;MacdPerfect;Sell to Close;-1.0;$39.17;3/10/20, 10:10 AM;($0.13);($0.40);0.0;
43;MacdPerfect;Buy to Open;1.0;$35.35;3/13/20, 9:35 AM;;($0.58);1.0;
44;MacdPerfect;Sell to Close;-1.0;$34.86;3/13/20, 10:05 AM;($0.48);($0.88);0.0;
45;MacdPerfect;Buy to Open;1.0;$34.70;3/17/20, 9:40 AM;;($1.35);1.0;
46;MacdPerfect;Sell to Close;-1.0;$33.72;3/17/20, 10:10 AM;($0.98);($1.86);0.0;
47;MacdPerfect;Buy to Open;1.0;$36.39;3/19/20, 9:35 AM;;($1.11);1.0;
48;MacdPerfect;Sell to Close;-1.0;$37.13;3/19/20, 9:45 AM;$0.74;($1.12);0.0;
49;MacdPerfect;Buy to Open;1.0;$38.22;3/20/20, 9:35 AM;;($1.68);1.0;
50;MacdPerfect;Sell to Close;-1.0;$37.18;3/20/20, 11:10 AM;($1.04);($2.16);0.0;
51;MacdPerfect;Buy to Open;1.0;$36.37;3/24/20, 9:35 AM;;($2.37);1.0;
52;MacdPerfect;Sell to Close;-1.0;$35.87;3/24/20, 10:00 AM;($0.50);($2.66);0.0;
53;MacdPerfect;Buy to Open;1.0;$39.61;3/25/20, 9:35 AM;;($2.38);1.0;
54;MacdPerfect;Sell to Close;-1.0;$38.83;3/25/20, 9:50 AM;($0.78);($3.44);0.0;
55;MacdPerfect;Buy to Open;1.0;$39.51;3/30/20, 9:35 AM;;($3.90);1.0;
