Strategy report
Symbol: DIS
Work Time: 10/21/20, 12:25 PM - 7/6/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$126.45;10/21/20, 12:25 PM;;($0.24);1.0;
2;MacdPerfect;Sell to Close;-1.0;$126.20;10/21/20, 12:30 PM;($0.25);($0.25);0.0;
3;MacdPerfect;Buy to Open;1.0;$126.16;10/21/20, 1:50 PM;;($0.18);1.0;
4;MacdPerfect;Sell to Close;-1.0;$127.13;10/21/20, 3:05 PM;$0.97;$0.72;0.0;
5;MacdPerfect;Buy to Open;1.0;$127.83;10/23/20, 9:35 AM;;$1.11;1.0;
6;MacdPerfect;Sell to Close;-1.0;$127.86;10/23/20, 9:45 AM;$0.03;$0.75;0.0;
7;MacdPerfect;Buy to Open;1.0;$127.67;10/23/20, 9:50 AM;;$0.52;1.0;
8;MacdPerfect;Sell to Close;-1.0;$127.40;10/23/20, 9:55 AM;($0.26);$0.49;0.0;
9;MacdPerfect;Buy to Open;1.0;$127.74;10/23/20, 10:00 AM;;$0.26;1.0;
10;MacdPerfect;Sell to Close;-1.0;$127.51;10/23/20, 10:05 AM;($0.23);$0.26;0.0;
11;MacdPerfect;Buy to Open;1.0;$127.14;10/23/20, 1:30 PM;;$0.21;1.0;
12;MacdPerfect;Sell to Close;-1.0;$127.04;10/23/20, 1:45 PM;($0.10);$0.16;0.0;
13;MacdPerfect;Buy to Open;1.0;$126.99;10/23/20, 1:50 PM;;$0.16;1.0;
14;MacdPerfect;Sell to Close;-1.0;$127.22;10/23/20, 2:40 PM;$0.23;$0.39;0.0;
15;MacdPerfect;Buy to Open;1.0;$127.46;10/23/20, 2:45 PM;;$0.62;1.0;
16;MacdPerfect;Sell to Close;-1.0;$127.98;10/23/20, 3:25 PM;$0.52;$0.91;0.0;
17;MacdPerfect;Buy to Open;1.0;$124.06;10/27/20, 9:30 AM;;$0.41;1.0;
18;MacdPerfect;Sell to Close;-1.0;$123.52;10/27/20, 9:35 AM;($0.54);$0.37;0.0;
19;MacdPerfect;Buy to Open;1.0;$123.56;10/27/20, 9:40 AM;;$0.55;1.0;
20;MacdPerfect;Sell to Close;-1.0;$123.71;10/27/20, 10:00 AM;$0.15;$0.52;0.0;
21;MacdPerfect;Buy to Open;1.0;$123.87;10/27/20, 10:05 AM;;$0.66;1.0;
22;MacdPerfect;Sell to Close;-1.0;$123.75;10/27/20, 10:15 AM;($0.12);$0.40;0.0;
23;MacdPerfect;Buy to Open;1.0;$123.72;10/27/20, 10:20 AM;;$0.22;1.0;
24;MacdPerfect;Sell to Close;-1.0;$123.53;10/27/20, 10:25 AM;($0.19);$0.21;0.0;
25;MacdPerfect;Buy to Open;1.0;$123.83;10/27/20, 10:40 AM;;$0.14;1.0;
26;MacdPerfect;Sell to Close;-1.0;$123.77;10/27/20, 10:45 AM;($0.06);$0.15;0.0;
27;MacdPerfect;Buy to Open;1.0;$119.58;10/28/20, 3:05 PM;;$0.13;1.0;
28;MacdPerfect;Sell to Close;-1.0;$119.56;10/28/20, 3:30 PM;($0.02);$0.13;0.0;
29;MacdPerfect;Buy to Open;1.0;$119.82;10/28/20, 3:35 PM;;($0.46);1.0;
30;MacdPerfect;Sell to Close;-1.0;$119.23;10/28/20, 3:40 PM;($0.58);($0.46);0.0;
31;MacdPerfect;Buy to Open;1.0;$120.64;10/30/20, 12:25 PM;;($0.36);1.0;
32;MacdPerfect;Sell to Close;-1.0;$120.46;10/30/20, 12:35 PM;($0.18);($0.63);0.0;
33;MacdPerfect;Buy to Open;1.0;$120.07;10/30/20, 1:00 PM;;($0.52);1.0;
34;MacdPerfect;Sell to Close;-1.0;$120.14;10/30/20, 1:05 PM;$0.07;($0.56);0.0;
35;MacdPerfect;Buy to Open;1.0;$120.59;10/30/20, 2:05 PM;;($0.26);1.0;
