Strategy report
Symbol: DIS
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$121.27;11/2/20, 9:35 AM;;$0.42;1.0;
2;MacdPerfect;Sell to Close;-1.0;$122.65;11/2/20, 10:05 AM;$1.38;$1.38;0.0;
3;MacdPerfect;Buy to Open;1.0;$122.00;11/3/20, 9:35 AM;;$1.09;1.0;
4;MacdPerfect;Sell to Close;-1.0;$122.82;11/3/20, 10:10 AM;$0.82;$2.20;0.0;
5;MacdPerfect;Buy to Open;1.0;$124.25;11/4/20, 9:35 AM;;$1.61;1.0;
6;MacdPerfect;Sell to Close;-1.0;$125.41;11/4/20, 10:25 AM;$1.16;$3.36;0.0;
7;MacdPerfect;Buy to Open;1.0;$126.61;11/5/20, 9:40 AM;;$4.41;1.0;
8;MacdPerfect;Sell to Close;-1.0;$128.01;11/5/20, 10:10 AM;$1.40;$4.76;0.0;
9;MacdPerfect;Buy to Open;1.0;$144.27;11/9/20, 9:35 AM;;$4.23;1.0;
10;MacdPerfect;Sell to Close;-1.0;$144.06;11/9/20, 10:05 AM;($0.21);$4.55;0.0;
11;MacdPerfect;Buy to Open;1.0;$139.94;11/13/20, 9:35 AM;;$2.64;1.0;
12;MacdPerfect;Sell to Close;-1.0;$138.36;11/13/20, 10:00 AM;($1.57);$2.97;0.0;
13;MacdPerfect;Buy to Open;1.0;$141.83;11/16/20, 9:35 AM;;$3.66;1.0;
14;MacdPerfect;Sell to Close;-1.0;$143.35;11/16/20, 10:05 AM;$1.51;$4.49;0.0;
15;MacdPerfect;Buy to Open;1.0;$144.57;11/18/20, 9:40 AM;;$4.76;1.0;
16;MacdPerfect;Sell to Close;-1.0;$144.56;11/18/20, 9:50 AM;$0.00;$4.48;0.0;
17;MacdPerfect;Buy to Open;1.0;$142.18;11/20/20, 9:35 AM;;$4.51;1.0;
18;MacdPerfect;Sell to Close;-1.0;$141.86;11/20/20, 10:05 AM;($0.32);$4.16;0.0;
19;MacdPerfect;Buy to Open;1.0;$143.12;11/23/20, 9:35 AM;;$4.36;1.0;
20;MacdPerfect;Sell to Close;-1.0;$143.90;11/23/20, 10:05 AM;$0.78;$4.95;0.0;
21;MacdPerfect;Buy to Open;1.0;$148.18;11/24/20, 9:35 AM;;$5.58;1.0;
22;MacdPerfect;Sell to Close;-1.0;$149.11;11/24/20, 10:05 AM;$0.93;$5.88;0.0;
23;MacdPerfect;Buy to Open;1.0;$149.07;11/27/20, 9:35 AM;;$6.97;1.0;
24;MacdPerfect;Sell to Close;-1.0;$149.35;11/27/20, 9:50 AM;$0.28;$6.16;0.0;
25;MacdPerfect;Buy to Open;1.0;$149.54;12/1/20, 9:35 AM;;$6.28;1.0;
26;MacdPerfect;Sell to Close;-1.0;$150.17;12/1/20, 10:05 AM;$0.63;$6.79;0.0;
27;MacdPerfect;Buy to Open;1.0;$153.70;12/8/20, 9:40 AM;;$6.56;1.0;
28;MacdPerfect;Sell to Close;-1.0;$153.64;12/8/20, 10:00 AM;($0.06);$6.73;0.0;
29;MacdPerfect;Buy to Open;1.0;$155.88;12/9/20, 9:35 AM;;$7.73;1.0;
30;MacdPerfect;Sell to Close;-1.0;$156.95;12/9/20, 10:05 AM;$1.07;$7.80;0.0;
31;MacdPerfect;Buy to Open;1.0;$165.57;12/11/20, 9:35 AM;;$8.96;1.0;
32;MacdPerfect;Sell to Close;-1.0;$169.43;12/11/20, 10:05 AM;$3.86;$11.65;0.0;
33;MacdPerfect;Buy to Open;1.0;$169.79;12/15/20, 9:35 AM;;$12.19;1.0;
34;MacdPerfect;Sell to Close;-1.0;$169.55;12/15/20, 10:10 AM;($0.24);$11.41;0.0;
35;MacdPerfect;Buy to Open;1.0;$174.46;12/17/20, 9:40 AM;;$10.89;1.0;
36;MacdPerfect;Sell to Close;-1.0;$173.91;12/17/20, 9:55 AM;($0.55);$10.86;0.0;
37;MacdPerfect;Buy to Open;1.0;$173.01;12/18/20, 9:35 AM;;$11.00;1.0;
38;MacdPerfect;Sell to Close;-1.0;$174.31;12/18/20, 10:45 AM;$1.30;$12.16;0.0;
39;MacdPerfect;Buy to Open;1.0;$170.50;12/22/20, 9:40 AM;;$12.47;1.0;
40;MacdPerfect;Sell to Close;-1.0;$170.78;12/22/20, 9:45 AM;$0.28;$12.44;0.0;
41;MacdPerfect;Buy to Open;1.0;$172.91;12/23/20, 9:35 AM;;$12.72;1.0;
42;MacdPerfect;Sell to Close;-1.0;$173.73;12/23/20, 10:05 AM;$0.82;$13.27;0.0;
43;MacdPerfect;Buy to Open;1.0;$175.68;12/28/20, 9:35 AM;;$13.80;1.0;
44;MacdPerfect;Sell to Close;-1.0;$177.67;12/28/20, 10:10 AM;$1.98;$15.25;0.0;
45;MacdPerfect;Buy to Open;1.0;$178.67;12/30/20, 9:35 AM;;$16.62;1.0;
46;MacdPerfect;Sell to Close;-1.0;$182.83;12/30/20, 10:10 AM;$4.16;$19.41;0.0;
47;MacdPerfect;Buy to Open;1.0;$181.74;12/31/20, 9:40 AM;;$20.15;1.0;
48;MacdPerfect;Sell to Close;-1.0;$182.32;12/31/20, 10:10 AM;$0.58;$19.99;0.0;
49;MacdPerfect;Buy to Open;1.0;$177.59;1/5/21, 9:35 AM;;$20.81;1.0;
50;MacdPerfect;Sell to Close;-1.0;$179.85;1/5/21, 10:15 AM;$2.26;$22.25;0.0;
51;MacdPerfect;Buy to Open;1.0;$179.79;1/8/21, 9:35 AM;;$21.55;1.0;
52;MacdPerfect;Sell to Close;-1.0;$179.28;1/8/21, 9:50 AM;($0.51);$21.74;0.0;
53;MacdPerfect;Buy to Open;1.0;$179.28;1/11/21, 9:40 AM;;$21.52;1.0;
54;MacdPerfect;Sell to Close;-1.0;$180.34;1/11/21, 10:20 AM;$1.06;$22.80;0.0;
55;MacdPerfect;Sell to Close;-1.0;$175.96;1/13/21, 9:40 AM;$0.00;$23.38;-1.0;
56;MacdPerfect;Buy to Open;1.0;$175.96;1/13/21, 9:40 AM;;$22.80;0.0;
57;MacdPerfect;Buy to Open;1.0;$177.01;1/14/21, 9:35 AM;;$23.03;1.0;
58;MacdPerfect;Sell to Close;-1.0;$177.93;1/14/21, 10:10 AM;$0.92;$23.72;0.0;
59;MacdPerfect;Buy to Open;1.0;$173.12;1/19/21, 9:35 AM;;$23.92;1.0;
60;MacdPerfect;Sell to Close;-1.0;$171.97;1/19/21, 9:55 AM;($1.15);$22.57;0.0;
61;MacdPerfect;Buy to Open;1.0;$176.55;1/20/21, 9:35 AM;;$22.86;1.0;
62;MacdPerfect;Sell to Close;-1.0;$175.67;1/20/21, 10:00 AM;($0.88);$21.70;0.0;
63;MacdPerfect;Buy to Open;1.0;$174.82;1/22/21, 9:35 AM;;$21.08;1.0;
64;MacdPerfect;Sell to Close;-1.0;$173.53;1/22/21, 10:00 AM;($1.29);$20.41;0.0;
65;MacdPerfect;Buy to Open;1.0;$172.28;1/26/21, 9:35 AM;;$20.26;1.0;
66;MacdPerfect;Sell to Close;-1.0;$172.08;1/26/21, 9:45 AM;($0.20);$20.21;0.0;
67;MacdPerfect;Buy to Open;1.0;$167.23;1/28/21, 9:35 AM;;$19.73;1.0;
68;MacdPerfect;Sell to Close;-1.0;$168.09;1/28/21, 10:05 AM;$0.86;$21.06;0.0;
