Strategy report
Symbol: DIS
Work Time: 1/16/20, 9:35 AM - 9/9/20, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.54;1/16/20, 9:35 AM;;$0.03;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.63;1/16/20, 10:00 AM;$0.09;$0.09;0.0;
3;MacdPerfect;Buy to Open;1.0;$116.10;1/17/20, 9:35 AM;;$0.00;1.0;
4;MacdPerfect;Sell to Close;-1.0;$115.95;1/17/20, 9:50 AM;($0.15);($0.06);0.0;
5;MacdPerfect;Buy to Open;1.0;$115.38;1/21/20, 9:35 AM;;($0.23);1.0;
6;MacdPerfect;Sell to Close;-1.0;$114.75;1/21/20, 9:50 AM;($0.63);($0.69);0.0;
7;MacdPerfect;Buy to Open;1.0;$115.51;1/22/20, 9:35 AM;;($0.71);1.0;
8;MacdPerfect;Sell to Close;-1.0;$116.43;1/22/20, 10:25 AM;$0.92;$0.23;0.0;
9;MacdPerfect;Buy to Open;1.0;$116.36;1/28/20, 9:35 AM;;$0.33;1.0;
10;MacdPerfect;Sell to Close;-1.0;$116.18;1/28/20, 9:55 AM;($0.18);$0.05;0.0;
11;MacdPerfect;Buy to Open;1.0;$116.09;1/30/20, 9:40 AM;;($0.30);1.0;
12;MacdPerfect;Sell to Close;-1.0;$115.82;1/30/20, 10:15 AM;($0.27);($0.23);0.0;
13;MacdPerfect;Buy to Open;1.0;$114.97;2/3/20, 9:35 AM;;($0.23);1.0;
14;MacdPerfect;Sell to Close;-1.0;$114.90;2/3/20, 9:55 AM;($0.07);($0.30);0.0;
15;MacdPerfect;Buy to Open;1.0;$115.23;2/4/20, 9:35 AM;;($0.28);1.0;
16;MacdPerfect;Sell to Close;-1.0;$115.18;2/4/20, 10:05 AM;($0.05);($0.35);0.0;
17;MacdPerfect;Buy to Open;1.0;$115.81;2/5/20, 9:40 AM;;($0.04);1.0;
18;MacdPerfect;Sell to Close;-1.0;$115.79;2/5/20, 10:10 AM;($0.02);($0.37);0.0;
19;MacdPerfect;Buy to Open;1.0;$117.00;2/6/20, 9:35 AM;;($0.51);1.0;
20;MacdPerfect;Sell to Close;-1.0;$117.10;2/6/20, 10:05 AM;$0.10;($0.27);0.0;
21;MacdPerfect;Buy to Open;1.0;$115.85;2/12/20, 9:35 AM;;($0.05);1.0;
22;MacdPerfect;Sell to Close;-1.0;$115.75;2/12/20, 9:50 AM;($0.10);($0.37);0.0;
23;MacdPerfect;Buy to Open;1.0;$116.00;2/13/20, 9:40 AM;;($0.04);1.0;
24;MacdPerfect;Sell to Close;-1.0;$117.29;2/13/20, 11:05 AM;$1.29;$0.92;0.0;
25;MacdPerfect;Buy to Open;1.0;$118.19;2/14/20, 9:35 AM;;$0.42;1.0;
26;MacdPerfect;Sell to Close;-1.0;$117.87;2/14/20, 10:00 AM;($0.32);$0.60;0.0;
27;MacdPerfect;Buy to Open;1.0;$119.13;2/18/20, 9:35 AM;;($0.31);1.0;
28;MacdPerfect;Sell to Close;-1.0;$118.45;2/18/20, 10:00 AM;($0.68);($0.08);0.0;
29;MacdPerfect;Buy to Open;1.0;$117.82;2/21/20, 9:35 AM;;$0.32;1.0;
30;MacdPerfect;Sell to Close;-1.0;$118.02;2/21/20, 10:05 AM;$0.20;$0.12;0.0;
31;MacdPerfect;Buy to Open;1.0;$116.63;2/25/20, 9:40 AM;;($0.29);1.0;
