Strategy report
Symbol: AAPL
Work Time: 5/7/21, 10:02 AM - 6/21/21, 9:58 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ema_cross_vwap(Long);Buy to Open;100.0;$130.20;5/7/21, 10:02 AM;;$9.50;100.0;
2;ema_cross_vwap(Exit);Sell to Close;-100.0;$130.29;5/7/21, 10:03 AM;$10.00;$10.00;0.0;
3;ema_cross_vwap(Long);Buy to Open;100.0;$130.55;5/7/21, 12:50 PM;;$12.57;100.0;
4;ema_cross_vwap(Exit);Sell to Close;-100.0;$130.58;5/7/21, 12:51 PM;$3.00;$13.00;0.0;
5;ema_cross_vwap(Long);Buy to Open;100.0;$130.49;5/7/21, 3:22 PM;;$20.01;100.0;
6;ema_cross_vwap(Exit);Sell to Close;-100.0;$130.56;5/7/21, 3:23 PM;$7.00;$20.00;0.0;
7;ema_cross_vwap(Long);Buy to Open;100.0;$129.22;5/10/21, 9:31 AM;;($32.00);100.0;
8;ema_cross_vwap(Exit);Sell to Close;-100.0;$128.70;5/10/21, 9:32 AM;($52.00);($32.00);0.0;
9;ema_cross_vwap(Long);Buy to Open;100.0;$128.52;5/10/21, 11:59 AM;;($30.81);100.0;
10;ema_cross_vwap(Exit);Sell to Close;-100.0;$128.54;5/10/21, 12:00 PM;$1.80;($30.20);0.0;
11;ema_cross_vwap(Long);Buy to Open;100.0;$123.70;5/11/21, 9:31 AM;;($21.70);100.0;
12;ema_cross_vwap(Exit);Sell to Close;-100.0;$123.78;5/11/21, 9:32 AM;$8.00;($22.20);0.0;
13;ema_cross_vwap(Long);Buy to Open;100.0;$124.34;5/11/21, 10:21 AM;;($31.20);100.0;
14;ema_cross_vwap(Exit);Sell to Close;-100.0;$124.25;5/11/21, 10:22 AM;($8.87);($31.07);0.0;
15;ema_cross_vwap(Long);Buy to Open;100.0;$124.21;5/11/21, 10:53 AM;;($39.07);100.0;
16;ema_cross_vwap(Exit);Sell to Close;-100.0;$124.14;5/11/21, 10:54 AM;($7.00);($38.07);0.0;
17;ema_cross_vwap(Long);Buy to Open;100.0;$124.07;5/12/21, 10:08 AM;;($34.07);100.0;
18;ema_cross_vwap(Exit);Sell to Close;-100.0;$124.10;5/12/21, 10:09 AM;$3.00;($35.07);0.0;
19;ema_cross_vwap(Long);Buy to Open;100.0;$125.39;5/13/21, 9:58 AM;;($44.73);100.0;
20;ema_cross_vwap(Exit);Sell to Close;-100.0;$125.30;5/13/21, 9:59 AM;($8.91);($43.98);0.0;
21;ema_cross_vwap(Long);Buy to Open;100.0;$125.50;5/13/21, 12:13 PM;;($44.49);100.0;
22;ema_cross_vwap(Exit);Sell to Close;-100.0;$125.50;5/13/21, 12:14 PM;($0.51);($44.49);0.0;
23;ema_cross_vwap(Long);Buy to Open;100.0;$125.44;5/13/21, 2:14 PM;;($45.49);100.0;
24;ema_cross_vwap(Exit);Sell to Close;-100.0;$125.44;5/13/21, 2:15 PM;($0.50);($44.99);0.0;
25;ema_cross_vwap(Long);Buy to Open;100.0;$126.67;5/14/21, 10:17 AM;;($44.49);100.0;
26;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.67;5/14/21, 10:18 AM;$0.50;($44.49);0.0;
27;ema_cross_vwap(Long);Buy to Open;100.0;$126.61;5/14/21, 10:51 AM;;($48.90);100.0;
28;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.57;5/14/21, 10:52 AM;($4.00);($48.49);0.0;
29;ema_cross_vwap(Long);Buy to Open;100.0;$126.32;5/17/21, 10:42 AM;;($54.50);100.0;
30;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.25;5/17/21, 10:43 AM;($7.00);($55.49);0.0;
31;ema_cross_vwap(Long);Buy to Open;100.0;$126.02;5/17/21, 3:56 PM;;($46.99);100.0;
32;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.10;5/17/21, 3:57 PM;$8.20;($47.29);0.0;
33;ema_cross_vwap(Long);Buy to Open;100.0;$126.69;5/18/21, 9:40 AM;;($25.95);100.0;
34;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.90;5/18/21, 9:41 AM;$21.28;($26.01);0.0;
35;ema_cross_vwap(Long);Buy to Open;100.0;$126.62;5/18/21, 10:18 AM;;($30.51);100.0;
36;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.58;5/18/21, 10:19 AM;($3.50);($29.51);0.0;
37;ema_cross_vwap(Long);Buy to Open;100.0;$123.44;5/19/21, 9:31 AM;;$4.49;100.0;
38;ema_cross_vwap(Exit);Sell to Close;-100.0;$123.77;5/19/21, 9:32 AM;$33.00;$3.49;0.0;
39;ema_cross_vwap(Long);Buy to Open;100.0;$123.76;5/19/21, 10:20 AM;;($11.48);100.0;
40;ema_cross_vwap(Exit);Sell to Close;-100.0;$123.61;5/19/21, 10:21 AM;($14.50);($11.01);0.0;
41;ema_cross_vwap(Long);Buy to Open;100.0;$123.72;5/19/21, 11:11 AM;;($2.01);100.0;
42;ema_cross_vwap(Exit);Sell to Close;-100.0;$123.82;5/19/21, 11:12 AM;$9.99;($1.02);0.0;
43;ema_cross_vwap(Long);Buy to Open;100.0;$123.86;5/19/21, 2:19 PM;;$4.88;100.0;
44;ema_cross_vwap(Exit);Sell to Close;-100.0;$123.94;5/19/21, 2:20 PM;$8.00;$6.98;0.0;
45;ema_cross_vwap(Long);Buy to Open;100.0;$125.81;5/20/21, 9:40 AM;;$16.45;100.0;
46;ema_cross_vwap(Exit);Sell to Close;-100.0;$125.90;5/20/21, 9:41 AM;$9.47;$16.45;0.0;
47;ema_cross_vwap(Long);Buy to Open;100.0;$126.81;5/24/21, 9:38 AM;;$14.45;100.0;
48;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.80;5/24/21, 9:39 AM;($1.00);$15.45;0.0;
49;ema_cross_vwap(Long);Buy to Open;100.0;$127.09;5/26/21, 9:45 AM;;$12.07;100.0;
50;ema_cross_vwap(Exit);Sell to Close;-100.0;$127.05;5/26/21, 9:46 AM;($4.00);$11.45;0.0;
51;ema_cross_vwap(Long);Buy to Open;100.0;$127.00;5/26/21, 10:33 AM;;$12.46;100.0;
52;ema_cross_vwap(Exit);Sell to Close;-100.0;$127.02;5/26/21, 10:34 AM;$1.50;$12.95;0.0;
53;ema_cross_vwap(Long);Buy to Open;100.0;$126.99;5/26/21, 12:07 PM;;$17.45;100.0;
54;ema_cross_vwap(Exit);Sell to Close;-100.0;$127.03;5/26/21, 12:08 PM;$4.50;$17.45;0.0;
55;ema_cross_vwap(Long);Buy to Open;100.0;$127.04;5/27/21, 9:31 AM;;$6.95;100.0;
56;ema_cross_vwap(Exit);Sell to Close;-100.0;$126.92;5/27/21, 9:32 AM;($12.00);$5.45;0.0;
