Strategy report
Symbol: F
Work Time: 5/11/21, 9:50 AM - 6/23/21, 11:17 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$11.65;5/11/21, 9:50 AM;;$2.50;100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$11.70;5/11/21, 9:56 AM;$4.74;$4.74;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$11.76;5/11/21, 9:58 AM;;$2.73;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$11.70;5/11/21, 10:01 AM;($5.80);($1.06);0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$11.57;5/11/21, 2:00 PM;;($1.70);100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$11.58;5/11/21, 2:06 PM;$1.00;($0.06);0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$11.56;5/11/21, 2:25 PM;;($0.06);100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$11.56;5/11/21, 2:37 PM;$0.50;$0.44;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$11.57;5/11/21, 2:44 PM;;($0.31);100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$11.56;5/11/21, 2:45 PM;($1.25);($0.81);0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$11.57;5/11/21, 2:47 PM;;$0.72;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$11.59;5/11/21, 2:53 PM;$1.53;$0.72;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$11.60;5/11/21, 3:19 PM;;$1.72;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$11.61;5/11/21, 3:31 PM;$1.00;$1.72;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$11.60;5/12/21, 9:33 AM;;$2.32;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$11.64;5/12/21, 9:40 AM;$4.10;$5.82;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$11.61;5/12/21, 10:05 AM;;$8.86;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$11.63;5/12/21, 10:12 AM;$1.74;$7.56;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$11.46;5/13/21, 9:37 AM;;$8.56;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$11.49;5/13/21, 9:40 AM;$3.50;$11.06;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$11.55;5/13/21, 9:42 AM;;$12.39;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$11.59;5/13/21, 9:48 AM;$4.50;$15.56;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$11.65;5/13/21, 9:59 AM;;$15.72;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$11.64;5/13/21, 10:04 AM;($1.00);$14.56;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$11.62;5/13/21, 10:28 AM;;$15.06;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$11.64;5/13/21, 10:36 AM;$2.36;$16.92;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$11.62;5/13/21, 11:03 AM;;$16.92;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$11.59;5/13/21, 11:07 AM;($2.69);$14.23;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$11.56;5/13/21, 2:33 PM;;$15.23;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$11.57;5/13/21, 2:38 PM;$1.73;$15.96;0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$11.58;5/13/21, 3:03 PM;;$15.96;100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$11.57;5/13/21, 3:13 PM;($0.50);$15.46;0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$11.58;5/13/21, 3:33 PM;;$15.56;100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$11.59;5/13/21, 3:34 PM;$0.10;$15.56;0.0;
35;MACDStrategy(BUY);Buy to Open;100.0;$11.72;5/14/21, 9:44 AM;;$16.61;100.0;
