Strategy report
Symbol: F
Work Time: 10/22/20, 9:35 AM - 6/25/21, 3:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$7.95;10/22/20, 9:35 AM;;($0.02);1.0;
2;MacdPerfect;Sell to Close;-1.0;$7.93;10/22/20, 9:55 AM;($0.02);($0.02);0.0;
3;MacdPerfect;Buy to Open;1.0;$7.93;10/22/20, 10:00 AM;;($0.02);1.0;
4;MacdPerfect;Sell to Close;-1.0;$7.90;10/22/20, 10:20 AM;($0.02);($0.04);0.0;
5;MacdPerfect;Buy to Open;1.0;$8.30;10/23/20, 9:35 AM;;($0.06);1.0;
6;MacdPerfect;Sell to Close;-1.0;$8.28;10/23/20, 9:40 AM;($0.02);($0.06);0.0;
7;MacdPerfect;Buy to Open;1.0;$8.25;10/23/20, 9:45 AM;;($0.09);1.0;
8;MacdPerfect;Sell to Close;-1.0;$8.25;10/23/20, 9:50 AM;($0.01);($0.07);0.0;
9;MacdPerfect;Buy to Open;1.0;$8.27;10/23/20, 9:55 AM;;($0.08);1.0;
10;MacdPerfect;Sell to Close;-1.0;$8.23;10/23/20, 10:10 AM;($0.03);($0.10);0.0;
11;MacdPerfect;Buy to Open;1.0;$8.23;10/23/20, 11:20 AM;;($0.12);1.0;
12;MacdPerfect;Sell to Close;-1.0;$8.21;10/23/20, 11:30 AM;($0.02);($0.13);0.0;
13;MacdPerfect;Buy to Open;1.0;$8.16;10/23/20, 12:30 PM;;($0.12);1.0;
14;MacdPerfect;Sell to Close;-1.0;$8.15;10/23/20, 1:40 PM;($0.01);($0.14);0.0;
15;MacdPerfect;Buy to Open;1.0;$8.17;10/23/20, 2:50 PM;;($0.14);1.0;
16;MacdPerfect;Sell to Close;-1.0;$8.16;10/23/20, 2:55 PM;($0.01);($0.15);0.0;
17;MacdPerfect;Buy to Open;1.0;$8.16;10/23/20, 3:00 PM;;($0.14);1.0;
18;MacdPerfect;Sell to Close;-1.0;$8.16;10/23/20, 3:20 PM;$0.01;($0.14);0.0;
19;MacdPerfect;Buy to Open;1.0;$8.16;10/23/20, 3:25 PM;;($0.14);1.0;
20;MacdPerfect;Sell to Close;-1.0;$8.15;10/23/20, 3:35 PM;($0.01);($0.15);0.0;
21;MacdPerfect;Buy to Open;1.0;$8.03;10/26/20, 9:30 AM;;($0.16);1.0;
22;MacdPerfect;Sell to Close;-1.0;$8.01;10/26/20, 9:35 AM;($0.02);($0.17);0.0;
23;MacdPerfect;Buy to Open;1.0;$8.13;10/29/20, 9:35 AM;;($0.19);1.0;
24;MacdPerfect;Sell to Close;-1.0;$8.09;10/29/20, 10:10 AM;($0.04);($0.20);0.0;
25;MacdPerfect;Buy to Open;1.0;$8.09;10/29/20, 10:15 AM;;($0.20);1.0;
26;MacdPerfect;Sell to Close;-1.0;$8.10;10/29/20, 10:25 AM;$0.02;($0.19);0.0;
27;MacdPerfect;Buy to Open;1.0;$8.01;10/29/20, 12:35 PM;;($0.21);1.0;
28;MacdPerfect;Sell to Close;-1.0;$7.98;10/29/20, 12:40 PM;($0.03);($0.22);0.0;
29;MacdPerfect;Buy to Open;1.0;$7.89;10/29/20, 1:25 PM;;($0.21);1.0;
30;MacdPerfect;Sell to Close;-1.0;$7.98;10/29/20, 2:30 PM;$0.09;($0.13);0.0;
31;MacdPerfect;Buy to Open;1.0;$7.97;10/29/20, 2:35 PM;;($0.14);1.0;
32;MacdPerfect;Sell to Close;-1.0;$7.96;10/29/20, 2:40 PM;($0.01);($0.14);0.0;
33;MacdPerfect;Buy to Open;1.0;$7.96;10/29/20, 2:45 PM;;($0.14);1.0;
34;MacdPerfect;Sell to Close;-1.0;$7.94;10/29/20, 3:10 PM;($0.02);($0.16);0.0;
35;MacdPerfect;Buy to Open;1.0;$7.81;11/3/20, 9:50 AM;;($0.15);1.0;
36;MacdPerfect;Sell to Close;-1.0;$7.79;11/3/20, 10:05 AM;($0.03);($0.18);0.0;
37;MacdPerfect;Buy to Open;1.0;$7.78;11/3/20, 10:10 AM;;($0.18);1.0;
38;MacdPerfect;Sell to Close;-1.0;$7.84;11/3/20, 10:55 AM;$0.06;($0.13);0.0;
39;MacdPerfect;Buy to Open;1.0;$7.81;11/5/20, 10:00 AM;;($0.12);1.0;
40;MacdPerfect;Sell to Close;-1.0;$7.83;11/5/20, 10:30 AM;$0.02;($0.10);0.0;
41;MacdPerfect;Buy to Open;1.0;$7.95;11/6/20, 9:35 AM;;($0.14);1.0;
42;MacdPerfect;Sell to Close;-1.0;$7.92;11/6/20, 9:40 AM;($0.02);($0.13);0.0;
43;MacdPerfect;Buy to Open;1.0;$7.94;11/6/20, 10:15 AM;;($0.12);1.0;
44;MacdPerfect;Sell to Close;-1.0;$7.94;11/6/20, 11:05 AM;($0.01);($0.14);0.0;
45;MacdPerfect;Buy to Open;1.0;$7.89;11/6/20, 11:40 AM;;($0.14);1.0;
46;MacdPerfect;Sell to Close;-1.0;$7.87;11/6/20, 12:00 PM;($0.02);($0.16);0.0;
47;MacdPerfect;Buy to Open;1.0;$7.86;11/6/20, 12:45 PM;;($0.16);1.0;
48;MacdPerfect;Sell to Close;-1.0;$7.84;11/6/20, 1:00 PM;($0.02);($0.18);0.0;
49;MacdPerfect;Buy to Open;1.0;$7.82;11/6/20, 1:20 PM;;($0.18);1.0;
50;MacdPerfect;Sell to Close;-1.0;$7.81;11/6/20, 1:35 PM;($0.01);($0.19);0.0;
51;MacdPerfect;Buy to Open;1.0;$8.16;11/9/20, 9:35 AM;;($0.22);1.0;
52;MacdPerfect;Sell to Close;-1.0;$8.12;11/9/20, 9:40 AM;($0.04);($0.23);0.0;
53;MacdPerfect;Buy to Open;1.0;$8.10;11/9/20, 9:45 AM;;($0.24);1.0;
