Strategy report
Symbol: FB
Work Time: 10/22/20, 1:25 PM - 7/6/21, 3:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$277.78;10/22/20, 1:25 PM;;$0.18;1.0;
2;MacdPerfect;Sell to Close;-1.0;$277.08;10/22/20, 1:35 PM;($0.70);($0.70);0.0;
3;MacdPerfect;Buy to Open;1.0;$277.49;10/22/20, 1:45 PM;;($0.94);1.0;
4;MacdPerfect;Sell to Close;-1.0;$278.14;10/22/20, 2:20 PM;$0.65;($0.05);0.0;
5;MacdPerfect;Buy to Open;1.0;$282.74;11/4/20, 10:00 AM;;$0.71;1.0;
6;MacdPerfect;Sell to Close;-1.0;$285.73;11/4/20, 10:30 AM;$2.99;$2.94;0.0;
7;MacdPerfect;Buy to Open;1.0;$292.58;11/5/20, 9:40 AM;;$1.80;1.0;
8;MacdPerfect;Sell to Close;-1.0;$291.33;11/5/20, 9:45 AM;($1.25);$1.69;0.0;
9;MacdPerfect;Buy to Open;1.0;$276.54;11/11/20, 3:40 PM;;$1.62;1.0;
10;MacdPerfect;Sell to Close;-1.0;$276.16;11/11/20, 3:55 PM;($0.38);$1.31;0.0;
11;MacdPerfect;Buy to Open;1.0;$278.23;11/12/20, 9:55 AM;;$1.40;1.0;
12;MacdPerfect;Sell to Close;-1.0;$277.81;11/12/20, 10:25 AM;($0.43);$0.89;0.0;
13;MacdPerfect;Buy to Open;1.0;$276.48;11/27/20, 10:00 AM;;$0.67;1.0;
14;MacdPerfect;Sell to Close;-1.0;$275.98;11/27/20, 10:10 AM;($0.50);$0.39;0.0;
15;MacdPerfect;Buy to Open;1.0;$276.59;11/27/20, 10:15 AM;;$1.25;1.0;
16;MacdPerfect;Sell to Close;-1.0;$278.01;11/27/20, 10:50 AM;$1.42;$1.81;0.0;
17;MacdPerfect;Buy to Open;1.0;$268.65;12/28/20, 9:40 AM;;$1.50;1.0;
18;MacdPerfect;Sell to Close;-1.0;$268.38;12/28/20, 9:45 AM;($0.27);$1.54;0.0;
19;MacdPerfect;Buy to Open;1.0;$277.70;12/29/20, 9:40 AM;;$2.52;1.0;
20;MacdPerfect;Sell to Close;-1.0;$277.96;12/29/20, 9:50 AM;$0.26;$1.80;0.0;
21;MacdPerfect;Buy to Open;1.0;$278.66;12/29/20, 1:45 PM;;$2.39;1.0;
22;MacdPerfect;Sell to Close;-1.0;$279.21;12/29/20, 2:10 PM;$0.55;$2.35;0.0;
23;MacdPerfect;Buy to Open;1.0;$270.92;1/5/21, 2:00 PM;;$2.61;1.0;
24;MacdPerfect;Sell to Close;-1.0;$271.71;1/5/21, 2:50 PM;$0.79;$3.14;0.0;
25;MacdPerfect;Buy to Open;1.0;$269.33;1/7/21, 11:30 AM;;$2.97;1.0;
26;MacdPerfect;Sell to Close;-1.0;$268.77;1/7/21, 12:10 PM;($0.55);$2.59;0.0;
27;MacdPerfect;Buy to Open;1.0;$269.30;1/7/21, 3:25 PM;;$3.05;1.0;
28;MacdPerfect;Sell to Close;-1.0;$269.44;1/7/21, 3:55 PM;$0.14;$2.74;0.0;
29;MacdPerfect;Buy to Open;1.0;$255.37;1/19/21, 10:10 AM;;$3.07;1.0;
30;MacdPerfect;Sell to Close;-1.0;$254.43;1/19/21, 10:20 AM;($0.94);$1.80;0.0;
31;MacdPerfect;Buy to Open;1.0;$254.92;1/19/21, 10:40 AM;;$2.14;1.0;
32;MacdPerfect;Sell to Close;-1.0;$254.62;1/19/21, 10:50 AM;($0.30);$1.50;0.0;
33;MacdPerfect;Buy to Open;1.0;$267.13;1/20/21, 9:50 AM;;$0.44;1.0;
34;MacdPerfect;Sell to Close;-1.0;$266.18;1/20/21, 9:55 AM;($0.95);$0.55;0.0;
35;MacdPerfect;Buy to Open;1.0;$269.91;1/21/21, 9:55 AM;;$0.46;1.0;
36;MacdPerfect;Sell to Close;-1.0;$271.46;1/21/21, 10:30 AM;$1.55;$2.10;0.0;
37;MacdPerfect;Buy to Open;1.0;$276.42;1/22/21, 12:00 PM;;$1.83;1.0;
38;MacdPerfect;Sell to Close;-1.0;$275.69;1/22/21, 12:10 PM;($0.73);$1.37;0.0;
39;MacdPerfect;Buy to Open;1.0;$276.22;1/22/21, 12:20 PM;;$1.16;1.0;
40;MacdPerfect;Sell to Close;-1.0;$275.71;1/22/21, 1:00 PM;($0.51);$0.86;0.0;
41;MacdPerfect;Buy to Open;1.0;$276.21;1/22/21, 1:05 PM;;$0.05;1.0;
42;MacdPerfect;Sell to Close;-1.0;$275.39;1/22/21, 1:10 PM;($0.82);$0.04;0.0;
43;MacdPerfect;Buy to Open;1.0;$275.99;1/25/21, 12:45 PM;;$0.80;1.0;
44;MacdPerfect;Sell to Close;-1.0;$277.08;1/25/21, 1:25 PM;$1.09;$1.12;0.0;
45;MacdPerfect;Buy to Open;1.0;$280.01;1/26/21, 9:55 AM;;$1.32;1.0;
46;MacdPerfect;Sell to Close;-1.0;$280.06;1/26/21, 10:10 AM;$0.06;$1.18;0.0;
47;MacdPerfect;Buy to Open;1.0;$265.41;2/2/21, 9:40 AM;;$0.87;1.0;
48;MacdPerfect;Sell to Close;-1.0;$265.44;2/2/21, 9:55 AM;$0.03;$1.21;0.0;
49;MacdPerfect;Buy to Open;1.0;$267.42;2/5/21, 9:55 AM;;$0.06;1.0;
50;MacdPerfect;Sell to Close;-1.0;$266.26;2/5/21, 10:00 AM;($1.16);$0.05;0.0;
51;MacdPerfect;Buy to Open;1.0;$267.43;2/5/21, 10:10 AM;;$0.22;1.0;
52;MacdPerfect;Sell to Close;-1.0;$267.06;2/5/21, 10:20 AM;($0.37);($0.32);0.0;
53;MacdPerfect;Buy to Open;1.0;$267.39;2/5/21, 10:25 AM;;($0.17);1.0;
54;MacdPerfect;Sell to Close;-1.0;$267.22;2/5/21, 10:40 AM;($0.17);($0.49);0.0;
55;MacdPerfect;Buy to Open;1.0;$272.92;2/10/21, 9:40 AM;;($1.82);1.0;
56;MacdPerfect;Sell to Close;-1.0;$271.47;2/10/21, 9:45 AM;($1.45);($1.94);0.0;
57;MacdPerfect;Buy to Open;1.0;$270.00;2/10/21, 1:40 PM;;($1.53);1.0;
58;MacdPerfect;Sell to Close;-1.0;$269.74;2/10/21, 1:50 PM;($0.26);($2.20);0.0;
59;MacdPerfect;Buy to Open;1.0;$270.23;2/10/21, 1:55 PM;;($2.28);1.0;
60;MacdPerfect;Sell to Close;-1.0;$271.70;2/10/21, 3:00 PM;$1.47;($0.73);0.0;
61;MacdPerfect;Buy to Open;1.0;$264.83;3/2/21, 12:40 PM;;($0.28);1.0;
62;MacdPerfect;Sell to Close;-1.0;$264.76;3/2/21, 1:00 PM;($0.07);($0.80);0.0;
63;MacdPerfect;Buy to Open;1.0;$259.52;3/5/21, 10:00 AM;;$0.21;1.0;
64;MacdPerfect;Sell to Close;-1.0;$258.90;3/5/21, 10:15 AM;($0.62);($1.42);0.0;
65;MacdPerfect;Buy to Open;1.0;$259.87;3/5/21, 10:25 AM;;($1.26);1.0;
66;MacdPerfect;Sell to Close;-1.0;$259.14;3/5/21, 10:35 AM;($0.73);($2.15);0.0;
67;MacdPerfect;Buy to Open;1.0;$262.44;3/9/21, 9:50 AM;;($1.24);1.0;
68;MacdPerfect;Sell to Close;-1.0;$264.52;3/9/21, 10:25 AM;$2.08;($0.06);0.0;
69;MacdPerfect;Buy to Open;1.0;$266.24;3/10/21, 2:50 PM;;($0.33);1.0;
70;MacdPerfect;Sell to Close;-1.0;$265.91;3/10/21, 2:55 PM;($0.33);($0.39);0.0;
71;MacdPerfect;Buy to Open;1.0;$265.55;3/10/21, 3:20 PM;;($0.57);1.0;
72;MacdPerfect;Sell to Close;-1.0;$265.38;3/10/21, 3:25 PM;($0.17);($0.56);0.0;
73;MacdPerfect;Buy to Open;1.0;$265.56;3/10/21, 3:30 PM;;($0.75);1.0;
74;MacdPerfect;Sell to Close;-1.0;$265.38;3/10/21, 3:35 PM;($0.18);($0.74);0.0;
75;MacdPerfect;Buy to Open;1.0;$272.32;3/15/21, 10:15 AM;;($1.09);1.0;
76;MacdPerfect;Sell to Close;-1.0;$272.02;3/15/21, 10:20 AM;($0.30);($1.04);0.0;
77;MacdPerfect;Buy to Open;1.0;$272.18;3/15/21, 12:25 PM;;($1.27);1.0;
78;MacdPerfect;Sell to Close;-1.0;$271.87;3/15/21, 12:30 PM;($0.31);($1.35);0.0;
79;MacdPerfect;Buy to Open;1.0;$272.37;3/15/21, 12:35 PM;;($1.20);1.0;
80;MacdPerfect;Sell to Close;-1.0;$272.19;3/15/21, 1:10 PM;($0.18);($1.54);0.0;
81;MacdPerfect;Buy to Open;1.0;$279.73;3/16/21, 3:00 PM;;($1.42);1.0;
82;MacdPerfect;Sell to Close;-1.0;$280.08;3/16/21, 3:55 PM;$0.35;($1.19);0.0;
83;MacdPerfect;Buy to Open;1.0;$279.29;3/17/21, 11:50 AM;;($1.17);1.0;
84;MacdPerfect;Sell to Close;-1.0;$278.53;3/17/21, 12:00 PM;($0.76);($1.95);0.0;
85;MacdPerfect;Buy to Open;1.0;$283.77;3/19/21, 9:35 AM;;($0.99);1.0;
86;MacdPerfect;Sell to Close;-1.0;$290.53;3/19/21, 11:00 AM;$6.76;$4.81;0.0;
87;MacdPerfect;Buy to Open;1.0;$287.64;3/29/21, 10:15 AM;;$4.15;1.0;
