Strategy report
Symbol: FB
Work Time: 10/28/20, 9:35 AM - 7/9/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Sell to Open;-40.0;$275.03;10/28/20, 9:35 AM;;($4.40);-40.0;
2;MacdPerfect;Buy to Close;40.0;$273.71;10/28/20, 9:45 AM;$52.80;$52.80;0.0;
3;MacdPerfect;Buy to Open;40.0;$275.52;10/29/20, 9:35 AM;;$15.60;40.0;
4;MacdPerfect;Sell to Close;-40.0;$274.65;10/29/20, 9:40 AM;($35.00);$17.80;0.0;
5;MacdPerfect;Buy to Open;40.0;$264.75;11/2/20, 9:35 AM;;$102.88;40.0;
6;MacdPerfect;Sell to Close;-40.0;$267.84;11/2/20, 10:10 AM;$123.60;$141.40;0.0;
7;MacdPerfect;Buy to Open;40.0;$261.21;11/3/20, 9:35 AM;;$185.00;40.0;
8;MacdPerfect;Sell to Close;-40.0;$266.92;11/3/20, 10:30 AM;$228.40;$369.80;0.0;
9;MacdPerfect;Buy to Open;40.0;$283.13;11/4/20, 9:35 AM;;$289.80;40.0;
10;MacdPerfect;Sell to Close;-40.0;$281.18;11/4/20, 9:40 AM;($78.00);$291.80;0.0;
11;MacdPerfect;Buy to Open;40.0;$289.72;11/5/20, 9:35 AM;;$402.60;40.0;
12;MacdPerfect;Sell to Close;-40.0;$293.55;11/5/20, 10:15 AM;$153.20;$445.00;0.0;
13;MacdPerfect;Sell to Open;-40.0;$286.81;11/9/20, 9:35 AM;;$323.40;-40.0;
14;MacdPerfect;Buy to Close;40.0;$290.68;11/9/20, 9:50 AM;($154.80);$290.20;0.0;
15;MacdPerfect;Buy to Open;40.0;$273.85;11/11/20, 9:35 AM;;$369.53;40.0;
16;MacdPerfect;Sell to Close;-40.0;$276.78;11/11/20, 10:05 AM;$117.20;$407.40;0.0;
17;MacdPerfect;Buy to Open;40.0;$278.30;11/12/20, 9:35 AM;;$442.80;40.0;
18;MacdPerfect;Sell to Close;-40.0;$276.96;11/12/20, 9:50 AM;($53.60);$353.79;0.0;
19;MacdPerfect;Buy to Open;40.0;$276.20;11/16/20, 9:35 AM;;$385.99;40.0;
20;MacdPerfect;Sell to Close;-40.0;$277.10;11/16/20, 9:50 AM;$36.20;$389.99;0.0;
21;MacdPerfect;Sell to Open;-40.0;$276.17;11/17/20, 9:35 AM;;$450.00;-40.0;
22;MacdPerfect;Buy to Close;40.0;$274.70;11/17/20, 9:40 AM;$58.80;$448.80;0.0;
23;MacdPerfect;Buy to Open;40.0;$276.35;11/18/20, 9:35 AM;;$476.80;40.0;
24;MacdPerfect;Sell to Close;-40.0;$275.17;11/18/20, 9:50 AM;($47.20);$401.60;0.0;
25;MacdPerfect;Sell to Open;-40.0;$271.62;11/20/20, 9:40 AM;;$411.20;-40.0;
26;MacdPerfect;Buy to Close;40.0;$270.89;11/20/20, 9:55 AM;$29.20;$430.80;0.0;
27;MacdPerfect;Buy to Open;40.0;$269.68;11/24/20, 9:35 AM;;$423.00;40.0;
28;MacdPerfect;Sell to Close;-40.0;$269.08;11/24/20, 9:45 AM;($24.20);$406.60;0.0;
29;MacdPerfect;Buy to Open;40.0;$276.22;11/27/20, 9:35 AM;;$382.40;40.0;
30;MacdPerfect;Sell to Close;-40.0;$275.57;11/27/20, 9:40 AM;($26.00);$380.60;0.0;
31;MacdPerfect;Sell to Open;-40.0;$274.39;11/30/20, 9:35 AM;;$379.80;-40.0;
32;MacdPerfect;Buy to Close;40.0;$273.93;11/30/20, 9:45 AM;$18.30;$398.90;0.0;
33;MacdPerfect;Buy to Open;40.0;$281.07;12/1/20, 9:35 AM;;$502.90;40.0;
34;MacdPerfect;Sell to Close;-40.0;$285.86;12/1/20, 10:25 AM;$191.60;$590.50;0.0;
35;MacdPerfect;Sell to Open;-40.0;$282.15;12/2/20, 9:35 AM;;$599.10;-40.0;
36;MacdPerfect;Buy to Close;40.0;$282.99;12/2/20, 10:00 AM;($33.43);$557.06;0.0;
37;MacdPerfect;Buy to Open;40.0;$282.34;12/7/20, 9:40 AM;;$623.46;40.0;
38;MacdPerfect;Sell to Close;-40.0;$287.31;12/7/20, 10:35 AM;$198.60;$755.66;0.0;
39;MacdPerfect;Buy to Open;40.0;$283.14;12/9/20, 9:40 AM;;$836.26;40.0;
40;MacdPerfect;Sell to Close;-40.0;$285.68;12/9/20, 10:05 AM;$101.60;$857.26;0.0;
41;MacdPerfect;Sell to Open;-40.0;$272.76;12/10/20, 9:35 AM;;$874.26;-40.0;
42;MacdPerfect;Buy to Close;40.0;$277.23;12/10/20, 10:30 AM;($179.00);$678.26;0.0;
43;MacdPerfect;Sell to Open;-40.0;$272.39;12/14/20, 9:35 AM;;$610.26;-40.0;
44;MacdPerfect;Buy to Close;40.0;$274.02;12/14/20, 9:40 AM;($65.20);$613.06;0.0;
45;MacdPerfect;Sell to Open;-40.0;$273.61;12/16/20, 9:35 AM;;$633.62;-40.0;
46;MacdPerfect;Buy to Close;40.0;$273.06;12/16/20, 9:40 AM;$22.16;$635.22;0.0;
47;MacdPerfect;Buy to Open;40.0;$278.38;12/17/20, 9:35 AM;;$639.66;40.0;
48;MacdPerfect;Sell to Close;-40.0;$278.62;12/17/20, 10:05 AM;$9.63;$644.86;0.0;
49;MacdPerfect;Sell to Open;-40.0;$274.25;12/21/20, 9:35 AM;;$655.66;-40.0;
50;MacdPerfect;Buy to Close;40.0;$272.03;12/21/20, 9:50 AM;$88.80;$733.66;0.0;
51;MacdPerfect;Sell to Open;-40.0;$269.95;12/22/20, 9:35 AM;;$707.66;-40.0;
52;MacdPerfect;Buy to Close;40.0;$271.02;12/22/20, 10:00 AM;($42.66);$691.00;0.0;
53;MacdPerfect;Buy to Open;40.0;$268.44;12/23/20, 9:40 AM;;$643.00;40.0;
54;MacdPerfect;Sell to Close;-40.0;$267.19;12/23/20, 9:45 AM;($50.00);$641.00;0.0;
55;MacdPerfect;Buy to Open;40.0;$269.20;12/24/20, 9:35 AM;;$663.00;40.0;
56;MacdPerfect;Sell to Close;-40.0;$268.82;12/24/20, 9:55 AM;($15.20);$625.80;0.0;
57;MacdPerfect;Buy to Open;40.0;$268.34;12/28/20, 9:35 AM;;$637.80;40.0;
58;MacdPerfect;Sell to Close;-40.0;$267.67;12/28/20, 9:50 AM;($26.80);$599.00;0.0;
59;MacdPerfect;Buy to Open;40.0;$277.11;12/29/20, 9:35 AM;;$622.60;40.0;
60;MacdPerfect;Sell to Close;-40.0;$277.96;12/29/20, 9:50 AM;$34.00;$633.00;0.0;
61;MacdPerfect;Buy to Open;40.0;$273.32;12/31/20, 9:35 AM;;$690.40;40.0;
62;MacdPerfect;Sell to Close;-40.0;$274.69;12/31/20, 10:00 AM;$55.00;$688.00;0.0;
63;MacdPerfect;Buy to Open;40.0;$271.98;1/4/21, 9:35 AM;;$661.50;40.0;
64;MacdPerfect;Sell to Close;-40.0;$271.18;1/4/21, 9:40 AM;($32.10);$655.90;0.0;
65;MacdPerfect;Buy to Open;40.0;$269.66;1/5/21, 9:35 AM;;$675.45;40.0;
66;MacdPerfect;Sell to Close;-40.0;$270.38;1/5/21, 10:20 AM;$28.92;$684.82;0.0;
67;MacdPerfect;Buy to Open;40.0;$266.37;1/7/21, 9:35 AM;;$803.42;40.0;
68;MacdPerfect;Sell to Close;-40.0;$269.72;1/7/21, 10:15 AM;$134.20;$819.02;0.0;
69;MacdPerfect;Sell to Open;-40.0;$266.94;1/8/21, 9:35 AM;;$888.42;-40.0;
70;MacdPerfect;Buy to Close;40.0;$265.27;1/8/21, 9:40 AM;$66.80;$885.82;0.0;
71;MacdPerfect;Sell to Open;-40.0;$256.95;1/11/21, 9:35 AM;;$852.02;-40.0;
72;MacdPerfect;Buy to Close;40.0;$261.04;1/11/21, 10:00 AM;($163.60);$722.22;0.0;
73;MacdPerfect;Buy to Open;40.0;$252.42;1/14/21, 9:35 AM;;$734.42;40.0;
74;MacdPerfect;Sell to Close;-40.0;$251.91;1/14/21, 9:45 AM;($20.20);$702.02;0.0;
75;MacdPerfect;Buy to Open;40.0;$250.66;1/15/21, 9:40 AM;;$717.22;40.0;
76;MacdPerfect;Sell to Close;-40.0;$249.35;1/15/21, 10:05 AM;($52.40);$649.62;0.0;
77;MacdPerfect;Buy to Open;40.0;$254.29;1/19/21, 9:35 AM;;$597.02;40.0;
78;MacdPerfect;Sell to Close;-40.0;$253.00;1/19/21, 9:40 AM;($51.60);$598.02;0.0;
79;MacdPerfect;Buy to Open;40.0;$266.10;1/20/21, 9:35 AM;;$526.82;40.0;
80;MacdPerfect;Sell to Close;-40.0;$264.24;1/20/21, 9:40 AM;($74.40);$523.62;0.0;
81;MacdPerfect;Buy to Open;40.0;$269.30;1/21/21, 9:40 AM;;$487.62;40.0;
82;MacdPerfect;Sell to Close;-40.0;$268.40;1/21/21, 9:45 AM;($36.00);$487.62;0.0;
83;MacdPerfect;Buy to Open;40.0;$273.58;1/22/21, 9:35 AM;;$570.22;40.0;
84;MacdPerfect;Sell to Close;-40.0;$276.99;1/22/21, 10:05 AM;$136.20;$623.82;0.0;
85;MacdPerfect;Buy to Open;40.0;$279.85;1/25/21, 9:35 AM;;$600.82;40.0;
86;MacdPerfect;Sell to Close;-40.0;$279.32;1/25/21, 9:40 AM;($21.00);$602.82;0.0;
87;MacdPerfect;Buy to Open;40.0;$279.66;1/26/21, 9:35 AM;;$616.42;40.0;
88;MacdPerfect;Sell to Close;-40.0;$279.00;1/26/21, 9:45 AM;($26.40);$576.42;0.0;
89;MacdPerfect;Buy to Open;40.0;$284.99;1/28/21, 9:35 AM;;$548.42;40.0;
90;MacdPerfect;Sell to Close;-40.0;$282.38;1/28/21, 9:45 AM;($104.40);$472.02;0.0;
91;MacdPerfect;Sell to Open;-40.0;$263.81;1/29/21, 9:35 AM;;$537.62;-40.0;
92;MacdPerfect;Buy to Close;40.0;$262.08;1/29/21, 9:40 AM;$69.20;$541.22;0.0;
93;MacdPerfect;Buy to Open;40.0;$263.96;2/2/21, 9:35 AM;;$595.22;40.0;
94;MacdPerfect;Sell to Close;-40.0;$265.44;2/2/21, 9:55 AM;$59.20;$600.42;0.0;
95;MacdPerfect;Buy to Open;40.0;$268.31;2/5/21, 9:35 AM;;$543.22;40.0;
96;MacdPerfect;Sell to Close;-40.0;$266.93;2/5/21, 9:40 AM;($55.20);$545.22;0.0;
97;MacdPerfect;Buy to Open;40.0;$267.17;2/9/21, 9:35 AM;;$570.42;40.0;
98;MacdPerfect;Sell to Close;-40.0;$272.43;2/9/21, 10:30 AM;$210.58;$755.80;0.0;
99;MacdPerfect;Buy to Open;40.0;$272.83;2/10/21, 9:35 AM;;$757.00;40.0;
100;MacdPerfect;Sell to Close;-40.0;$271.47;2/10/21, 9:45 AM;($54.40);$701.40;0.0;
101;MacdPerfect;Buy to Open;40.0;$272.34;2/16/21, 9:35 AM;;$724.20;40.0;
102;MacdPerfect;Sell to Close;-40.0;$274.44;2/16/21, 10:15 AM;$83.80;$785.20;0.0;
103;MacdPerfect;Sell to Open;-40.0;$269.64;2/18/21, 9:35 AM;;$785.60;-40.0;
104;MacdPerfect;Buy to Close;40.0;$269.20;2/18/21, 9:50 AM;$17.60;$802.80;0.0;
105;MacdPerfect;Sell to Open;-40.0;$266.93;2/19/21, 9:40 AM;;$812.80;-40.0;
106;MacdPerfect;Buy to Close;40.0;$266.43;2/19/21, 10:00 AM;$20.00;$822.80;0.0;
107;MacdPerfect;Sell to Open;-40.0;$258.61;2/22/21, 9:35 AM;;$737.60;-40.0;
108;MacdPerfect;Buy to Close;40.0;$260.80;2/22/21, 9:40 AM;($87.60);$735.20;0.0;
109;MacdPerfect;Sell to Open;-40.0;$262.54;2/24/21, 9:40 AM;;$763.80;-40.0;
110;MacdPerfect;Buy to Close;40.0;$261.82;2/24/21, 9:45 AM;$28.80;$764.00;0.0;
111;MacdPerfect;Buy to Open;40.0;$265.65;2/25/21, 9:40 AM;;$761.20;40.0;
112;MacdPerfect;Sell to Close;-40.0;$265.08;2/25/21, 10:10 AM;($22.80);$741.20;0.0;
113;MacdPerfect;Buy to Open;40.0;$260.06;2/26/21, 9:40 AM;;$793.00;40.0;
114;MacdPerfect;Sell to Close;-40.0;$259.05;2/26/21, 9:55 AM;($40.40);$700.80;0.0;
115;MacdPerfect;Buy to Open;40.0;$265.66;3/2/21, 9:35 AM;;$697.96;40.0;
116;MacdPerfect;Sell to Close;-40.0;$265.15;3/2/21, 9:45 AM;($20.44);$680.36;0.0;
117;MacdPerfect;Buy to Open;40.0;$259.97;3/3/21, 9:35 AM;;$703.16;40.0;
118;MacdPerfect;Sell to Close;-40.0;$258.44;3/3/21, 9:45 AM;($61.20);$619.16;0.0;
119;MacdPerfect;Buy to Open;40.0;$258.60;3/4/21, 9:35 AM;;$613.16;40.0;
120;MacdPerfect;Sell to Close;-40.0;$257.37;3/4/21, 9:50 AM;($49.20);$569.96;0.0;
121;MacdPerfect;Buy to Open;40.0;$258.33;3/5/21, 9:35 AM;;$576.22;40.0;
122;MacdPerfect;Sell to Close;-40.0;$258.79;3/5/21, 9:55 AM;$18.26;$588.22;0.0;
123;MacdPerfect;Buy to Open;40.0;$261.07;3/9/21, 9:40 AM;;$550.22;40.0;
124;MacdPerfect;Sell to Close;-40.0;$260.11;3/9/21, 9:45 AM;($38.40);$549.82;0.0;
125;MacdPerfect;Buy to Open;40.0;$271.67;3/11/21, 9:35 AM;;$595.82;40.0;
126;MacdPerfect;Sell to Close;-40.0;$273.61;3/11/21, 10:15 AM;$77.60;$627.42;0.0;
127;MacdPerfect;Buy to Open;40.0;$271.83;3/15/21, 9:35 AM;;$661.42;40.0;
128;MacdPerfect;Sell to Close;-40.0;$272.60;3/15/21, 10:05 AM;$30.80;$658.22;0.0;
129;MacdPerfect;Buy to Open;40.0;$277.00;3/16/21, 9:35 AM;;$661.42;40.0;
130;MacdPerfect;Sell to Close;-40.0;$278.94;3/16/21, 10:15 AM;$77.60;$735.82;0.0;
131;MacdPerfect;Buy to Open;40.0;$283.77;3/19/21, 9:35 AM;;$774.22;40.0;
132;MacdPerfect;Sell to Close;-40.0;$290.53;3/19/21, 11:00 AM;$270.40;$1,006.22;0.0;
133;MacdPerfect;Sell to Open;-40.0;$287.93;3/22/21, 9:40 AM;;$1,018.22;-40.0;
134;MacdPerfect;Buy to Close;40.0;$289.80;3/22/21, 9:50 AM;($74.80);$931.42;0.0;
135;MacdPerfect;Buy to Open;40.0;$290.03;3/24/21, 9:40 AM;;$948.22;40.0;
136;MacdPerfect;Sell to Close;-40.0;$289.45;3/24/21, 9:50 AM;($23.20);$908.22;0.0;
137;MacdPerfect;Buy to Open;40.0;$284.52;3/25/21, 9:40 AM;;$935.22;40.0;
138;MacdPerfect;Sell to Close;-40.0;$285.64;3/25/21, 10:20 AM;$44.80;$953.02;0.0;
139;MacdPerfect;Buy to Open;40.0;$281.50;3/26/21, 9:40 AM;;$915.02;40.0;
140;MacdPerfect;Sell to Close;-40.0;$280.62;3/26/21, 9:45 AM;($35.20);$917.82;0.0;
141;MacdPerfect;Buy to Open;40.0;$287.50;3/29/21, 9:35 AM;;$929.10;40.0;
142;MacdPerfect;Sell to Close;-40.0;$286.70;3/29/21, 10:00 AM;($31.93);$885.90;0.0;
143;MacdPerfect;Sell to Open;-40.0;$290.33;3/30/21, 9:35 AM;;$821.50;-40.0;
144;MacdPerfect;Buy to Close;40.0;$291.94;3/30/21, 9:40 AM;($64.40);$821.50;0.0;
145;MacdPerfect;Buy to Open;40.0;$301.11;4/1/21, 9:35 AM;;$805.10;40.0;
146;MacdPerfect;Sell to Close;-40.0;$299.34;4/1/21, 10:05 AM;($70.80);$750.70;0.0;
147;MacdPerfect;Buy to Open;40.0;$303.05;4/5/21, 9:35 AM;;$706.52;40.0;
148;MacdPerfect;Sell to Close;-40.0;$301.95;4/5/21, 9:40 AM;($43.98);$706.72;0.0;
149;MacdPerfect;Buy to Open;40.0;$309.63;4/6/21, 9:35 AM;;$646.72;40.0;
150;MacdPerfect;Sell to Close;-40.0;$308.10;4/6/21, 9:40 AM;($61.17);$645.54;0.0;
151;MacdPerfect;Buy to Open;40.0;$308.35;4/7/21, 9:40 AM;;$636.54;40.0;
152;MacdPerfect;Sell to Close;-40.0;$307.66;4/7/21, 9:55 AM;($27.60);$617.94;0.0;
153;MacdPerfect;Buy to Open;40.0;$313.72;4/8/21, 9:35 AM;;$533.74;40.0;
154;MacdPerfect;Sell to Close;-40.0;$311.63;4/8/21, 9:40 AM;($83.60);$534.34;0.0;
155;MacdPerfect;Sell to Open;-40.0;$312.05;4/9/21, 9:40 AM;;$509.54;-40.0;
156;MacdPerfect;Buy to Close;40.0;$312.68;4/9/21, 9:45 AM;($25.24);$509.10;0.0;
157;MacdPerfect;Sell to Open;-40.0;$310.20;4/12/21, 9:35 AM;;$490.30;-40.0;
158;MacdPerfect;Buy to Close;40.0;$309.11;4/12/21, 9:50 AM;$43.60;$552.70;0.0;
159;MacdPerfect;Buy to Open;40.0;$311.03;4/13/21, 9:35 AM;;$622.14;40.0;
160;MacdPerfect;Sell to Close;-40.0;$311.93;4/13/21, 9:50 AM;$35.80;$588.50;0.0;
161;MacdPerfect;Buy to Open;40.0;$305.53;4/15/21, 9:35 AM;;$572.50;40.0;
162;MacdPerfect;Sell to Close;-40.0;$304.81;4/15/21, 9:45 AM;($28.80);$559.70;0.0;
163;MacdPerfect;Sell to Open;-40.0;$306.45;4/16/21, 9:35 AM;;$585.30;-40.0;
164;MacdPerfect;Buy to Close;40.0;$305.87;4/16/21, 9:40 AM;$23.20;$582.90;0.0;
165;MacdPerfect;Buy to Open;40.0;$306.52;4/19/21, 9:35 AM;;$572.70;40.0;
166;MacdPerfect;Sell to Close;-40.0;$305.48;4/19/21, 9:50 AM;($41.80);$541.10;0.0;
167;MacdPerfect;Sell to Open;-40.0;$299.34;4/20/21, 9:35 AM;;$509.90;-40.0;
168;MacdPerfect;Buy to Close;40.0;$300.69;4/20/21, 9:45 AM;($54.02);$487.09;0.0;
169;MacdPerfect;Sell to Open;-40.0;$299.44;4/21/21, 9:35 AM;;$522.49;-40.0;
170;MacdPerfect;Buy to Close;40.0;$298.52;4/21/21, 9:40 AM;$36.60;$523.69;0.0;
171;MacdPerfect;Buy to Open;40.0;$300.71;4/22/21, 9:35 AM;;$532.69;40.0;
172;MacdPerfect;Sell to Close;-40.0;$302.36;4/22/21, 10:15 AM;$66.20;$589.89;0.0;
173;MacdPerfect;Buy to Open;40.0;$302.72;4/26/21, 9:35 AM;;$589.49;40.0;
174;MacdPerfect;Sell to Close;-40.0;$305.04;4/26/21, 10:25 AM;$92.80;$682.69;0.0;
175;MacdPerfect;Buy to Open;40.0;$304.30;4/27/21, 9:35 AM;;$643.29;40.0;
176;MacdPerfect;Sell to Close;-40.0;$303.33;4/27/21, 9:40 AM;($38.80);$643.89;0.0;
177;MacdPerfect;Buy to Open;40.0;$306.64;4/28/21, 9:35 AM;;$706.29;40.0;
178;MacdPerfect;Sell to Close;-40.0;$309.27;4/28/21, 10:10 AM;$105.20;$749.09;0.0;
179;MacdPerfect;Buy to Open;40.0;$326.86;4/29/21, 9:35 AM;;$695.88;40.0;
180;MacdPerfect;Sell to Close;-40.0;$325.46;4/29/21, 9:40 AM;($55.96);$693.13;0.0;
181;MacdPerfect;Buy to Open;40.0;$329.52;4/30/21, 9:40 AM;;$649.63;40.0;
182;MacdPerfect;Sell to Close;-40.0;$328.44;4/30/21, 9:45 AM;($43.20);$649.93;0.0;
183;MacdPerfect;Buy to Open;40.0;$319.44;5/5/21, 9:35 AM;;$632.91;40.0;
184;MacdPerfect;Sell to Close;-40.0;$318.95;5/5/21, 9:40 AM;($19.80);$630.13;0.0;
185;MacdPerfect;Buy to Open;40.0;$316.16;5/6/21, 9:40 AM;;$569.73;40.0;
