Strategy report
Symbol: FB
Work Time: 10/22/20, 1:15 PM - 7/6/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$277.71;10/22/20, 1:15 PM;;($0.10);1.0;
2;MacdPerfect;Sell to Close;-1.0;$277.08;10/22/20, 1:35 PM;($0.63);($0.63);0.0;
3;MacdPerfect;Buy to Open;1.0;$277.17;10/22/20, 1:40 PM;;($0.31);1.0;
4;MacdPerfect;Sell to Close;-1.0;$278.14;10/22/20, 2:20 PM;$0.97;$0.34;0.0;
5;MacdPerfect;Buy to Open;1.0;$279.65;10/23/20, 12:55 PM;;($0.18);1.0;
6;MacdPerfect;Sell to Close;-1.0;$279.11;10/23/20, 1:00 PM;($0.54);($0.19);0.0;
7;MacdPerfect;Buy to Open;1.0;$278.85;10/27/20, 9:30 AM;;($2.21);1.0;
8;MacdPerfect;Sell to Close;-1.0;$276.82;10/27/20, 9:35 AM;($2.03);($2.23);0.0;
9;MacdPerfect;Buy to Open;1.0;$277.89;10/27/20, 9:40 AM;;($1.67);1.0;
10;MacdPerfect;Sell to Close;-1.0;$278.20;10/27/20, 10:20 AM;$0.31;($1.91);0.0;
11;MacdPerfect;Buy to Open;1.0;$277.97;10/27/20, 10:25 AM;;($1.97);1.0;
12;MacdPerfect;Sell to Close;-1.0;$277.89;10/27/20, 10:30 AM;($0.08);($1.99);0.0;
13;MacdPerfect;Buy to Open;1.0;$278.93;10/27/20, 10:35 AM;;($0.79);1.0;
14;MacdPerfect;Sell to Close;-1.0;$282.63;10/27/20, 11:25 AM;$3.70;$1.71;0.0;
15;MacdPerfect;Buy to Open;1.0;$270.96;10/28/20, 3:25 PM;;$1.89;1.0;
16;MacdPerfect;Sell to Close;-1.0;$270.09;10/28/20, 3:40 PM;($0.87);$0.84;0.0;
17;MacdPerfect;Buy to Open;1.0;$269.72;10/28/20, 3:45 PM;;$0.31;1.0;
18;MacdPerfect;Sell to Close;-1.0;$269.16;10/28/20, 3:50 PM;($0.56);$0.28;0.0;
19;MacdPerfect;Buy to Open;1.0;$275.52;10/29/20, 9:35 AM;;($0.65);1.0;
20;MacdPerfect;Sell to Close;-1.0;$274.65;10/29/20, 9:40 AM;($0.88);($0.60);0.0;
21;MacdPerfect;Buy to Open;1.0;$274.33;10/29/20, 9:45 AM;;$1.07;1.0;
22;MacdPerfect;Sell to Close;-1.0;$278.73;10/29/20, 10:35 AM;$4.40;$3.80;0.0;
23;MacdPerfect;Buy to Open;1.0;$265.54;10/30/20, 1:00 PM;;$3.02;1.0;
24;MacdPerfect;Sell to Close;-1.0;$264.73;10/30/20, 1:05 PM;($0.81);$2.99;0.0;
25;MacdPerfect;Buy to Open;1.0;$264.75;11/2/20, 9:35 AM;;$5.12;1.0;
26;MacdPerfect;Sell to Close;-1.0;$267.84;11/2/20, 10:10 AM;$3.09;$6.08;0.0;
27;MacdPerfect;Buy to Open;1.0;$260.37;11/2/20, 3:30 PM;;$5.34;1.0;
28;MacdPerfect;Sell to Close;-1.0;$259.61;11/2/20, 3:35 PM;($0.76);$5.33;0.0;
29;MacdPerfect;Buy to Open;1.0;$259.75;11/2/20, 3:40 PM;;$4.96;1.0;
30;MacdPerfect;Sell to Close;-1.0;$259.39;11/2/20, 3:45 PM;($0.36);$4.97;0.0;
31;MacdPerfect;Buy to Open;1.0;$259.88;11/2/20, 3:50 PM;;$5.76;1.0;
32;MacdPerfect;Sell to Close;-1.0;$260.64;11/2/20, 3:55 PM;$0.76;$5.73;0.0;
33;MacdPerfect;Buy to Open;1.0;$263.16;11/3/20, 9:30 AM;;$3.76;1.0;
34;MacdPerfect;Sell to Close;-1.0;$261.21;11/3/20, 9:35 AM;($1.95);$3.78;0.0;
35;MacdPerfect;Buy to Open;1.0;$262.36;11/3/20, 9:40 AM;;$3.78;1.0;
36;MacdPerfect;Sell to Close;-1.0;$266.92;11/3/20, 10:30 AM;$4.56;$8.34;0.0;
37;MacdPerfect;Buy to Open;1.0;$283.13;11/4/20, 9:35 AM;;$6.34;1.0;
38;MacdPerfect;Sell to Close;-1.0;$281.18;11/4/20, 9:40 AM;($1.95);$6.39;0.0;
39;MacdPerfect;Buy to Open;1.0;$281.37;11/4/20, 9:45 AM;;$4.65;1.0;
40;MacdPerfect;Sell to Close;-1.0;$279.63;11/4/20, 9:50 AM;($1.74);$4.65;0.0;
41;MacdPerfect;Buy to Open;1.0;$279.96;11/4/20, 9:55 AM;;$7.38;1.0;
42;MacdPerfect;Sell to Close;-1.0;$285.73;11/4/20, 10:30 AM;$5.77;$10.42;0.0;
43;MacdPerfect;Buy to Open;1.0;$289.72;11/5/20, 9:35 AM;;$13.19;1.0;
44;MacdPerfect;Sell to Close;-1.0;$293.55;11/5/20, 10:15 AM;$3.83;$14.25;0.0;
45;MacdPerfect;Buy to Open;1.0;$273.85;11/11/20, 9:35 AM;;$16.23;1.0;
46;MacdPerfect;Sell to Close;-1.0;$276.78;11/11/20, 10:05 AM;$2.93;$17.18;0.0;
47;MacdPerfect;Buy to Open;1.0;$275.69;11/11/20, 12:25 PM;;$17.16;1.0;
48;MacdPerfect;Sell to Close;-1.0;$275.15;11/11/20, 1:00 PM;($0.54);$16.64;0.0;
49;MacdPerfect;Buy to Open;1.0;$275.98;11/11/20, 2:05 PM;;$16.47;1.0;
50;MacdPerfect;Sell to Close;-1.0;$275.50;11/11/20, 2:15 PM;($0.48);$16.17;0.0;
51;MacdPerfect;Buy to Open;1.0;$275.54;11/11/20, 2:20 PM;;$16.75;1.0;
52;MacdPerfect;Sell to Close;-1.0;$274.95;11/11/20, 2:50 PM;($0.59);$15.58;0.0;
53;MacdPerfect;Buy to Open;1.0;$276.54;11/11/20, 3:40 PM;;$15.51;1.0;
54;MacdPerfect;Sell to Close;-1.0;$276.16;11/11/20, 3:55 PM;($0.38);$15.20;0.0;
