Strategy report
Symbol: FB
Work Time: 10/22/20, 1:55 PM - 7/6/21, 3:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$278.22;10/22/20, 1:55 PM;;($0.17);1.0;
2;MacdPerfect;Sell to Close;-1.0;$278.14;10/22/20, 2:20 PM;($0.08);($0.08);0.0;
3;MacdPerfect;Buy to Open;1.0;$277.89;10/27/20, 9:40 AM;;$0.48;1.0;
4;MacdPerfect;Sell to Close;-1.0;$278.20;10/27/20, 10:20 AM;$0.31;$0.24;0.0;
5;MacdPerfect;Buy to Open;1.0;$278.93;10/27/20, 10:35 AM;;$1.44;1.0;
6;MacdPerfect;Sell to Close;-1.0;$282.63;10/27/20, 11:25 AM;$3.70;$3.94;0.0;
7;MacdPerfect;Buy to Open;1.0;$271.96;10/28/20, 3:35 PM;;$2.09;1.0;
8;MacdPerfect;Sell to Close;-1.0;$270.09;10/28/20, 3:40 PM;($1.87);$2.07;0.0;
9;MacdPerfect;Buy to Open;1.0;$276.02;10/29/20, 9:50 AM;;$3.34;1.0;
10;MacdPerfect;Sell to Close;-1.0;$278.73;10/29/20, 10:35 AM;$2.71;$4.77;0.0;
11;MacdPerfect;Buy to Open;1.0;$264.75;11/2/20, 9:35 AM;;$6.90;1.0;
12;MacdPerfect;Sell to Close;-1.0;$267.84;11/2/20, 10:10 AM;$3.09;$7.86;0.0;
13;MacdPerfect;Buy to Open;1.0;$263.16;11/3/20, 9:30 AM;;$5.90;1.0;
14;MacdPerfect;Sell to Close;-1.0;$261.21;11/3/20, 9:35 AM;($1.95);$5.91;0.0;
15;MacdPerfect;Buy to Open;1.0;$262.36;11/3/20, 9:40 AM;;$5.92;1.0;
16;MacdPerfect;Sell to Close;-1.0;$266.92;11/3/20, 10:30 AM;$4.56;$10.48;0.0;
17;MacdPerfect;Buy to Open;1.0;$282.74;11/4/20, 10:00 AM;;$11.24;1.0;
