Strategy report
Symbol: FB
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;40.0;$275.52;10/29/20, 9:35 AM;;($37.20);40.0;
2;MacdPerfect;Sell to Close;-40.0;$279.35;10/29/20, 10:10 AM;$153.13;$153.13;0.0;
3;MacdPerfect;Buy to Open;40.0;$264.75;11/2/20, 9:35 AM;;$238.21;40.0;
4;MacdPerfect;Sell to Close;-40.0;$268.57;11/2/20, 10:05 AM;$152.80;$305.93;0.0;
5;MacdPerfect;Buy to Open;40.0;$261.21;11/3/20, 9:35 AM;;$349.53;40.0;
6;MacdPerfect;Sell to Close;-40.0;$266.92;11/3/20, 10:30 AM;$228.40;$534.33;0.0;
7;MacdPerfect;Buy to Open;40.0;$283.13;11/4/20, 9:35 AM;;$454.33;40.0;
8;MacdPerfect;Sell to Close;-40.0;$283.49;11/4/20, 10:05 AM;$14.40;$548.73;0.0;
9;MacdPerfect;Buy to Open;40.0;$289.72;11/5/20, 9:35 AM;;$659.53;40.0;
10;MacdPerfect;Sell to Close;-40.0;$294.44;11/5/20, 10:10 AM;$188.80;$737.53;0.0;
11;MacdPerfect;Buy to Open;40.0;$273.85;11/11/20, 9:35 AM;;$816.86;40.0;
12;MacdPerfect;Sell to Close;-40.0;$276.78;11/11/20, 10:05 AM;$117.20;$854.73;0.0;
13;MacdPerfect;Buy to Open;40.0;$278.30;11/12/20, 9:35 AM;;$890.13;40.0;
14;MacdPerfect;Sell to Close;-40.0;$276.96;11/12/20, 9:50 AM;($53.60);$801.12;0.0;
15;MacdPerfect;Buy to Open;40.0;$276.20;11/16/20, 9:35 AM;;$833.32;40.0;
16;MacdPerfect;Sell to Close;-40.0;$277.10;11/16/20, 9:50 AM;$36.20;$837.32;0.0;
17;MacdPerfect;Buy to Open;40.0;$276.35;11/18/20, 9:35 AM;;$865.32;40.0;
18;MacdPerfect;Sell to Close;-40.0;$275.17;11/18/20, 9:50 AM;($47.20);$790.12;0.0;
19;MacdPerfect;Buy to Open;40.0;$269.68;11/24/20, 9:35 AM;;$782.32;40.0;
20;MacdPerfect;Sell to Close;-40.0;$270.19;11/24/20, 10:15 AM;$20.40;$810.52;0.0;
21;MacdPerfect;Buy to Open;40.0;$276.22;11/27/20, 9:35 AM;;$786.32;40.0;
22;MacdPerfect;Sell to Close;-40.0;$275.57;11/27/20, 9:40 AM;($26.00);$784.52;0.0;
23;MacdPerfect;Buy to Open;40.0;$281.07;12/1/20, 9:35 AM;;$888.52;40.0;
24;MacdPerfect;Sell to Close;-40.0;$285.00;12/1/20, 10:05 AM;$157.20;$941.72;0.0;
25;MacdPerfect;Buy to Open;40.0;$282.34;12/7/20, 9:40 AM;;$1,008.12;40.0;
26;MacdPerfect;Sell to Close;-40.0;$287.90;12/7/20, 10:30 AM;$222.40;$1,164.12;0.0;
27;MacdPerfect;Buy to Open;40.0;$283.14;12/9/20, 9:40 AM;;$1,244.72;40.0;
28;MacdPerfect;Sell to Close;-40.0;$285.68;12/9/20, 10:05 AM;$101.60;$1,265.72;0.0;
29;MacdPerfect;Buy to Open;40.0;$274.02;12/14/20, 9:40 AM;;$1,325.72;40.0;
