Strategy report
Symbol: FB
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$275.52;10/29/20, 9:35 AM;;($0.93);1.0;
2;MacdPerfect;Sell to Close;-1.0;$279.35;10/29/20, 10:10 AM;$3.83;$3.83;0.0;
3;MacdPerfect;Buy to Open;1.0;$264.75;11/2/20, 9:35 AM;;$5.96;1.0;
4;MacdPerfect;Sell to Close;-1.0;$268.57;11/2/20, 10:05 AM;$3.82;$7.65;0.0;
5;MacdPerfect;Buy to Open;1.0;$261.21;11/3/20, 9:35 AM;;$8.74;1.0;
6;MacdPerfect;Sell to Close;-1.0;$266.92;11/3/20, 10:30 AM;$5.71;$13.36;0.0;
7;MacdPerfect;Buy to Open;1.0;$283.13;11/4/20, 9:35 AM;;$11.36;1.0;
8;MacdPerfect;Sell to Close;-1.0;$283.49;11/4/20, 10:05 AM;$0.36;$13.72;0.0;
9;MacdPerfect;Buy to Open;1.0;$289.72;11/5/20, 9:35 AM;;$16.49;1.0;
10;MacdPerfect;Sell to Close;-1.0;$294.44;11/5/20, 10:10 AM;$4.72;$18.44;0.0;
11;MacdPerfect;Buy to Open;1.0;$273.85;11/11/20, 9:35 AM;;$20.42;1.0;
12;MacdPerfect;Sell to Close;-1.0;$277.46;11/11/20, 10:10 AM;$3.61;$22.05;0.0;
13;MacdPerfect;Buy to Open;1.0;$278.30;11/12/20, 9:35 AM;;$22.93;1.0;
14;MacdPerfect;Sell to Close;-1.0;$278.31;11/12/20, 10:00 AM;$0.01;$22.06;0.0;
15;MacdPerfect;Buy to Open;1.0;$276.20;11/16/20, 9:35 AM;;$22.86;1.0;
16;MacdPerfect;Sell to Close;-1.0;$277.99;11/16/20, 11:25 AM;$1.80;$23.85;0.0;
17;MacdPerfect;Buy to Open;1.0;$276.35;11/18/20, 9:35 AM;;$24.55;1.0;
18;MacdPerfect;Sell to Close;-1.0;$275.17;11/18/20, 9:50 AM;($1.18);$22.67;0.0;
19;MacdPerfect;Buy to Open;1.0;$269.68;11/24/20, 9:35 AM;;$22.48;1.0;
20;MacdPerfect;Sell to Close;-1.0;$271.10;11/24/20, 10:25 AM;$1.42;$24.09;0.0;
21;MacdPerfect;Buy to Open;1.0;$276.22;11/27/20, 9:35 AM;;$23.49;1.0;
22;MacdPerfect;Sell to Close;-1.0;$275.99;11/27/20, 9:50 AM;($0.23);$23.86;0.0;
23;MacdPerfect;Buy to Open;1.0;$281.07;12/1/20, 9:35 AM;;$26.46;1.0;
24;MacdPerfect;Sell to Close;-1.0;$285.00;12/1/20, 10:05 AM;$3.93;$27.79;0.0;
25;MacdPerfect;Buy to Open;1.0;$282.34;12/7/20, 9:40 AM;;$29.45;1.0;
26;MacdPerfect;Sell to Close;-1.0;$287.90;12/7/20, 10:30 AM;$5.56;$33.35;0.0;
27;MacdPerfect;Buy to Open;1.0;$283.14;12/9/20, 9:40 AM;;$35.37;1.0;
28;MacdPerfect;Sell to Close;-1.0;$284.44;12/9/20, 10:15 AM;$1.30;$34.65;0.0;
29;MacdPerfect;Buy to Open;1.0;$274.02;12/14/20, 9:40 AM;;$36.15;1.0;
30;MacdPerfect;Sell to Close;-1.0;$274.72;12/14/20, 10:10 AM;$0.70;$35.35;0.0;
31;MacdPerfect;Buy to Open;1.0;$278.38;12/17/20, 9:35 AM;;$35.46;1.0;
32;MacdPerfect;Sell to Close;-1.0;$278.62;12/17/20, 10:05 AM;$0.24;$35.59;0.0;
33;MacdPerfect;Buy to Open;1.0;$268.44;12/23/20, 9:40 AM;;$34.39;1.0;
34;MacdPerfect;Sell to Close;-1.0;$267.92;12/23/20, 10:05 AM;($0.52);$35.07;0.0;
35;MacdPerfect;Buy to Open;1.0;$269.20;12/24/20, 9:35 AM;;$35.62;1.0;
36;MacdPerfect;Sell to Close;-1.0;$268.33;12/24/20, 10:05 AM;($0.88);$34.20;0.0;
37;MacdPerfect;Buy to Open;1.0;$268.34;12/28/20, 9:35 AM;;$34.50;1.0;
38;MacdPerfect;Sell to Close;-1.0;$268.07;12/28/20, 10:00 AM;($0.27);$33.93;0.0;
39;MacdPerfect;Buy to Open;1.0;$277.11;12/29/20, 9:35 AM;;$34.52;1.0;
40;MacdPerfect;Sell to Close;-1.0;$279.07;12/29/20, 10:10 AM;$1.96;$35.89;0.0;
41;MacdPerfect;Buy to Open;1.0;$273.32;12/31/20, 9:35 AM;;$37.33;1.0;
42;MacdPerfect;Sell to Close;-1.0;$275.24;12/31/20, 10:05 AM;$1.92;$37.81;0.0;
43;MacdPerfect;Sell to Close;-1.0;$271.98;1/4/21, 9:35 AM;$0.00;$38.47;-1.0;
