Strategy report
Symbol: FB
Work Time: 10/27/20, 1:20 PM - 7/9/21, 3:10 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$282.28;10/27/20, 1:20 PM;;$0.60;1.0;
2;MacdPerfect;Sell to Close;-1.0;$283.84;10/27/20, 2:00 PM;$1.56;$1.56;0.0;
3;MacdPerfect;Buy to Open;1.0;$283.52;10/27/20, 2:05 PM;;$1.83;1.0;
4;MacdPerfect;Sell to Close;-1.0;$283.78;10/27/20, 3:55 PM;$0.26;$1.82;0.0;
5;MacdPerfect;Buy to Open;1.0;$278.55;10/28/20, 9:30 AM;;($1.70);1.0;
6;MacdPerfect;Sell to Close;-1.0;$271.55;10/28/20, 11:30 AM;($7.00);($5.18);0.0;
7;MacdPerfect;Buy to Open;1.0;$270.96;10/28/20, 3:25 PM;;($5.00);1.0;
8;MacdPerfect;Sell to Close;-1.0;$270.09;10/28/20, 3:40 PM;($0.87);($6.06);0.0;
9;MacdPerfect;Buy to Open;1.0;$269.72;10/28/20, 3:45 PM;;($6.59);1.0;
10;MacdPerfect;Sell to Close;-1.0;$279.35;10/29/20, 10:10 AM;$9.63;$3.57;0.0;
11;MacdPerfect;Buy to Open;1.0;$279.22;10/29/20, 10:15 AM;;$3.64;1.0;
12;MacdPerfect;Sell to Close;-1.0;$282.25;10/29/20, 11:35 AM;$3.03;$6.60;0.0;
13;MacdPerfect;Buy to Open;1.0;$282.53;10/29/20, 1:05 PM;;$5.97;1.0;
14;MacdPerfect;Sell to Close;-1.0;$281.91;10/29/20, 1:10 PM;($0.62);$5.98;0.0;
15;MacdPerfect;Buy to Open;1.0;$281.36;10/29/20, 2:00 PM;;$6.76;1.0;
16;MacdPerfect;Sell to Close;-1.0;$282.79;10/29/20, 2:50 PM;$1.43;$7.41;0.0;
17;MacdPerfect;Buy to Open;1.0;$282.55;10/29/20, 2:55 PM;;$7.52;1.0;
18;MacdPerfect;Sell to Close;-1.0;$274.50;10/30/20, 9:30 AM;($8.05);($0.64);0.0;
19;MacdPerfect;Buy to Open;1.0;$265.05;10/30/20, 10:40 AM;;($2.10);1.0;
20;MacdPerfect;Sell to Close;-1.0;$261.66;10/30/20, 11:40 AM;($3.39);($4.03);0.0;
21;MacdPerfect;Buy to Open;1.0;$265.54;10/30/20, 1:00 PM;;($4.81);1.0;
22;MacdPerfect;Sell to Close;-1.0;$261.25;10/30/20, 2:25 PM;($4.29);($8.32);0.0;
