Strategy report
Symbol: FB
Work Time: 10/27/20, 9:35 AM - 7/9/21, 9:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$276.82;10/27/20, 9:35 AM;;$0.94;1.0;
2;AAA;Sell to Close;-1.0;$278.46;10/27/20, 9:45 AM;$1.64;$1.64;0.0;
3;AAA;Buy to Open;1.0;$275.52;10/29/20, 9:35 AM;;$0.71;1.0;
4;AAA;Sell to Close;-1.0;$276.02;10/29/20, 9:50 AM;$0.50;$2.14;0.0;
5;AAA;Buy to Open;1.0;$264.75;11/2/20, 9:35 AM;;$4.27;1.0;
6;AAA;Sell to Close;-1.0;$266.99;11/2/20, 9:45 AM;$2.24;$4.38;0.0;
7;AAA;Buy to Open;1.0;$261.21;11/3/20, 9:35 AM;;$5.47;1.0;
8;AAA;Sell to Close;-1.0;$262.45;11/3/20, 9:45 AM;$1.24;$5.62;0.0;
9;AAA;Buy to Open;1.0;$283.13;11/4/20, 9:35 AM;;$3.62;1.0;
10;AAA;Sell to Close;-1.0;$281.37;11/4/20, 9:45 AM;($1.76);$3.86;0.0;
11;AAA;Buy to Open;1.0;$289.72;11/5/20, 9:35 AM;;$6.63;1.0;
12;AAA;Sell to Close;-1.0;$291.68;11/5/20, 9:50 AM;$1.96;$5.81;0.0;
13;AAA;Buy to Open;1.0;$278.30;11/12/20, 9:35 AM;;$6.70;1.0;
14;AAA;Sell to Close;-1.0;$279.17;11/12/20, 9:45 AM;$0.87;$6.69;0.0;
15;AAA;Buy to Open;1.0;$276.20;11/16/20, 9:35 AM;;$7.49;1.0;
16;AAA;Sell to Close;-1.0;$277.10;11/16/20, 9:50 AM;$0.91;$7.59;0.0;
17;AAA;Buy to Open;1.0;$276.35;11/18/20, 9:35 AM;;$8.29;1.0;
18;AAA;Sell to Close;-1.0;$276.26;11/18/20, 9:45 AM;($0.09);$7.50;0.0;
19;AAA;Buy to Open;1.0;$269.68;11/24/20, 9:35 AM;;$7.31;1.0;
20;AAA;Sell to Close;-1.0;$269.08;11/24/20, 9:45 AM;($0.61);$6.90;0.0;
21;AAA;Buy to Open;1.0;$276.22;11/27/20, 9:35 AM;;$6.29;1.0;
22;AAA;Sell to Close;-1.0;$275.57;11/27/20, 9:40 AM;($0.65);$6.25;0.0;
23;AAA;Buy to Open;1.0;$281.07;12/1/20, 9:35 AM;;$8.85;1.0;
24;AAA;Sell to Close;-1.0;$284.70;12/1/20, 9:50 AM;$3.63;$9.88;0.0;
25;AAA;Buy to Open;1.0;$282.34;12/7/20, 9:40 AM;;$11.54;1.0;
26;AAA;Sell to Close;-1.0;$284.20;12/7/20, 9:55 AM;$1.86;$11.74;0.0;
27;AAA;Buy to Open;1.0;$283.14;12/9/20, 9:40 AM;;$13.75;1.0;
28;AAA;Sell to Close;-1.0;$287.04;12/9/20, 10:00 AM;$3.90;$15.64;0.0;
29;AAA;Buy to Open;1.0;$274.02;12/14/20, 9:40 AM;;$17.14;1.0;
30;AAA;Sell to Close;-1.0;$276.21;12/14/20, 9:55 AM;$2.19;$17.83;0.0;
31;AAA;Buy to Open;1.0;$278.38;12/17/20, 9:35 AM;;$17.94;1.0;
32;AAA;Sell to Close;-1.0;$280.08;12/17/20, 9:50 AM;$1.70;$19.53;0.0;
33;AAA;Buy to Open;1.0;$268.44;12/23/20, 9:40 AM;;$18.33;1.0;
34;AAA;Sell to Close;-1.0;$268.52;12/23/20, 9:50 AM;$0.08;$19.61;0.0;
35;AAA;Buy to Open;1.0;$269.20;12/24/20, 9:35 AM;;$20.16;1.0;
36;AAA;Sell to Close;-1.0;$269.01;12/24/20, 9:50 AM;($0.19);$19.42;0.0;
37;AAA;Buy to Open;1.0;$268.34;12/28/20, 9:35 AM;;$19.72;1.0;
38;AAA;Sell to Close;-1.0;$268.38;12/28/20, 9:45 AM;$0.04;$19.46;0.0;
39;AAA;Buy to Open;1.0;$277.11;12/29/20, 9:35 AM;;$20.05;1.0;
40;AAA;Sell to Close;-1.0;$277.96;12/29/20, 9:50 AM;$0.85;$20.31;0.0;
41;AAA;Buy to Open;1.0;$273.32;12/31/20, 9:35 AM;;$21.74;1.0;
42;AAA;Sell to Close;-1.0;$276.02;12/31/20, 9:50 AM;$2.70;$23.01;0.0;
43;AAA;Sell to Close;-1.0;$271.98;1/4/21, 9:35 AM;$0.00;$23.67;-1.0;
44;AAA;Buy to Open;1.0;$271.98;1/4/21, 9:35 AM;;$23.01;0.0;
45;AAA;Buy to Open;1.0;$269.66;1/5/21, 9:35 AM;;$23.50;1.0;
46;AAA;Sell to Close;-1.0;$272.02;1/5/21, 9:55 AM;$2.36;$25.37;0.0;
47;AAA;Buy to Open;1.0;$266.37;1/7/21, 9:35 AM;;$28.34;1.0;
48;AAA;Sell to Close;-1.0;$269.29;1/7/21, 9:50 AM;$2.93;$28.30;0.0;
49;AAA;Buy to Open;1.0;$252.42;1/14/21, 9:35 AM;;$28.60;1.0;
50;AAA;Sell to Close;-1.0;$251.91;1/14/21, 9:45 AM;($0.50);$27.79;0.0;
51;AAA;Buy to Open;1.0;$250.66;1/15/21, 9:40 AM;;$28.17;1.0;
52;AAA;Sell to Close;-1.0;$251.19;1/15/21, 9:50 AM;$0.53;$28.32;0.0;
53;AAA;Buy to Open;1.0;$254.29;1/19/21, 9:35 AM;;$27.01;1.0;
54;AAA;Sell to Close;-1.0;$254.69;1/19/21, 9:50 AM;$0.40;$28.72;0.0;
55;AAA;Buy to Open;1.0;$266.10;1/20/21, 9:35 AM;;$26.94;1.0;
56;AAA;Sell to Close;-1.0;$267.13;1/20/21, 9:50 AM;$1.03;$29.75;0.0;
57;AAA;Buy to Open;1.0;$269.30;1/21/21, 9:40 AM;;$28.85;1.0;
58;AAA;Sell to Close;-1.0;$271.86;1/21/21, 10:20 AM;$2.56;$32.31;0.0;
59;AAA;Buy to Open;1.0;$273.58;1/22/21, 9:35 AM;;$34.38;1.0;
60;AAA;Sell to Close;-1.0;$277.39;1/22/21, 9:55 AM;$3.81;$36.13;0.0;
61;AAA;Buy to Open;1.0;$279.66;1/26/21, 9:35 AM;;$36.47;1.0;
62;AAA;Sell to Close;-1.0;$280.10;1/26/21, 9:40 AM;$0.44;$36.57;0.0;
63;AAA;Buy to Open;1.0;$284.99;1/28/21, 9:35 AM;;$35.87;1.0;
64;AAA;Sell to Close;-1.0;$282.38;1/28/21, 9:45 AM;($2.61);$33.96;0.0;
65;AAA;Buy to Open;1.0;$263.96;2/2/21, 9:35 AM;;$35.31;1.0;
66;AAA;Sell to Close;-1.0;$266.63;2/2/21, 9:50 AM;$2.67;$36.63;0.0;
67;AAA;Buy to Open;1.0;$268.31;2/5/21, 9:35 AM;;$35.20;1.0;
68;AAA;Sell to Close;-1.0;$266.93;2/5/21, 9:40 AM;($1.38);$35.25;0.0;
69;AAA;Buy to Open;1.0;$267.17;2/9/21, 9:35 AM;;$35.88;1.0;
70;AAA;Sell to Close;-1.0;$272.53;2/9/21, 10:10 AM;$5.36;$40.61;0.0;
71;AAA;Buy to Open;1.0;$272.83;2/10/21, 9:35 AM;;$40.64;1.0;
72;AAA;Sell to Close;-1.0;$271.47;2/10/21, 9:45 AM;($1.36);$39.25;0.0;
73;AAA;Buy to Open;1.0;$272.34;2/16/21, 9:35 AM;;$39.82;1.0;
74;AAA;Sell to Close;-1.0;$273.46;2/16/21, 9:50 AM;$1.12;$40.37;0.0;
75;AAA;Buy to Open;1.0;$260.80;2/22/21, 9:40 AM;;$39.71;1.0;
76;AAA;Sell to Close;-1.0;$260.86;2/22/21, 9:55 AM;$0.06;$40.43;0.0;
77;AAA;Buy to Open;1.0;$265.65;2/25/21, 9:40 AM;;$40.36;1.0;
78;AAA;Sell to Close;-1.0;$266.24;2/25/21, 9:55 AM;$0.59;$41.02;0.0;
79;AAA;Buy to Open;1.0;$260.06;2/26/21, 9:40 AM;;$42.31;1.0;
80;AAA;Sell to Close;-1.0;$259.47;2/26/21, 9:50 AM;($0.59);$40.43;0.0;
81;AAA;Buy to Open;1.0;$265.66;3/2/21, 9:35 AM;;$40.36;1.0;
82;AAA;Sell to Close;-1.0;$265.15;3/2/21, 9:45 AM;($0.51);$39.92;0.0;
83;AAA;Buy to Open;1.0;$259.97;3/3/21, 9:35 AM;;$40.49;1.0;
84;AAA;Sell to Close;-1.0;$258.44;3/3/21, 9:45 AM;($1.53);$38.39;0.0;
85;AAA;Buy to Open;1.0;$258.60;3/4/21, 9:35 AM;;$38.24;1.0;
86;AAA;Sell to Close;-1.0;$258.12;3/4/21, 9:45 AM;($0.49);$37.90;0.0;
87;AAA;Buy to Open;1.0;$258.33;3/5/21, 9:35 AM;;$38.06;1.0;
88;AAA;Sell to Close;-1.0;$259.45;3/5/21, 9:50 AM;$1.12;$39.02;0.0;
89;AAA;Buy to Open;1.0;$261.07;3/9/21, 9:40 AM;;$38.07;1.0;
90;AAA;Sell to Close;-1.0;$262.44;3/9/21, 9:50 AM;$1.37;$40.38;0.0;
91;AAA;Buy to Open;1.0;$272.82;3/11/21, 9:40 AM;;$39.60;1.0;
92;AAA;Sell to Close;-1.0;$272.43;3/11/21, 9:50 AM;($0.39);$40.00;0.0;
93;AAA;Buy to Open;1.0;$271.83;3/15/21, 9:35 AM;;$40.85;1.0;
94;AAA;Sell to Close;-1.0;$273.13;3/15/21, 9:50 AM;$1.30;$41.30;0.0;
95;AAA;Buy to Open;1.0;$277.00;3/16/21, 9:35 AM;;$41.37;1.0;
96;AAA;Sell to Close;-1.0;$278.27;3/16/21, 9:50 AM;$1.27;$42.57;0.0;
97;AAA;Buy to Open;1.0;$283.77;3/19/21, 9:35 AM;;$43.53;1.0;
98;AAA;Sell to Close;-1.0;$284.31;3/19/21, 9:50 AM;$0.54;$43.11;0.0;
99;AAA;Buy to Open;1.0;$290.03;3/24/21, 9:40 AM;;$43.53;1.0;
100;AAA;Sell to Close;-1.0;$289.36;3/24/21, 9:55 AM;($0.67);$42.44;0.0;
101;AAA;Buy to Open;1.0;$284.52;3/25/21, 9:40 AM;;$43.11;1.0;
102;AAA;Sell to Close;-1.0;$284.65;3/25/21, 9:55 AM;$0.13;$42.57;0.0;
103;AAA;Buy to Open;1.0;$281.50;3/26/21, 9:40 AM;;$41.62;1.0;
104;AAA;Sell to Close;-1.0;$282.06;3/26/21, 9:55 AM;$0.56;$43.13;0.0;
105;AAA;Buy to Open;1.0;$287.50;3/29/21, 9:35 AM;;$43.41;1.0;
106;AAA;Sell to Close;-1.0;$288.98;3/29/21, 9:50 AM;$1.48;$44.61;0.0;
107;AAA;Buy to Open;1.0;$291.94;3/30/21, 9:40 AM;;$42.95;1.0;
108;AAA;Sell to Close;-1.0;$290.33;3/30/21, 9:45 AM;($1.61);$43.01;0.0;
109;AAA;Buy to Open;1.0;$301.11;4/1/21, 9:35 AM;;$42.60;1.0;
110;AAA;Sell to Close;-1.0;$300.87;4/1/21, 9:50 AM;($0.24);$42.77;0.0;
111;AAA;Buy to Open;1.0;$303.05;4/5/21, 9:35 AM;;$41.66;1.0;
