Strategy report
Symbol: FB
Work Time: 1/16/20, 9:35 AM - 10/1/20, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$221.71;1/16/20, 9:35 AM;;($0.13);1.0;
2;MacdPerfect;Sell to Close;-1.0;$222.10;1/16/20, 10:00 AM;$0.39;$0.39;0.0;
3;MacdPerfect;Buy to Open;1.0;$222.51;1/22/20, 9:35 AM;;($0.12);1.0;
4;MacdPerfect;Sell to Close;-1.0;$222.00;1/22/20, 10:00 AM;($0.51);($0.13);0.0;
5;MacdPerfect;Buy to Open;1.0;$221.20;1/24/20, 9:35 AM;;$0.00;1.0;
6;MacdPerfect;Sell to Close;-1.0;$220.63;1/24/20, 10:05 AM;($0.57);($0.69);0.0;
7;MacdPerfect;Buy to Open;1.0;$221.10;1/29/20, 9:35 AM;;($0.90);1.0;
8;MacdPerfect;Sell to Close;-1.0;$220.00;1/29/20, 10:00 AM;($1.10);($1.79);0.0;
9;MacdPerfect;Buy to Open;1.0;$203.79;2/3/20, 9:35 AM;;($1.38);1.0;
10;MacdPerfect;Sell to Close;-1.0;$204.92;2/3/20, 10:05 AM;$1.13;($0.66);0.0;
11;MacdPerfect;Buy to Open;1.0;$206.28;2/4/20, 9:35 AM;;($0.36);1.0;
12;MacdPerfect;Sell to Close;-1.0;$208.19;2/4/20, 10:05 AM;$1.91;$1.25;0.0;
13;MacdPerfect;Buy to Open;1.0;$211.29;2/5/20, 9:35 AM;;$0.46;1.0;
14;MacdPerfect;Sell to Close;-1.0;$211.22;2/5/20, 10:05 AM;($0.07);$1.18;0.0;
15;MacdPerfect;Buy to Open;1.0;$210.07;2/6/20, 9:35 AM;;$1.73;1.0;
16;MacdPerfect;Sell to Close;-1.0;$210.96;2/6/20, 10:05 AM;$0.89;$2.07;0.0;
17;MacdPerfect;Buy to Open;1.0;$211.60;2/10/20, 9:35 AM;;$1.76;1.0;
18;MacdPerfect;Sell to Close;-1.0;$213.27;2/10/20, 10:45 AM;$1.67;$3.74;0.0;
19;MacdPerfect;Buy to Open;1.0;$210.88;2/13/20, 9:40 AM;;$4.14;1.0;
20;MacdPerfect;Sell to Close;-1.0;$211.12;2/13/20, 10:10 AM;$0.24;$3.98;0.0;
21;MacdPerfect;Buy to Open;1.0;$214.18;2/14/20, 9:35 AM;;$3.66;1.0;
22;MacdPerfect;Sell to Close;-1.0;$214.29;2/14/20, 10:30 AM;$0.11;$4.09;0.0;
23;MacdPerfect;Buy to Open;1.0;$215.01;2/18/20, 9:35 AM;;$4.67;1.0;
24;MacdPerfect;Sell to Close;-1.0;$217.14;2/18/20, 10:10 AM;$2.13;$6.22;0.0;
25;MacdPerfect;Buy to Open;1.0;$217.49;2/19/20, 9:40 AM;;$6.39;1.0;
26;MacdPerfect;Sell to Close;-1.0;$217.67;2/19/20, 10:00 AM;$0.17;$6.39;0.0;
27;MacdPerfect;Buy to Open;1.0;$218.13;2/20/20, 9:35 AM;;$5.90;1.0;
28;MacdPerfect;Sell to Close;-1.0;$218.15;2/20/20, 10:20 AM;$0.02;$6.41;0.0;
29;MacdPerfect;Buy to Open;1.0;$202.58;2/25/20, 9:35 AM;;$6.91;1.0;
30;MacdPerfect;Sell to Close;-1.0;$202.53;2/25/20, 10:05 AM;($0.05);$6.36;0.0;
31;MacdPerfect;Buy to Open;1.0;$191.93;3/2/20, 9:35 AM;;$4.74;1.0;
32;MacdPerfect;Sell to Close;-1.0;$190.94;3/2/20, 9:55 AM;($0.99);$5.37;0.0;
33;MacdPerfect;Buy to Open;1.0;$194.90;3/3/20, 9:35 AM;;$4.70;1.0;
34;MacdPerfect;Sell to Close;-1.0;$194.20;3/3/20, 9:40 AM;($0.70);$4.67;0.0;
35;MacdPerfect;Buy to Open;1.0;$163.80;3/13/20, 9:35 AM;;$3.33;1.0;
36;MacdPerfect;Sell to Close;-1.0;$161.74;3/13/20, 10:05 AM;($2.06);$2.61;0.0;
37;MacdPerfect;Buy to Open;1.0;$145.99;3/19/20, 9:35 AM;;$2.77;1.0;
38;MacdPerfect;Sell to Close;-1.0;$152.74;3/19/20, 10:25 AM;$6.76;$9.37;0.0;
39;MacdPerfect;Buy to Open;1.0;$158.16;3/20/20, 9:35 AM;;$5.99;1.0;
40;MacdPerfect;Sell to Close;-1.0;$156.39;3/20/20, 10:25 AM;($1.78);$7.60;0.0;
41;MacdPerfect;Buy to Open;1.0;$154.43;3/24/20, 9:35 AM;;$7.74;1.0;
42;MacdPerfect;Sell to Close;-1.0;$153.99;3/24/20, 10:00 AM;($0.44);$7.16;0.0;
43;MacdPerfect;Buy to Open;1.0;$159.99;3/25/20, 9:35 AM;;$9.18;1.0;
44;MacdPerfect;Sell to Close;-1.0;$155.72;3/25/20, 11:20 AM;($4.27);$2.89;0.0;
45;MacdPerfect;Buy to Open;1.0;$158.09;3/26/20, 9:35 AM;;$3.85;1.0;
46;MacdPerfect;Sell to Close;-1.0;$158.46;3/26/20, 10:15 AM;$0.38;$3.26;0.0;
47;MacdPerfect;Buy to Open;1.0;$160.27;3/30/20, 9:35 AM;;$2.37;1.0;
48;MacdPerfect;Sell to Close;-1.0;$160.30;3/30/20, 10:10 AM;$0.03;$3.29;0.0;
49;MacdPerfect;Buy to Open;1.0;$160.02;4/6/20, 9:35 AM;;$3.37;1.0;
50;MacdPerfect;Sell to Close;-1.0;$159.86;4/6/20, 10:00 AM;($0.16);$3.13;0.0;
51;MacdPerfect;Buy to Open;1.0;$171.52;4/7/20, 9:35 AM;;$2.30;1.0;
52;MacdPerfect;Sell to Close;-1.0;$172.06;4/7/20, 10:00 AM;$0.54;$3.67;0.0;
53;MacdPerfect;Buy to Open;1.0;$172.20;4/8/20, 9:35 AM;;$2.76;1.0;
54;MacdPerfect;Sell to Close;-1.0;$170.90;4/8/20, 9:45 AM;($1.30);$2.37;0.0;
55;MacdPerfect;Buy to Open;1.0;$174.97;4/9/20, 9:35 AM;;$2.84;1.0;
56;MacdPerfect;Sell to Close;-1.0;$176.35;4/9/20, 10:05 AM;$1.38;$3.75;0.0;
57;MacdPerfect;Buy to Open;1.0;$174.00;4/13/20, 9:35 AM;;$3.44;1.0;
58;MacdPerfect;Sell to Close;-1.0;$171.26;4/13/20, 10:30 AM;($2.74);$1.02;0.0;
59;MacdPerfect;Buy to Open;1.0;$177.63;4/14/20, 9:35 AM;;$0.04;1.0;
60;MacdPerfect;Sell to Close;-1.0;$177.97;4/14/20, 10:05 AM;$0.34;$1.36;0.0;
61;MacdPerfect;Buy to Open;1.0;$177.79;4/17/20, 9:35 AM;;$1.63;1.0;
62;MacdPerfect;Sell to Close;-1.0;$179.91;4/17/20, 10:05 AM;$2.12;$3.48;0.0;
63;MacdPerfect;Buy to Open;1.0;$177.23;4/20/20, 9:35 AM;;$4.05;1.0;
64;MacdPerfect;Sell to Close;-1.0;$178.94;4/20/20, 10:35 AM;$1.71;$5.19;0.0;
