Strategy report
Symbol: FB
Work Time: 10/8/20, 2:50 PM - 6/24/21, 10:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$263.71;10/8/20, 2:50 PM;;($0.30);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$263.75;10/8/20, 3:55 PM;$0.04;$0.04;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$264.14;10/9/20, 10:40 AM;;$0.23;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$264.12;10/9/20, 10:55 AM;($0.02);$0.02;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$263.85;10/9/20, 11:35 AM;;($0.02);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$263.93;10/9/20, 11:55 AM;$0.08;$0.10;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$263.68;10/9/20, 12:25 PM;;($0.38);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$263.68;10/9/20, 12:30 PM;$0.00;$0.10;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$263.98;10/9/20, 1:10 PM;;($0.01);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$263.40;10/9/20, 1:30 PM;($0.58);($0.48);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$263.76;10/9/20, 1:50 PM;;($0.37);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$264.10;10/9/20, 2:20 PM;$0.34;($0.14);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$264.04;10/9/20, 3:45 PM;;($0.13);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$264.04;10/9/20, 3:55 PM;$0.00;($0.15);0.0;
15;MacdPerfect(SELL);Sell to Close;-1.0;$264.43;10/12/20, 9:30 AM;($5.71);($5.51);-1.0;
16;MacdPerfect(BUY);Buy to Open;1.0;$270.14;10/12/20, 9:30 AM;;($5.86);0.0;
