Strategy report
Symbol: FB
Work Time: 10/15/20, 2:25 PM - 7/2/21, 3:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$265.52;10/15/20, 2:25 PM;;$1.07;10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$264.67;10/15/20, 2:40 PM;($8.47);($8.47);0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$265.67;10/15/20, 3:00 PM;;($7.40);10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$266.72;10/15/20, 3:50 PM;$10.53;$2.05;0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$269.17;10/16/20, 9:40 AM;;$3.75;10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$270.70;10/16/20, 9:55 AM;$15.30;$17.35;0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$270.42;10/16/20, 10:05 AM;;$14.85;10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$269.00;10/16/20, 10:30 AM;($14.15);$3.20;0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$267.45;10/16/20, 1:30 PM;;$3.16;10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$267.49;10/16/20, 1:45 PM;$0.36;$3.56;0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$267.38;10/16/20, 1:55 PM;;$2.29;10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$267.73;10/16/20, 2:00 PM;$3.48;$7.04;0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$267.71;10/16/20, 2:15 PM;;$7.76;10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$268.01;10/16/20, 2:45 PM;$3.06;$10.10;0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$267.80;10/16/20, 3:00 PM;;$7.30;10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$266.99;10/16/20, 3:05 PM;($8.10);$2.00;0.0;
17;MacdPerfect(BUY);Buy to Open;10.0;$267.95;10/19/20, 9:40 AM;;$6.30;10.0;
18;MacdPerfect(SELL);Sell to Close;-10.0;$265.91;10/19/20, 9:50 AM;($20.44);($18.44);0.0;
19;MacdPerfect(BUY);Buy to Open;10.0;$263.98;10/19/20, 1:35 PM;;($19.44);10.0;
20;MacdPerfect(SELL);Sell to Close;-10.0;$263.18;10/19/20, 1:50 PM;($8.03);($26.47);0.0;
21;MacdPerfect(BUY);Buy to Open;10.0;$264.33;10/20/20, 9:40 AM;;($25.77);10.0;
22;MacdPerfect(SELL);Sell to Close;-10.0;$265.94;10/20/20, 10:30 AM;$16.10;($10.37);0.0;
23;MacdPerfect(BUY);Buy to Open;10.0;$265.41;10/20/20, 12:00 PM;;($8.32);10.0;
