Strategy report
Symbol: FB
Work Time: 10/15/20, 3:15 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$266.57;10/15/20, 3:15 PM;;$3.28;10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$266.65;10/15/20, 3:50 PM;$0.82;$0.82;0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$269.17;10/16/20, 9:40 AM;;$2.52;10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$269.23;10/16/20, 9:55 AM;$0.56;$1.38;0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$270.42;10/16/20, 10:05 AM;;($1.12);10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$270.03;10/16/20, 10:30 AM;($3.92);($2.54);0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$267.45;10/16/20, 1:30 PM;;($2.58);10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$267.33;10/16/20, 1:45 PM;($1.29);($3.83);0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$267.38;10/16/20, 1:55 PM;;($5.10);10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$267.17;10/16/20, 2:00 PM;($2.04);($5.87);0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$267.71;10/16/20, 2:15 PM;;($5.15);10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$267.47;10/16/20, 2:45 PM;($2.37);($8.25);0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$267.80;10/16/20, 3:00 PM;;($11.05);10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$267.43;10/16/20, 3:05 PM;($3.66);($11.91);0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$267.95;10/19/20, 9:40 AM;;($7.61);10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$266.77;10/19/20, 9:50 AM;($11.78);($23.69);0.0;
17;MacdPerfect(BUY);Buy to Open;10.0;$264.33;10/20/20, 9:40 AM;;($22.99);10.0;
18;MacdPerfect(SELL);Sell to Close;-10.0;$266.06;10/20/20, 10:30 AM;$17.33;($6.36);0.0;
19;MacdPerfect(BUY);Buy to Open;10.0;$265.41;10/20/20, 12:00 PM;;($4.31);10.0;
20;MacdPerfect(SELL);Sell to Close;-10.0;$266.31;10/20/20, 12:50 PM;$8.90;$2.54;0.0;
21;MacdPerfect(BUY);Buy to Open;10.0;$267.41;10/20/20, 1:05 PM;;$4.41;10.0;
22;MacdPerfect(SELL);Sell to Close;-10.0;$269.00;10/20/20, 1:35 PM;$15.92;$18.46;0.0;
23;MacdPerfect(BUY);Buy to Open;10.0;$280.05;10/21/20, 9:40 AM;;$26.37;10.0;
