Strategy report
Symbol: FB
Work Time: 10/21/20, 1:35 PM - 7/6/21, 2:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$281.08;10/21/20, 1:35 PM;;($0.38);1.0;
2;MacdPerfect;Sell to Close;-1.0;$280.72;10/21/20, 1:40 PM;($0.36);($0.36);0.0;
3;MacdPerfect;Buy to Open;1.0;$281.07;10/21/20, 2:30 PM;;($0.32);1.0;
4;MacdPerfect;Sell to Close;-1.0;$280.82;10/21/20, 3:15 PM;($0.25);($0.61);0.0;
5;MacdPerfect;Buy to Open;1.0;$281.52;10/22/20, 9:35 AM;;($0.41);1.0;
6;MacdPerfect;Sell to Close;-1.0;$281.02;10/22/20, 9:40 AM;($0.51);($1.12);0.0;
7;MacdPerfect;Buy to Open;1.0;$275.81;10/22/20, 10:55 AM;;($0.87);1.0;
8;MacdPerfect;Sell to Close;-1.0;$276.70;10/22/20, 11:55 AM;$0.89;($0.23);0.0;
9;MacdPerfect;Buy to Open;1.0;$277.66;10/22/20, 1:15 PM;;($0.28);1.0;
10;MacdPerfect;Sell to Close;-1.0;$277.11;10/22/20, 1:35 PM;($0.55);($0.78);0.0;
11;MacdPerfect;Buy to Open;1.0;$277.32;10/22/20, 1:40 PM;;($0.62);1.0;
12;MacdPerfect;Sell to Close;-1.0;$278.25;10/22/20, 2:20 PM;$0.93;$0.15;0.0;
13;MacdPerfect;Buy to Open;1.0;$278.16;10/22/20, 3:20 PM;;$0.40;1.0;
14;MacdPerfect;Sell to Close;-1.0;$278.24;10/22/20, 3:55 PM;$0.08;$0.22;0.0;
15;MacdPerfect;Buy to Open;1.0;$278.26;10/23/20, 12:05 PM;;$0.20;1.0;
16;MacdPerfect;Sell to Close;-1.0;$277.73;10/23/20, 12:25 PM;($0.53);($0.31);0.0;
17;MacdPerfect;Buy to Open;1.0;$278.17;10/23/20, 12:35 PM;;($0.11);1.0;
18;MacdPerfect;Sell to Close;-1.0;$280.02;10/23/20, 1:35 PM;$1.84;$1.54;0.0;
19;MacdPerfect;Buy to Open;1.0;$280.19;10/26/20, 11:25 AM;;$1.33;1.0;
20;MacdPerfect;Sell to Close;-1.0;$279.46;10/26/20, 11:30 AM;($0.73);$0.80;0.0;
21;MacdPerfect;Buy to Open;1.0;$279.14;10/26/20, 11:40 AM;;$0.57;1.0;
22;MacdPerfect;Sell to Close;-1.0;$278.38;10/26/20, 12:45 PM;($0.76);$0.05;0.0;
23;MacdPerfect;Buy to Open;1.0;$275.08;10/26/20, 1:40 PM;;$0.06;1.0;
24;MacdPerfect;Sell to Close;-1.0;$275.46;10/26/20, 2:50 PM;$0.37;$0.42;0.0;
25;MacdPerfect;Buy to Open;1.0;$277.85;10/27/20, 9:30 AM;;($0.58);1.0;
26;MacdPerfect;Sell to Close;-1.0;$277.29;10/27/20, 9:35 AM;($0.56);($0.13);0.0;
27;MacdPerfect;Buy to Open;1.0;$279.28;10/29/20, 10:10 AM;;($0.20);1.0;
28;MacdPerfect;Sell to Close;-1.0;$278.79;10/29/20, 10:35 AM;($0.49);($0.62);0.0;
29;MacdPerfect;Buy to Open;1.0;$266.63;11/3/20, 2:15 PM;;($0.57);1.0;
30;MacdPerfect;Sell to Close;-1.0;$266.23;11/3/20, 3:05 PM;($0.40);($1.02);0.0;
31;MacdPerfect;Buy to Open;1.0;$282.13;11/4/20, 9:35 AM;;($2.02);1.0;
32;MacdPerfect;Sell to Close;-1.0;$280.49;11/4/20, 9:45 AM;($1.64);($2.66);0.0;
33;MacdPerfect;Buy to Open;1.0;$279.79;11/4/20, 9:50 AM;;($2.50);1.0;
34;MacdPerfect;Sell to Close;-1.0;$285.35;11/4/20, 10:30 AM;$5.56;$2.90;0.0;
35;MacdPerfect;Buy to Open;1.0;$291.11;11/5/20, 9:35 AM;;$4.28;1.0;
36;MacdPerfect;Sell to Close;-1.0;$293.93;11/5/20, 10:15 AM;$2.82;$5.72;0.0;
