Strategy report
Symbol: FB
Work Time: 5/11/21, 9:59 AM - 6/23/21, 10:23 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$303.69;5/11/21, 9:59 AM;;($11.00);100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$303.09;5/11/21, 10:03 AM;($60.00);($60.00);0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$303.51;5/11/21, 10:08 AM;;($104.50);100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$303.10;5/11/21, 10:09 AM;($41.00);($101.00);0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$302.55;5/11/21, 10:51 AM;;($121.00);100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$302.39;5/11/21, 10:55 AM;($16.00);($117.00);0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$302.94;5/11/21, 10:57 AM;;($74.00);100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$302.86;5/11/21, 10:59 AM;($8.00);($125.00);0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$304.00;5/11/21, 11:20 AM;;($133.00);100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$304.49;5/11/21, 11:28 AM;$48.50;($76.50);0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$305.07;5/11/21, 11:31 AM;;($122.51);100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$304.60;5/11/21, 11:32 AM;($47.50);($124.00);0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$305.20;5/11/21, 11:34 AM;;($89.18);100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$305.45;5/11/21, 11:37 AM;$24.82;($99.18);0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$305.29;5/11/21, 11:59 AM;;($106.18);100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$305.99;5/11/21, 12:10 PM;$70.00;($29.18);0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$305.03;5/11/21, 1:05 PM;;($46.07);100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$304.63;5/11/21, 1:07 PM;($40.00);($69.18);0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$304.98;5/11/21, 1:18 PM;;($43.68);100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$305.45;5/11/21, 1:28 PM;$47.50;($21.68);0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$306.08;5/11/21, 1:30 PM;;($18.68);100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$305.94;5/11/21, 1:33 PM;($14.00);($35.68);0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$306.46;5/11/21, 1:43 PM;;($75.68);100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$306.05;5/11/21, 1:44 PM;($41.00);($76.68);0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$306.08;5/11/21, 2:04 PM;;($93.18);100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$305.62;5/11/21, 2:08 PM;($46.00);($122.68);0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$305.95;5/11/21, 2:22 PM;;($139.31);100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$306.17;5/11/21, 2:31 PM;$22.00;($100.68);0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$306.02;5/11/21, 2:49 PM;;($102.68);100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$306.19;5/11/21, 2:58 PM;$17.00;($83.68);0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$306.25;5/11/21, 3:00 PM;;($71.68);100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$306.10;5/11/21, 3:02 PM;($15.00);($98.68);0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$306.46;5/11/21, 3:04 PM;;($131.44);100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$306.13;5/11/21, 3:05 PM;($33.00);($131.68);0.0;
35;MACDStrategy(BUY);Buy to Open;100.0;$306.61;5/11/21, 3:19 PM;;($120.68);100.0;
36;MACDStrategy(SELL);Sell to Close;-100.0;$306.59;5/11/21, 3:29 PM;($2.00);($133.68);0.0;
37;MACDStrategy(BUY);Buy to Open;100.0;$306.19;5/11/21, 3:49 PM;;($103.68);100.0;
38;MACDStrategy(SELL);Sell to Close;-100.0;$306.49;5/11/21, 3:51 PM;$30.00;($103.68);0.0;
39;MACDStrategy(SELL);Sell to Close;-100.0;$306.54;5/11/21, 3:52 PM;$0.00;($95.68);-100.0;
40;MACDStrategy(BUY);Buy to Open;100.0;$306.54;5/11/21, 3:52 PM;;($103.68);0.0;
41;MACDStrategy(SELL);Sell to Close;-100.0;$306.48;5/11/21, 3:53 PM;$0.00;($111.18);-100.0;
42;MACDStrategy(BUY);Buy to Open;100.0;$306.48;5/11/21, 3:53 PM;;($103.68);0.0;
43;MACDStrategy(SELL);Sell to Close;-100.0;$306.58;5/11/21, 3:54 PM;$0.00;($109.68);-100.0;
44;MACDStrategy(BUY);Buy to Open;100.0;$306.58;5/11/21, 3:54 PM;;($103.68);0.0;
45;MACDStrategy(SELL);Sell to Close;-100.0;$306.57;5/11/21, 3:55 PM;$0.00;($83.68);-100.0;
46;MACDStrategy(BUY);Buy to Open;100.0;$306.57;5/11/21, 3:55 PM;;($103.68);0.0;
47;MACDStrategy(BUY);Buy to Open;100.0;$301.30;5/12/21, 1:06 PM;;($117.85);100.0;
48;MACDStrategy(SELL);Sell to Close;-100.0;$301.12;5/12/21, 1:07 PM;($18.00);($121.68);0.0;
49;MACDStrategy(BUY);Buy to Open;100.0;$301.02;5/12/21, 1:38 PM;;($98.58);100.0;
50;MACDStrategy(SELL);Sell to Close;-100.0;$300.57;5/12/21, 1:42 PM;($45.40);($167.08);0.0;
51;MACDStrategy(BUY);Buy to Open;100.0;$301.11;5/12/21, 1:55 PM;;($156.58);100.0;
52;MACDStrategy(SELL);Sell to Close;-100.0;$301.06;5/12/21, 1:59 PM;($5.00);($172.08);0.0;
53;MACDStrategy(BUY);Buy to Open;100.0;$301.23;5/12/21, 2:01 PM;;($152.08);100.0;
54;MACDStrategy(SELL);Sell to Close;-100.0;$301.65;5/12/21, 2:09 PM;$42.00;($130.08);0.0;
55;MACDStrategy(BUY);Buy to Open;100.0;$301.92;5/12/21, 2:21 PM;;($136.08);100.0;
56;MACDStrategy(SELL);Sell to Close;-100.0;$303.37;5/12/21, 2:36 PM;$145.00;$14.92;0.0;
57;MACDStrategy(BUY);Buy to Open;100.0;$304.43;5/12/21, 2:49 PM;;$3.92;100.0;
58;MACDStrategy(SELL);Sell to Close;-100.0;$304.30;5/12/21, 2:51 PM;($13.00);$1.92;0.0;
59;MACDStrategy(BUY);Buy to Open;100.0;$304.36;5/12/21, 3:10 PM;;($29.08);100.0;
60;MACDStrategy(SELL);Sell to Close;-100.0;$304.03;5/12/21, 3:11 PM;($33.00);($31.08);0.0;
61;MACDStrategy(BUY);Buy to Open;100.0;$304.43;5/12/21, 3:30 PM;;($36.08);100.0;
62;MACDStrategy(SELL);Sell to Close;-100.0;$304.16;5/12/21, 3:36 PM;($27.00);($58.08);0.0;
63;MACDStrategy(BUY);Buy to Open;100.0;$306.24;5/13/21, 10:02 AM;;($58.92);100.0;
64;MACDStrategy(SELL);Sell to Close;-100.0;$306.30;5/13/21, 10:06 AM;$5.95;($52.13);0.0;
65;MACDStrategy(BUY);Buy to Open;100.0;$306.50;5/13/21, 10:10 AM;;($82.13);100.0;
66;MACDStrategy(SELL);Sell to Close;-100.0;$306.20;5/13/21, 10:11 AM;($30.00);($82.13);0.0;
67;MACDStrategy(BUY);Buy to Open;100.0;$306.88;5/13/21, 10:14 AM;;($109.12);100.0;
68;MACDStrategy(SELL);Sell to Close;-100.0;$306.51;5/13/21, 10:16 AM;($37.00);($119.13);0.0;
69;MACDStrategy(BUY);Buy to Open;100.0;$307.05;5/13/21, 10:19 AM;;($163.44);100.0;
70;MACDStrategy(SELL);Sell to Close;-100.0;$306.60;5/13/21, 10:20 AM;($45.00);($164.13);0.0;
71;MACDStrategy(BUY);Buy to Open;100.0;$307.30;5/13/21, 10:25 AM;;($184.13);100.0;
72;MACDStrategy(SELL);Sell to Close;-100.0;$306.88;5/13/21, 10:27 AM;($42.50);($206.63);0.0;
73;MACDStrategy(BUY);Buy to Open;100.0;$307.53;5/13/21, 10:31 AM;;($222.63);100.0;
74;MACDStrategy(SELL);Sell to Close;-100.0;$307.19;5/13/21, 10:33 AM;($34.00);($240.63);0.0;
75;MACDStrategy(BUY);Buy to Open;100.0;$307.68;5/13/21, 10:35 AM;;($243.51);100.0;
76;MACDStrategy(SELL);Sell to Close;-100.0;$308.02;5/13/21, 10:41 AM;$34.00;($206.63);0.0;
77;MACDStrategy(BUY);Buy to Open;100.0;$307.92;5/13/21, 10:54 AM;;($169.63);100.0;
78;MACDStrategy(SELL);Sell to Close;-100.0;$307.64;5/13/21, 11:01 AM;($28.00);($234.63);0.0;
79;MACDStrategy(BUY);Buy to Open;100.0;$306.48;5/13/21, 12:17 PM;;($241.23);100.0;
80;MACDStrategy(SELL);Sell to Close;-100.0;$306.37;5/13/21, 12:18 PM;($11.00);($245.63);0.0;
81;MACDStrategy(BUY);Buy to Open;100.0;$306.65;5/13/21, 12:31 PM;;($247.13);100.0;
82;MACDStrategy(SELL);Sell to Close;-100.0;$306.29;5/13/21, 12:37 PM;($36.50);($282.13);0.0;
83;MACDStrategy(BUY);Buy to Open;100.0;$306.53;5/13/21, 3:34 PM;;($299.82);100.0;
