Strategy report
Symbol: FB
Work Time: 5/17/21, 9:31 AM - 6/28/21, 12:30 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;vwapbands(Buy);Buy to Open;10.0;$313.06;5/17/21, 9:31 AM;;($10.70);10.0;
2;vwapbands(SEll);Sell to Close;-10.0;$312.99;5/17/21, 9:33 AM;($0.70);($0.70);0.0;
3;vwapbands(Buy);Buy to Open;10.0;$311.94;5/17/21, 1:12 PM;;$0.32;10.0;
4;vwapbands(SEll);Sell to Close;-10.0;$312.90;5/17/21, 2:09 PM;$9.62;$8.92;0.0;
5;vwapbands(Buy);Buy to Open;10.0;$315.09;5/18/21, 9:41 AM;;$1.07;10.0;
6;vwapbands(SEll);Sell to Close;-10.0;$314.73;5/18/21, 9:44 AM;($3.65);$5.27;0.0;
7;vwapbands(Buy);Buy to Open;10.0;$314.10;5/18/21, 9:45 AM;;$4.67;10.0;
8;vwapbands(SEll);Sell to Close;-10.0;$313.69;5/18/21, 9:55 AM;($4.15);$1.12;0.0;
9;vwapbands(Buy);Buy to Open;10.0;$313.39;5/18/21, 11:59 AM;;$0.77;10.0;
10;vwapbands(SEll);Sell to Close;-10.0;$314.39;5/18/21, 12:22 PM;$10.09;$11.21;0.0;
11;vwapbands(Buy);Buy to Open;10.0;$313.08;5/18/21, 2:33 PM;;$7.51;10.0;
12;vwapbands(SEll);Sell to Close;-10.0;$312.70;5/18/21, 2:34 PM;($3.80);$7.41;0.0;
13;vwapbands(Buy);Buy to Open;10.0;$312.18;5/18/21, 2:35 PM;;$8.76;10.0;
14;vwapbands(SEll);Sell to Close;-10.0;$311.98;5/18/21, 2:41 PM;($1.95);$5.46;0.0;
15;vwapbands(Buy);Buy to Open;10.0;$311.45;5/18/21, 2:42 PM;;$5.96;10.0;
16;vwapbands(SEll);Sell to Close;-10.0;$312.38;5/18/21, 3:18 PM;$9.30;$14.76;0.0;
17;vwapbands(Buy);Buy to Open;10.0;$311.90;5/18/21, 3:48 PM;;$10.16;10.0;
18;vwapbands(SEll);Sell to Close;-10.0;$311.46;5/18/21, 3:49 PM;($4.40);$10.36;0.0;
19;vwapbands(Buy);Buy to Open;10.0;$311.23;5/18/21, 3:50 PM;;$9.05;10.0;
20;vwapbands(SEll);Sell to Close;-10.0;$311.06;5/18/21, 3:51 PM;($1.70);$8.66;0.0;
21;vwapbands(Buy);Buy to Open;10.0;$311.17;5/18/21, 3:52 PM;;$7.06;10.0;
22;vwapbands(SEll);Sell to Close;-10.0;$310.90;5/18/21, 3:53 PM;($2.70);$5.96;0.0;
23;vwapbands(Buy);Buy to Open;10.0;$310.64;5/18/21, 3:54 PM;;$4.46;10.0;
24;vwapbands(SEll);Sell to Close;-10.0;$310.51;5/18/21, 3:55 PM;($1.35);$4.61;0.0;
25;vwapbands(Buy);Buy to Open;10.0;$310.37;5/18/21, 3:56 PM;;$3.11;10.0;
26;vwapbands(SEll);Sell to Close;-10.0;$310.25;5/18/21, 3:57 PM;($1.20);$3.41;0.0;
27;vwapbands(Buy);Buy to Open;10.0;$310.10;5/18/21, 3:58 PM;;$3.41;10.0;
28;vwapbands(SEll);Sell to Close;-10.0;$310.13;5/18/21, 3:59 PM;$0.25;$3.66;0.0;
29;vwapbands(Buy);Buy to Open;10.0;$304.00;5/19/21, 9:30 AM;;$12.31;10.0;
30;vwapbands(SEll);Sell to Close;-10.0;$304.83;5/19/21, 9:31 AM;$8.30;$11.96;0.0;
31;vwapbands(Buy);Buy to Open;10.0;$318.66;5/21/21, 9:33 AM;;$5.76;10.0;
32;vwapbands(SEll);Sell to Close;-10.0;$318.30;5/21/21, 9:35 AM;($3.60);$8.36;0.0;
33;vwapbands(Buy);Buy to Open;10.0;$317.35;5/21/21, 9:36 AM;;$10.56;10.0;
34;vwapbands(SEll);Sell to Close;-10.0;$317.04;5/21/21, 9:39 AM;($3.10);$5.26;0.0;
35;vwapbands(Buy);Buy to Open;10.0;$316.58;5/21/21, 9:40 AM;;$8.26;10.0;
36;vwapbands(SEll);Sell to Close;-10.0;$317.62;5/21/21, 10:03 AM;$10.38;$15.64;0.0;
37;vwapbands(Buy);Buy to Open;10.0;$316.14;5/21/21, 3:55 PM;;$16.13;10.0;
38;vwapbands(SEll);Sell to Close;-10.0;$316.17;5/21/21, 3:56 PM;$0.30;$15.94;0.0;
39;vwapbands(Buy);Buy to Open;10.0;$315.96;5/21/21, 3:57 PM;;$16.99;10.0;
