Strategy report
Symbol: FB
Work Time: 10/19/20, 3:15 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$260.78;10/19/20, 3:15 PM;;($0.22);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$261.04;10/19/20, 3:55 PM;$0.26;$0.26;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$264.33;10/20/20, 9:40 AM;;$0.33;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$266.06;10/20/20, 10:30 AM;$1.73;$1.99;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$266.08;10/20/20, 10:35 AM;;$1.85;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$265.00;10/20/20, 10:45 AM;($1.09);$0.90;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$264.61;10/20/20, 11:45 AM;;$1.15;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$266.31;10/20/20, 12:50 PM;$1.69;$2.60;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$278.43;10/21/20, 9:35 AM;;$3.37;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$281.35;10/21/20, 10:20 AM;$2.91;$5.51;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$281.00;10/21/20, 10:25 AM;;$5.61;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$280.82;10/21/20, 10:35 AM;($0.18);$5.34;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$281.23;10/21/20, 12:25 PM;;$5.36;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$280.07;10/21/20, 12:45 PM;($1.16);$4.17;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$280.52;10/21/20, 1:05 PM;;$4.05;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$280.72;10/21/20, 1:40 PM;$0.20;$4.37;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$281.52;10/22/20, 9:35 AM;;$4.58;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$279.91;10/22/20, 9:45 AM;($1.62);$2.76;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$275.81;10/22/20, 10:55 AM;;$3.01;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$276.70;10/22/20, 11:55 AM;$0.89;$3.65;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$277.66;10/22/20, 1:15 PM;;$3.60;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$277.11;10/22/20, 1:35 PM;($0.55);$3.10;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$277.32;10/22/20, 1:40 PM;;$3.25;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$278.25;10/22/20, 2:20 PM;$0.93;$4.02;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$278.16;10/22/20, 2:25 PM;;$3.88;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$278.14;10/22/20, 2:30 PM;($0.02);$4.00;0.0;
