Strategy report
Symbol: GE
Work Time: 10/20/20, 1:30 PM - 7/2/21, 11:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$7.39;10/20/20, 1:30 PM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$7.37;10/20/20, 1:35 PM;($0.02);($0.02);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$7.35;10/20/20, 2:20 PM;;($0.02);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$7.33;10/20/20, 3:05 PM;($0.02);($0.04);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$7.34;10/20/20, 3:15 PM;;($0.03);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$7.35;10/20/20, 3:55 PM;$0.01;($0.03);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$7.30;10/21/20, 9:30 AM;;$0.00;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$7.32;10/21/20, 9:35 AM;$0.02;($0.01);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$7.38;10/21/20, 10:45 AM;;($0.02);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$7.36;10/21/20, 10:50 AM;($0.02);($0.02);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$7.38;10/21/20, 11:45 AM;;($0.03);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$7.35;10/21/20, 12:15 PM;($0.03);($0.06);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$7.38;10/21/20, 2:15 PM;;($0.06);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$7.39;10/21/20, 3:10 PM;$0.00;($0.05);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$7.38;10/21/20, 3:15 PM;;($0.06);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$7.38;10/21/20, 3:20 PM;$0.00;($0.05);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$7.42;10/22/20, 9:45 AM;;($0.06);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$7.50;10/22/20, 10:35 AM;$0.08;$0.03;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$7.50;10/22/20, 10:40 AM;;$0.02;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$7.50;10/22/20, 10:45 AM;$0.00;$0.03;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$7.54;10/22/20, 10:50 AM;;$0.06;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$7.62;10/22/20, 11:20 AM;$0.08;$0.11;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$7.62;10/22/20, 11:25 AM;;$0.10;1.0;
