Strategy report
Symbol: HD
Work Time: 10/22/20, 1:10 PM - 7/6/21, 2:10 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$282.80;10/22/20, 1:10 PM;;$0.50;1.0;
2;MacdPerfect;Sell to Close;-1.0;$283.16;10/22/20, 1:45 PM;$0.36;$0.36;0.0;
3;MacdPerfect;Buy to Open;1.0;$281.13;10/23/20, 1:55 PM;;$0.48;1.0;
4;MacdPerfect;Sell to Close;-1.0;$281.72;10/23/20, 2:40 PM;$0.59;$0.95;0.0;
5;MacdPerfect;Buy to Open;1.0;$275.46;10/26/20, 2:35 PM;;$0.70;1.0;
6;MacdPerfect;Sell to Close;-1.0;$275.17;10/26/20, 2:45 PM;($0.29);$0.66;0.0;
7;MacdPerfect;Buy to Open;1.0;$274.84;10/26/20, 2:50 PM;;$0.96;1.0;
8;MacdPerfect;Sell to Close;-1.0;$274.83;10/26/20, 3:10 PM;($0.01);$0.65;0.0;
9;MacdPerfect;Buy to Open;1.0;$274.69;10/26/20, 3:15 PM;;$0.86;1.0;
10;MacdPerfect;Sell to Close;-1.0;$274.91;10/26/20, 3:45 PM;$0.22;$0.86;0.0;
11;MacdPerfect;Buy to Open;1.0;$276.99;10/27/20, 9:30 AM;;$0.96;1.0;
12;MacdPerfect;Sell to Close;-1.0;$278.89;10/27/20, 10:15 AM;$1.90;$2.76;0.0;
13;MacdPerfect;Buy to Open;1.0;$264.78;10/30/20, 3:45 PM;;$2.32;1.0;
14;MacdPerfect;Sell to Close;-1.0;$264.34;10/30/20, 3:50 PM;($0.44);$2.32;0.0;
15;MacdPerfect;Buy to Open;1.0;$265.01;10/30/20, 3:55 PM;;$4.07;1.0;
16;MacdPerfect;Sell to Close;-1.0;$270.15;11/2/20, 9:30 AM;$5.14;$7.46;0.0;
17;MacdPerfect;Buy to Open;1.0;$270.13;11/2/20, 9:35 AM;;$8.06;1.0;
18;MacdPerfect;Sell to Close;-1.0;$273.90;11/2/20, 10:30 AM;$3.77;$11.23;0.0;
19;MacdPerfect;Buy to Open;1.0;$270.67;11/2/20, 3:10 PM;;$11.04;1.0;
20;MacdPerfect;Sell to Close;-1.0;$270.31;11/2/20, 3:40 PM;($0.36);$10.87;0.0;
21;MacdPerfect;Buy to Open;1.0;$270.16;11/2/20, 3:45 PM;;$11.38;1.0;
22;MacdPerfect;Sell to Close;-1.0;$270.49;11/2/20, 3:55 PM;$0.33;$11.20;0.0;
23;MacdPerfect;Buy to Open;1.0;$274.85;11/3/20, 9:30 AM;;$10.91;1.0;
24;MacdPerfect;Sell to Close;-1.0;$274.23;11/3/20, 9:40 AM;($0.63);$10.57;0.0;
25;MacdPerfect;Buy to Open;1.0;$274.60;11/3/20, 9:45 AM;;$11.96;1.0;
26;MacdPerfect;Sell to Close;-1.0;$277.52;11/3/20, 10:30 AM;$2.92;$13.50;0.0;
27;MacdPerfect;Buy to Open;1.0;$280.45;11/4/20, 9:35 AM;;$12.90;1.0;
28;MacdPerfect;Sell to Close;-1.0;$279.74;11/4/20, 9:40 AM;($0.71);$12.78;0.0;
29;MacdPerfect;Buy to Open;1.0;$280.67;11/4/20, 9:45 AM;;$12.73;1.0;
30;MacdPerfect;Sell to Close;-1.0;$281.85;11/4/20, 10:15 AM;$1.19;$13.97;0.0;
31;MacdPerfect;Buy to Open;1.0;$287.48;11/5/20, 9:35 AM;;$13.26;1.0;
32;MacdPerfect;Sell to Close;-1.0;$286.71;11/5/20, 9:40 AM;($0.77);$13.20;0.0;
33;MacdPerfect;Buy to Open;1.0;$286.55;11/5/20, 9:45 AM;;$12.96;1.0;
34;MacdPerfect;Sell to Close;-1.0;$287.78;11/5/20, 10:30 AM;$1.23;$14.43;0.0;
35;MacdPerfect;Buy to Open;1.0;$288.12;11/5/20, 10:35 AM;;$14.40;1.0;
36;MacdPerfect;Sell to Close;-1.0;$288.64;11/5/20, 11:00 AM;$0.52;$14.95;0.0;
37;MacdPerfect;Buy to Open;1.0;$286.47;11/5/20, 2:05 PM;;$14.51;1.0;
38;MacdPerfect;Sell to Close;-1.0;$286.03;11/5/20, 2:10 PM;($0.44);$14.51;0.0;
39;MacdPerfect;Buy to Open;1.0;$286.15;11/5/20, 2:15 PM;;$14.51;1.0;
40;MacdPerfect;Sell to Close;-1.0;$286.02;11/5/20, 2:30 PM;($0.13);$14.38;0.0;
41;MacdPerfect;Buy to Open;1.0;$286.36;11/5/20, 2:45 PM;;$14.06;1.0;
42;MacdPerfect;Sell to Close;-1.0;$286.00;11/5/20, 2:50 PM;($0.36);$14.02;0.0;
