Strategy report
Symbol: HD
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$270.13;11/2/20, 9:35 AM;;$0.59;1.0;
2;MacdPerfect;Sell to Close;-1.0;$273.95;11/2/20, 10:05 AM;$3.82;$3.82;0.0;
3;MacdPerfect;Buy to Open;1.0;$274.64;11/3/20, 9:35 AM;;$3.41;1.0;
4;MacdPerfect;Sell to Close;-1.0;$276.99;11/3/20, 10:10 AM;$2.35;$6.17;0.0;
5;MacdPerfect;Buy to Open;1.0;$280.45;11/4/20, 9:35 AM;;$5.58;1.0;
6;MacdPerfect;Sell to Close;-1.0;$282.42;11/4/20, 10:10 AM;$1.97;$8.14;0.0;
7;MacdPerfect;Buy to Open;1.0;$287.48;11/5/20, 9:35 AM;;$7.44;1.0;
8;MacdPerfect;Sell to Close;-1.0;$287.64;11/5/20, 10:10 AM;$0.16;$8.30;0.0;
9;MacdPerfect;Buy to Open;1.0;$276.75;11/11/20, 9:35 AM;;$8.80;1.0;
10;MacdPerfect;Sell to Close;-1.0;$276.88;11/11/20, 10:05 AM;$0.13;$8.43;0.0;
11;MacdPerfect;Buy to Open;1.0;$280.35;11/12/20, 9:40 AM;;$7.06;1.0;
12;MacdPerfect;Sell to Close;-1.0;$277.96;11/12/20, 9:50 AM;($2.39);$6.04;0.0;
13;MacdPerfect;Buy to Open;1.0;$277.70;11/13/20, 9:35 AM;;$6.16;1.0;
14;MacdPerfect;Sell to Close;-1.0;$279.06;11/13/20, 10:05 AM;$1.36;$7.40;0.0;
15;MacdPerfect;Buy to Open;1.0;$279.33;11/16/20, 9:35 AM;;$8.49;1.0;
16;MacdPerfect;Sell to Close;-1.0;$278.98;11/16/20, 10:00 AM;($0.35);$7.05;0.0;
17;MacdPerfect;Buy to Open;1.0;$274.66;11/18/20, 9:40 AM;;$6.66;1.0;
18;MacdPerfect;Sell to Close;-1.0;$274.36;11/18/20, 10:05 AM;($0.31);$6.74;0.0;
19;MacdPerfect;Buy to Open;1.0;$271.55;11/20/20, 9:35 AM;;$7.50;1.0;
20;MacdPerfect;Sell to Close;-1.0;$270.99;11/20/20, 9:50 AM;($0.56);$6.18;0.0;
21;MacdPerfect;Buy to Open;1.0;$270.53;11/23/20, 9:35 AM;;$6.45;1.0;
22;MacdPerfect;Sell to Close;-1.0;$272.10;11/23/20, 10:05 AM;$1.57;$7.75;0.0;
23;MacdPerfect;Buy to Open;1.0;$273.36;11/24/20, 9:35 AM;;$7.40;1.0;
24;MacdPerfect;Sell to Close;-1.0;$273.65;11/24/20, 10:10 AM;$0.29;$8.04;0.0;
25;MacdPerfect;Buy to Open;1.0;$274.15;11/25/20, 9:35 AM;;$8.39;1.0;
