Strategy report
Symbol: HD
Work Time: 1/16/20, 9:35 AM - 10/1/20, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$225.66;1/16/20, 9:35 AM;;$0.81;1.0;
2;MacdPerfect;Sell to Close;-1.0;$227.52;1/16/20, 10:10 AM;$1.86;$1.86;0.0;
3;MacdPerfect;Buy to Open;1.0;$230.31;1/17/20, 9:35 AM;;$2.31;1.0;
4;MacdPerfect;Sell to Close;-1.0;$231.44;1/17/20, 10:05 AM;$1.13;$2.99;0.0;
5;MacdPerfect;Buy to Open;1.0;$232.38;1/21/20, 9:40 AM;;$2.11;1.0;
6;MacdPerfect;Sell to Close;-1.0;$232.24;1/21/20, 10:15 AM;($0.14);$2.84;0.0;
7;MacdPerfect;Buy to Open;1.0;$233.67;1/22/20, 9:35 AM;;$3.57;1.0;
8;MacdPerfect;Sell to Close;-1.0;$235.92;1/22/20, 10:15 AM;$2.25;$5.09;0.0;
9;MacdPerfect;Buy to Open;1.0;$234.39;1/24/20, 9:35 AM;;$4.93;1.0;
10;MacdPerfect;Sell to Close;-1.0;$234.88;1/24/20, 10:25 AM;$0.49;$5.58;0.0;
11;MacdPerfect;Buy to Open;1.0;$232.18;1/28/20, 9:40 AM;;$5.59;1.0;
12;MacdPerfect;Sell to Close;-1.0;$234.10;1/28/20, 10:45 AM;$1.93;$7.50;0.0;
13;MacdPerfect;Buy to Open;1.0;$234.94;1/29/20, 9:35 AM;;$7.99;1.0;
14;MacdPerfect;Sell to Close;-1.0;$234.42;1/29/20, 10:00 AM;($0.52);$6.98;0.0;
15;MacdPerfect;Buy to Open;1.0;$232.86;1/31/20, 9:40 AM;;$6.84;1.0;
16;MacdPerfect;Sell to Close;-1.0;$232.27;1/31/20, 9:50 AM;($0.59);$6.39;0.0;
17;MacdPerfect;Buy to Open;1.0;$230.48;2/3/20, 9:35 AM;;$6.60;1.0;
18;MacdPerfect;Sell to Close;-1.0;$232.08;2/3/20, 10:10 AM;$1.60;$7.99;0.0;
19;MacdPerfect;Buy to Open;1.0;$234.48;2/4/20, 9:35 AM;;$8.08;1.0;
20;MacdPerfect;Sell to Close;-1.0;$235.20;2/4/20, 10:05 AM;$0.72;$8.71;0.0;
21;MacdPerfect;Buy to Open;1.0;$236.43;2/5/20, 9:35 AM;;$8.97;1.0;
22;MacdPerfect;Sell to Close;-1.0;$237.27;2/5/20, 10:10 AM;$0.84;$9.56;0.0;
23;MacdPerfect;Buy to Open;1.0;$238.36;2/6/20, 9:35 AM;;$9.28;1.0;
24;MacdPerfect;Sell to Close;-1.0;$238.15;2/6/20, 10:30 AM;($0.21);$9.35;0.0;
25;MacdPerfect;Buy to Open;1.0;$237.57;2/10/20, 9:40 AM;;$9.83;1.0;
26;MacdPerfect;Sell to Close;-1.0;$238.22;2/10/20, 10:15 AM;$0.65;$10.00;0.0;
27;MacdPerfect;Buy to Open;1.0;$240.25;2/11/20, 9:35 AM;;$10.80;1.0;
28;MacdPerfect;Sell to Close;-1.0;$241.79;2/11/20, 10:15 AM;$1.54;$11.54;0.0;
29;MacdPerfect;Buy to Open;1.0;$243.51;2/14/20, 9:35 AM;;$11.21;1.0;
30;MacdPerfect;Sell to Close;-1.0;$243.07;2/14/20, 10:00 AM;($0.44);$11.10;0.0;
31;MacdPerfect;Buy to Open;1.0;$244.66;2/18/20, 9:35 AM;;$11.28;1.0;
32;MacdPerfect;Sell to Close;-1.0;$245.62;2/18/20, 10:10 AM;$0.96;$12.06;0.0;
33;MacdPerfect;Buy to Open;1.0;$244.97;2/19/20, 9:35 AM;;$12.21;1.0;
34;MacdPerfect;Sell to Close;-1.0;$244.01;2/19/20, 9:55 AM;($0.96);$11.10;0.0;
35;MacdPerfect;Buy to Open;1.0;$245.12;2/20/20, 9:35 AM;;$11.33;1.0;
36;MacdPerfect;Sell to Close;-1.0;$245.56;2/20/20, 10:05 AM;$0.44;$11.54;0.0;
37;MacdPerfect;Buy to Open;1.0;$246.57;2/21/20, 9:35 AM;;$10.88;1.0;
38;MacdPerfect;Sell to Close;-1.0;$246.00;2/21/20, 9:40 AM;($0.57);$10.97;0.0;
39;MacdPerfect;Buy to Open;1.0;$244.11;2/25/20, 9:35 AM;;$11.57;1.0;
40;MacdPerfect;Sell to Close;-1.0;$243.50;2/25/20, 10:05 AM;($0.61);$10.36;0.0;
41;MacdPerfect;Buy to Open;1.0;$219.65;3/2/20, 9:35 AM;;$9.42;1.0;
42;MacdPerfect;Sell to Close;-1.0;$219.39;3/2/20, 10:00 AM;($0.26);$10.10;0.0;
43;MacdPerfect;Buy to Open;1.0;$229.82;3/3/20, 9:35 AM;;$10.16;1.0;
44;MacdPerfect;Sell to Close;-1.0;$230.75;3/3/20, 9:50 AM;$0.93;$11.03;0.0;
45;MacdPerfect;Buy to Open;1.0;$234.09;3/4/20, 9:35 AM;;$9.74;1.0;
46;MacdPerfect;Sell to Close;-1.0;$232.97;3/4/20, 10:05 AM;($1.12);$9.91;0.0;
47;MacdPerfect;Buy to Open;1.0;$218.13;3/10/20, 9:35 AM;;$9.12;1.0;
48;MacdPerfect;Sell to Close;-1.0;$214.26;3/10/20, 9:50 AM;($3.88);$6.04;0.0;
49;MacdPerfect;Buy to Open;1.0;$149.06;3/19/20, 9:35 AM;;$0.82;1.0;
50;MacdPerfect;Sell to Close;-1.0;$143.79;3/19/20, 9:40 AM;($5.27);$0.77;0.0;
51;MacdPerfect;Buy to Open;1.0;$166.59;3/20/20, 9:35 AM;;($1.72);1.0;
52;MacdPerfect;Sell to Close;-1.0;$162.59;3/20/20, 9:50 AM;($4.00);($3.23);0.0;
53;MacdPerfect;Buy to Open;1.0;$178.60;3/24/20, 9:35 AM;;($4.10);1.0;
54;MacdPerfect;Sell to Close;-1.0;$177.65;3/24/20, 10:00 AM;($0.95);($4.18);0.0;
55;MacdPerfect;Buy to Open;1.0;$186.93;3/25/20, 9:35 AM;;($0.35);1.0;
56;MacdPerfect;Sell to Close;-1.0;$185.38;3/25/20, 10:00 AM;($1.55);($5.73);0.0;
57;MacdPerfect;Buy to Open;1.0;$184.61;3/26/20, 9:35 AM;;($4.44);1.0;
58;MacdPerfect;Sell to Close;-1.0;$189.28;3/26/20, 10:25 AM;$4.68;($1.05);0.0;
59;MacdPerfect;Buy to Open;1.0;$180.03;4/3/20, 9:35 AM;;($0.47);1.0;
60;MacdPerfect;Sell to Close;-1.0;$180.69;4/3/20, 9:50 AM;$0.66;($0.39);0.0;
61;MacdPerfect;Buy to Open;1.0;$186.26;4/6/20, 9:35 AM;;($0.78);1.0;
62;MacdPerfect;Sell to Close;-1.0;$188.40;4/6/20, 10:05 AM;$2.14;$1.75;0.0;
63;MacdPerfect;Buy to Open;1.0;$201.34;4/7/20, 9:35 AM;;($0.88);1.0;
64;MacdPerfect;Sell to Close;-1.0;$201.01;4/7/20, 10:00 AM;($0.33);$1.42;0.0;
65;MacdPerfect;Buy to Open;1.0;$197.35;4/9/20, 9:35 AM;;$3.90;1.0;
66;MacdPerfect;Sell to Close;-1.0;$203.45;4/9/20, 10:10 AM;$6.10;$7.53;0.0;
67;MacdPerfect;Buy to Open;1.0;$202.57;4/14/20, 9:35 AM;;$8.13;1.0;
68;MacdPerfect;Sell to Close;-1.0;$205.82;4/14/20, 10:10 AM;$3.25;$10.78;0.0;
69;MacdPerfect;Buy to Open;1.0;$207.82;4/17/20, 9:35 AM;;$12.25;1.0;
70;MacdPerfect;Sell to Close;-1.0;$208.95;4/17/20, 10:05 AM;$1.13;$11.91;0.0;
71;MacdPerfect;Buy to Open;1.0;$203.18;4/22/20, 9:35 AM;;$11.88;1.0;
72;MacdPerfect;Sell to Close;-1.0;$202.68;4/22/20, 10:05 AM;($0.50);$11.41;0.0;
73;MacdPerfect;Buy to Open;1.0;$204.73;4/23/20, 9:35 AM;;$11.81;1.0;
74;MacdPerfect;Sell to Close;-1.0;$205.01;4/23/20, 9:40 AM;$0.28;$11.69;0.0;
75;MacdPerfect;Buy to Open;1.0;$205.21;4/24/20, 9:40 AM;;$11.48;1.0;
76;MacdPerfect;Sell to Close;-1.0;$204.84;4/24/20, 10:05 AM;($0.38);$11.32;0.0;
77;MacdPerfect;Buy to Open;1.0;$215.82;4/27/20, 9:35 AM;;$11.29;1.0;
78;MacdPerfect;Sell to Close;-1.0;$215.87;4/27/20, 10:05 AM;$0.05;$11.37;0.0;
79;MacdPerfect;Buy to Open;1.0;$222.83;4/28/20, 9:35 AM;;$10.78;1.0;
80;MacdPerfect;Sell to Close;-1.0;$220.69;4/28/20, 9:55 AM;($2.15);$9.23;0.0;
