Strategy report
Symbol: IBM
Work Time: 10/22/20, 12:30 PM - 7/6/21, 2:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$114.17;10/22/20, 12:30 PM;;($0.06);1.0;
2;MacdPerfect;Sell to Close;-1.0;$114.54;10/22/20, 1:25 PM;$0.37;$0.37;0.0;
3;MacdPerfect;Buy to Open;1.0;$116.10;10/23/20, 9:35 AM;;$0.50;1.0;
4;MacdPerfect;Sell to Close;-1.0;$116.30;10/23/20, 10:00 AM;$0.20;$0.57;0.0;
5;MacdPerfect;Buy to Open;1.0;$116.25;10/23/20, 10:05 AM;;$0.73;1.0;
6;MacdPerfect;Sell to Close;-1.0;$116.27;10/23/20, 10:15 AM;$0.02;$0.59;0.0;
7;MacdPerfect;Buy to Open;1.0;$115.95;10/23/20, 1:30 PM;;$0.61;1.0;
8;MacdPerfect;Sell to Close;-1.0;$115.88;10/23/20, 1:40 PM;($0.07);$0.52;0.0;
9;MacdPerfect;Buy to Open;1.0;$115.93;10/23/20, 3:15 PM;;$0.60;1.0;
10;MacdPerfect;Sell to Close;-1.0;$115.81;10/23/20, 3:30 PM;($0.12);$0.40;0.0;
11;MacdPerfect;Buy to Open;1.0;$115.82;10/23/20, 3:35 PM;;$0.34;1.0;
12;MacdPerfect;Sell to Close;-1.0;$115.75;10/23/20, 3:40 PM;($0.06);$0.33;0.0;
13;MacdPerfect;Buy to Open;1.0;$115.89;10/23/20, 3:50 PM;;$0.30;1.0;
14;MacdPerfect;Sell to Close;-1.0;$115.85;10/23/20, 3:55 PM;($0.04);$0.29;0.0;
15;MacdPerfect;Buy to Open;1.0;$110.82;10/27/20, 2:05 PM;;$0.35;1.0;
16;MacdPerfect;Sell to Close;-1.0;$110.60;10/27/20, 2:20 PM;($0.22);$0.07;0.0;
17;MacdPerfect;Buy to Open;1.0;$110.53;10/27/20, 3:50 PM;;$0.26;1.0;
18;MacdPerfect;Sell to Close;-1.0;$110.73;10/27/20, 3:55 PM;$0.20;$0.27;0.0;
19;MacdPerfect;Buy to Open;1.0;$106.69;10/28/20, 3:40 PM;;$0.60;1.0;
20;MacdPerfect;Sell to Close;-1.0;$106.94;10/28/20, 3:55 PM;$0.25;$0.52;0.0;
21;MacdPerfect;Buy to Open;1.0;$107.25;10/29/20, 9:30 AM;;$0.33;1.0;
22;MacdPerfect;Sell to Close;-1.0;$107.05;10/29/20, 9:35 AM;($0.20);$0.32;0.0;
23;MacdPerfect;Buy to Open;1.0;$106.67;10/29/20, 9:40 AM;;$0.97;1.0;
24;MacdPerfect;Sell to Close;-1.0;$107.73;10/29/20, 10:05 AM;$1.06;$1.38;0.0;
25;MacdPerfect;Buy to Open;1.0;$113.38;11/2/20, 9:35 AM;;$0.76;1.0;
26;MacdPerfect;Sell to Close;-1.0;$112.78;11/2/20, 9:40 AM;($0.60);$0.78;0.0;
27;MacdPerfect;Buy to Open;1.0;$112.39;11/2/20, 9:45 AM;;$0.97;1.0;
28;MacdPerfect;Sell to Close;-1.0;$113.10;11/2/20, 10:15 AM;$0.71;$1.49;0.0;
29;MacdPerfect;Buy to Open;1.0;$113.33;11/2/20, 10:20 AM;;$1.67;1.0;
30;MacdPerfect;Sell to Close;-1.0;$113.37;11/2/20, 10:30 AM;$0.04;$1.53;0.0;
31;MacdPerfect;Buy to Open;1.0;$113.20;11/2/20, 2:40 PM;;$1.60;1.0;
32;MacdPerfect;Sell to Close;-1.0;$113.04;11/2/20, 2:55 PM;($0.16);$1.37;0.0;
33;MacdPerfect;Buy to Open;1.0;$113.86;11/3/20, 9:35 AM;;$1.77;1.0;
34;MacdPerfect;Sell to Close;-1.0;$115.19;11/3/20, 10:25 AM;$1.33;$2.70;0.0;
35;MacdPerfect;Buy to Open;1.0;$114.62;11/3/20, 3:50 PM;;$2.68;1.0;
36;MacdPerfect;Sell to Close;-1.0;$114.58;11/3/20, 3:55 PM;($0.04);$2.66;0.0;
37;MacdPerfect;Buy to Open;1.0;$113.39;11/5/20, 9:40 AM;;$3.16;1.0;
38;MacdPerfect;Sell to Close;-1.0;$114.85;11/5/20, 10:30 AM;$1.46;$4.12;0.0;
39;MacdPerfect;Buy to Open;1.0;$114.18;11/6/20, 1:30 PM;;$4.03;1.0;
40;MacdPerfect;Sell to Close;-1.0;$114.07;11/6/20, 1:35 PM;($0.11);$4.01;0.0;
41;MacdPerfect;Buy to Open;1.0;$114.05;11/6/20, 1:40 PM;;$3.93;1.0;
42;MacdPerfect;Sell to Close;-1.0;$113.97;11/6/20, 1:45 PM;($0.08);$3.93;0.0;
43;MacdPerfect;Buy to Open;1.0;$114.07;11/6/20, 1:50 PM;;$3.87;1.0;
44;MacdPerfect;Sell to Close;-1.0;$114.02;11/6/20, 2:05 PM;($0.05);$3.88;0.0;
45;MacdPerfect;Buy to Open;1.0;$114.08;11/6/20, 2:10 PM;;$3.86;1.0;
46;MacdPerfect;Sell to Close;-1.0;$114.05;11/6/20, 2:15 PM;($0.02);$3.86;0.0;
47;MacdPerfect;Buy to Open;1.0;$114.05;11/6/20, 2:20 PM;;$3.90;1.0;
48;MacdPerfect;Sell to Close;-1.0;$113.96;11/6/20, 2:40 PM;($0.09);$3.77;0.0;
49;MacdPerfect;Buy to Open;1.0;$114.23;11/6/20, 3:40 PM;;$3.89;1.0;
50;MacdPerfect;Sell to Close;-1.0;$114.35;11/6/20, 3:55 PM;$0.12;$3.89;0.0;
51;MacdPerfect;Buy to Open;1.0;$119.44;11/9/20, 9:35 AM;;$3.22;1.0;
52;MacdPerfect;Sell to Close;-1.0;$118.77;11/9/20, 9:40 AM;($0.67);$3.22;0.0;
53;MacdPerfect;Buy to Open;1.0;$117.81;11/9/20, 9:45 AM;;$2.13;1.0;
54;MacdPerfect;Sell to Close;-1.0;$116.83;11/9/20, 9:50 AM;($0.98);$2.24;0.0;
55;MacdPerfect;Buy to Open;1.0;$116.81;11/9/20, 9:55 AM;;$2.11;1.0;
