Strategy report
Symbol: IBM
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Sell to Close;-1.0;$107.05;10/29/20, 9:35 AM;$0.00;$0.37;-1.0;
2;MacdPerfect;Buy to Open;1.0;$107.05;10/29/20, 9:35 AM;;$0.00;0.0;
3;MacdPerfect;Buy to Open;1.0;$106.67;10/29/20, 9:40 AM;;$0.64;1.0;
4;MacdPerfect;Sell to Close;-1.0;$107.58;10/29/20, 10:10 AM;$0.91;$0.91;0.0;
5;MacdPerfect;Buy to Open;1.0;$109.47;10/30/20, 9:35 AM;;$1.42;1.0;
6;MacdPerfect;Sell to Close;-1.0;$109.82;10/30/20, 10:00 AM;$0.35;$1.26;0.0;
7;MacdPerfect;Buy to Open;1.0;$113.38;11/2/20, 9:35 AM;;$0.64;1.0;
8;MacdPerfect;Sell to Close;-1.0;$113.59;11/2/20, 10:05 AM;$0.21;$1.47;0.0;
9;MacdPerfect;Buy to Open;1.0;$113.86;11/3/20, 9:35 AM;;$1.88;1.0;
10;MacdPerfect;Sell to Close;-1.0;$114.94;11/3/20, 10:10 AM;$1.08;$2.55;0.0;
11;MacdPerfect;Buy to Open;1.0;$113.39;11/5/20, 9:40 AM;;$3.06;1.0;
12;MacdPerfect;Sell to Close;-1.0;$114.00;11/5/20, 10:05 AM;$0.61;$3.17;0.0;
13;MacdPerfect;Buy to Open;1.0;$119.44;11/9/20, 9:35 AM;;$2.50;1.0;
14;MacdPerfect;Sell to Close;-1.0;$116.81;11/9/20, 9:55 AM;($2.63);$0.54;0.0;
15;MacdPerfect;Buy to Open;1.0;$116.68;11/10/20, 9:35 AM;;$0.46;1.0;
16;MacdPerfect;Sell to Close;-1.0;$116.95;11/10/20, 10:35 AM;$0.27;$0.81;0.0;
17;MacdPerfect;Buy to Open;1.0;$115.57;11/13/20, 9:35 AM;;$0.79;1.0;
18;MacdPerfect;Sell to Close;-1.0;$115.90;11/13/20, 10:00 AM;$0.33;$1.14;0.0;
19;MacdPerfect;Buy to Open;1.0;$118.17;11/16/20, 9:35 AM;;$0.81;1.0;
20;MacdPerfect;Sell to Close;-1.0;$117.47;11/16/20, 9:50 AM;($0.70);$0.43;0.0;
21;MacdPerfect;Buy to Open;1.0;$117.53;11/18/20, 9:40 AM;;$1.06;1.0;
22;MacdPerfect;Sell to Close;-1.0;$118.30;11/18/20, 10:20 AM;$0.77;$1.20;0.0;
23;MacdPerfect;Buy to Open;1.0;$116.67;11/19/20, 9:40 AM;;$1.31;1.0;
24;MacdPerfect;Sell to Close;-1.0;$116.90;11/19/20, 10:15 AM;$0.23;$1.43;0.0;
25;MacdPerfect;Buy to Open;1.0;$117.94;11/23/20, 9:35 AM;;$1.58;1.0;
26;MacdPerfect;Sell to Close;-1.0;$119.03;11/23/20, 10:10 AM;$1.09;$2.52;0.0;
27;MacdPerfect;Buy to Open;1.0;$121.14;11/24/20, 9:35 AM;;$3.45;1.0;
28;MacdPerfect;Sell to Close;-1.0;$121.98;11/24/20, 10:05 AM;$0.85;$3.36;0.0;
29;MacdPerfect;Buy to Open;1.0;$124.52;11/27/20, 9:35 AM;;$3.90;1.0;
30;MacdPerfect;Sell to Close;-1.0;$124.63;11/27/20, 9:55 AM;$0.11;$3.47;0.0;
31;MacdPerfect;Buy to Open;1.0;$123.70;12/2/20, 9:40 AM;;$3.73;1.0;
32;MacdPerfect;Sell to Close;-1.0;$123.61;12/2/20, 10:10 AM;($0.09);$3.38;0.0;
33;MacdPerfect;Buy to Open;1.0;$124.16;12/3/20, 9:35 AM;;$3.24;1.0;
34;MacdPerfect;Sell to Close;-1.0;$124.52;12/3/20, 11:15 AM;$0.36;$3.74;0.0;
35;MacdPerfect;Buy to Open;1.0;$127.05;12/9/20, 9:40 AM;;$3.81;1.0;
36;MacdPerfect;Sell to Close;-1.0;$127.50;12/9/20, 10:10 AM;$0.45;$4.19;0.0;
37;MacdPerfect;Buy to Open;1.0;$125.25;12/14/20, 9:35 AM;;$4.30;1.0;
38;MacdPerfect;Sell to Close;-1.0;$126.19;12/14/20, 10:10 AM;$0.94;$5.13;0.0;
39;MacdPerfect;Buy to Open;1.0;$124.29;12/15/20, 9:35 AM;;$5.03;1.0;
40;MacdPerfect;Sell to Close;-1.0;$123.78;12/15/20, 10:00 AM;($0.50);$4.63;0.0;
41;MacdPerfect;Buy to Open;1.0;$125.93;12/16/20, 9:35 AM;;$4.68;1.0;
42;MacdPerfect;Sell to Close;-1.0;$126.37;12/16/20, 10:10 AM;$0.44;$5.07;0.0;
43;MacdPerfect;Buy to Open;1.0;$125.90;12/17/20, 9:40 AM;;$4.87;1.0;
44;MacdPerfect;Sell to Close;-1.0;$125.33;12/17/20, 9:55 AM;($0.57);$4.50;0.0;
45;MacdPerfect;Buy to Open;1.0;$126.08;12/18/20, 9:35 AM;;$4.63;1.0;
46;MacdPerfect;Sell to Close;-1.0;$126.01;12/18/20, 10:00 AM;($0.07);$4.43;0.0;
47;MacdPerfect;Buy to Open;1.0;$124.37;12/23/20, 9:35 AM;;$4.92;1.0;
48;MacdPerfect;Sell to Close;-1.0;$125.13;12/23/20, 10:05 AM;$0.77;$5.19;0.0;
49;MacdPerfect;Buy to Open;1.0;$124.88;12/24/20, 9:35 AM;;$4.90;1.0;
50;MacdPerfect;Sell to Close;-1.0;$124.70;12/24/20, 10:05 AM;($0.19);$5.01;0.0;
51;MacdPerfect;Buy to Open;1.0;$124.86;12/28/20, 9:35 AM;;$4.94;1.0;
52;MacdPerfect;Sell to Close;-1.0;$126.29;12/28/20, 10:35 AM;$1.43;$6.44;0.0;
53;MacdPerfect;Buy to Open;1.0;$123.81;12/30/20, 9:35 AM;;$6.37;1.0;
54;MacdPerfect;Sell to Close;-1.0;$123.98;12/30/20, 10:10 AM;$0.17;$6.61;0.0;
55;MacdPerfect;Buy to Open;1.0;$125.01;1/5/21, 9:35 AM;;$7.47;1.0;
56;MacdPerfect;Sell to Close;-1.0;$125.74;1/5/21, 10:00 AM;$0.73;$7.34;0.0;
57;MacdPerfect;Buy to Open;1.0;$127.48;1/6/21, 9:35 AM;;$7.58;1.0;
58;MacdPerfect;Sell to Close;-1.0;$129.68;1/6/21, 10:30 AM;$2.20;$9.54;0.0;
59;MacdPerfect;Buy to Open;1.0;$129.51;1/13/21, 9:35 AM;;$9.25;1.0;
60;MacdPerfect;Sell to Close;-1.0;$129.18;1/13/21, 9:45 AM;($0.33);$9.21;0.0;
61;MacdPerfect;Buy to Open;1.0;$127.79;1/14/21, 9:35 AM;;$9.31;1.0;
62;MacdPerfect;Sell to Close;-1.0;$128.67;1/14/21, 10:10 AM;$0.88;$10.09;0.0;
63;MacdPerfect;Buy to Open;1.0;$128.96;1/19/21, 9:35 AM;;$9.63;1.0;
64;MacdPerfect;Sell to Close;-1.0;$128.64;1/19/21, 10:05 AM;($0.32);$9.77;0.0;
65;MacdPerfect;Buy to Open;1.0;$130.84;1/21/21, 9:35 AM;;$10.69;1.0;
66;MacdPerfect;Sell to Close;-1.0;$130.95;1/21/21, 9:55 AM;$0.11;$9.88;0.0;
67;MacdPerfect;Buy to Open;1.0;$119.05;1/26/21, 9:35 AM;;$9.90;1.0;
68;MacdPerfect;Sell to Close;-1.0;$118.81;1/26/21, 9:55 AM;($0.24);$9.64;0.0;
69;MacdPerfect;Buy to Open;1.0;$123.11;1/27/21, 9:35 AM;;$9.68;1.0;
70;MacdPerfect;Sell to Close;-1.0;$123.05;1/27/21, 9:40 AM;($0.06);$9.58;0.0;
71;MacdPerfect;Buy to Open;1.0;$122.72;1/28/21, 9:35 AM;;$9.01;1.0;
72;MacdPerfect;Sell to Close;-1.0;$122.11;1/28/21, 9:50 AM;($0.61);$8.97;0.0;
73;MacdPerfect;Buy to Open;1.0;$120.50;1/29/21, 9:35 AM;;$9.35;1.0;
74;MacdPerfect;Sell to Close;-1.0;$120.78;1/29/21, 10:10 AM;$0.28;$9.25;0.0;
75;MacdPerfect;Buy to Open;1.0;$119.33;2/1/21, 9:35 AM;;$9.30;1.0;
76;MacdPerfect;Sell to Close;-1.0;$119.35;2/1/21, 10:10 AM;$0.02;$9.27;0.0;
77;MacdPerfect;Buy to Open;1.0;$121.03;2/5/21, 9:35 AM;;$9.27;1.0;
78;MacdPerfect;Sell to Close;-1.0;$121.27;2/5/21, 10:05 AM;$0.24;$9.51;0.0;
79;MacdPerfect;Buy to Open;1.0;$123.15;2/8/21, 9:35 AM;;$9.95;1.0;
80;MacdPerfect;Sell to Close;-1.0;$123.35;2/8/21, 10:00 AM;$0.20;$9.71;0.0;
81;MacdPerfect;Buy to Open;1.0;$122.82;2/10/21, 9:35 AM;;$10.14;1.0;
82;MacdPerfect;Sell to Close;-1.0;$123.02;2/10/21, 10:05 AM;$0.20;$9.91;0.0;
83;MacdPerfect;Buy to Open;1.0;$121.97;2/11/21, 9:35 AM;;$9.63;1.0;
84;MacdPerfect;Sell to Close;-1.0;$120.82;2/11/21, 11:05 AM;($1.15);$8.76;0.0;
85;MacdPerfect;Buy to Open;1.0;$120.26;2/17/21, 9:35 AM;;$8.81;1.0;
86;MacdPerfect;Sell to Close;-1.0;$120.23;2/17/21, 9:50 AM;($0.04);$8.72;0.0;
87;MacdPerfect;Buy to Open;1.0;$119.16;2/22/21, 9:40 AM;;$8.86;1.0;
88;MacdPerfect;Sell to Close;-1.0;$119.00;2/22/21, 10:05 AM;($0.16);$8.56;0.0;
89;MacdPerfect;Buy to Open;1.0;$121.19;2/23/21, 9:35 AM;;$8.42;1.0;
90;MacdPerfect;Sell to Close;-1.0;$120.96;2/23/21, 9:40 AM;($0.23);$8.33;0.0;
91;MacdPerfect;Buy to Open;1.0;$121.07;2/24/21, 9:35 AM;;$8.18;1.0;
92;MacdPerfect;Sell to Close;-1.0;$122.35;2/24/21, 10:50 AM;$1.28;$9.61;0.0;
93;MacdPerfect;Buy to Open;1.0;$123.78;2/25/21, 9:35 AM;;$9.75;1.0;
