Strategy report
Symbol: INTC
Work Time: 11/2/20, 9:40 AM - 7/2/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$44.76;11/2/20, 9:40 AM;;($0.08);1.0;
2;MacdPerfect;Sell to Close;-1.0;$44.84;11/2/20, 10:05 AM;$0.08;$0.08;0.0;
3;MacdPerfect;Buy to Open;1.0;$45.10;11/3/20, 9:35 AM;;$0.07;1.0;
4;MacdPerfect;Sell to Close;-1.0;$44.95;11/3/20, 9:55 AM;($0.15);($0.07);0.0;
5;MacdPerfect;Buy to Open;1.0;$45.01;11/3/20, 10:00 AM;;$0.02;1.0;
6;MacdPerfect;Sell to Close;-1.0;$45.20;11/3/20, 10:35 AM;$0.20;$0.12;0.0;
7;MacdPerfect;Buy to Open;1.0;$45.01;11/4/20, 9:35 AM;;$0.00;1.0;
8;MacdPerfect;Sell to Close;-1.0;$44.89;11/4/20, 9:40 AM;($0.12);$0.00;0.0;
9;MacdPerfect;Buy to Open;1.0;$46.12;11/5/20, 9:35 AM;;($0.13);1.0;
10;MacdPerfect;Sell to Close;-1.0;$45.98;11/5/20, 9:40 AM;($0.14);($0.13);0.0;
11;MacdPerfect;Buy to Open;1.0;$46.06;11/5/20, 9:45 AM;;($0.16);1.0;
12;MacdPerfect;Sell to Close;-1.0;$45.96;11/5/20, 9:55 AM;($0.10);($0.23);0.0;
13;MacdPerfect;Buy to Open;1.0;$45.93;11/5/20, 10:00 AM;;($0.16);1.0;
14;MacdPerfect;Sell to Close;-1.0;$45.95;11/5/20, 10:10 AM;$0.02;($0.21);0.0;
15;MacdPerfect;Buy to Open;1.0;$46.91;11/9/20, 9:35 AM;;($0.42);1.0;
16;MacdPerfect;Sell to Close;-1.0;$46.71;11/9/20, 9:40 AM;($0.20);($0.42);0.0;
17;MacdPerfect;Buy to Open;1.0;$46.90;11/9/20, 9:45 AM;;($0.24);1.0;
18;MacdPerfect;Sell to Close;-1.0;$46.94;11/9/20, 10:10 AM;$0.04;($0.38);0.0;
19;MacdPerfect;Buy to Open;1.0;$46.25;11/16/20, 9:35 AM;;($0.03);1.0;
20;MacdPerfect;Sell to Close;-1.0;$46.50;11/16/20, 10:15 AM;$0.25;($0.13);0.0;
21;MacdPerfect;Buy to Open;1.0;$45.73;11/20/20, 9:35 AM;;($0.05);1.0;
22;MacdPerfect;Sell to Close;-1.0;$45.68;11/20/20, 9:50 AM;($0.05);($0.18);0.0;
23;MacdPerfect;Buy to Open;1.0;$45.79;11/20/20, 9:55 AM;;($0.27);1.0;
24;MacdPerfect;Sell to Close;-1.0;$45.70;11/20/20, 10:00 AM;($0.09);($0.27);0.0;
25;MacdPerfect;Buy to Open;1.0;$45.74;11/23/20, 9:35 AM;;($0.22);1.0;
26;MacdPerfect;Sell to Close;-1.0;$46.02;11/23/20, 10:20 AM;$0.28;$0.01;0.0;
27;MacdPerfect;Buy to Open;1.0;$46.09;11/24/20, 9:40 AM;;$0.07;1.0;
28;MacdPerfect;Sell to Close;-1.0;$46.47;11/24/20, 10:30 AM;$0.38;$0.39;0.0;
29;MacdPerfect;Buy to Open;1.0;$47.81;11/27/20, 9:35 AM;;$0.59;1.0;
30;MacdPerfect;Sell to Close;-1.0;$47.62;11/27/20, 9:55 AM;($0.19);$0.20;0.0;
31;MacdPerfect;Buy to Open;1.0;$47.72;11/27/20, 10:00 AM;;$0.23;1.0;
32;MacdPerfect;Sell to Close;-1.0;$47.65;11/27/20, 10:10 AM;($0.07);$0.13;0.0;
33;MacdPerfect;Buy to Open;1.0;$49.34;12/1/20, 9:35 AM;;$0.28;1.0;
34;MacdPerfect;Sell to Close;-1.0;$49.69;12/1/20, 10:35 AM;$0.35;$0.48;0.0;
35;MacdPerfect;Buy to Open;1.0;$50.08;12/3/20, 9:35 AM;;$0.34;1.0;
36;MacdPerfect;Sell to Close;-1.0;$49.94;12/3/20, 9:40 AM;($0.14);$0.34;0.0;
37;MacdPerfect;Buy to Open;1.0;$49.92;12/3/20, 9:55 AM;;$0.29;1.0;
38;MacdPerfect;Sell to Close;-1.0;$49.85;12/3/20, 10:00 AM;($0.06);$0.28;0.0;
39;MacdPerfect;Buy to Open;1.0;$51.39;12/4/20, 9:35 AM;;$0.07;1.0;
40;MacdPerfect;Sell to Close;-1.0;$51.18;12/4/20, 9:40 AM;($0.21);$0.07;0.0;
41;MacdPerfect;Buy to Open;1.0;$51.26;12/4/20, 9:45 AM;;$0.12;1.0;
42;MacdPerfect;Sell to Close;-1.0;$51.99;12/4/20, 10:35 AM;$0.73;$0.80;0.0;
43;MacdPerfect;Buy to Open;1.0;$50.65;12/14/20, 9:45 AM;;$0.85;1.0;
44;MacdPerfect;Sell to Close;-1.0;$51.06;12/14/20, 10:20 AM;$0.41;$1.21;0.0;
45;MacdPerfect;Buy to Open;1.0;$50.72;12/15/20, 9:35 AM;;$1.26;1.0;
46;MacdPerfect;Sell to Close;-1.0;$50.61;12/15/20, 9:45 AM;($0.11);$1.11;0.0;
47;MacdPerfect;Buy to Open;1.0;$50.89;12/16/20, 9:35 AM;;$1.06;1.0;
48;MacdPerfect;Sell to Close;-1.0;$50.74;12/16/20, 9:45 AM;($0.15);$0.96;0.0;
49;MacdPerfect;Buy to Open;1.0;$50.78;12/16/20, 9:50 AM;;$1.03;1.0;
50;MacdPerfect;Sell to Close;-1.0;$50.90;12/16/20, 10:25 AM;$0.13;$1.08;0.0;
51;MacdPerfect;Buy to Open;1.0;$47.20;12/28/20, 9:35 AM;;$0.97;1.0;
