Strategy report
Symbol: INTC
Work Time: 10/21/20, 12:20 PM - 7/6/21, 3:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$53.61;10/21/20, 12:20 PM;;$0.21;1.0;
2;MacdPerfect;Sell to Close;-1.0;$53.54;10/21/20, 12:35 PM;($0.07);($0.07);0.0;
3;MacdPerfect;Buy to Open;1.0;$53.72;10/21/20, 1:15 PM;;$0.04;1.0;
4;MacdPerfect;Sell to Close;-1.0;$53.86;10/21/20, 2:00 PM;$0.14;$0.07;0.0;
5;MacdPerfect;Buy to Open;1.0;$46.59;10/26/20, 2:40 PM;;$0.03;1.0;
6;MacdPerfect;Sell to Close;-1.0;$46.49;10/26/20, 2:50 PM;($0.10);($0.03);0.0;
7;MacdPerfect;Buy to Open;1.0;$46.58;10/26/20, 2:55 PM;;$0.02;1.0;
8;MacdPerfect;Sell to Close;-1.0;$46.54;10/26/20, 3:10 PM;($0.05);($0.08);0.0;
9;MacdPerfect;Buy to Open;1.0;$46.53;10/26/20, 3:15 PM;;($0.02);1.0;
10;MacdPerfect;Sell to Close;-1.0;$46.67;10/26/20, 3:40 PM;$0.13;$0.06;0.0;
11;MacdPerfect;Buy to Open;1.0;$46.64;10/26/20, 3:45 PM;;$0.03;1.0;
12;MacdPerfect;Sell to Close;-1.0;$46.55;10/26/20, 3:55 PM;($0.09);($0.03);0.0;
13;MacdPerfect;Buy to Open;1.0;$45.80;10/27/20, 1:55 PM;;($0.06);1.0;
14;MacdPerfect;Sell to Close;-1.0;$45.75;10/27/20, 2:05 PM;($0.05);($0.08);0.0;
15;MacdPerfect;Buy to Open;1.0;$45.63;10/27/20, 2:20 PM;;($0.04);1.0;
16;MacdPerfect;Sell to Close;-1.0;$45.61;10/27/20, 2:40 PM;($0.02);($0.10);0.0;
17;MacdPerfect;Buy to Open;1.0;$45.70;10/27/20, 3:55 PM;;($0.14);1.0;
18;MacdPerfect;Sell to Close;-1.0;$44.96;10/28/20, 9:30 AM;($0.73);($0.83);0.0;
19;MacdPerfect;Buy to Open;1.0;$44.77;10/28/20, 2:25 PM;;($0.83);1.0;
20;MacdPerfect;Sell to Close;-1.0;$44.67;10/28/20, 2:40 PM;($0.10);($0.93);0.0;
21;MacdPerfect;Buy to Open;1.0;$44.73;10/28/20, 2:45 PM;;($0.95);1.0;
22;MacdPerfect;Sell to Close;-1.0;$44.58;10/28/20, 2:55 PM;($0.15);($1.08);0.0;
23;MacdPerfect;Buy to Open;1.0;$44.20;10/29/20, 2:10 PM;;($1.07);1.0;
24;MacdPerfect;Sell to Close;-1.0;$44.30;10/29/20, 2:40 PM;$0.10;($0.98);0.0;
25;MacdPerfect;Buy to Open;1.0;$44.43;10/30/20, 9:50 AM;;($1.06);1.0;
26;MacdPerfect;Sell to Close;-1.0;$44.36;10/30/20, 9:55 AM;($0.07);($1.05);0.0;
27;MacdPerfect;Buy to Open;1.0;$44.01;10/30/20, 3:25 PM;;($1.18);1.0;
28;MacdPerfect;Sell to Close;-1.0;$43.88;10/30/20, 3:30 PM;($0.13);($1.18);0.0;
29;MacdPerfect;Buy to Open;1.0;$44.04;10/30/20, 3:45 PM;;($1.23);1.0;
30;MacdPerfect;Sell to Close;-1.0;$44.02;10/30/20, 3:55 PM;($0.02);($1.20);0.0;
31;MacdPerfect;Buy to Open;1.0;$44.56;11/2/20, 9:35 AM;;($1.01);1.0;
32;MacdPerfect;Sell to Close;-1.0;$44.84;11/2/20, 10:05 AM;$0.27;($0.93);0.0;
33;MacdPerfect;Buy to Open;1.0;$44.73;11/2/20, 10:10 AM;;($0.85);1.0;
34;MacdPerfect;Sell to Close;-1.0;$44.96;11/2/20, 10:40 AM;$0.23;($0.70);0.0;
35;MacdPerfect;Buy to Open;1.0;$44.79;11/2/20, 12:30 PM;;($0.73);1.0;
36;MacdPerfect;Sell to Close;-1.0;$44.63;11/2/20, 12:40 PM;($0.15);($0.85);0.0;
37;MacdPerfect;Buy to Open;1.0;$44.53;11/2/20, 3:20 PM;;($0.85);1.0;
38;MacdPerfect;Sell to Close;-1.0;$44.49;11/2/20, 3:35 PM;($0.04);($0.89);0.0;
39;MacdPerfect;Buy to Open;1.0;$44.46;11/2/20, 3:40 PM;;($1.02);1.0;
40;MacdPerfect;Sell to Close;-1.0;$44.33;11/2/20, 3:45 PM;($0.13);($1.02);0.0;
41;MacdPerfect;Buy to Open;1.0;$45.10;11/3/20, 9:35 AM;;($1.03);1.0;
42;MacdPerfect;Sell to Close;-1.0;$44.95;11/3/20, 9:55 AM;($0.15);($1.17);0.0;
43;MacdPerfect;Buy to Open;1.0;$45.01;11/3/20, 10:00 AM;;($1.07);1.0;
44;MacdPerfect;Sell to Close;-1.0;$45.20;11/3/20, 10:35 AM;$0.20;($0.97);0.0;
45;MacdPerfect;Buy to Open;1.0;$46.12;11/5/20, 9:35 AM;;($1.11);1.0;
46;MacdPerfect;Sell to Close;-1.0;$45.98;11/5/20, 9:40 AM;($0.14);($1.11);0.0;
47;MacdPerfect;Buy to Open;1.0;$46.06;11/5/20, 9:45 AM;;($1.13);1.0;
48;MacdPerfect;Sell to Close;-1.0;$45.96;11/5/20, 9:55 AM;($0.10);($1.21);0.0;
49;MacdPerfect;Buy to Open;1.0;$45.93;11/5/20, 10:00 AM;;($1.13);1.0;
50;MacdPerfect;Sell to Close;-1.0;$45.95;11/5/20, 10:10 AM;$0.02;($1.19);0.0;
51;MacdPerfect;Buy to Open;1.0;$46.03;11/5/20, 10:15 AM;;($1.24);1.0;
52;MacdPerfect;Sell to Close;-1.0;$45.98;11/5/20, 10:20 AM;($0.05);($1.24);0.0;
53;MacdPerfect;Buy to Open;1.0;$45.93;11/5/20, 10:25 AM;;($1.38);1.0;
54;MacdPerfect;Sell to Close;-1.0;$45.80;11/5/20, 10:30 AM;($0.13);($1.37);0.0;
55;MacdPerfect;Buy to Open;1.0;$45.81;11/5/20, 2:25 PM;;($1.32);1.0;
56;MacdPerfect;Sell to Close;-1.0;$45.79;11/5/20, 2:50 PM;($0.02);($1.39);0.0;
57;MacdPerfect;Buy to Open;1.0;$45.74;11/5/20, 2:55 PM;;($1.37);1.0;
58;MacdPerfect;Sell to Close;-1.0;$45.77;11/5/20, 3:00 PM;$0.02;($1.37);0.0;
59;MacdPerfect;Buy to Open;1.0;$45.81;11/5/20, 3:05 PM;;($1.40);1.0;
60;MacdPerfect;Sell to Close;-1.0;$45.78;11/5/20, 3:10 PM;($0.03);($1.40);0.0;
61;MacdPerfect;Buy to Open;1.0;$45.34;11/6/20, 3:40 PM;;($1.35);1.0;
62;MacdPerfect;Sell to Close;-1.0;$45.46;11/6/20, 3:55 PM;$0.11;($1.28);0.0;
63;MacdPerfect;Buy to Open;1.0;$46.91;11/9/20, 9:35 AM;;($1.49);1.0;
64;MacdPerfect;Sell to Close;-1.0;$46.71;11/9/20, 9:40 AM;($0.20);($1.49);0.0;
65;MacdPerfect;Buy to Open;1.0;$46.90;11/9/20, 9:45 AM;;($1.31);1.0;
66;MacdPerfect;Sell to Close;-1.0;$46.94;11/9/20, 10:10 AM;$0.04;($1.44);0.0;
67;MacdPerfect;Buy to Open;1.0;$46.94;11/9/20, 10:15 AM;;($1.27);1.0;
68;MacdPerfect;Sell to Close;-1.0;$46.94;11/9/20, 10:40 AM;$0.00;($1.44);0.0;
69;MacdPerfect;Buy to Open;1.0;$46.88;11/9/20, 1:15 PM;;($1.55);1.0;
70;MacdPerfect;Sell to Close;-1.0;$46.77;11/9/20, 1:20 PM;($0.11);($1.55);0.0;
71;MacdPerfect;Buy to Open;1.0;$46.16;11/11/20, 9:35 AM;;($1.44);1.0;
72;MacdPerfect;Sell to Close;-1.0;$46.12;11/11/20, 10:15 AM;($0.04);($1.60);0.0;
73;MacdPerfect;Buy to Open;1.0;$45.98;11/11/20, 10:20 AM;;($1.64);1.0;
74;MacdPerfect;Sell to Close;-1.0;$45.93;11/11/20, 10:25 AM;($0.05);($1.65);0.0;
75;MacdPerfect;Buy to Open;1.0;$46.09;11/11/20, 12:10 PM;;($1.62);1.0;
76;MacdPerfect;Sell to Close;-1.0;$46.11;11/11/20, 12:30 PM;$0.02;($1.63);0.0;
77;MacdPerfect;Buy to Open;1.0;$46.10;11/11/20, 12:50 PM;;($1.62);1.0;
78;MacdPerfect;Sell to Close;-1.0;$46.27;11/11/20, 2:00 PM;$0.17;($1.46);0.0;
79;MacdPerfect;Buy to Open;1.0;$44.97;11/13/20, 9:30 AM;;($1.27);1.0;
80;MacdPerfect;Sell to Close;-1.0;$45.19;11/13/20, 10:05 AM;$0.22;($1.24);0.0;
81;MacdPerfect;Buy to Open;1.0;$45.21;11/13/20, 10:10 AM;;($1.28);1.0;
82;MacdPerfect;Sell to Close;-1.0;$45.22;11/13/20, 10:40 AM;$0.01;($1.23);0.0;
83;MacdPerfect;Buy to Open;1.0;$46.25;11/16/20, 9:35 AM;;($0.89);1.0;
84;MacdPerfect;Sell to Close;-1.0;$46.50;11/16/20, 10:15 AM;$0.25;($0.98);0.0;
85;MacdPerfect;Buy to Open;1.0;$46.11;11/16/20, 3:35 PM;;($1.08);1.0;
86;MacdPerfect;Sell to Close;-1.0;$46.01;11/16/20, 3:40 PM;($0.10);($1.08);0.0;
