Strategy report
Symbol: INTC
Work Time: 10/30/20, 9:35 AM - 7/9/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$44.45;10/30/20, 9:35 AM;;$0.26;1.0;
2;MacdPerfect;Sell to Close;-1.0;$44.75;10/30/20, 10:10 AM;$0.30;$0.30;0.0;
3;MacdPerfect;Buy to Open;1.0;$44.56;11/2/20, 9:35 AM;;$0.49;1.0;
4;MacdPerfect;Sell to Close;-1.0;$44.84;11/2/20, 10:05 AM;$0.27;$0.58;0.0;
5;MacdPerfect;Buy to Open;1.0;$45.10;11/3/20, 9:35 AM;;$0.57;1.0;
6;MacdPerfect;Sell to Close;-1.0;$45.10;11/3/20, 10:05 AM;$0.00;$0.58;0.0;
7;MacdPerfect;Sell to Close;-1.0;$45.01;11/4/20, 9:35 AM;$0.00;$0.70;-1.0;
8;MacdPerfect;Buy to Open;1.0;$45.01;11/4/20, 9:35 AM;;$0.58;0.0;
9;MacdPerfect;Buy to Open;1.0;$46.12;11/5/20, 9:35 AM;;$0.44;1.0;
10;MacdPerfect;Sell to Close;-1.0;$45.96;11/5/20, 9:55 AM;($0.16);$0.42;0.0;
11;MacdPerfect;Buy to Open;1.0;$46.91;11/9/20, 9:35 AM;;$0.22;1.0;
12;MacdPerfect;Sell to Close;-1.0;$47.30;11/9/20, 10:05 AM;$0.39;$0.81;0.0;
13;MacdPerfect;Buy to Open;1.0;$46.16;11/11/20, 9:35 AM;;$0.93;1.0;
14;MacdPerfect;Sell to Close;-1.0;$46.16;11/11/20, 10:05 AM;$0.00;$0.81;0.0;
15;MacdPerfect;Buy to Open;1.0;$45.15;11/13/20, 9:35 AM;;$0.91;1.0;
16;MacdPerfect;Sell to Close;-1.0;$45.28;11/13/20, 10:00 AM;$0.13;$0.94;0.0;
17;MacdPerfect;Buy to Open;1.0;$46.25;11/16/20, 9:35 AM;;$1.28;1.0;
18;MacdPerfect;Sell to Close;-1.0;$46.70;11/16/20, 10:05 AM;$0.45;$1.39;0.0;
19;MacdPerfect;Buy to Open;1.0;$45.09;11/19/20, 9:40 AM;;$1.35;1.0;
20;MacdPerfect;Sell to Close;-1.0;$44.97;11/19/20, 10:15 AM;($0.12);$1.27;0.0;
21;MacdPerfect;Buy to Open;1.0;$45.73;11/20/20, 9:35 AM;;$1.34;1.0;
22;MacdPerfect;Sell to Close;-1.0;$45.70;11/20/20, 10:00 AM;($0.03);$1.24;0.0;
23;MacdPerfect;Buy to Open;1.0;$45.74;11/23/20, 9:35 AM;;$1.30;1.0;
24;MacdPerfect;Sell to Close;-1.0;$46.06;11/23/20, 10:10 AM;$0.32;$1.57;0.0;
25;MacdPerfect;Buy to Open;1.0;$46.09;11/24/20, 9:40 AM;;$1.62;1.0;
26;MacdPerfect;Sell to Close;-1.0;$46.48;11/24/20, 10:25 AM;$0.39;$1.96;0.0;
27;MacdPerfect;Buy to Open;1.0;$47.16;11/25/20, 9:40 AM;;$1.91;1.0;
28;MacdPerfect;Sell to Close;-1.0;$46.89;11/25/20, 9:50 AM;($0.27);$1.69;0.0;
29;MacdPerfect;Buy to Open;1.0;$47.81;11/27/20, 9:35 AM;;$1.89;1.0;
30;MacdPerfect;Sell to Close;-1.0;$47.72;11/27/20, 10:00 AM;($0.09);$1.60;0.0;
31;MacdPerfect;Buy to Open;1.0;$49.34;12/1/20, 9:35 AM;;$1.75;1.0;
32;MacdPerfect;Sell to Close;-1.0;$49.46;12/1/20, 10:00 AM;$0.11;$1.72;0.0;
33;MacdPerfect;Buy to Open;1.0;$50.08;12/3/20, 9:35 AM;;$1.58;1.0;
34;MacdPerfect;Sell to Close;-1.0;$49.88;12/3/20, 9:45 AM;($0.20);$1.51;0.0;
35;MacdPerfect;Buy to Open;1.0;$51.39;12/4/20, 9:35 AM;;$1.31;1.0;
36;MacdPerfect;Sell to Close;-1.0;$52.01;12/4/20, 10:30 AM;$0.63;$2.14;0.0;
37;MacdPerfect;Buy to Open;1.0;$50.39;12/8/20, 9:35 AM;;$2.24;1.0;
38;MacdPerfect;Sell to Close;-1.0;$50.21;12/8/20, 9:55 AM;($0.18);$1.96;0.0;
39;MacdPerfect;Buy to Open;1.0;$50.30;12/14/20, 9:35 AM;;$2.10;1.0;
40;MacdPerfect;Sell to Close;-1.0;$51.21;12/14/20, 10:10 AM;$0.91;$2.87;0.0;
41;MacdPerfect;Buy to Open;1.0;$50.72;12/15/20, 9:35 AM;;$2.92;1.0;
42;MacdPerfect;Sell to Close;-1.0;$50.66;12/15/20, 10:05 AM;($0.06);$2.82;0.0;
43;MacdPerfect;Buy to Open;1.0;$50.89;12/16/20, 9:35 AM;;$2.77;1.0;
44;MacdPerfect;Sell to Close;-1.0;$50.95;12/16/20, 10:10 AM;$0.06;$2.88;0.0;
45;MacdPerfect;Sell to Close;-1.0;$50.63;12/18/20, 9:35 AM;$0.00;$3.11;-1.0;
46;MacdPerfect;Buy to Open;1.0;$50.63;12/18/20, 9:35 AM;;$2.88;0.0;
47;MacdPerfect;Buy to Open;1.0;$46.13;12/22/20, 9:35 AM;;$2.85;1.0;
48;MacdPerfect;Sell to Close;-1.0;$46.18;12/22/20, 9:45 AM;$0.05;$2.93;0.0;
49;MacdPerfect;Buy to Open;1.0;$46.26;12/23/20, 9:35 AM;;$3.13;1.0;
50;MacdPerfect;Sell to Close;-1.0;$46.66;12/23/20, 10:05 AM;$0.40;$3.32;0.0;
51;MacdPerfect;Buy to Open;1.0;$47.20;12/28/20, 9:35 AM;;$3.21;1.0;
52;MacdPerfect;Sell to Close;-1.0;$47.15;12/28/20, 10:00 AM;($0.05);$3.27;0.0;
53;MacdPerfect;Buy to Open;1.0;$46.95;12/29/20, 9:35 AM;;$3.36;1.0;
54;MacdPerfect;Sell to Close;-1.0;$47.22;12/29/20, 10:05 AM;$0.27;$3.54;0.0;
55;MacdPerfect;Buy to Open;1.0;$49.05;12/31/20, 9:35 AM;;$3.40;1.0;
56;MacdPerfect;Sell to Close;-1.0;$48.84;12/31/20, 9:45 AM;($0.21);$3.33;0.0;
57;MacdPerfect;Buy to Open;1.0;$50.16;1/4/21, 9:35 AM;;$3.80;1.0;
58;MacdPerfect;Sell to Close;-1.0;$51.28;1/4/21, 10:10 AM;$1.13;$4.45;0.0;
59;MacdPerfect;Buy to Open;1.0;$52.47;1/8/21, 9:35 AM;;$4.31;1.0;
60;MacdPerfect;Sell to Close;-1.0;$52.36;1/8/21, 9:50 AM;($0.12);$4.34;0.0;
61;MacdPerfect;Buy to Open;1.0;$51.82;1/11/21, 9:35 AM;;$3.94;1.0;
62;MacdPerfect;Sell to Close;-1.0;$51.42;1/11/21, 9:40 AM;($0.40);$3.94;0.0;
63;MacdPerfect;Buy to Open;1.0;$52.24;1/12/21, 9:40 AM;;$3.72;1.0;
64;MacdPerfect;Sell to Close;-1.0;$52.96;1/12/21, 10:30 AM;$0.73;$4.66;0.0;
65;MacdPerfect;Buy to Open;1.0;$58.72;1/13/21, 9:35 AM;;$4.38;1.0;
66;MacdPerfect;Sell to Close;-1.0;$58.13;1/13/21, 10:00 AM;($0.59);$4.07;0.0;
67;MacdPerfect;Buy to Open;1.0;$58.03;1/14/21, 9:35 AM;;$4.48;1.0;
68;MacdPerfect;Sell to Close;-1.0;$58.94;1/14/21, 10:10 AM;$0.91;$4.98;0.0;
69;MacdPerfect;Buy to Open;1.0;$59.53;1/15/21, 9:35 AM;;$4.76;1.0;
70;MacdPerfect;Sell to Close;-1.0;$59.51;1/15/21, 9:55 AM;($0.02);$4.97;0.0;
71;MacdPerfect;Buy to Open;1.0;$58.31;1/20/21, 9:35 AM;;$5.02;1.0;
72;MacdPerfect;Sell to Close;-1.0;$59.00;1/20/21, 10:25 AM;$0.69;$5.66;0.0;
73;MacdPerfect;Buy to Open;1.0;$55.64;1/26/21, 9:35 AM;;$5.45;1.0;
74;MacdPerfect;Sell to Close;-1.0;$55.52;1/26/21, 10:00 AM;($0.12);$5.54;0.0;
75;MacdPerfect;Buy to Open;1.0;$54.95;1/28/21, 9:40 AM;;$5.93;1.0;
76;MacdPerfect;Sell to Close;-1.0;$56.82;1/28/21, 10:20 AM;$1.88;$7.41;0.0;
77;MacdPerfect;Buy to Open;1.0;$56.43;2/1/21, 9:40 AM;;$7.28;1.0;
78;MacdPerfect;Sell to Close;-1.0;$56.13;2/1/21, 10:00 AM;($0.30);$7.11;0.0;
79;MacdPerfect;Buy to Open;1.0;$57.18;2/2/21, 9:35 AM;;$7.10;1.0;
80;MacdPerfect;Sell to Close;-1.0;$57.63;2/2/21, 10:10 AM;$0.45;$7.56;0.0;
81;MacdPerfect;Buy to Open;1.0;$58.54;2/5/21, 9:35 AM;;$7.68;1.0;
82;MacdPerfect;Sell to Close;-1.0;$58.65;2/5/21, 9:55 AM;$0.11;$7.67;0.0;
83;MacdPerfect;Buy to Open;1.0;$58.71;2/8/21, 9:35 AM;;$7.57;1.0;
84;MacdPerfect;Sell to Close;-1.0;$58.58;2/8/21, 10:05 AM;($0.13);$7.54;0.0;
85;MacdPerfect;Buy to Open;1.0;$59.05;2/10/21, 9:40 AM;;$7.50;1.0;
86;MacdPerfect;Sell to Close;-1.0;$59.14;2/10/21, 10:10 AM;$0.09;$7.63;0.0;
87;MacdPerfect;Buy to Open;1.0;$59.09;2/11/21, 9:35 AM;;$7.71;1.0;
88;MacdPerfect;Sell to Close;-1.0;$59.05;2/11/21, 10:00 AM;($0.04);$7.59;0.0;
89;MacdPerfect;Buy to Open;1.0;$62.23;2/16/21, 9:35 AM;;$7.80;1.0;
90;MacdPerfect;Sell to Close;-1.0;$62.42;2/16/21, 10:00 AM;$0.19;$7.78;0.0;
91;MacdPerfect;Buy to Open;1.0;$62.08;2/19/21, 9:35 AM;;$7.94;1.0;
92;MacdPerfect;Sell to Close;-1.0;$62.08;2/19/21, 10:05 AM;$0.00;$7.78;0.0;
93;MacdPerfect;Buy to Open;1.0;$63.49;2/25/21, 9:40 AM;;$7.45;1.0;
94;MacdPerfect;Sell to Close;-1.0;$63.17;2/25/21, 9:45 AM;($0.33);$7.45;0.0;
95;MacdPerfect;Buy to Open;1.0;$61.94;3/1/21, 9:35 AM;;$7.42;1.0;
96;MacdPerfect;Sell to Close;-1.0;$62.63;3/1/21, 10:10 AM;$0.69;$8.14;0.0;
97;MacdPerfect;Buy to Open;1.0;$63.01;3/2/21, 9:40 AM;;$7.71;1.0;
98;MacdPerfect;Sell to Close;-1.0;$62.58;3/2/21, 9:45 AM;($0.43);$7.71;0.0;
99;MacdPerfect;Buy to Open;1.0;$59.29;3/5/21, 9:35 AM;;$7.62;1.0;
100;MacdPerfect;Sell to Close;-1.0;$58.89;3/5/21, 10:00 AM;($0.40);$7.31;0.0;
101;MacdPerfect;Buy to Open;1.0;$61.39;3/9/21, 9:35 AM;;$7.57;1.0;
102;MacdPerfect;Sell to Close;-1.0;$62.27;3/9/21, 10:10 AM;$0.88;$8.19;0.0;
103;MacdPerfect;Buy to Open;1.0;$63.57;3/10/21, 9:35 AM;;$8.14;1.0;
104;MacdPerfect;Sell to Close;-1.0;$63.48;3/10/21, 10:05 AM;($0.09);$8.10;0.0;
105;MacdPerfect;Buy to Open;1.0;$63.11;3/11/21, 9:35 AM;;$8.14;1.0;
106;MacdPerfect;Sell to Close;-1.0;$62.49;3/11/21, 9:55 AM;($0.62);$7.48;0.0;
107;MacdPerfect;Buy to Open;1.0;$63.33;3/15/21, 9:35 AM;;$7.25;1.0;
108;MacdPerfect;Sell to Close;-1.0;$62.94;3/15/21, 9:50 AM;($0.39);$7.09;0.0;
109;MacdPerfect;Buy to Open;1.0;$64.59;3/16/21, 9:35 AM;;$6.64;1.0;
110;MacdPerfect;Sell to Close;-1.0;$65.50;3/16/21, 10:25 AM;$0.91;$8.00;0.0;
111;MacdPerfect;Buy to Open;1.0;$64.74;3/22/21, 9:35 AM;;$8.47;1.0;
112;MacdPerfect;Sell to Close;-1.0;$65.05;3/22/21, 10:05 AM;$0.31;$8.31;0.0;
113;MacdPerfect;Buy to Open;1.0;$66.17;3/24/21, 9:35 AM;;$7.43;1.0;
114;MacdPerfect;Sell to Close;-1.0;$64.29;3/24/21, 9:55 AM;($1.88);$6.43;0.0;
115;MacdPerfect;Buy to Open;1.0;$61.95;3/25/21, 9:40 AM;;$6.08;1.0;
116;MacdPerfect;Sell to Close;-1.0;$61.79;3/25/21, 10:35 AM;($0.16);$6.27;0.0;
117;MacdPerfect;Buy to Open;1.0;$64.22;3/29/21, 9:35 AM;;$6.50;1.0;
118;MacdPerfect;Sell to Close;-1.0;$64.18;3/29/21, 10:50 AM;($0.05);$6.23;0.0;
119;MacdPerfect;Buy to Open;1.0;$64.05;3/31/21, 9:35 AM;;$6.08;1.0;
120;MacdPerfect;Sell to Close;-1.0;$64.00;3/31/21, 10:05 AM;($0.05);$6.18;0.0;
121;MacdPerfect;Buy to Open;1.0;$64.75;4/1/21, 9:35 AM;;$5.98;1.0;
122;MacdPerfect;Sell to Close;-1.0;$64.30;4/1/21, 9:55 AM;($0.45);$5.73;0.0;
123;MacdPerfect;Buy to Open;1.0;$65.28;4/5/21, 9:35 AM;;$6.03;1.0;
124;MacdPerfect;Sell to Close;-1.0;$65.50;4/5/21, 10:00 AM;$0.22;$5.95;0.0;
125;MacdPerfect;Buy to Open;1.0;$66.89;4/8/21, 9:35 AM;;$5.79;1.0;
126;MacdPerfect;Sell to Close;-1.0;$66.67;4/8/21, 10:00 AM;($0.22);$5.73;0.0;
127;MacdPerfect;Buy to Open;1.0;$68.23;4/12/21, 9:35 AM;;$5.73;1.0;
128;MacdPerfect;Sell to Close;-1.0;$68.43;4/12/21, 10:05 AM;$0.20;$5.93;0.0;
129;MacdPerfect;Buy to Open;1.0;$64.94;4/14/21, 9:35 AM;;$5.44;1.0;
130;MacdPerfect;Sell to Close;-1.0;$64.54;4/14/21, 10:55 AM;($0.40);$5.53;0.0;
131;MacdPerfect;Buy to Open;1.0;$64.47;4/15/21, 9:35 AM;;$5.14;1.0;
132;MacdPerfect;Sell to Close;-1.0;$64.08;4/15/21, 9:40 AM;($0.39);$5.14;0.0;
