Strategy report
Symbol: INTC
Work Time: 1/16/20, 9:40 AM - 10/1/20, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$59.19;1/16/20, 9:40 AM;;$0.15;1.0;
2;MacdPerfect;Sell to Close;-1.0;$59.26;1/16/20, 10:00 AM;$0.07;$0.07;0.0;
3;MacdPerfect;Sell to Close;-1.0;$59.78;1/17/20, 9:35 AM;$0.00;$0.23;-1.0;
4;MacdPerfect;Buy to Open;1.0;$59.78;1/17/20, 9:35 AM;;$0.07;0.0;
5;MacdPerfect;Buy to Open;1.0;$59.61;1/17/20, 9:40 AM;;($0.08);1.0;
6;MacdPerfect;Sell to Close;-1.0;$59.46;1/17/20, 10:40 AM;($0.16);($0.09);0.0;
7;MacdPerfect;Buy to Open;1.0;$60.61;1/21/20, 9:35 AM;;($0.07);1.0;
8;MacdPerfect;Sell to Close;-1.0;$60.77;1/21/20, 10:05 AM;$0.16;$0.07;0.0;
9;MacdPerfect;Buy to Open;1.0;$61.37;1/22/20, 9:40 AM;;$0.05;1.0;
10;MacdPerfect;Sell to Close;-1.0;$61.59;1/22/20, 10:10 AM;$0.22;$0.29;0.0;
11;MacdPerfect;Buy to Open;1.0;$63.16;1/23/20, 9:35 AM;;$0.07;1.0;
12;MacdPerfect;Sell to Close;-1.0;$63.25;1/23/20, 10:00 AM;$0.08;$0.37;0.0;
13;MacdPerfect;Buy to Open;1.0;$67.40;1/24/20, 9:35 AM;;$1.33;1.0;
14;MacdPerfect;Sell to Close;-1.0;$68.64;1/24/20, 10:05 AM;$1.24;$1.61;0.0;
15;MacdPerfect;Buy to Open;1.0;$66.48;1/28/20, 9:40 AM;;$1.49;1.0;
16;MacdPerfect;Sell to Close;-1.0;$66.75;1/28/20, 10:10 AM;$0.27;$1.88;0.0;
17;MacdPerfect;Sell to Close;-1.0;$67.73;1/29/20, 9:35 AM;$0.00;$2.33;-1.0;
18;MacdPerfect;Buy to Open;1.0;$67.73;1/29/20, 9:35 AM;;$1.88;0.0;
19;MacdPerfect;Buy to Open;1.0;$64.66;2/3/20, 9:40 AM;;$1.73;1.0;
20;MacdPerfect;Sell to Close;-1.0;$64.91;2/3/20, 10:05 AM;$0.25;$2.13;0.0;
21;MacdPerfect;Buy to Open;1.0;$65.42;2/4/20, 9:35 AM;;$1.82;1.0;
22;MacdPerfect;Sell to Close;-1.0;$65.17;2/4/20, 10:00 AM;($0.25);$1.88;0.0;
23;MacdPerfect;Buy to Open;1.0;$66.67;2/5/20, 9:35 AM;;$1.46;1.0;
24;MacdPerfect;Sell to Close;-1.0;$66.43;2/5/20, 10:00 AM;($0.24);$1.64;0.0;
25;MacdPerfect;Buy to Open;1.0;$66.71;2/11/20, 9:35 AM;;$1.73;1.0;
26;MacdPerfect;Sell to Close;-1.0;$67.06;2/11/20, 10:05 AM;$0.35;$1.99;0.0;
27;MacdPerfect;Buy to Open;1.0;$67.53;2/12/20, 9:35 AM;;$2.29;1.0;
28;MacdPerfect;Sell to Close;-1.0;$68.03;2/12/20, 10:00 AM;$0.50;$2.49;0.0;
29;MacdPerfect;Buy to Open;1.0;$67.52;2/14/20, 9:35 AM;;$2.55;1.0;
30;MacdPerfect;Sell to Close;-1.0;$67.56;2/14/20, 10:05 AM;$0.04;$2.53;0.0;
31;MacdPerfect;Buy to Open;1.0;$66.26;2/19/20, 9:35 AM;;$2.70;1.0;
32;MacdPerfect;Sell to Close;-1.0;$66.52;2/19/20, 10:10 AM;$0.26;$2.79;0.0;
33;MacdPerfect;Buy to Open;1.0;$60.38;2/26/20, 9:40 AM;;$2.86;1.0;
34;MacdPerfect;Sell to Close;-1.0;$60.32;2/26/20, 10:05 AM;($0.06);$2.73;0.0;
35;MacdPerfect;Buy to Open;1.0;$55.45;3/2/20, 9:35 AM;;$2.12;1.0;
36;MacdPerfect;Sell to Close;-1.0;$55.32;3/2/20, 9:55 AM;($0.13);$2.60;0.0;
37;MacdPerfect;Sell to Close;-1.0;$57.41;3/3/20, 9:35 AM;$0.00;$2.52;-1.0;
38;MacdPerfect;Buy to Open;1.0;$57.41;3/3/20, 9:35 AM;;$2.60;0.0;
39;MacdPerfect;Buy to Open;1.0;$57.50;3/3/20, 9:40 AM;;$2.63;1.0;
40;MacdPerfect;Sell to Close;-1.0;$58.35;3/3/20, 10:35 AM;$0.85;$3.45;0.0;
41;MacdPerfect;Buy to Open;1.0;$52.87;3/10/20, 9:35 AM;;$3.02;1.0;
42;MacdPerfect;Sell to Close;-1.0;$51.96;3/10/20, 9:55 AM;($0.91);$2.54;0.0;
43;MacdPerfect;Buy to Open;1.0;$49.30;3/13/20, 9:35 AM;;$2.49;1.0;
44;MacdPerfect;Sell to Close;-1.0;$48.91;3/13/20, 10:05 AM;($0.39);$2.15;0.0;
45;MacdPerfect;Buy to Open;1.0;$46.35;3/17/20, 9:35 AM;;$1.86;1.0;
46;MacdPerfect;Sell to Close;-1.0;$48.26;3/17/20, 10:55 AM;$1.91;$4.07;0.0;
47;MacdPerfect;Buy to Open;1.0;$46.68;3/19/20, 9:35 AM;;$3.79;1.0;
48;MacdPerfect;Sell to Close;-1.0;$46.17;3/19/20, 9:45 AM;($0.51);$3.55;0.0;
49;MacdPerfect;Buy to Open;1.0;$47.52;3/20/20, 9:35 AM;;$3.18;1.0;
50;MacdPerfect;Sell to Close;-1.0;$47.00;3/20/20, 10:05 AM;($0.52);$3.03;0.0;
51;MacdPerfect;Buy to Open;1.0;$54.27;3/24/20, 9:35 AM;;$1.69;1.0;
