Strategy report
Symbol: JPM
Work Time: 10/21/20, 12:25 PM - 7/6/21, 2:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$100.90;10/21/20, 12:25 PM;;($0.34);1.0;
2;MacdPerfect;Sell to Close;-1.0;$100.56;10/21/20, 12:30 PM;($0.34);($0.34);0.0;
3;MacdPerfect;Buy to Open;1.0;$100.58;10/21/20, 12:45 PM;;($0.48);1.0;
4;MacdPerfect;Sell to Close;-1.0;$100.44;10/21/20, 12:50 PM;($0.14);($0.48);0.0;
5;MacdPerfect;Buy to Open;1.0;$100.53;10/21/20, 12:55 PM;;($0.44);1.0;
6;MacdPerfect;Sell to Close;-1.0;$100.56;10/21/20, 1:10 PM;$0.03;($0.45);0.0;
7;MacdPerfect;Buy to Open;1.0;$100.50;10/21/20, 1:20 PM;;($0.55);1.0;
8;MacdPerfect;Sell to Close;-1.0;$100.40;10/21/20, 1:25 PM;($0.10);($0.55);0.0;
9;MacdPerfect;Buy to Open;1.0;$103.57;10/23/20, 9:35 AM;;$0.00;1.0;
10;MacdPerfect;Sell to Close;-1.0;$103.95;10/23/20, 10:00 AM;$0.38;($0.17);0.0;
11;MacdPerfect;Buy to Open;1.0;$104.15;10/23/20, 10:05 AM;;($0.24);1.0;
12;MacdPerfect;Sell to Close;-1.0;$104.08;10/23/20, 10:10 AM;($0.07);($0.24);0.0;
13;MacdPerfect;Buy to Open;1.0;$103.87;10/23/20, 10:15 AM;;($0.20);1.0;
14;MacdPerfect;Sell to Close;-1.0;$103.90;10/23/20, 10:20 AM;$0.03;($0.21);0.0;
15;MacdPerfect;Buy to Open;1.0;$103.91;10/23/20, 1:35 PM;;($0.26);1.0;
16;MacdPerfect;Sell to Close;-1.0;$103.75;10/23/20, 1:50 PM;($0.16);($0.37);0.0;
17;MacdPerfect;Buy to Open;1.0;$103.75;10/23/20, 1:55 PM;;($0.33);1.0;
18;MacdPerfect;Sell to Close;-1.0;$103.78;10/23/20, 2:10 PM;$0.03;($0.34);0.0;
19;MacdPerfect;Buy to Open;1.0;$103.79;10/23/20, 2:15 PM;;($0.31);1.0;
20;MacdPerfect;Sell to Close;-1.0;$103.75;10/23/20, 2:30 PM;($0.04);($0.38);0.0;
21;MacdPerfect;Buy to Open;1.0;$100.92;10/26/20, 2:20 PM;;($0.47);1.0;
22;MacdPerfect;Sell to Close;-1.0;$100.84;10/26/20, 2:35 PM;($0.08);($0.46);0.0;
23;MacdPerfect;Buy to Open;1.0;$100.67;10/26/20, 2:40 PM;;($0.34);1.0;
24;MacdPerfect;Sell to Close;-1.0;$100.67;10/26/20, 3:05 PM;$0.00;($0.45);0.0;
25;MacdPerfect;Buy to Open;1.0;$101.16;10/26/20, 3:35 PM;;($0.55);1.0;
